"","metric","clade","pool","adj.r.squared","p.value.1","(Intercept)","present.cclgmbi.diff.availener.score"
"1","mntd","Asterales","Ecrins NP",-0.0245704394530903,0.429738023030529,-0.0992085077771718,-0.000267689129359743
"2","mntd","Asterales","Persistent LGM",-0.0297827461135745,0.454247865861003,0.17695112040539,-0.000270571979595082
"3","mntd","Asterales","Summits",0.0133153371955457,0.295344077807036,0.117044185912048,-0.000361388164694347
"4","mntd","Caryophyllales","Ecrins NP",-0.00748810664577504,0.360628594425179,-0.165366525330187,0.000349267026120143
"5","mntd","Caryophyllales","Persistent LGM",-0.0176643258609817,0.396155750001335,-0.000437413846439385,0.000324250281156087
"6","mntd","Caryophyllales","Summits",-0.0454589173590494,0.522129147397436,-0.134882648124239,0.000231045911376908
"7","mntd","Lamiales","Ecrins NP",0.0536746787412775,0.212082207255519,-0.122544828146426,0.000388651182246416
"8","mntd","Lamiales","Persistent LGM",-0.0790428800370675,0.734552516034442,0.666216499225941,0.000106107494915322
"9","mntd","Lamiales","Summits",-0.0352503733784464,0.469704899420019,0.459029557932277,0.000191179150813986
"10","mntd","Poales","Ecrins NP",-0.0620252803918622,0.632505299723782,-0.688025587883756,0.000182316191219854
"11","mntd","Poales","Persistent LGM",-0.0733131311459276,0.743623428044579,0.226240713341566,8.45492706052453e-05
"12","mntd","Poales","Summits",-0.0760902465530777,0.781099609501306,0.354257437849235,-7.48414673927511e-05
"13","mntd","Rosales","Ecrins NP",0.194345300284711,0.0977806566909196,-1.35626066810626,-0.000725488056088774
"14","mntd","Rosales","Persistent LGM",0.179231700750329,0.10804087664402,-0.90892141986751,-0.000822413906188537
"15","mntd","Rosales","Summits",0.14737606772936,0.13296524518488,-0.926947950651106,-0.000627593108273507
"16","mntd","Spermatophyta","Ecrins NP",0.0138997783747808,0.29371460288408,-2.35283487778907,0.000516440140973789
"17","mntd","Spermatophyta","Persistent LGM",-0.0315203119111389,0.462874793373148,-0.453066780585362,-0.000195072879413909
"18","mntd","Spermatophyta","Summits",-0.0517842539457456,0.586712272416443,-0.860302468705133,0.000222023049551594
"19","mpd","Asterales","Ecrins NP",0.0187568531180389,0.28057063737702,-0.393646082403409,-0.000305977390885112
"20","mpd","Asterales","Persistent LGM",0.0540956208041709,0.202602589731814,-0.0609117333443842,-0.000438145094246508
"21","mpd","Asterales","Summits",0.0435463441368684,0.223047946607118,-0.0293290389957616,-0.000448343385822016
"22","mpd","Caryophyllales","Ecrins NP",-0.033251090768778,0.460397201592178,-0.0690671754995084,0.000242501573506875
"23","mpd","Caryophyllales","Persistent LGM",-0.0317951691784895,0.453791047879025,-0.155246245257858,0.000251408585027306
"24","mpd","Caryophyllales","Summits",-0.0247634238235674,0.423743193327194,-0.254165733955772,0.000256327586360394
"25","mpd","Lamiales","Ecrins NP",-0.0211143449491744,0.40924617994949,-0.0291305418496728,0.000136363897477745
"26","mpd","Lamiales","Persistent LGM",-0.0894248541720795,0.904775020109534,0.721258314451278,-2.93098781112211e-05
"27","mpd","Lamiales","Summits",-0.0824199855875765,0.921508932351398,0.559242684089073,1.95950089902927e-05
"28","mpd","Poales","Ecrins NP",0.0520097201459061,0.215079591216343,-0.0646752220552023,0.000410558659422327
"29","mpd","Poales","Persistent LGM",0.00680521751693519,0.317244651096325,0.581041974727276,0.000253436983631487
"30","mpd","Poales","Summits",0.0154631156486271,0.294020263293737,0.445926648100749,0.000304425809238876
"31","mpd","Rosales","Ecrins NP",0.189894946129101,0.100706131159818,-1.84037376824663,-0.000959914263251986
"32","mpd","Rosales","Persistent LGM",0.218198793804364,0.083361636433428,-0.95566578433911,-0.000868055774813155
"33","mpd","Rosales","Summits",0.274858771184353,0.0563693759580755,-0.9420313812808,-0.000795237703682395
"34","mpd","Spermatophyta","Ecrins NP",0.102309442411084,0.131164967243825,-0.595916507091191,0.000660664467041645
"35","mpd","Spermatophyta","Persistent LGM",-0.0356799499966478,0.484563645667748,0.368708458421919,-0.000204918427969189
"36","mpd","Spermatophyta","Summits",0.0740498423298137,0.169146921021358,-0.364269104444985,0.000570927793100407
