"","metric","clade","pool","adj.r.squared","p.value.1","(Intercept)","pc.availener.score"
"1","mntd","Asterales","Ecrins NP",-0.0210064450680654,0.414051073500927,-0.0992085077771714,-0.000256641046918353
"2","mntd","Asterales","Persistent LGM",-0.0144913778285571,0.387348098826638,0.17695112040539,-0.00028885723349495
"3","mntd","Asterales","Summits",0.0346067445566146,0.24212445735195,0.117044185912049,-0.000372707271572338
"4","mntd","Caryophyllales","Ecrins NP",-0.0158847899741468,0.389622727168804,-0.167681691229824,0.000304630449546838
"5","mntd","Caryophyllales","Persistent LGM",-0.0362500623520436,0.47446584791799,-0.0056084347741402,0.000253937601269201
"6","mntd","Caryophyllales","Summits",-0.0574116457427281,0.597488334869593,-0.139002349485289,0.000176787077190801
"7","mntd","Lamiales","Ecrins NP",-0.000542324473229439,0.338691231302906,-0.12136823110796,0.000280514688494424
"8","mntd","Lamiales","Persistent LGM",-0.090126074306397,0.930768576368104,0.657693190262411,2.52721699180644e-05
"9","mntd","Lamiales","Summits",-0.0745630670442428,0.759687550273574,0.459012336782463,7.58103199922203e-05
"10","mntd","Poales","Ecrins NP",-0.0551014074818199,0.581396919096771,-0.686867255023665,0.000194850092873638
"11","mntd","Poales","Persistent LGM",-0.0729680371341657,0.739383454745681,0.226677066058781,7.9843486045489e-05
"12","mntd","Poales","Summits",-0.0650850729953163,0.65833026715031,0.353491384612788,-0.000110298140993075
"13","mntd","Rosales","Ecrins NP",0.0737934670554614,0.212960668107122,-1.34299022897624,-0.000544773545447147
"14","mntd","Rosales","Persistent LGM",0.025288375277228,0.290802676235875,-0.875960636702133,-0.000544036210419523
"15","mntd","Rosales","Summits",0.0347749844651325,0.273464105215112,-0.911514991836037,-0.000455042694649596
"16","mntd","Spermatophyta","Ecrins NP",0.04903898273527,0.212140364383737,-2.35283487778907,0.000564204383716888
"17","mntd","Spermatophyta","Persistent LGM",-0.0311600997199224,0.461066372682825,-0.453066780585362,-0.000181679967234708
"18","mntd","Spermatophyta","Summits",-0.0494541264755486,0.569656264955549,-0.860302468705133,0.000215298394215795
"19","mpd","Asterales","Ecrins NP",0.0644080933120221,0.184528264659723,-0.393646082403409,-0.000344978519493878
"20","mpd","Asterales","Persistent LGM",0.127291534389736,0.104716466026914,-0.0609117333443836,-0.000507444891014207
"21","mpd","Asterales","Summits",0.113370494516709,0.118732839686149,-0.0293290389957609,-0.000522731387547112
"22","mpd","Caryophyllales","Ecrins NP",-0.0377254876789024,0.48162846335068,-0.0704102872257975,0.000214035603125574
"23","mpd","Caryophyllales","Persistent LGM",-0.015427864171264,0.387968360919118,-0.151928147684125,0.000266907988914711
"24","mpd","Caryophyllales","Summits",-0.011189569729503,0.373053290271263,-0.251725846688059,0.000263118287234604
"25","mpd","Lamiales","Ecrins NP",-0.0508838380271521,0.554058923812539,-0.0287846834210668,9.14363570590275e-05
"26","mpd","Lamiales","Persistent LGM",-0.0763110408877576,0.706673911515211,0.713986354871205,-8.52269339116084e-05
"27","mpd","Lamiales","Summits",-0.0758870864161254,0.778119902988335,0.558668479531245,-5.19485119781664e-05
"28","mpd","Poales","Ecrins NP",0.076313452913215,0.17540050759994,-0.0623042067085782,0.00041401333596705
"29","mpd","Poales","Persistent LGM",0.00275152050658067,0.328866009745171,0.582260128873126,0.000229961475936408
"30","mpd","Poales","Summits",0.0146013426618261,0.296240274358292,0.447439664031159,0.000281420711038601
"31","mpd","Rosales","Ecrins NP",0.0590152221641954,0.234034330915622,-1.81689019154733,-0.000696493602304132
"32","mpd","Rosales","Persistent LGM",0.0539398307712249,0.24176059527704,-0.925479117589312,-0.000593117544495755
"33","mpd","Rosales","Summits",0.131606955840289,0.147191793520227,-0.930284658967262,-0.000608636284233271
"34","mpd","Spermatophyta","Ecrins NP",0.134433519479777,0.0981625297179985,-0.595916507091192,0.0006655406893446
"35","mpd","Spermatophyta","Persistent LGM",-0.0403038030367127,0.510601498550761,0.36870845842192,-0.000179124194949137
"36","mpd","Spermatophyta","Summits",0.107545668445456,0.125127505978872,-0.364269104444985,0.000585446508028025
