"","metric","clade","pool","adj.r.squared","p.value.1","(Intercept)","area"
"1","mntd","Asterales","Ecrins NP",0.112508543882367,0.119658467945309,-5.6599829080466,0.439922875148697
"2","mntd","Asterales","Persistent LGM",0.181423739412477,0.0638455027390952,-6.74033356130847,0.547238845951772
"3","mntd","Asterales","Summits",0.118310946644237,0.113561073098683,-5.68797336410977,0.459245390492826
"4","mntd","Caryophyllales","Ecrins NP",0.104996214093747,0.138034443831781,-5.38790694413237,0.41138916753498
"5","mntd","Caryophyllales","Persistent LGM",0.0703482378935992,0.184376724309781,-4.7083201227691,0.370775639143868
"6","mntd","Caryophyllales","Summits",0.0914921665077855,0.154512515943494,-4.83705090976489,0.371046095216145
"7","mntd","Lamiales","Ecrins NP",0.163748475535627,0.0841656162381596,-6.40403371698617,0.493324957128468
"8","mntd","Lamiales","Persistent LGM",-0.0112422486365942,0.371880484690527,-2.1897401578125,0.223856453670712
"9","mntd","Lamiales","Summits",0.126931409968235,0.114879302435158,-4.35208772830649,0.377879950348331
"10","mntd","Poales","Ecrins NP",0.0802011982582258,0.169792180656404,5.38853761887141,-0.477401502592732
"11","mntd","Poales","Persistent LGM",0.187548105018919,0.0686264943806055,5.51537825852552,-0.415515220176318
"12","mntd","Poales","Summits",0.101270810798937,0.142397615734586,4.90078281481859,-0.357130435100791
"13","mntd","Rosales","Ecrins NP",0.240515986577791,0.0716164455800569,6.97629971498805,-0.639915761793032
"14","mntd","Rosales","Persistent LGM",0.0836150169769082,0.200034717865554,6.34015582767962,-0.55369807709618
"15","mntd","Rosales","Summits",0.207083943270121,0.0898247455119082,6.52270428484184,-0.572441841665708
"16","mntd","Spermatophyta","Ecrins NP",-0.0154714464026791,0.391213725020241,2.28629687811047,-0.367010066106992
"17","mntd","Spermatophyta","Persistent LGM",0.38407269059411,0.00813890639434942,6.33508897690288,-0.537023224255729
"18","mntd","Spermatophyta","Summits",-0.0298910218647255,0.454778433738914,2.45612235917221,-0.262368339457115
"19","mpd","Asterales","Ecrins NP",-0.0473854179122624,0.555277789206919,-2.25022979040846,0.146877679975695
"20","mpd","Asterales","Persistent LGM",-0.0562347925621627,0.622279083080536,-1.96225766172372,0.150418899825244
"21","mpd","Asterales","Summits",-0.0409397572600068,0.514359969526822,-2.7052332032122,0.211695596477971
"22","mpd","Caryophyllales","Ecrins NP",0.0761516834984058,0.175637924337805,-4.17232684537597,0.32346908689548
"23","mpd","Caryophyllales","Persistent LGM",0.0799825677963782,0.170102668896263,-4.3988266608362,0.334526116107067
"24","mpd","Caryophyllales","Summits",0.0486423108983025,0.221280593230721,-3.90654216141862,0.287610758852694
"25","mpd","Lamiales","Ecrins NP",0.23977513870948,0.0433386866313467,-3.76872372963023,0.293722891948138
"26","mpd","Lamiales","Persistent LGM",-0.0498916969170529,0.525584714189023,-0.869559317217996,0.125454788690367
"27","mpd","Lamiales","Summits",0.10551052115161,0.13744255606154,-2.83106574726719,0.266320443066976
"28","mpd","Poales","Ecrins NP",-0.0302098705343026,0.446755139190258,3.02865877386149,-0.243123035622224
"29","mpd","Poales","Persistent LGM",-0.0479626543373965,0.536457621599852,2.49029183812106,-0.150059015811511
"30","mpd","Poales","Summits",-0.0586735466114279,0.606658383583271,2.27476313898992,-0.143757711243038
"31","mpd","Rosales","Ecrins NP",0.203946660115157,0.0917282236677065,8.68147962057653,-0.80735756794569
"32","mpd","Rosales","Persistent LGM",0.116118055796025,0.162561244177005,6.80274873497168,-0.592793273559888
"33","mpd","Rosales","Summits",0.293388203600807,0.0493783183562688,7.78017636082718,-0.669275834175448
"34","mpd","Spermatophyta","Ecrins NP",-0.0702150470543783,0.779794986025544,-1.99169860869226,0.110422835205773
"35","mpd","Spermatophyta","Persistent LGM",-0.0763254102029047,0.933585405483803,0.0993179150009113,0.0213119709359002
"36","mpd","Spermatophyta","Summits",-0.0730444228559874,0.831750747963291,-1.36362405619626,0.0790607696020189
