,      X,      mu,   gamma_0,   gamma_1,    loglik,      df,     conv
Spermatophyta,Mean   :1  ,Mean   :6359  ,Mean   :1137  ,Mean   :0  ,Mean   :-459.5  ,Mean   :2  ,Mean   :0  
Asterales,Mean   :1  ,Mean   :12.45  ,Mean   : 3.031  ,Mean   :0  ,Mean   :-70.03  ,Mean   :2  ,Mean   :0  
Poales,Mean   :1  ,Mean   : 8659.962  ,Mean   :1939.851  ,Mean   :0  ,Mean   :-72.26  ,Mean   :2  ,Mean   :0  
Rosales,Mean   :1  ,Mean   :3368  ,Mean   :970.6  ,Mean   :0  ,Mean   :-39.7  ,Mean   :2  ,Mean   :0  
Lamiales,Mean   :1  ,Mean   :125.836  ,Mean   :21.6517  ,Mean   :0  ,Mean   :-44.69  ,Mean   :2  ,Mean   :0  
Caryophyllales,Mean   :1  ,Mean   : 69.5742  ,Mean   :20.7575  ,Mean   :0  ,Mean   :-38.98  ,Mean   :2  ,Mean   :0  
