"","accepted_name","phylo.tip","input_name","name_class","ncbi_id","GenBank_taxonomy","ITS","trnTLF","rbcL","matK","atpB"
"42","Alliaria_petiolata","Alliaria_petiolata","Alliaria_petiolata","scientific name",126270,"Alliaria_petiolata","NA","371768950","817991626","12002400","NA"
"43","Allium_lineare","Allium_lineare","Allium_lineare","scientific name",165631,"Allium_lineare","291292610","NA","NA","NA","NA"
"44","Allium_oleraceum","Allium_oleraceum","Allium_oleraceum","scientific name",467612,"Allium_oleraceum","256596110","256587886","379133809","385137179","NA"
"45","Allium_schoenoprasum","Allium_schoenoprasum","Allium_schoenoprasum","scientific name",74900,"Allium_schoenoprasum_subsp__latiorifolium","21628464","NA","NA","NA","NA"
"46","Allium_schoenoprasum","Allium_schoenoprasum","Allium_schoenoprasum","scientific name",74900,"Allium_schoenoprasum","NA","537099176","379031483","NA","NA"
"47","Allium_scorodoprasum","Allium_scorodoprasum","Allium_scorodoprasum","scientific name",166823,"Allium_scorodoprasum","21739030","194241427","733452004","733451850","NA"
"48","Allium_senescens","Allium_senescens","Allium_senescens","scientific name",70766,"Allium_senescens_subsp__montanum","40548536","NA","NA","NA","NA"
"49","Allium_senescens","Allium_senescens","Allium_senescens","scientific name",70766,"Allium_senescens","NA","374079070","519670648","357640289","NA"
"50","Allium_ursinum","Allium_ursinum","Allium_ursinum","scientific name",4684,"Allium_ursinum","NA","537099181","379037452","379042324","NA"
"51","Allium_victorialis","Allium_victorialis","Allium_victorialis","scientific name",88845,"Allium_victorialis_var__platyphyllum","NA","NA","313756389","313756606","NA"
"52","Allium_victorialis","Allium_victorialis","Allium_victorialis","scientific name",88845,"Allium_victorialis","NA","537099182","NA","NA","NA"
"53","Alnus_alnobetula","Alnus_alnobetula","Alnus_viridis","synonym",38784,"Alnus_alnobetula_subsp__sinuata","17065872","37720897","33113300","33113276","37729409"
"54","Alnus_glutinosa","Alnus_glutinosa","Alnus_glutinosa","scientific name",3517,"Alnus_glutinosa","269137205","199600239","817991630","661916495","NA"
"55","Alnus_incana","Alnus_incana","Alnus_incana","scientific name",3516,"Alnus_incana","38045344","199600241","297535","661916497","NA"
"56","Alopecurus_myosuroides","Alopecurus_myosuroides","Alopecurus_myosuroides","scientific name",81473,"Alopecurus_myosuroides","855196486","6899872","387912168","387912228","NA"
