"Species,C,254","TAXREF,N,10,0","NUMCBNA,N,10,0","G_SP_SUBSP,C,150","Valid_LIB,C,150"
Crepis_paludosa,93101,0,Crepis paludosa,Crepis_paludosa
Crepis_pontana,611105,0,Crepis pontana,Crepis_pontana
Crepis_pygmaea,93115,0,Crepis pygmaea,Crepis_pygmaea
Crepis_pyrenaica,93116,0,Crepis pyrenaica,Crepis_pyrenaica
Crepis_vesicaria,93157,0,Crepis vesicaria,Crepis_vesicaria
Crocus_vernus,93223,0,Crocus vernus,Crocus_flavus
Cruciata_glabra,93307,0,Cruciata glabra,Cruciata_glabra
Cruciata_laevipes,93308,0,Cruciata laevipes,Cruciata_laevipes
Crupina_vulgaris,93449,0,Crupina vulgaris,Crupina_vulgaris
Cryptogramma_crispa,93469,0,Cryptogramma crispa,Cryptogramma_crispa
Cucubalus_baccifer,123401,0,Cucubalus baccifer,Silene_baccifera
Cuscuta_epilinum,93620,0,Cuscuta epilinum,Cuscuta_epilinum
Cuscuta_epithymum,93621,0,Cuscuta epithymum,Cuscuta_epithymum
Cuscuta_europaea,93623,0,Cuscuta europaea,Cuscuta_europaea
Cuscuta_planiflora,93640,0,Cuscuta planiflora,Cuscuta_planiflora
Cyanus_montanus,93673,0,Cyanus montanus,Cyanus_montanus
Cyanus_segetum,93680,0,Cyanus segetum,Cyanus_segetum
Cynoglossum_officinale,93840,0,Cynoglossum officinale,Cynoglossum_officinale
Cynosurus_cristatus,93860,0,Cynosurus cristatus,Cynosurus_cristatus
Cypripedium_calceolus,94041,0,Cypripedium calceolus,Cypripedium_calceolus
Cystopteris_dickieana,94063,0,Cystopteris dickieana,Cystopteris_dickieana
Cystopteris_fragilis,94066,0,Cystopteris fragilis,Cystopteris_fragilis
Cytisophyllum_sessilifolium,94092,0,Cytisophyllum sessilifolium,Cytisophyllum_sessilifolium
Dactylis_glomerata,94207,0,Dactylis glomerata,Dactylis_glomerata
Dactylorhiza_fuchsii,94257,0,Dactylorhiza fuchsii,Dactylorhiza_fuchsii
Dactylorhiza_incarnata,94259,0,Dactylorhiza incarnata,Dactylorhiza_incarnata
Dactylorhiza_lapponica,133707,0,Dactylorhiza lapponica,Dactylorhiza_traunsteineri_subsp._lapponica
Dactylorhiza_maculata,94266,0,Dactylorhiza maculata,Dactylorhiza_maculata
Dactylorhiza_majalis,94267,0,Dactylorhiza majalis,Dactylorhiza_majalis
Dactylorhiza_sambucina,94279,0,Dactylorhiza sambucina,Dactylorhiza_sambucina
Dactylorhiza_viridis,94289,0,Dactylorhiza viridis,Dactylorhiza_viridis
Danthonia_decumbens,94402,0,Danthonia decumbens,Danthonia_decumbens
Daphne_alpina,94411,0,Daphne alpina,Daphne_alpina
Daphne_cneorum,94423,0,Daphne cneorum,Daphne_cneorum
Daphne_laureola,94432,0,Daphne laureola,Daphne_laureola
Daphne_mezereum,94435,0,Daphne mezereum,Daphne_mezereum
Dasistepha_asclepiadea,0,0,Dasistepha asclepiadea,
Daucus_carota,94503,0,Daucus carota,Daucus_carota
Deschampsia_cespitosa,94626,0,Deschampsia cespitosa,Deschampsia_cespitosa
Deschampsia_flexuosa,85418,0,Deschampsia flexuosa,Avenella_flexuosa
Descurainia_sophia,94645,0,Descurainia sophia,Descurainia_sophia
Descurainia_tanacetifolia,94646,0,Descurainia tanacetifolia,Descurainia_tanacetifolia
Dianthus_carthusianorum,94716,0,Dianthus carthusianorum,Dianthus_carthusianorum
Dianthus_caryophyllus,94717,0,Dianthus caryophyllus,Dianthus_caryophyllus
Dianthus_deltoides,94728,0,Dianthus deltoides,Dianthus_deltoides
Dianthus_hyssopifolius,94765,0,Dianthus hyssopifolius,Dianthus_hyssopifolius
Dianthus_pavonius,94793,0,Dianthus pavonius,Dianthus_pavonius
Diaphyllum_longifolium,87068,0,Diaphyllum longifolium,Bupleurum_longifolium
Digitalis_grandiflora,94942,0,Digitalis grandiflora,Digitalis_grandiflora
Digitalis_lutea,94945,0,Digitalis lutea,Digitalis_lutea
Dioscorea_communis,611652,0,Dioscorea communis,Dioscorea_communis
Dittrichia_graveolens,95186,0,Dittrichia graveolens,Dittrichia_graveolens
Doronicum_grandiflorum,95225,0,Doronicum grandiflorum,Doronicum_grandiflorum
Doronicum_pardalianches,95239,0,Doronicum pardalianches,Doronicum_pardalianches
Dorycnium_pentaphyllum,95279,0,Dorycnium pentaphyllum,Dorycnium_pentaphyllum
Draba_aizoides,95289,0,Draba aizoides,Draba_aizoides
Draba_dubia,95312,0,Draba dubia,Draba_dubia
Draba_fladnizensis,95313,0,Draba fladnizensis,Draba_fladnizensis
Draba_siliquosa,95356,0,Draba siliquosa,Draba_siliquosa
Draba_verna,95372,0,Draba verna,Draba_verna
Dracocephalum_ruyschiana,95407,0,Dracocephalum ruyschiana,Dracocephalum_ruyschiana
Drosera_rotundifolia,95442,0,Drosera rotundifolia,Drosera_rotundifolia
Dryas_octopetala,95461,0,Dryas octopetala,Dryas_octopetala
Dryopteris_dilatata,95563,0,Dryopteris dilatata,Dryopteris_dilatata
Dryopteris_expansa,95566,0,Dryopteris expansa,Dryopteris_expansa
Dryopteris_filix_mas,95567,0,Dryopteris filix mas,Dryopteris_filix-mas
Dryopteris_mindshelkensis,0,0,Dryopteris mindshelkensis,
Echinops_ritro,95709,0,Echinops ritro,Echinops_ritro
Echinops_sphaerocephalus,95713,0,Echinops sphaerocephalus,Echinops_sphaerocephalus
Echium_vulgare,95793,0,Echium vulgare,Echium_vulgare
Edritria_ferruginea,88504,0,Edritria ferruginea,Carex_ferruginea
Eleocharis_macrostachya,134060,0,Eleocharis macrostachya,Eleocharis_palustris_subsp._palustris
Eleocharis_mamillata,95914,0,Eleocharis mamillata,Eleocharis_mamillata
Eleocharis_quinqueflora,95927,0,Eleocharis quinqueflora,Eleocharis_quinqueflora
Eleocharis_uniglumis,95933,0,Eleocharis uniglumis,Eleocharis_uniglumis
Elymus_caninus,95992,0,Elymus caninus,Elymus_caninus
Elymus,192124,0,Elymus,Elymus
Elymus_repens,96046,0,Elymus repens,Elytrigia_repens
Elytrigia_intermedia,96034,0,Elytrigia intermedia,Elytrigia_intermedia
Empetrum_nigrum,96069,0,Empetrum nigrum,Empetrum_nigrum
Epilobium_alpestre,96127,0,Epilobium alpestre,Epilobium_alpestre
Epilobium_alsinifolium,96130,0,Epilobium alsinifolium,Epilobium_alsinifolium
Epilobium_anagallidifolium,96134,0,Epilobium anagallidifolium,Epilobium_anagallidifolium
Epilobium_angustifolium,96136,0,Epilobium angustifolium,Epilobium_angustifolium
Epilobium_collinum,96150,0,Epilobium collinum,Epilobium_collinum
Epilobium_hirsutum,96180,0,Epilobium hirsutum,Epilobium_hirsutum
Epilobium_palustre,96226,0,Epilobium palustre,Epilobium_palustre
Epilobium_parviflorum,96229,0,Epilobium parviflorum,Epilobium_parviflorum
Epipactis_atrorubens,96432,0,Epipactis atrorubens,Epipactis_atrorubens
Epipactis_helleborine,96447,0,Epipactis helleborine,Epipactis_helleborine
Epipactis_palustris,96465,0,Epipactis palustris,Epipactis_palustris
Epipogium_aphyllum,96499,0,Epipogium aphyllum,Epipogium_aphyllum
Equisetum_arvense,96508,0,Equisetum arvense,Equisetum_arvense
Equisetum_fluviatile,96546,0,Equisetum fluviatile,Equisetum_telmateia
Equisetum_hyemale,96523,0,Equisetum hyemale,Equisetum_hyemale
Equisetum,192258,0,Equisetum,Equisetum
Equisetum_palustre,96534,0,Equisetum palustre,Equisetum_palustre
Equisetum_variegatum,762284,0,Equisetum variegatum,Equisetum_variegatum
Erigeron_acer,611688,0,Erigeron acer,Erigeron_acris
Erigeron_acris,611688,0,Erigeron acris,Erigeron_acris
Erigeron_annuus,96739,0,Erigeron annuus,Erigeron_annuus
Erigeron_gaudinii,96805,0,Erigeron gaudinii,Erigeron_schleicheri
Erigeron_glabratus,96761,0,Erigeron glabratus,Erigeron_glabratus
Erigeron,192282,0,Erigeron,Erigeron
Erigeron_neglectus,96790,0,Erigeron neglectus,Erigeron_neglectus
Erigeron_uniflorus,96816,0,Erigeron uniflorus,Erigeron_uniflorus
Erinus_alpinus,96834,0,Erinus alpinus,Erinus_alpinus
Eriophorum_angustifolium,96844,0,Eriophorum angustifolium,Eriophorum_angustifolium
Eriophorum_latifolium,96852,0,Eriophorum latifolium,Eriophorum_latifolium
Eriophorum_scheuchzeri,96859,0,Eriophorum scheuchzeri,Eriophorum_scheuchzeri
Eritrichium_nanum,96872,0,Eritrichium nanum,Eritrichium_nanum
Erodium_cicutarium,96895,0,Erodium cicutarium,Erodium_cicutarium
Erucastrum_nasturtiifolium,97072,0,Erucastrum nasturtiifolium,Erucastrum_nasturtiifolium
Eryngium_alpinum,97133,0,Eryngium alpinum,Eryngium_alpinum
Eryngium_campestre,97141,0,Eryngium campestre,Eryngium_campestre
Erysimum_jugicola,97222,0,Erysimum jugicola,Erysimum_jugicola
Erysimum_nevadense,159654,0,Erysimum nevadense,Erysimum_nevadense
Erysimum_ochroleucum,134301,0,Erysimum ochroleucum,Erysimum_duriaei_subsp._pyrenaicum
Erysimum_rhaeticum,97258,0,Erysimum rhaeticum,Erysimum_rhaeticum
Erysimum_virgatum,97277,0,Erysimum virgatum,Erysimum_virgatum
Euonymus_europaeus,609982,0,Euonymus europaeus,Euonymus_europaeus
Euonymus_latifolius,609983,0,Euonymus latifolius,Euonymus_latifolius
Eupatorium_cannabinum,97434,0,Eupatorium cannabinum,Eupatorium_cannabinum
Euphorbia_brittingeri,134387,0,Euphorbia brittingeri,Euphorbia_flavicoma_subsp._verrucosa
Euphorbia_cyparissias,97490,0,Euphorbia cyparissias,Euphorbia_cyparissias
Euphorbia_exigua,97511,0,Euphorbia exigua,Euphorbia_exigua
Euphorbia_helioscopia,97537,0,Euphorbia helioscopia,Euphorbia_helioscopia
Euphrasia_alpina,97725,0,Euphrasia alpina,Euphrasia_alpina
Euphrasia_drosocalyx,153160,0,Euphrasia drosocalyx,Euphrasia_minima_f._drosocalyx
Euphrasia_hirtella,97759,0,Euphrasia hirtella,Euphrasia_hirtella
Euphrasia_kerneri,134460,0,Euphrasia kerneri,Euphrasia_picta_subsp._kerneri
Euphrasia_minima,97772,0,Euphrasia minima,Euphrasia_minima
Euphrasia_pectinata,97784,0,Euphrasia pectinata,Euphrasia_pectinata
Euphrasia_salisburgensis,97804,0,Euphrasia salisburgensis,Euphrasia_salisburgensis
Euphrasia_stricta,97811,0,Euphrasia stricta,Euphrasia_stricta
Fagus_sylvatica,97947,0,Fagus sylvatica,Fagus_sylvatica
Fallopia_convolvulus,97962,0,Fallopia convolvulus,Fallopia_convolvulus
Fallopia_japonica,117503,0,Fallopia japonica,Reynoutria_japonica
Festuca_acuminata,98039,0,Festuca acuminata,Festuca_acuminata
Festuca_altissima,95463,0,Festuca altissima,Drymochloa_sylvatica
Festuca_arundinacea,717533,0,Festuca arundinacea,Schedonorus_arundinaceus
Festuca_chalcophaea,0,0,Festuca chalcophaea,
Festuca_flavescens,98232,0,Festuca flavescens,Festuca_flavescens
Festuca_gigantea,121471,0,Festuca gigantea,Schedonorus_giganteus
Festuca_halleri,98272,0,Festuca halleri,Festuca_halleri
Festuca_heterophylla,98280,0,Festuca heterophylla,Festuca_heterophylla
Festuca_laevigata,134548,0,Festuca laevigata,Festuca_laevigata_subsp._laevigata
Festuca_melanopsis,98370,0,Festuca melanopsis,Festuca_melanopsis
Festuca_ovina,98425,0,Festuca ovina,Festuca_ovina
Festuca_pratensis,121479,0,Festuca pratensis,Schedonorus_pratensis
Festuca_quadriflora,98477,0,Festuca quadriflora,Festuca_pumila
Festuca_rubra,98512,0,Festuca rubra,Festuca_rubra
Festuca_valesiaca,98596,0,Festuca valesiaca,Festuca_valesiaca
Filago_arvensis,98669,0,Filago arvensis,Filago_arvensis
Filipendula_ulmaria,98717,0,Filipendula ulmaria,Filipendula_ulmaria
Filipendula_vulgaris,98718,0,Filipendula vulgaris,Filipendula_vulgaris
Fourraea_alpina,98787,0,Fourraea alpina,Fourraea_alpina
Fragaria_vesca,98865,0,Fragaria vesca,Fragaria_vesca
Frangula,192619,0,Frangula,Frangula
Fraxinus_excelsior,98921,0,Fraxinus excelsior,Fraxinus_excelsior
Fumana_procumbens,99028,0,Fumana procumbens,Fumana_procumbens
Gagea_liotardii,99180,0,Gagea liotardii,Gagea_fragifera
Gagea_nakaiana,0,0,Gagea nakaiana,
Galeopsis_ladanum,99305,0,Galeopsis ladanum,Galeopsis_ladanum
Galeopsis_tetrahit,99334,0,Galeopsis tetrahit,Galeopsis_tetrahit
Galium_aparine,99373,0,Galium aparine,Galium_aparine
Galium_boreale,99390,0,Galium boreale,Galium_boreale
Galium_commune,99402,0,Galium commune,
Galium_corrudifolium,99406,0,Galium corrudifolium,Galium_corrudifolium
Galium_glaucum,99429,0,Galium glaucum,Galium_glaucum
Galium_lucidum,99457,0,Galium lucidum,Galium_lucidum
Galium_megalospermum,99465,0,Galium megalospermum,Galium_megalospermum
Galium_mollugo,99473,0,Galium mollugo,Galium_mollugo
Galium_odoratum,99488,0,Galium odoratum,Galium_odoratum
Galium_palustre,99494,0,Galium palustre,Galium_palustre
Galium_pseudohelveticum,99507,0,Galium pseudohelveticum,Galium_pseudohelveticum
Galium_pumilum,99511,0,Galium pumilum,Galium_pumilum
Galium_rotundifolium,99518,0,Galium rotundifolium,Galium_rotundifolium
Galium_rubrum,84319,0,Galium rubrum,Asperula_purpurea
Galium_sylvaticum,99552,0,Galium sylvaticum,Galium_sylvaticum
Galium_verum,99582,0,Galium verum,Galium_verum
Gamochaeta_norvegica,0,0,Gamochaeta norvegica,
Gamochaeta_sylvatica,100516,0,Gamochaeta sylvatica,Gnaphalium_sylvaticum
Genista_cinerea,99735,0,Genista cinerea,Genista_cinerea
Genista_pilosa,99798,0,Genista pilosa,Genista_pilosa
Genistella_sagittalis,99810,0,Genistella sagittalis,Genista_sagittalis
Gentiana_acaulis,99854,0,Gentiana acaulis,Gentiana_acaulis
Gentiana_cruciata,99881,0,Gentiana cruciata,Gentiana_cruciata
Gentiana_nivalis,99910,0,Gentiana nivalis,Gentiana_nivalis
Gentiana_pneumonanthe,99922,0,Gentiana pneumonanthe,Gentiana_pneumonanthe
Gentiana_verna,99953,0,Gentiana verna,Gentiana_verna
Gentianella_campestris,99982,0,Gentianella campestris,Gentianella_campestris
Gentianella_tenella,92220,0,Gentianella tenella,Comastoma_tenellum
Gentianopsis_ciliata,99994,0,Gentianopsis ciliata,Gentianopsis_ciliata
Gentianusa_lutea,99903,0,Gentianusa lutea,Gentiana_lutea
Gentianusa_punctata,99928,0,Gentianusa punctata,Gentiana_punctata
Geranium_argenteum,100024,0,Geranium argenteum,Geranium_argenteum
Geranium_columbinum,100045,0,Geranium columbinum,Geranium_columbinum
Geranium_lucidum,100085,0,Geranium lucidum,Geranium_lucidum
Geranium_molle,100133,0,Geranium molle,Geranium_pusillum
Geranium_nodosum,100109,0,Geranium nodosum,Geranium_nodosum
Geranium_phaeum,100120,0,Geranium phaeum,Geranium_phaeum
Geranium_pyrenaicum,100136,0,Geranium pyrenaicum,Geranium_pyrenaicum
Geranium_rivulare,100141,0,Geranium rivulare,Geranium_rivulare
Geranium_robertianum,100142,0,Geranium robertianum,Geranium_robertianum
Geranium_rotundifolium,100144,0,Geranium rotundifolium,Geranium_rotundifolium
Geranium_sanguineum,100149,0,Geranium sanguineum,Geranium_sanguineum
Geranium_sylvaticum,100160,0,Geranium sylvaticum,Geranium_sylvaticum
Geum_reptans,100214,0,Geum reptans,Geum_reptans
Geum_rivale,100215,0,Geum rivale,Geum_rivale
Geum_urbanum,100225,0,Geum urbanum,Geum_urbanum
Glechoma_hederacea,100310,0,Glechoma hederacea,Glechoma_hederacea
Glechoma_nepetella,109533,0,Glechoma nepetella,Nepeta_nepetella
Globularia_bisnagarica,100338,0,Globularia bisnagarica,Globularia_bisnagarica
Globularia_cordifolia,100340,0,Globularia cordifolia,Globularia_cordifolia
Glyceria_fluitans,100387,0,Glyceria fluitans,Glyceria_fluitans
Glyceria_notata,100398,0,Glyceria notata,Glyceria_notata
Gnaphalium_hoppeanum,100470,0,Gnaphalium hoppeanum,Gnaphalium_hoppeanum
Gnaphalium_supinum,100515,0,Gnaphalium supinum,Gnaphalium_supinum
Goodyera_repens,100551,0,Goodyera repens,Goodyera_repens
Gymnadenia_conopsea,100607,0,Gymnadenia conopsea,Gymnadenia_conopsea
Gymnadenia_nigra,100613,0,Gymnadenia nigra,Gymnadenia_nigra
Gymnocarpium_dryopteris,100636,0,Gymnocarpium dryopteris,Gymnocarpium_dryopteris
Gymnocarpium_robertianum,100640,0,Gymnocarpium robertianum,Gymnocarpium_robertianum
Gypsophila_repens,100686,0,Gypsophila repens,Gypsophila_repens
Hedera_helix,100787,0,Hedera helix,Hedera_helix
Hedysarum_hedysaroides,100839,0,Hedysarum hedysaroides,Hedysarum_hedysaroides
Helianthemum_apenninum,100896,0,Helianthemum apenninum,Helianthemum_apenninum
Helianthemum_grandiflorum,100925,0,Helianthemum grandiflorum,Helianthemum_grandiflorum
Helianthemum_nummularium,100956,0,Helianthemum nummularium,Helianthemum_nummularium
Helianthemum_oelandicum,100936,0,Helianthemum oelandicum,Helianthemum_italicum
Helictotrichon_pratense,717224,0,Helictotrichon pratense,Helictochloa_pratensis
Helictotrichon_pubescens,85439,0,Helictotrichon pubescens,Avenula_pubescens
Helictotrichon_sedenense,101121,0,Helictotrichon sedenense,Helictotrichon_sedenense
Helictotrichon_sempervirens,101122,0,Helictotrichon sempervirens,Helictotrichon_sempervirens
Helictotrichon_versicolor,717225,0,Helictotrichon versicolor,Helictochloa_versicolor
Helleborus_foetidus,101188,0,Helleborus foetidus,Helleborus_foetidus
Hepatica_nobilis,82620,0,Hepatica nobilis,Anemone_hepatica
Heracleum_sphondylium,101300,0,Heracleum sphondylium,Heracleum_sphondylium
Herniaria_alpina,101394,0,Herniaria alpina,Herniaria_alpina
Herniaria_hirsuta,101412,0,Herniaria hirsuta,Herniaria_hirsuta
Herniaria_incana,101414,0,Herniaria incana,Herniaria_incana
Herorchis_morio,82285,0,Herorchis morio,Anacamptis_morio
Hieracium_alpinum,101610,0,Hieracium alpinum,Hieracium_alpinum
Hieracium_amplexicaule,101617,0,Hieracium amplexicaule,Hieracium_amplexicaule
Hieracium_antarcticum,0,0,Hieracium antarcticum,
Hieracium_argillaceum,101641,0,Hieracium argillaceum,Hieracium_argillaceum
Hieracium_aurantiacum,113508,0,Hieracium aurantiacum,Pilosella_aurantiaca
Hieracium_bifidum,101711,0,Hieracium bifidum,Hieracium_bifidum
Hieracium_cymosum,113515,0,Hieracium cymosum,Pilosella_cymosa
Hieracium_diaphanoides,101901,0,Hieracium diaphanoides,Hieracium_diaphanoides
Hieracium_glaucinum,102017,0,Hieracium glaucinum,Hieracium_glaucinum
Hieracium_intybaceum,102078,0,Hieracium intybaceum,Hieracium_intybaceum
Hieracium_inuloides,102083,0,Hieracium inuloides,
Hieracium_juranum,161684,0,Hieracium juranum,Hieracium_jurassicum
Hieracium_lachenalii,102106,0,Hieracium lachenalii,Hieracium_lachenalii
Hieracium_lactucella,113522,0,Hieracium lactucella,Pilosella_lactucella
Hieracium_lawsonii,102139,0,Hieracium lawsonii,Hieracium_lawsonii
Hieracium_murorum,102235,0,Hieracium murorum,Hieracium_murorum
Hieracium,193276,0,Hieracium,Hieracium
Hieracium_niphobium,717378,0,Hieracium niphobium,Pilosella_corymbuloides
Hieracium_piliferum,102350,0,Hieracium piliferum,Hieracium_piliferum
Hieracium_pilosella,113525,0,Hieracium pilosella,Pilosella_officinarum
Hieracium_piloselloides,113529,0,Hieracium piloselloides,Pilosella_piloselloides
Hieracium_pilosum,102356,0,Hieracium pilosum,
Hieracium_praealtum,718274,0,Hieracium praealtum,Pilosella_piloselloides_subsp._praealta
Hieracium_prenanthoides,102392,0,Hieracium prenanthoides,Hieracium_prenanthoides
Hieracium_sabaudum,102483,0,Hieracium sabaudum,Hieracium_sabaudum
Hieracium_schmidtii,102515,0,Hieracium schmidtii,Hieracium_schmidtii
Hieracium_umbellatum,102671,0,Hieracium umbellatum,Hieracium_umbellatum
Hieracium_umbrosum,102674,0,Hieracium umbrosum,Hieracium_umbrosum
Hieracium_valdepilosum,102680,0,Hieracium valdepilosum,Hieracium_valdepilosum
Hieracium_villosum,102701,0,Hieracium villosum,Hieracium_villosum
Himantoglossum_hircinum,102797,0,Himantoglossum hircinum,Himantoglossum_hircinum
Hippocrepis_comosa,102842,0,Hippocrepis comosa,Hippocrepis_comosa
Hippocrepis_emerus,102845,0,Hippocrepis emerus,Hippocrepis_emerus
Hippophae_rhamnoides,102863,0,Hippophae rhamnoides,Hippophae_rhamnoides
Holcus_lanatus,102900,0,Holcus lanatus,Holcus_lanatus
Holosteum_umbellatum,102921,0,Holosteum umbellatum,Holosteum_umbellatum
Homogyne_alpina,102925,0,Homogyne alpina,Homogyne_alpina
Hordelymus_europaeus,102934,0,Hordelymus europaeus,Hordelymus_europaeus
Hordeum_marinum,102968,0,Hordeum marinum,Hordeum_marinum
Hornungia_alpina,103018,0,Hornungia alpina,Hornungia_alpina
Humulus_lupulus,103031,0,Humulus lupulus,Humulus_lupulus
Huperzia_selago,103034,0,Huperzia selago,Huperzia_selago
Hylotelephium,606916,0,Hylotelephium,Hylotelephium
Hylotelephium_telephium,103162,0,Hylotelephium telephium,Hylotelephium_telephium
Hyoscyamus_niger,103185,0,Hyoscyamus niger,Hyoscyamus_niger
Hypericum_hirsutum,103287,0,Hypericum hirsutum,Hypericum_hirsutum
Hypericum_maculatum,103298,0,Hypericum maculatum,Hypericum_maculatum
Hypericum_montanum,103301,0,Hypericum montanum,Hypericum_montanum
Hypericum_perforatum,103316,0,Hypericum perforatum,Hypericum_perforatum
Hypericum_richeri,103324,0,Hypericum richeri,Hypericum_richeri
Hypochaeris_maculata,103369,0,Hypochaeris maculata,Hypochaeris_maculata
Hypochaeris_radicata,103375,0,Hypochaeris radicata,Hypochaeris_radicata
Hyssopus_officinalis,103406,0,Hyssopus officinalis,Hyssopus_officinalis
Iberis_pinnata,103478,0,Iberis pinnata,Iberis_pinnata
Ilex_aquifolium,103514,0,Ilex aquifolium,Ilex_aquifolium
Impatiens_glandulifera,103547,0,Impatiens glandulifera,Impatiens_glandulifera
Imperatoria_ostruthium,103578,0,Imperatoria ostruthium,Imperatoria_ostruthium
Inula_conyza,103608,0,Inula conyza,Inula_conyza
Inula_montana,103639,0,Inula montana,Inula_montana
Isatis_tinctoria,103817,0,Isatis tinctoria,Isatis_tinctoria
Ixoca_pusilla,101131,0,Ixoca pusilla,Heliosperma_pusillum
Jacobaea_incana,610642,0,Jacobaea incana,Jacobaea_incana
Jasione_montana,104022,0,Jasione montana,Jasione_montana
Jonorchis_abortiva,106026,0,Jonorchis abortiva,Limodorum_abortivum
Juglans_nigra,104074,0,Juglans nigra,Juglans_nigra
Juglans_regia,104076,0,Juglans regia,Juglans_regia
Juncus_alpinoarticulatus,104111,0,Juncus alpinoarticulatus,Juncus_alpinoarticulatus
Juncus_arcticus,104123,0,Juncus arcticus,Juncus_arcticus
Juncus_articulatus,104126,0,Juncus articulatus,Juncus_articulatus
Juncus_bufonius,104144,0,Juncus bufonius,Juncus_bufonius
Juncus_compressus,104155,0,Juncus compressus,Juncus_compressus
Juncus_effusus,104173,0,Juncus effusus,Juncus_effusus
Juncus_filiformis,104183,0,Juncus filiformis,Juncus_filiformis
Juncus_inflexus,104214,0,Juncus inflexus,Juncus_inflexus
Juncus_jacquini,104221,0,Juncus jacquini,Juncus_jacquinii
Juncus_trifidus,104362,0,Juncus trifidus,Juncus_trifidus
Juncus_triglumis,104363,0,Juncus triglumis,Juncus_triglumis
Juniperus_communis,104397,0,Juniperus communis,Juniperus_communis
Juniperus_sabina,104413,0,Juniperus sabina,Juniperus_sabina
Juniperus_sibirica,136974,0,Juniperus sibirica,Juniperus_communis_subsp._nana
Kernera_saxatilis,104488,0,Kernera saxatilis,Kernera_saxatilis
Knautia_arvensis,104516,0,Knautia arvensis,Knautia_arvensis
Knautia_dipsacifolia,104528,0,Knautia dipsacifolia,Knautia_dipsacifolia
Knautia,193734,0,Knautia,Knautia
Kobresia_curvula,0,0,Kobresia curvula,
Kobresia_myosuroides,88708,0,Kobresia myosuroides,Carex_myosuroides
Koeleria_cenisia,104613,0,Koeleria cenisia,Koeleria_cenisia
Koeleria_pyramidata,104665,0,Koeleria pyramidata,Koeleria_pyramidata
Koeleria_vallesiana,104680,0,Koeleria vallesiana,Koeleria_vallesiana
Laburnum_alpinum,104715,0,Laburnum alpinum,Laburnum_alpinum
Laburnum_anagyroides,104716,0,Laburnum anagyroides,Laburnum_anagyroides
Lactuca_alpina,104734,0,Lactuca alpina,Lactuca_alpina
Lactuca_muralis,610995,0,Lactuca muralis,Lactuca_muralis
Lactuca_perennis,104764,0,Lactuca perennis,Lactuca_perennis
Lactuca_serriola,104775,0,Lactuca serriola,Lactuca_serriola
Lamium_amplexicaule,104855,0,Lamium amplexicaule,Lamium_amplexicaule
Lamium_garganicum,104877,0,Lamium garganicum,Lamium_garganicum
Lamium_maculatum,104889,0,Lamium maculatum,Lamium_maculatum
Lamium_purpureum,104903,0,Lamium purpureum,Lamium_purpureum
Lappula_squarrosa,105010,0,Lappula squarrosa,Lappula_squarrosa
Lapsana_communis,105017,0,Lapsana communis,Lapsana_communis
Larix_decidua,105042,0,Larix decidua,Larix_decidua
Laserpitium_gallicum,105071,0,Laserpitium gallicum,Laserpitium_gallicum
Laserpitium_halleri,105074,0,Laserpitium halleri,Laserpitium_halleri
Laserpitium_latifolium,105076,0,Laserpitium latifolium,Laserpitium_latifolium
Laserpitium_siler,105092,0,Laserpitium siler,Laserpitium_siler
Lathyrus_latifolius,105211,0,Lathyrus latifolius,Lathyrus_latifolius
Lathyrus_linifolius,105214,0,Lathyrus linifolius,Lathyrus_linifolius
Lathyrus_ochraceus,611009,0,Lathyrus ochraceus,Lathyrus_ochraceus
Lathyrus_pratensis,105247,0,Lathyrus pratensis,Lathyrus_pratensis
Lathyrus_sphaericus,105261,0,Lathyrus sphaericus,Lathyrus_sphaericus
Lathyrus_sylvestris,105266,0,Lathyrus sylvestris,Lathyrus_sylvestris
Lathyrus_vernus,105280,0,Lathyrus vernus,Lathyrus_vernus
Lavandula_angustifolia,105297,0,Lavandula angustifolia,Lavandula_angustifolia
Leontodon_autumnalis,121988,0,Leontodon autumnalis,Scorzoneroides_autumnalis
Leontodon_crispus,105490,0,Leontodon crispus,Leontodon_crispus
Leontodon_hirtus,105500,0,Leontodon hirtus,Leontodon_hirtus
Leontodon_hispidus,105502,0,Leontodon hispidus,Leontodon_hispidus
Leontodon,193954,0,Leontodon,Leontodon
Leontodon_pyrenaicus,611356,0,Leontodon pyrenaicus,Scorzoneroides_pyrenaica
Leontopodium_brachyactis,0,0,Leontopodium brachyactis,
Leontopodium,193955,0,Leontopodium,Leontopodium
Lerouxia_nemorum,107072,0,Lerouxia nemorum,Lysimachia_nemorum
Leucanthemopsis_alpina,105765,0,Leucanthemopsis alpina,Leucanthemopsis_alpina
Leucanthemum_adustum,105768,0,Leucanthemum adustum,Leucanthemum_adustum
Leucanthemum_atratum,105772,0,Leucanthemum atratum,
Leucanthemum,194069,0,Leucanthemum,Leucanthemum
Leucanthemum_pallens,105807,0,Leucanthemum pallens,Leucanthemum_pallens
Leucanthemum_vulgare,105817,0,Leucanthemum vulgare,Leucanthemum_vulgare
Ligustrum_vulgare,105966,0,Ligustrum vulgare,Ligustrum_vulgare
Lilium_bulbiferum,105979,0,Lilium bulbiferum,Lilium_bulbiferum
Lilium_martagon,105989,0,Lilium martagon,Lilium_martagon
Limodorum_rubrum,89928,0,Limodorum rubrum,Cephalanthera_rubra
