"Species,C,254","TAXREF,N,10,0","NUMCBNA,N,10,0","G_SP_SUBSP,C,150","Valid_LIB,C,150"
Anthriscus_sylvestris,82952,0,Anthriscus sylvestris,Anthriscus_sylvestris
Anthyllis_montana,82985,0,Anthyllis montana,Anthyllis_montana
Anthyllis_vulneraria,82999,0,Anthyllis vulneraria,Anthyllis_vulneraria
Antirrhinum_majus,83058,0,Antirrhinum majus,Antirrhinum_majus
Aquilegia_vulgaris,83267,0,Aquilegia vulgaris,Aquilegia_vulgaris
Arabidopsis_thaliana,83272,0,Arabidopsis thaliana,Arabidopsis_thaliana
Arabis_allionii,83276,0,Arabis allionii,Arabis_allionii
Arabis_alpina,83299,0,Arabis alpina,Arabis_caucasica
Arabis_auriculata,83285,0,Arabis auriculata,Arabis_auriculata
Arabis_caerulea,83296,0,Arabis caerulea,Arabis_caerulea
Arabis_ciliata,83303,0,Arabis ciliata,Arabis_ciliata
Arabis_collina,83306,0,Arabis collina,Arabis_collina
Arabis_hirsuta,143719,0,Arabis hirsuta,Arabis_ciliata_var._hirsuta
Arabis_nova,83359,0,Arabis nova,Arabis_nova
Arabis_sagittata,83398,0,Arabis sagittata,Arabis_sagittata
Arabis_soyeri,83409,0,Arabis soyeri,Arabis_soyeri
Arctium_minus,83502,0,Arctium minus,Arctium_minus
Arctium_nemorosum,83503,0,Arctium nemorosum,Arctium_nemorosum
Arctostaphylos_uva_ursi,83528,0,Arctostaphylos uva ursi,Arctostaphylos_uva-ursi
Arenaria_gothica,83582,0,Arenaria gothica,Arenaria_gothica
Arenaria_serpyllifolia,83653,0,Arenaria serpyllifolia,Arenaria_serpyllifolia
Aretia_pubescens,82529,0,Aretia pubescens,Androsace_pubescens
Armeria_alpina,83808,0,Armeria alpina,Armeria_alpina
Armeria_arenaria,83809,0,Armeria arenaria,Armeria_arenaria
Arnica_montana,83874,0,Arnica montana,Arnica_montana
Arrhenatherum_elatius,83912,0,Arrhenatherum elatius,Arrhenatherum_elatius
Arrhenatherum_parlatorei,101114,0,Arrhenatherum parlatorei,Helictotrichon_parlatorei
Artemisia_absinthium,83933,0,Artemisia absinthium,Artemisia_absinthium
Artemisia_alba,83934,0,Artemisia alba,Artemisia_alba
Artemisia_atrata,83945,0,Artemisia atrata,Artemisia_atrata
Artemisia_campestris,83953,0,Artemisia campestris,Artemisia_campestris
Artemisia_genipi,83973,0,Artemisia genipi,Artemisia_genipi
Artemisia_umbelliformis,84053,0,Artemisia umbelliformis,Artemisia_umbelliformis
Artemisia_vulgaris,84061,0,Artemisia vulgaris,Artemisia_vulgaris
Arum_maculatum,84112,0,Arum maculatum,Arum_maculatum
Aruncus_dioicus,84135,0,Aruncus dioicus,Aruncus_dioicus
Asarum_europaeum,84230,0,Asarum europaeum,Asarum_europaeum
Asparagus_tenuifolius,84286,0,Asparagus tenuifolius,Asparagus_tenuifolius
Asperugo_procumbens,84290,0,Asperugo procumbens,Asperugo_procumbens
Asperula_cynanchica,84306,0,Asperula cynanchica,Asperula_cynanchica
Asphodelus_albus,84338,0,Asphodelus albus,Asphodelus_albus
Asphodelus_macrocarpus,84362,0,Asphodelus macrocarpus,Asphodelus_macrocarpus
