"","pezalps.TNRS$phy$tip.label","rep(1, length(pezalps.TNRS$phy$tip.label))","Valid_LIB.C.150","endemic.TNRS","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"1359","Cystopteris_dickieana",NA,"Cystopteris_dickieana","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1360","Juniperus_sibirica",NA,"Juniperus_communis_subsp._nana","0",1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
"1361","Erigeron_neglectus",NA,"Erigeron_neglectus","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1362","Lerouxia_nemorum",NA,"Lysimachia_nemorum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1363","Plantago_neumannii",NA,"","0",1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
"1364","Compl_ment_flore",NA,"","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1365","Minuartia_oreina",NA,"","0",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1366","Rapunculus_hemisphaericus",NA,"Phyteuma_hemisphaericum","0",1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1
"1367","Oxalis_fontana",NA,"Oxalis_fontana","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1368","Triglochin_palustre",NA,"Triglochin_palustris","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1369","Glechoma_nepetella",NA,"Nepeta_nepetella","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1370","Orchites_globosa",NA,"Traunsteinera_globosa","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1371","Minuartia_villarii",NA,"Minuartia_villarii","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1372","Trifolium_saxatile",NA,"Trifolium_saxatile","1",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1373","Taraxacum_lapponicum",NA,"","0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1374","Erigeron_gaudinii",NA,"Erigeron_schleicheri","0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1375","Taraxacum_montanum",NA,"","1",1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
"1376","Gymnocarpium_robertianum",NA,"Gymnocarpium_robertianum","0",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
