"","Row.names","Valid_LIB.C.150","endemic.TNRS","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"1","Abies_alba","Abies_alba","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Acer_campestre","Acer_campestre","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Acer_monspessulanum","Acer_monspessulanum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Acer_opalus","Acer_opalus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Acer_platanoides","Acer_platanoides","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Acer_pseudoplatanus","Acer_pseudoplatanus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Achillea_distans","Achillea_distans","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Achillea_millefolium","Achillea_millefolium","0",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"9","Achillea_nobilis","Achillea_nobilis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Achillea_roseo","Achillea_roseo-alba","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Achnatherum_calamagrostis","Achnatherum_calamagrostis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Acinos_alpinus","Clinopodium_alpinum","0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"13","Aconitum_anthora","Aconitum_anthora","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Aconitum_laeve","","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Aconitum_variegatum","Aconitum_variegatum","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Actaea_spicata","Actaea_spicata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Adenostyles_alliariae","Adenostyles_alliariae","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Adenostyles_alpina","Adenostyles_alpina","0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"19","Adenostyles_leucophylla","Adenostyles_leucophylla","1",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"20","Adonis_aestivalis","Adonis_aestivalis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Adoxa_moschatellina","Adoxa_moschatellina","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Aegopodium_podagraria","Aegopodium_podagraria","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Aethionema_saxatile","Aethionema_saxatile","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Aethusa_cynapium","Aethusa_cynapium","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Agrestis_alpina","Agrostis_alpina","0",1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1
"26","Agrestis_rupestris","Agrostis_rupestris","0",1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1
"27","Agrimonia_eupatoria","Agrimonia_eupatoria","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Agrostis_agrostiflora","Agrostis_schraderiana","0",1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"29","Agrostis_capillaris","Agrostis_capillaris","0",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"30","Agrostis_stolonifera","Agrostis_stolonifera","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Ajuga_chamaepitys","Ajuga_chamaepitys","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Ajuga_genevensis","Ajuga_genevensis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Ajuga_pyramidalis","Ajuga_pyramidalis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Ajuga_reptans","Ajuga_reptans","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Alchemilla_alpina","Alchemilla_alpina","0",1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1
"36","Alchemilla_baltica","","0",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"37","Alchemilla_conjuncta","Alchemilla_conjuncta","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Alchemilla_connivens","Alchemilla_connivens","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Alchemilla_fissa","Alchemilla_fissa","0",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"40","Alchemilla_flabellata","Alchemilla_flabellata","0",1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
"41","Alchemilla_glabra","Alchemilla_glabra","0",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"42","Alchemilla_glaucescens","Alchemilla_glaucescens","0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"43","Alchemilla_gracilis","Alchemilla_monticola","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Alchemilla_incisa","Alchemilla_incisa","0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"45","Alchemilla_monticola","Alchemilla_monticola","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Alchemilla_pentaphyllea","Alchemilla_pentaphyllea","0",1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"47","Alchemilla_plicata","Alchemilla_plicata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Alchemilla_saxatilis","Alchemilla_saxatilis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
