"","taxized","persistant","underIce","n","aiguille du plat de la selle","barre des Ecrins","brèche de valsenestre","brèche du râteau","la meije","le râteau","le sirac","les rouies","l'olan","mont pelvoux","occidentale l'ailefroide","pic du clapier du peyron","pic ouest (le rateau)","pointe brevoort","pointes de burlan","rocher de la selle","signal du lauvitel","tour choisy","tête de la muraillette"
"26","Arabis alpina","18","1",33,"0","0","0","0","3","1","1","2","1","0","0","5","0","0","0","3","3","0","0"
"27","Aretia pubescens","14","3",18,"1","2","0","0","4","0","1","2","0","0","1","0","0","2","0","1","0","3","0"
"28","Armeria alpina","30","0",36,"0","0","1","0","0","0","0","0","1","0","0","6","0","0","0","15","5","0","2"
"29","Artemisia genipi","2","1",9,"0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0"
"30","Artemisia umbelliformis","6","3",57,"0","0","0","0","2","1","0","6","2","0","1","6","0","3","1","8","4","3","2"
"31","Asplenium adiantum-nigrum","0","1",5,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Asplenium septentrionale","1","0",38,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"33","Asplenium trichomanes","1","1",38,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Asplenium viride","2","0",11,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"35","Aster alpinus","6","0",48,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","2"
"36","Astragalus alpinus","3","0",12,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1"
"37","Astragalus australis","2","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"38","Astrantia major","0","1",103,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"39","Athamanta cretensis","4","0",19,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0"
"40","Atocion rupestre","10","0",68,"0","0","1","0","1","0","2","0","0","0","0","0","0","0","0","5","1","0","0"
"41","Bartsia alpina","0","1",61,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0"
"42","Berardia subacaulis","3","0",4,"0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0"
"43","Bistorta vivipara","15","2",0,"0","0","0","0","0","0","1","0","1","0","2","2","0","0","0","4","3","0","4"
"44","Botrychium lunaria","9","0",61,"0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","5","1","0","0"
"45","Bupleurum stellatum","5","0",36,"0","0","0","0","0","0","1","0","2","1","0","0","0","0","0","1","0","0","0"
"46","Cacalia alliariae","1","0",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"47","Cacalia alpina","1","0",0,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"48","Cacalia leucophylla","18","12",0,"2","2","0","4","2","3","0","6","1","0","1","3","1","0","1","2","1","0","1"
"49","Calathiana brachyphylla","11","0",24,"0","0","0","0","0","0","0","0","2","0","0","4","0","0","0","1","3","0","1"
"50","Callianthemum coriandrifolium","1","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"51","Campanula cenisia","16","1",17,"0","0","0","0","0","0","3","3","0","0","0","7","0","0","1","1","0","0","2"
"52","Campanula linifolia","24","7",116,"1","1","1","1","3","3","3","1","0","0","2","1","0","0","2","8","4","0","0"
"53","Campanula rhomboidalis","1","0",93,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"54","Campanula rotundifolia","20","5",194,"0","0","0","1","1","3","3","3","0","0","0","0","0","0","3","8","2","0","1"
