"","taxized","n"
"937","Poa cenisia",61
"938","Poa chaixii",27
"939","Poa glauca",2
"940","Poa laxa",41
"941","Poa nemoralis",105
"942","Poa perconcinna",5
"943","Poa pratensis",62
"944","Poa supina",16
"945","Poa trivialis",19
"946","Polichia galeobdolon",6
"947","Polycnemum majus",1
"948","Polygala alpestris",21
"949","Polygala alpina",6
"950","Polygala amarella",3
"951","Polygala calcarea",9
"952","Polygala chamaebuxus",14
"953","Polygala comosa",14
"954","Polygala vulgaris",7
"955","Polygonatum odoratum",18
"956","Polygonatum verticillatum",29
"957","Polygonum alpinum",1
"958","Polygonum aviculare",4
"959","Polygonum viviparum",106
"960","Polypodium interjectum",4
"961","Polypodium vulgare",25
"962","Polystichum aculeatum",10
"963","Polystichum lonchitis",52
"964","Populus alba",1
"965","Populus nigra",18
"966","Populus tremula",37
"967","Porrum sphaerocephaluon",32
"968","Potamogeton alpinus",2
"969","Potentilla argentea",18
"970","Potentilla aurea",32
"971","Potentilla caulescens",4
"972","Potentilla chrysantha",8
"973","Potentilla cinerea",2
"974","Potentilla crantzii",70
"975","Potentilla erecta",29
"976","Potentilla frigida",6
"977","Potentilla grandiflora",122
"978","Potentilla hirta",1
"979","Potentilla inclinata",1
"980","Potentilla NA",5
"981","Potentilla neumanniana",58
"982","Potentilla nivalis",5
"983","Potentilla reptans",7
"984","Potentilla rupestris",22
"985","Prenanthes purpurea",27
"986","Primula elatior",10
"987","Primula farinosa",16
"988","Primula hirsuta",56
"989","Primula latifolia",4
"990","Primula pedemontana",1
"991","Primula veris",52
"992","Primula vulgaris",12
"993","Prunella grandiflora",19
"994","Prunella laciniata",6
"995","Prunella vulgaris",28
"996","Prunus domestica",3
"997","Prunus mahaleb",25
"998","Prunus spinosa",25
"999","Pseudorchis albida",5
"1000","Pseudoturritis turrita",7
"1001","Ptarmica macrophylla",19
"1002","Ptarmica nana",39
"1003","Pteridium aquilinum",1
"1004","Pteroselinum austriacum",2
"1005","Ptychotis saxifraga",1
"1006","Pulmonaria angustifolia",50
"1007","Pulmonaria longifolia",6
"1008","Pulmonaria montana",3
"1009","Pulmonaria saccharata",3
"1010","Pulsatilla alpina",63
"1011","Pulsatilla halleri",1
"1012","Pulsatilla montana",1
"1013","Pulsatilla vernalis",15
"1014","Pyrola chlorantha",4
"1015","Pyrola media",1
"1016","Pyrola minor",6
"1017","Pyrola rotundifolia",10
"1018","Pyrus malus",3
"1019","Pyrus pyraster",3
"1020","Pythius dulcis",75
"1021","Quercus petraea",3
"1022","Quercus pubescens",50
"1023","Quercus robur",4
"1024","Ranunculus aconitifolius",7
"1025","Ranunculus acris",60
"1026","Ranunculus aduncus",13
"1027","Ranunculus arvensis",1
"1028","Ranunculus auricomus",1
"1029","Ranunculus bulbosus",25
"1030","Ranunculus glacialis",49
"1031","Ranunculus gramineus",1
"1032","Ranunculus grenierianus",77
"1033","Ranunculus kuepferi",23
"1034","Ranunculus lanuginosus",2
"1035","Ranunculus montanus",50
"1036","Ranunculus parnassifolius",1
"1037","Ranunculus platanifolius",15
"1038","Ranunculus polyanthemos",2
"1039","Ranunculus pyrenaeus",1
"1040","Ranunculus repens",14
"1041","Ranunculus seguieri",1
"1042","Ranunculus trichophyllus",3
"1043","Ranunculus tuberosus",23
"1044","Rapunculus hemisphaericus",57
"1045","Rapunculus orbicularis",36
"1046","Rapunculus spicatus",25
"1047","Reseda lutea",4
"1048","Reseda phyteuma",3
"1049","Rhamnus alpina",27
"1050","Rhamnus cathartica",11
"1051","Rhamnus pumila",16
"1052","Rhamnus saxatilis",7
"1053","Rhaponticum NA",11
"1054","Rhinanthus alectorolophus",74
"1055","Rhinanthus glacialis",5
"1056","Rhinanthus minor",19
"1057","Rhinanthus NA",2
"1058","Rhododendron ferrugineum",166
"1059","Rhynchopera paniculata",12
"1060","Ribes alpinum",13
"1061","Ribes carpaticum",14
"1062","Ribes uva-crispa",22
"1063","Rorippa amphibia",2
"1064","Rorippa islandica",2
"1065","Rorippa NA",2
"1066","Rorippa sylvestris",1
"1067","Rosa agrestis",3
"1068","Rosa caesia",2
"1069","Rosa canina",66
"1070","Rosa dumalis",9
"1071","Rosa elliptica",9
"1072","Rosa ferruginea",16
"1073","Rosa micrantha",3
"1074","Rosa montana",16
"1075","Rosa NA",10
"1076","Rosa pendulina",76
"1077","Rosa rubiginosa",4
"1078","Rosa spinosissima",71
"1079","Rosa villosa",17
"1080","Rubus caesius",45
"1081","Rubus fruticosus",2
"1082","Rubus gremlii",1
"1083","Rubus idaeus",126
"1084","Rubus pruinosus",3
"1085","Rubus saxatilis",30
"1086","Rubus tomentosus",1
"1087","Rubus ulmifolius",4
"1088","Rumex acetosa",83
"1089","Rumex acetosella",9
"1090","Rumex alpestris",37
"1091","Rumex alpinus",15
"1092","Rumex crispus",1
"1093","Rumex obtusifolius",1
"1094","Rumex scutatus",69
"1095","Ruyschiana austriaca",1
"1096","Sagina glabra",28
"1097","Sagina procumbens",1
"1098","Sagina saginoides",3
"1099","Salix alba",6
"1100","Salix appendiculata",6
"1101","Salix aurita",3
"1102","Salix breviserrata",2
"1103","Salix caprea",35
"1104","Salix cinerea",9
"1105","Salix daphnoides",8
"1106","Salix eleagnos",19
"1107","Salix foetida",5
"1108","Salix glaucosericea",9
"1109","Salix hastata",21
"1110","Salix herbacea",54
"1111","Salix laggeri",7
"1112","Salix myrsinifolia",10
"1113","Salix NA",1
"1114","Salix pentandra",2
"1115","Salix purpurea",17
"1116","Salix repens",1
"1117","Salix reticulata",24
"1118","Salix retusa",41
"1119","Salix serpyllifolia",4
"1120","Salix triandra",3
"1121","Salvia nubicola",5
"1122","Salvia pratensis",35
"1123","Sambucus ebulus",1
"1124","Sambucus nigra",8
"1125","Sambucus racemosa",26
"1126","Sanguisorba minor",84
"1127","Sanguisorba officinalis",11
"1128","Sanicula europaea",3
"1129","Saponaria ocymoides",31
"1130","Saponaria officinalis",5
"1131","Satureja montana",8
"1132","Satyrium bifolium",16
"1133","Saussurea alpina",4
"1134","Saussurea discolor",1
"1135","Saxifraga aizoides",52
"1136","Saxifraga androsacea",6
"1137","Saxifraga aspera",9
"1138","Saxifraga biflora",3
"1139","Saxifraga bryoides",71
"1140","Saxifraga cuneifolia",22
"1141","Saxifraga exarata",39
"1142","Saxifraga granulata",3
"1143","Saxifraga moschata",64
"1144","Saxifraga oppositifolia",96
"1145","Saxifraga paniculata",99
"1146","Saxifraga retusa",6
"1147","Saxifraga rotundifolia",44
"1148","Scabiosa columbaria",54
"1149","Scabiosa lucida",51
"1150","Scabiosa triandra",2
"1151","Schoenus nigricans",1
"1152","Scirpus sylvaticus",4
"1153","Scleranthus annuus",1
"1154","Scleranthus perennis",8
"1155","Scorzonera austriaca",1
"1156","Scorzonera hispanica",7
"1157","Scorzoneroides autumnalis",8
"1158","Scrophularia canina",5
"1159","Scrophularia lucida",1
"1160","Scrophularia nodosa",6
"1161","Scrophularia peregrina",1
"1162","Securigera varia",18
"1163","Sedella atrata",6
"1164","Sedum acre",5
"1165","Sedum album",39
"1166","Sedum alpestre",56
"1167","Sedum annuum",8
"1168","Sedum anopetalum",4
"1169","Sedum dasyphyllum",17
"1170","Sedum maximum",2
"1171","Sedum NA",6
"1172","Sedum ochroleucum",68
"1173","Sedum rupestre",6
"1174","Sedum sediforme",15
"1175","Sedum sexangulare",17
"1176","Selaginella selaginoides",22
"1177","Sempervivum arachnoideum",132
"1178","Sempervivum montanum",113
"1179","Sempervivum NA",2
"1180","Sempervivum tectorum",78
"1181","Senecio doria",2
"1182","Senecio doronicum",125
"1183","Senecio erucifolius",7
"1184","Senecio ovatus",49
"1185","Senecio squalidus",1
"1186","Senecio viscosus",1
"1187","Serratula tinctoria",15
"1188","Seseli annuum",3
"1189","Sesleria caerulea",133
"1190","Setaria viridis",1
"1191","Sibbaldia procumbens",35
"1192","Silaum silaus",3
"1193","Silene acaulis",115
"1194","Silene armeria",6
"1195","Silene dioica",13
"1196","Silene flos-cuculi",1
"1197","Silene flos-jovis",18
"1198","Silene italica",8
"1199","Silene latifolia",2
"1200","Silene nutans",85
"1201","Silene otites",15
"1202","Silene saxifraga",1
"1203","Silene vallesia",15
"1204","Silene vulgaris",113
"1205","Sinapis alba",1
"1206","Sinapis arvensis",2
"1207","Sisymbrium austriacum",1
"1208","Solanum dulcamara",8
"1209","Soldanella alpina",70
"1210","Solidago gigantea",2
"1211","Solidago virgaurea",70
"1212","Sonchus arvensis",5
"1213","Sonchus oleraceus",2
"1214","Sorbus aria",126
"1215","Sorbus aucuparia",117
"1216","Sorbus chamaemespilus",28
"1217","Sorbus mougeotii",45
"1218","Sorbus NA",1
"1219","Sparganium angustifolium",2
"1220","Sparganium emersum",1
"1221","Sparganium erectum",1
"1222","Spiesia halleri",1
"1223","Stachys annua",1
"1224","Stachys pradica",59
"1225","Stachys recta",75
"1226","Stachys sylvatica",26
"1227","Staehelina dubia",1
"1228","Stellaria alsine",1
"1229","Stellaria graminea",2
"1230","Stellaria holostea",1
"1231","Stellaria media",1
"1232","Stellaria nemorum",19
"1233","Stipa capillata",5
"1234","Stipa eriocaulis",26
"1235","Stipa pennata",5
"1236","Streptopus amplexifolius",6
"1237","Strobus cembra",22
"1238","Succisa pratensis",6
"1239","Swertia perennis",2
"1240","Symphyotrichum novi-belgii",1
"1241","Symphytum officinale",1
"1242","Symphytum tuberosum",1
"1243","Synema perenne",23
"1244","Tanacetum corymbosum",24
"1245","Taraxacum alpinum",15
"1246","Taraxacum dissectum",4
"1247","Taraxacum erythrospermum",3
"1248","Taraxacum fulvum",2
"1249","Taraxacum lapponicum",90
"1250","Taraxacum montanum",20
"1251","Taraxacum NA",6
"1252","Taraxacum rubicundum",1
"1253","Taraxacum sellandii",1
"1254","Taxus baccata",3
"1255","Telephium imperati",1
"1256","Tetragonolobus maritimus",10
"1257","Teucrium chamaedrys",109
"1258","Teucrium scordium",1
"1259","Teucrium scorodonia",18
"1260","Thalictrum aquilegiifolium",38
"1261","Thalictrum foetidum",19
"1262","Thalictrum minus",31
"1263","Thalictrum simplex",1
"1264","Thelycrania sanguinea",52
"1265","Thesium alpinum",35
"1266","Thesium humifusum",3
"1267","Thesium linophyllon",5
"1268","Thlaspi arvense",3
"1269","Thymus oenipontanus",5
"1270","Thymus praecox",160
"1271","Thymus pulegioides",70
"1272","Thymus serpyllum",68
"1273","Thymus striatus",3
"1274","Tilia cordata",4
"1275","Tilia platyphyllos",9
"1276","Tofieldia calyculata",18
"1277","Tolpis staticifolia",27
"1278","Torilis japonica",1
"1279","Tozzia alpina",2
"1280","Tragopogon crocifolius",1
"1281","Tragopogon dubius",1
"1282","Tragopogon porrifolius",2
"1283","Tragopogon pratensis",52
"1284","Trasus tomentosus",1
"1285","Trichophorum alpinum",3
"1286","Trichophorum cespitosum",6
"1287","Trifolium alpestre",53
"1288","Trifolium alpinum",66
"1289","Trifolium arvense",7
"1290","Trifolium aureum",8
"1291","Trifolium badium",27
"1292","Trifolium campestre",7
"1293","Trifolium diffusum",2
"1294","Trifolium medium",7
"1295","Trifolium ochroleucon",3
"1296","Trifolium pallescens",19
"1297","Trifolium pratense",183
"1298","Trifolium repens",68
"1299","Trifolium rubens",20
"1300","Trifolium saxatile",2
"1301","Trifolium spadiceum",86
"1302","Trifolium thalii",34
"1303","Triglochin palustre",5
"1304","Trigonella monspeliaca",1
"1305","Trimorpha alpina",32
"1306","Trimorpha attica",3
"1307","Trinia glauca",9
"1308","Trisetaria distichophylla",25
"1309","Trisetum flavescens",84
"1310","Trisetum spicatum",3
"1311","Triticum aestivum",1
"1312","Triticum durum",1
"1313","Trollius europaeus",45
"1314","Tulipa sylvestris",1
"1315","Turritis glabra",7
"1316","Tussilago farfara",40
"1317","Typha latifolia",2
"1318","Ulmus glabra",2
"1319","Ulmus minor",3
"1320","Urtica dioica",88
"1321","Vaccinium myrtillus",206
"1322","Vaccinium uliginosum",135
"1323","Vaccinium vitis-idaea",32
"1324","Valeriana dioica",8
"1325","Valeriana montana",44
"1326","Valeriana officinalis",31
"1327","Valeriana saliunca",3
"1328","Valeriana tripteris",52
"1329","Valeriana tuberosa",2
"1330","Valerianella dentata",1
"1331","Valerianella locusta",1
"1332","Veratrum album",90
"1333","Verbascum chaixii",2
"1334","Verbascum lychnitis",15
"1335","Verbascum nigrum",7
"1336","Verbascum pulverulentum",1
"1337","Verbascum thapsus",11
"1338","Verbena officinalis",1
"1339","Veronica agrestis",1
"1340","Veronica allionii",25
"1341","Veronica alpina",35
"1342","Veronica anagallis-aquatica",4
"1343","Veronica aphylla",12
"1344","Veronica arvensis",22
"1345","Veronica austriaca",2
"1346","Veronica beccabunga",12
"1347","Veronica bellidioides",19
"1348","Veronica chamaedrys",60
"1349","Veronica fruticans",90
"1350","Veronica fruticulosa",7
"1351","Veronica hederifolia",8
"1352","Veronica officinalis",30
"1353","Veronica persica",3
"1354","Veronica serpyllifolia",7
"1355","Veronica spicata",5
"1356","Veronica triphyllos",1
"1357","Veronica urticifolia",21
"1358","Veronica verna",2
"1359","Viburnum lantana",33
"1360","Viburnum opulus",7
"1361","Vicia cracca",51
"1362","Vicia hirsuta",2
"1363","Vicia hybrida",1
"1364","Vicia onobrychioides",4
"1365","Vicia sativa",5
"1366","Vicia sepium",38
"1367","Vicia sylvatica",8
"1368","Vicia tenuifolia",19
"1369","Vicia tetrasperma",1
"1370","Vinca minor",2
"1371","Vincetoxicum hirundinaria",82
"1372","Viola biflora",55
"1373","Viola calcarata",64
"1374","Viola canina",1
"1375","Viola hirta",19
"1376","Viola laricicola",1
"1377","Viola mirabilis",3
"1378","Viola NA",11
"1379","Viola odorata",3
"1380","Viola palustris",3
"1381","Viola pyrenaica",10
"1382","Viola reichenbachiana",17
"1383","Viola riviniana",15
"1384","Viola rupestris",3
"1385","Viola suavis",6
"1386","Viola tricolor",19
"1387","Viscum album",3
"1388","Vulpia quadriflora",26
"1389","Woodsia alpina",3
"1390","Xeranthemum inapertum",1
