"","Row.names","Endemic","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"532","Filago_arvensis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"533","Filipendula_ulmaria","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"534","Filipendula_vulgaris","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"535","Fourraea_alpina","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"536","Fragaria_vesca","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"537","Frangula_NA","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"538","Fraxinus_excelsior","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"539","Fumana_procumbens","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"540","Gagea_liotardii","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"541","Gagea_nakaiana","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"542","Galeopsis_ladanum","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"543","Galeopsis_tetrahit","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"544","Galium_aparine","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"545","Galium_boreale","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"546","Galium_commune","0",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"547","Galium_corrudifolium","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"548","Galium_glaucum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"549","Galium_lucidum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"550","Galium_megalospermum","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"551","Galium_mollugo","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"552","Galium_odoratum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"553","Galium_palustre","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"554","Galium_pseudohelveticum","1",1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
"555","Galium_pumilum","0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"556","Galium_rotundifolium","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"557","Galium_rubrum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"558","Galium_sylvaticum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"559","Galium_verum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"560","Gamochaeta_norvegica","0",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"561","Gamochaeta_sylvatica","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"562","Genista_cinerea","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"563","Genista_pilosa","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"564","Genistella_sagittalis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"565","Gentiana_acaulis","0",1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
"566","Gentiana_cruciata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"567","Gentiana_nivalis","0",1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"568","Gentiana_pneumonanthe","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"569","Gentiana_verna","0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"570","Gentianella_campestris","0",1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"571","Gentianella_tenella","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
