"","taxized","combinedname","Combined.Name","GENRE","x","ESPECE","RG","SUBSP.","END.","DIST.","NF","NG","NE","NI"
"45","Astragalus australis","Astragalus australis","Astragalus australis","Astragalus","","australis","subsp.    ","gerardii","End.","W-Alp.","64","17","11","2"
"46","Astragalus sempervirens","Astragalus sempervirens NA","Astragalus sempervirens","Astragalus","","sempervirens","subsp.    ","alpinus","End.","W-Alp.","64","17","15","2"
"47","Astragalus vesicarius","Astragalus vesicarius NA","Astragalus vesicarius","Astragalus","","vesicarius","subsp.    ","pastellianus","End.","Alp.","64","17","21","2"
"48","Astrantia bavarica","Astrantia bavarica NA","Astrantia bavarica","Astrantia","","bavarica","","","Subend.","E-Alp.","97","4","3",NA
"49","Athamanta vestita","Athamanta vestita NA","Athamanta vestita","Athamanta","","vestita","","","End.","E-Alp.","97","23","3",NA
"50","Ballota frutescens","Ballota frutescens NA","Ballota frutescens","Ballota","","frutescens","","","Subend.","W-Alp.","108","11","1",NA
"51","Berardia subacaulis","Berardia subacaulis NA","Berardia subacaulis","Berardia","","subacaulis","","","End.","W-Alp.","124","55","1",NA
"52","Biscutella brevicaulis","Biscutella brevicaulis","Biscutella brevicaulis","Biscutella","","brevicaulis","","","End.","W-Alp.","54","53","3",NA
"53","Biscutella laevigata","Biscutella laevigata","Biscutella laevigata","Biscutella","","laevigata","subsp.    ","lucida","End.?","E-Alp.","54","53","1","4"
"54","Biscutella prealpina","Biscutella prealpina","Biscutella prealpina","Biscutella","","prealpina","","","End.","E-Alp.","54","53","2",NA
"55","Brassica repanda","Brassica repanda subsp. glabrescens","Brassica glabrescens","Brassica","","glabrescens","","","Subend.","E-Alp.","54","59","8",NA
"56","Braya alpina","Braya alpina","Braya alpina","Braya","","alpina","","","End.","E-Alp.","54","7","1",NA
"57","Bupleurum falcatum","Bupleurum falcatum var. alpigenum","Bupleurum alpigenum","Bupleurum","","alpigenum","","","End.?","W-Alp.","97","35","13",NA
"58","Bupleurum petraeum","Bupleurum petraeum NA","Bupleurum petraeum","Bupleurum","","petraeum","","","End.","Alp.","97","35","10",NA
"59","Calathiana bavarica","Calathiana bavarica","Gentiana bavarica","Gentiana","","bavarica","","","End.","Alp.","98","4","21",NA
"60","Calathiana pumila","Calathiana pumila","Gentiana pumila","Gentiana","","pumila","","","End.","E-Alp.","98","4","20",NA
"61","Calathiana rostanii","Calathiana rostanii","Gentiana rostanii","Gentiana","","rostanii","","","End.","W-Alp.","98","4","22",NA
"62","Calathiana terglouensis","Calathiana terglouensis","Gentiana terglouensis","Gentiana","","terglouensis","","","End.","E-Alp.","98","4","23",NA
"63","Callianthemum anemonoides","Callianthemum anemonoides","Callianthemum anemonoides","Callianthemum","","anemonoides","","","End.","E-Alp.","19","3","1",NA
"64","Callianthemum kernerianum","Callianthemum kernerianum NA","Callianthemum kernerianum","Callianthemum","","kernerianum","","","End.","E-Alp.","19","3","2",NA
"65","Campanula albicans","Campanula albicans NA","Campanula albicans","Campanula","","albicans","","","End.","W-Alp.","118","1","14",NA
"66","Campanula alpestris","Campanula alpestris","Campanula alpestris","Campanula","","alpestris","","","End.?","W-Alp.","118","1","12",NA
"67","Campanula beckiana","Campanula beckiana NA","Campanula beckiana","Campanula","","beckiana","","","Subend.","E-Alp.","118","1","44",NA
"68","Campanula carnica","Campanula carnica NA","Campanula carnica","Campanula","","carnica","subsp.    ","carnica","Subend.","E-Alp.","118","1","30","1"
