"","iter1","iter2","iter3","iter4","iter5","iter6","iter7","iter8","iter9","iter10"
"216",-0.000569924716628645,0.000347428826284135,-0.00303655968591565,0.00448255336378856,-0.00421169072232286,-0.00240771355101321,0.00506199222143333,-0.00114683378050029,0.00575420532219106,0.000596073267826958
"217",-0.000769715566669049,0.00187357022855039,-0.00322152837708978,0.00500072210392399,-0.00395179952404634,-0.00276538599582987,0.00545055929057925,-0.00132633725191944,0.00570003246621509,0.000452690883990026
"218",-0.000765158229892871,0.00562977569389467,-0.00136796507572678,3.99182621211303e-05,-0.000227903964313159,-0.000968633679088393,0.00169964168354519,-0.00184873798006646,0.0108638538134544,0.00156342673826027
"219",-0.000516422505538516,0.00552866970973609,-0.00226831837919028,-6.19250735236498e-05,-6.07827326430943e-05,-0.000482823455604242,0.00209439575002202,-0.00160103391876509,0.0136509593730286,0.00131536842961855
"220",-0.000805326848062116,0.00799438527595397,-0.00341704410543131,4.46720167168735e-05,0.000447806439633047,-0.000536170014378889,0.00399801742982009,-0.00194052323549898,0.020620744078875,0.00296813372120219
"221",-0.00407092248674967,0.0102735422524908,-0.00354024359757621,0.00141459016670786,0.000227128479599381,0.00300334907265032,0.00194449513829908,-0.00171349229752971,0.0338118774895861,0.00222932356735928
"222",-0.00451357713694889,0.0243778163080556,-0.00840489815559198,0.00826002741043241,-0.00982997405610697,0.0110878241704273,-0.0175231302131789,-0.00483831155056946,-0.00536968504585977,0.00296582970803572
"223",0.000121058397421381,-0.0221964056906372,-0.00605224613590161,0.016458701764266,-0.0357089972902895,-0.00401792257231404,-0.0165820366846221,-0.0118958838915102,-0.00327995397146652,-0.00667978501271582
"224",-0.00327367774420972,-0.0357194468281237,-0.0104275385393737,-0.0106577844923619,-0.00426310429123156,-0.00620582603998088,-0.0236957759221146,-0.0304439230237623,-0.00980838141302032,-0.00690153904879631
"225",-0.00443050846493653,-0.031992432893263,0.0241497655109214,0.0102249017561333,0.0253129418558913,-0.0212914183618969,-0.0285332901671131,-0.0299682022455923,-0.021456700069985,-0.00155330405922793
"226",-0.02027148788514,-0.021862191282916,-0.0469079612763825,0.0414377994023027,0.0474448119057903,-0.0211721461016949,-0.0317954875413482,-0.0339491042941176,-0.0278221338828275,0.00367040292536025
"227",0.0590102554789069,-0.0551060598991924,-0.0511306070929547,0.0821089995544088,0.0706315580033706,-0.0356748329232506,-0.00107873760631216,-0.0510308891519833,0.00248009711748431,0.0424770985706293
"228",0.0436789311943522,-0.0609299014082205,-0.0124494014864196,0.0181310231520979,-0.0362708248924801,-0.0476021987944231,-0.0549012134043063,-0.0871554341812579,-0.0392209082389658,0.0135324335625581
"229",0.0632990709978661,0.187865615385728,-0.0749505081658206,-0.0346184331635226,0.137337122808391,-0.00214648159019415,-0.0272678521912311,-0.0622803958926545,-0.0449469900294353,0.0543599859716689
"230",0.0605494405676565,0.162854320475679,0.00657779559598259,-0.0295813347088263,0.0480149472842458,-0.00896956395729664,-0.0291744509354448,-0.0693007433430555,-0.0554344533248237,-0.00740685316179257
"231",0.0206362924837105,-0.0615116366317745,0.167987235530776,0.10243312275887,0.0196719150365293,0.0547601957299042,0.0909625769352044,0.126760309143094,0.209330447691273,0.0821706768491347
"232",-0.0127583786204679,-0.263303987457361,0.138967128908969,-0.0806702109213009,-0.174046383445341,-0.0183217062805885,0.0358737632582049,0.0658284503006979,0.199924850873715,1.82126971317587e-05
"233",-0.384902466758175,NA,NA,-0.0877790257995725,NA,-0.0387830105714779,0.176672092441458,0.0427633694851566,0.172586885009949,0
