Combined Name,GENRE,x,ESPECE,RG,SUBSP.,END.,DIST.,NF,NG,NE,NI
Campanula cespitosa,Campanula,,cespitosa,,,Subend.,E-Alp.,118,1,38,
Campanula elatines,Campanula,,elatines,,,End.,W-Alp.,118,1,22,
Campanula elatinoides,Campanula,,elatinoides,,,End.,E-Alp.,118,1,21,
Campanula excisa,Campanula,,excisa,,,End.,W-Alp.,118,1,39,
Campanula fritschii,Campanula,,fritschii,,,End.,W-Alp.,118,1,32,
Campanula longisepala,Campanula,,longisepala,,,Subend.,W-Alp.,118,1,33,
Campanula macrorhiza,Campanula,,macrorhiza,,,Subend.,W-Alp.,118,1,28,
Campanula morettiana,Campanula,,morettiana,,,End.,E-Alp.,118,1,20,
Campanula petraea,Campanula,,petraea,,,End.,E-Alp.,118,1,13,
Campanula praesignis,Campanula,,praesignis,,,End.,E-Alp.,118,1,31,
Campanula pulla,Campanula,,pulla,,,End.,E-Alp.,118,1,41,
Campanula raineri,Campanula,,raineri,,,End.,E-Alp.,118,1,3,
Campanula stenocodon,Campanula,,stenocodon,,,End.,W-Alp.,118,1,40,
Campanula zoysii,Campanula,,zoysii,,,End.,E-Alp.,118,1,2,
Cardaminopsis pedemontana,Cardaminopsis,,pedemontana,,,End.,W-Alp.,54,23,4,
Carduus aurosicus,Carduus,,aurosicus,,,End.,W-Alp.,124,60,2,
Carduus defloratus,Carduus,,defloratus,subsp.    ,crassifolius,End.?,E-Alp.,124,60,9,4
Carduus defloratus,Carduus,,defloratus,subsp.    ,tridentinus,End.,Alp.,124,60,9,5
Carduus litigiosus,Carduus,,litigiosus,subsp.    ,horridissimus,Subend.,W-Alp.,124,60,6,2
Carduus nutans,Carduus,,nutans,subsp.    ,alpicola,End.,W-Alp.,124,60,1,2
Carduus nutans,Carduus,,nutans,subsp.    ,platylepis,End.,Alp.,124,60,1,3
Carex baldensis,Carex,,baldensis,,,End.,E-Alp.,138,17,31,
Carex ferruginea,Carex,,ferruginea,subsp.    ,austroalpina,End.,E-Alp.,138,17,83,2
Carex ferruginea,Carex,,ferruginea,subsp.    ,tendae,End.,W-Alp.,138,17,83,3
Carex norvegica,Carex,,norvegica,subsp.    ,pusteriana,End.,E-Alp.,138,17,94,2
Centaurea jordaniana,Centaurea,,jordaniana,subsp.    ,aemilii,End.,W-Alp.,124,68,27,3
Centaurea jordaniana,Centaurea,,jordaniana,subsp.    ,balbisiana,End.,W-Alp.,124,68,27,2
Centaurea jordaniana,Centaurea,,jordaniana,subsp.    ,jordaniana,End.,W-Alp.,124,68,27,1
Centaurea jordaniana,Centaurea,,jordaniana,subsp.    ,verguinii,End.,W-Alp.,124,68,27,4
Centaurea nervosa,Centaurea,,nervosa,subsp.    ,ferdinandii,End.,W-Alp.,124,68,25,2
Centaurea rhaetica,Centaurea,,rhaetica,,,End.,E-Alp.,124,68,28,
Centaurea vallesiaca,Centaurea,,vallesiaca,,,End.,W-Alp.,124,68,9,
Cephalaria alpina,Cephalaria,,alpina,,,Subend.,W-Alp.,123,1,3,
Cerastium carinthiacum,Cerastium,,carinthiacum,subsp.    ,austroalpinum,End.,E-Alp.,38,8,12,2
Cerastium carinthiacum,Cerastium,,carinthiacum,subsp.    ,carinthiacum,End.,E-Alp.,38,8,12,1
Cerastium julicum,Cerastium,,julicum,,,End.,E-Alp.,38,8,5,
Cerastium lineare,Cerastium,,lineare,,,End.,W-Alp.,38,8,4,
Cerastium pedunculatum,Cerastium,,pedunculatum,,,End.,Alp.,38,8,11,
Cerastium subtriflorum,Cerastium,,subtriflorum,,,Subend.,E-Alp.,38,8,13,
Chaerophyllum elegans,Chaerophyllum,,elegans,,,End.,W-Alp.,97,6,3,
Chamaecytisus hirsutus,Chamaecytisus,,hirsutus,subsp.    ,pumilus,End.,W-Alp.,64,7,2,2
Cirsium carniolicum,Cirsium,,carniolicum,,,End.,E-Alp.,124,61,10,
Cirsium spinosissimum,Cirsium,,spinosissimum,,,End.,Alp.,124,61,12,
Cochlearia pyrenaica,Cochlearia,,pyrenaica,subsp.    ,excelsa,End.,E-Alp.,54,40,2,2
