Combined Name,GENRE,x,ESPECE,RG,SUBSP.,END.,DIST.,NF,NG,NE,NI
Moehringia diversifolia,Moehringia,,diversifolia,,,End.,E-Alp.,38,2,2,
Moehringia glaucovirens,Moehringia,,glaucovirens,,,End.,E-Alp.,38,2,10,
Moehringia intermedia,Moehringia,,intermedia,,,End.,W-Alp.,38,2,6,
Moehringia lebrunii,Moehringia,,lebrunii,,,End.,W-Alp.,38,2,3,
Moehringia markgrafii,Moehringia,,markgrafii,,,End.,E-Alp.,38,2,7,
Moehringia sedoides,Moehringia,,sedoides,,,Subend.,W-Alp.,38,2,13,
Moehringia villosa,Moehringia,,villosa,,,End.,E-Alp.,38,2,4,
Myosotis gallica,Myosotis,,gallica,,,End.,W-Alp.,106,16,10,
Nigritella archiducis-joannis,Nigritella,,archiducis-joannis,,,End.,E-Alp.,148,15,8,
Nigritella buschmanniae,Nigritella,,buschmanniae,,,End.,E-Alp.,148,15,11,
Nigritella cenisia,Nigritella,,cenisia,,,End.,W-Alp.,148,15,2,
Nigritella corneliana,Nigritella,,corneliana,,,End.,W-Alp.,148,15,5,
Nigritella dolomitensis,Nigritella,,dolomitensis,,,End.,E-Alp.,148,15,10,
Nigritella lithopolitanica,Nigritella,,lithopolitanica,,,End.,E-Alp.,148,15,6,
Nigritella stiriaca,Nigritella,,stiriaca,,,End.,E-Alp.,148,15,9,
Odontites lanceolata,Odontites,,lanceolata,,,End.,W-Alp.,114,23,4,
Onobrychis arenaria,Onobrychis,,arenaria,subsp.    ,taurerica,End.,E-Alp.,64,42,4,2
Onosma helvetica,Onosma,,helvetica,,,End.,W-Alp.,106,5,4,
Ophrys benacensis,Ophrys,,benacensis,,,End.,E-Alp.,148,25,9,
Oreochloa seslerioides,Oreochloa,,seslerioides,,,End.,W-Alp.,139,17,2,
Orobanche ozanonis,Orobanche,,ozanonis,,,End.,W-Alp.,116,1,12,
Oxytropis campestris,Oxytropis,,campestris,subsp.    ,tyroliensis,End.,E-Alp.,64,18,8,2
Oxytropis carinthiaca,Oxytropis,x,carinthiaca,,,End.,E-Alp.,64,18,3,
Oxytropis fetida,Oxytropis,,fetida,,,End.,W-Alp.,64,18,11,
Oxytropis halleri,Oxytropis,,halleri,subsp.    ,velutina,End.,W-Alp.,64,18,9,2
Oxytropis helvetica,Oxytropis,,helvetica,,,End.,W-Alp.,64,18,4,
Oxytropis jacquinii,Oxytropis,,jacquinii,,,Subend.,Alp.,64,18,2,
Oxytropis triflora,Oxytropis,,triflora,,,End.,E-Alp.,64,18,7,
Paederota bonarota,Paederota,,bonarota,,,End.,E-Alp.,114,19,1,
Papaver alpinum,Papaver,,alpinum,,,End.,E-Alp.,22,1,8,
Papaver occidentale,Papaver,,occidentale,,,End.,W-Alp.,22,1,12,
Papaver sendtneri,Papaver,,sendtneri,,,End.,E-Alp.,22,1,13,
Papaver victoris,Papaver,,victoris,,,End.,E-Alp.,22,1,14,
Paronychia kapela,Paronychia,,kapela,subsp.    ,galloprovincialis,Subend.,W-Alp.,38,14,3,3
Pedicularis acaulis,Pedicularis,,acaulis,,,Subend.,E-Alp./Illyr.,114,27,1,
Pedicularis aspleniifolia,Pedicularis,,aspleniifolia,,,End.,E-Alp.,114,27,23,
Pedicularis elongata,Pedicularis,,elongata,,,End.,E-Alp.,114,27,14,
Pedicularis gyroflexa,Pedicularis,,gyroflexa,,,End.?,Alp.,114,27,21,
Pedicularis julica,Pedicularis,,julica,,,Subend.,E-Alp.,114,27,15,
Pedicularis portenschlagii,Pedicularis,,portenschlagii,,,End.,E-Alp.,114,27,22,
Pedicularis recutita,Pedicularis,,recutita,,,End.,Alp.,114,27,6,
Pedicularis rosea,Pedicularis,,rosea,subsp.    ,rosea,Subend.,E-Alp.,114,27,7,1
Pedicularis rostratospicata,Pedicularis,,rostratospicata,subsp.    ,helvetica,End.?,W-Alp.,114,27,17,2
Peucedanum austriacum,Peucedanum,,austriacum,subsp.    ,rablense,End.?,E-Alp.,97,54,6,2
Physoplexis comosa,Physoplexis,,comosa,,,End.,E-Alp.,118,5,1,
Phyteuma betonicifolium,Phyteuma,,betonicifolium,,,End.,Alp.,118,4,6,
Phyteuma cordatum,Phyteuma,,cordatum,,,End.,W-Alp.,118,4,7,
Phyteuma globulariifolium,Phyteuma,,globulariifolium,subsp.    ,globulariifolium,End.,E-Alp.,118,4,16,1
Phyteuma hedraianthifolium,Phyteuma,,hedraianthifolium,,,End.,E-Alp.,118,4,14,
Phyteuma humile,Phyteuma,,humile,,,End.,W-Alp.,118,4,15,
Phyteuma michelii,Phyteuma,,michelii,,,End.,W-Alp.,118,4,3,
Phyteuma scheuchzeri,Phyteuma,,scheuchzeri,subsp.    ,columnae,Subend.,S-Alp./Illyr.,118,4,10,2
Phyteuma scheuchzeri,Phyteuma,,scheuchzeri,subsp.    ,scheuchzeri,End.,Alp.,118,4,10,1
Phyteuma sieberi,Phyteuma,,sieberi,,,End.,E-Alp.,118,4,9,
Phyteuma villarsii,Phyteuma,,villarsii,,,End.,W-Alp.,118,4,12,
Phyteuma zahlbruckneri,Phyteuma,,zahlbruckneri,,,Subend.,E-Alp.,118,4,5,
Pinguicula arvetii,Pinguicula,,arvetii,,,End.,W-Alp.,117,1,6,
Pinguicula grandiflora,Pinguicula,,grandiflora,subsp.    ,rosea,End.,W-Alp.,117,1,5,2
Pinguicula poldinii,Pinguicula,,poldinii,,,End.,E-Alp.,117,1,8,
Poa cenisia,Poa,,cenisia,,,Subend.,Alp.,139,6,6,
Polygala nicaeensis,Polygala,,nicaeensis,subsp.    ,gariodiana,End.?,W-Alp.,84,1,5,2
Potentilla delphinensis,Potentilla,,delphinensis,,,End.,W-Alp.,63,13,18,
Potentilla grammopetala,Potentilla,,grammopetala,,,End.,W-Alp.,63,13,36,
Potentilla saxifraga,Potentilla,,saxifraga,,,Subend.,W-Alp.,63,13,41,
Potentilla valderia,Potentilla,,valderia,,,End.,W-Alp.,63,13,34,
Primula albenensis,Primula,,albenensis,,,End.,E-Alp.,60,1,21,
Primula allionii,Primula,,allionii,,,End.,W-Alp.,60,1,14,
Primula clusiana,Primula,,clusiana,,,End.,E-Alp.,60,1,10,
Primula daonensis,Primula,,daonensis,,,End.,E-Alp.,60,1,24,
Primula glaucescens,Primula,,glaucescens,,,End.,E-Alp.,60,1,8,
Primula glutinosa,Primula,,glutinosa,,,End.,E-Alp.,60,1,6,
Primula grignensis,Primula,,grignensis,,,End.,E-Alp.,60,1,20,
Primula recubariensis,Primula,,recubariensis,,,End.,E-Alp.,60,1,22,
Primula spectabilis,Primula,,spectabilis,,,End.,E-Alp.,60,1,7,
Primula tyrolensis,Primula,,tyrolensis,,,End.,E-Alp.,60,1,13,
Primula villosa,Primula,,villosa,,,End.,Alp.,60,1,25,
Pritzelago alpina,Pritzelago,,alpina,subsp.    ,austroalpina,End.,E-Alp.,54,46,1,2
Prunus brigantina,Prunus,,brigantina,,,End.,W-Alp.,63,29,4,
Pulmonaria carnica,Pulmonaria,,carnica,,,End.,E-Alp.,106,9,4,
Pulmonaria kerneri,Pulmonaria,,kerneri,,,End.,E-Alp.,106,9,14,
Pulmonaria vallarsae,Pulmonaria,,vallarsae,,,End.,E-Alp.,106,9,7,
Pulsatilla alpina,Pulsatilla,,alpina,subsp.    ,austriaca,End.,E-Alp.,19,14,1,5
Pulsatilla alpina,Pulsatilla,,alpina,subsp.    ,cottianaea,End.,W-Alp.,19,14,1,3
Pulsatilla alpina,Pulsatilla,,alpina,subsp.    ,schneebergensis,End.,E-Alp.,19,14,1,2
Pulsatilla halleri,Pulsatilla,,halleri,subsp.    ,halleri,End.,W-Alp.,19,14,6,1
Pulsatilla halleri,Pulsatilla,,halleri,subsp.    ,styriaca,End.,E-Alp.,19,14,6,2
Ranunculus bilobus,Ranunculus,,bilobus,,,End.,E-Alp.,19,17,32,
Ranunculus traunfellneri,Ranunculus,,traunfellneri,,,Subend.,E-Alp.,19,17,30,
Ranunculus venetus,Ranunculus,,venetus,,,End.,E-Alp.,19,17,12,
Ranunculus villarsii,Ranunculus,,villarsii,,,End.,Alp.,19,17,13,
Rhinanthus antiquus,Rhinanthus,,antiquus,,,End.,S-Alp.,114,28,2,
Rhinanthus carinthiacus,Rhinanthus,,carinthiacus,,,End.,E-Alp.,114,28,7,
Rhinanthus facchinii,Rhinanthus,,facchinii,,,End.,Alp.,114,28,15,
Rhinanthus pampaninii,Rhinanthus,,pampaninii,,,Subend.,E-Alp.,114,28,5,
Rhinanthus pseudoantiquus,Rhinanthus,,pseudoantiquus,,,End.,W-Alp.,114,28,3,
Rhizobotrya alpina,Rhizobotrya,,alpina,,,End.,E-Alp.,54,42,1,
Rhododendron hirsutum,Rhododendron,,hirsutum,,,Subend.,E-Alp.,57,3,3,
Rhodothamnus chamaecistus,Rhodothamnus,,chamaecistus,,,Subend.,E-Alp.,57,4,1,
Rosa rhaetica,Rosa,,rhaetica,,,End.,E-Alp.,63,6,23,
Rosa uriensis,Rosa,,uriensis,,,End.,Alp.,63,6,21,
Salix caesia,Salix,,caesia,,,End.,Alp.,52,1,34,
Salix glaucosericea,Salix,,glaucosericea,,,End.,Alp.,52,1,11,
Salix hegetschweileri,Salix,x,hegetschweileri,,,End.,Alp.,52,1,14,
Salix laggeri,Salix,,laggeri,,,End.,Alp.,52,1,20,
Salix mielichhoferi,Salix,,mielichhoferi,,,End.,E-Alp.,52,1,17,
Salvia saccardiana,Salvia,,saccardiana,,,Subend.,E-Alp.,108,32,6,
Sanguisorba dodecandra,Sanguisorba,,dodecandra,,,End.,E-Alp.,63,9,2,
Saponaria lutea,Saponaria,,lutea,,,End.,W-Alp.,38,26,1,
Saussurea alpina,Saussurea,,alpina,subsp.    ,depressa,End.,W-Alp.,124,57,2,3
Saxifraga aphylla,Saxifraga,,aphylla,,,End.,E-Alp.,62,1,47,
Saxifraga arachnoidea,Saxifraga,,arachnoidea,,,End.,E-Alp.,62,1,37,
Saxifraga biflora,Saxifraga,,biflora,subsp.    ,biflora,End.,Alp.,62,1,15,1
Saxifraga biflora,Saxifraga,,biflora,subsp.    ,macropetala,End.,Alp.,62,1,15,2
Saxifraga burseriana,Saxifraga,,burseriana,,,End.,E-Alp.,62,1,11,
Saxifraga cochlearis,Saxifraga,,cochlearis,,,Subend.,W-Alp.,62,1,17,
Saxifraga depressa,Saxifraga,,depressa,,,End.,E-Alp.,62,1,40,
Saxifraga diapensioides,Saxifraga,,diapensioides,,,End.,W-Alp.,62,1,9,
Saxifraga exarata,Saxifraga,,exarata,subsp.    ,atropurpurea,End.,E-Alp.,62,1,33,6
Saxifraga exarata,Saxifraga,,exarata,subsp.    ,carniolica,End.,E-Alp.,62,1,33,5
Saxifraga exarata,Saxifraga,,exarata,subsp.    ,delphinensis,End.,W-Alp.,62,1,33,2
Saxifraga facchinii,Saxifraga,,facchinii,,,End.,E-Alp.,62,1,43,
Saxifraga florulenta,Saxifraga,,florulenta,,,End.,W-Alp.,62,1,24,
Saxifraga hohenwartii,Saxifraga,,hohenwartii,,,End.,E-Alp.,62,1,46,
Saxifraga hostii,Saxifraga,,hostii,subsp.    ,hostii,Subend.,E-Alp.,62,1,19,1
Saxifraga hostii,Saxifraga,,hostii,subsp.    ,rhaetica,End.,E-Alp.,62,1,19,2
Saxifraga muscoides,Saxifraga,,muscoides,,,End.,Alp.,62,1,42,
Saxifraga oppositifolia,Saxifraga,,oppositifolia,subsp.    ,blepharophylla,End.,E-Alp.,62,1,13,3
Saxifraga paradoxa,Saxifraga,,paradoxa,,,End.,E-Alp.,62,1,38,
Saxifraga pedemontana,Saxifraga,,pedemontana,,,End.,W-Alp.,62,1,34,
Saxifraga presolanensis,Saxifraga,,presolanensis,,,End.,E-Alp.,62,1,44,
Saxifraga retusa,Saxifraga,,retusa,subsp.    ,augustana,End.,W-Alp.,62,1,14,2
Saxifraga seguieri,Saxifraga,,seguieri,,,End.,Alp.,62,1,41,
Saxifraga squarrosa,Saxifraga,,squarrosa,,,Subend.,E-Alp.,62,1,8,
Saxifraga tenella,Saxifraga,,tenella,,,Subend.,E-Alp.,62,1,48,
Saxifraga tombeanensis,Saxifraga,,tombeanensis,,,End.,E-Alp.,62,1,10,
Saxifraga valdensis,Saxifraga,,valdensis,,,End.,W-Alp.,62,1,22,
Saxifraga vandellii,Saxifraga,,vandellii,,,End.,E-Alp.,62,1,12,
Scabiosa mollissima,Scabiosa,,mollissima,,,Subend.,W-Alp.,123,6,6,
Scabiosa vestina,Scabiosa,,vestina,,,End.,E-Alp.,123,6,1,
Scabiosa vestita,Scabiosa,,vestita,,,End.?,W-Alp.,123,6,10,
Sedum alsinefolium,Sedum,,alsinefolium,,,End.,W-Alp.,61,4,15,
Sedum fragrans,Sedum,,fragrans,,,Subend.,W-Alp.,61,4,16,
Sempervivum calcareum,Sempervivum,,calcareum,,,Subend.,W-Alp.,61,2,8,
Sempervivum dolomiticum,Sempervivum,,dolomiticum,,,End.,E-Alp.,61,2,6,
Sempervivum grandiflorum,Sempervivum,,grandiflorum,,,End.,W-Alp.,61,2,2,
Sempervivum montanum,Sempervivum,,montanum,subsp.    ,stiriacum,End.,E-Alp.,61,2,5,3
Sempervivum pittonii,Sempervivum,,pittonii,,,End.,E-Alp.,61,2,3,
Sempervivum wulfenii,Sempervivum,,wulfenii,,,End.,E-Alp.,61,2,1,
Senecio fontanicola,Senecio,,fontanicola,,,Subend.,E-Alp.,124,48,11,
Senecio halleri,Senecio,,halleri,,,End.,W-Alp.,124,48,4,
Senecio incanus,Senecio,,incanus,subsp.    ,insubricus,End.,E-Alp.,124,48,2,3
Senecio persoonii,Senecio,,persoonii,,,End.,W-Alp.,124,48,3,
Seseli annuum,Seseli,,annuum,subsp.    ,carvifolium,End.?,W-Alp.,97,20,8,2
Sesleria ovata,Sesleria,,ovata,,,End.,E-Alp.,139,16,1,
Sesleria sphaerocephala,Sesleria,,sphaerocephala,,,End.,E-Alp.,139,16,2,
Silene campanula,Silene,,campanula,,,End.,W-Alp.,38,22,18,
Silene cordifolia,Silene,,cordifolia,,,End.,W-Alp.,38,22,14,
Silene elisabethae,Silene,,elisabethae,,,End.,E-Alp.,38,22,13,
Silene petrarchae,Silene,,petrarchae,,,End.,W-Alp.,38,22,17,
Silene pudibunda,Silene,,pudibunda,,,End.?,E-Alp.,38,22,25,
Silene quadrifida,Silene,,quadrifida,,,Subend.,E-Alp./Illyr.,38,22,27,
Silene vallesia,Silene,,vallesia,,,End.,W-Alp.,38,22,16,
Silene veselskyi,Silene,,veselskyi,,,Subend.,E-Alp.,38,22,26,
Soldanella austriaca,Soldanella,,austriaca,,,End.,E-Alp.,60,4,3,
Soldanella major,Soldanella,,major,,,End.,E-Alp.,60,4,5,
Soldanella minima,Soldanella,,minima,,,Subend.,E-Alp.,60,4,2,
Spiraea decumbens,Spiraea,,decumbens,subsp.    ,decumbens,End.,E-Alp.,63,2,4,1
Spiraea decumbens,Spiraea,,decumbens,subsp.    ,hacquetii,End.,E-Alp.,63,2,4,2
Stemmacantha heleniifolia,Stemmacantha,,heleniifolia,subsp.    ,bicknellii,End.,W-Alp.,124,67,2,2
Stemmacantha heleniifolia,Stemmacantha,,heleniifolia,subsp.    ,heleniifolia,End.,W-Alp.,124,67,2,1
Stemmacantha rhapontica,Stemmacantha,,rhapontica,subsp.    ,lamarckii,End.,W-Alp.,124,67,1,2
Stemmacantha rhapontica,Stemmacantha,,rhapontica,subsp.    ,rhapontica,End.,E-Alp.,124,67,1,1
Stipa styriaca,Stipa,,styriaca,,,End.,E-Alp.,139,56,4,
Taraxacum handelii,Taraxacum,,handelii,,,End.,E-Alp.,124,93,1,
Taraxacum pacheri,Taraxacum,,pacheri,,,End.,Alp.,124,93,3,
Taraxacum reichenbachii,Taraxacum,,reichenbachii,,,End.,E-Alp.,124,93,2,
Telekia speciosissima,Telekia,,speciosissima,,,End.,E-Alp.,124,20,2,
Tephroseris balbisiana,Tephroseris,,balbisiana,,,End.,W-Alp.,124,49,5,
Tephroseris pseudocrispa,Tephroseris,,pseudocrispa,,,Subend.,E-Alp.,124,49,8,
Tephroseris serpentini,Tephroseris,,serpentini,,,End.,E-Alp.,124,49,2,
Teucrium lucidum,Teucrium,,lucidum,,,End.,W-Alp.,108,2,6,
Thlaspi alpestre,Thlaspi,,alpestre,,,End.,E-Alp.,54,50,11,
Thlaspi alpinum,Thlaspi,,alpinum,subsp.    ,alpinum,End.,E-Alp.,54,50,10,1
Thlaspi alpinum,Thlaspi,,alpinum,subsp.    ,sylvium,End.,W-Alp.,54,50,10,2
Thlaspi rotundifolium,Thlaspi,,rotundifolium,subsp.    ,cepaeifolium,End.,E-Alp.,54,50,12,2
Thlaspi rotundifolium,Thlaspi,,rotundifolium,subsp.    ,corymbosum,End.,W-Alp.,54,50,12,3
Thlaspi rotundifolium,Thlaspi,,rotundifolium,subsp.    ,grignense,End.,E-Alp.,54,50,12,4
Thlaspi rotundifolium,Thlaspi,,rotundifolium,subsp.    ,rotundifolium,End.,Alp.,54,50,12,1
Thymus widderi,Thymus,,widderi,,,End.,E-Alp.,108,25,8,
Trifolium saxatile,Trifolium,,saxatile,,,End.,W-Alp.,64,33,21,
Trisetum cavanillesii,Trisetum,,cavanillesii,,,End.,W-Alp.,139,38,6,
Valeriana celtica,Valeriana,,celtica,subsp.    ,celtica,End.,W-Alp.,122,2,14,1
Valeriana celtica,Valeriana,,celtica,subsp.    ,norica,End.,E-Alp.,122,2,14,2
Valeriana elongata,Valeriana,,elongata,,,Subend.,E-Alp.,122,2,15,
Valeriana versifolia,Valeriana,,versifolia,,,End.?,Alp.?,122,2,5,
Veronica allionii,Veronica,,allionii,,,End.,W-Alp.,114,17,14,
Veronica chamaedrys,Veronica,,chamaedrys,subsp.    ,micans,End.?,E-Alp.,114,17,15,3
Viola calcarata,Viola,,calcarata,subsp.    ,calcarata,Subend.,W-Alp.,49,1,27,1
Viola calcarata,Viola,,calcarata,subsp.    ,villarsiana,End.,W-Alp.,49,1,27,3
Viola cenisia,Viola,,cenisia,,,End.,W-Alp.,49,1,22,
Viola comollia,Viola,,comollia,,,End.,E-Alp.,49,1,23,
Viola culminis,Viola,,culminis,,,End.,E-Alp.,49,1,28,
Viola dubyana,Viola,,dubyana,,,End.,E-Alp.,49,1,30,
Viola pinnata,Viola,,pinnata,,,Subend.,Alp.,49,1,19,
Viola thomasiana,Viola,,thomasiana,,,End.,Alp.,49,1,7,
Viola valderia,Viola,,valderia,,,End.,W-Alp.,49,1,24,
