code_cbna;G_SP
4763;Phyteuma ovatum
4776;Phyteuma spicatum
17363;Picea abies
2718;Picris hieracioides
561;Pimpinella major
564;Pimpinella saxifraga
8985;Pinguicula alpina
9004;Pinguicula vulgaris
17370;Pinus cembra
17384;Pinus mugo
17387;Pinus nigra
17396;Pinus sylvestris
17400;Pinus uncinata
9612;Plantago alpina
9618;Plantago atrata
9638;Plantago holosteum
9655;Plantago lanceolata
9663;Plantago major
9668;Plantago maritima
9668;Plantago maritima serpentina
9670;Plantago media
9685;Plantago sempervirens
15208;Platanthera bifolia
15211;Platanthera chlorantha
572;Pleurospermum austriacum
16696;Poa alpina
16702;Poa annua
16709;Poa badensis
16716;Poa bulbosa
16723;Poa cenisia
16725;Poa chaixii
16427;Poa glauca
16746;Poa humilis
16750;Poa laxa
16758;Poa nemoralis
16765;Poa perconcinna
16767;Poa pratensis
16782;Poa supina
16786;Poa trivialis
5742;Polycnemum majus
9948;Polygala alpestris
9949;Polygala alpina
9955;Polygala amarella
9958;Polygala calcarea
9962;Polygala chamaebuxus
9963;Polygala comosa
9982;Polygala vulgaris
13812;Polygonatum odoratum
13814;Polygonatum verticillatum
10037;Polygonum amphibium
10042;Polygonum aviculare
10053;Polygonum bistorta
10106;Polygonum viviparum
17749;Polypodium interjectum
17750;Polypodium vulgare
17626;Polystichum aculeatum
17635;Polystichum lonchitis
11993;Populus alba
12002;Populus nigra
12010;Populus tremula
17076;Potamogeton alpinus
11200;Potentilla argentea
11202;Potentilla aurea
11209;Potentilla caulescens
11214;Potentilla cinerea
11219;Potentilla crantzii
11223;Potentilla delphinensis
11225;Potentilla erecta
11230;Potentilla frigida
11233;Potentilla grandiflora
11238;Potentilla hirta
11241;Potentilla inclinata
11256;Potentilla neumanniana
40557;Potentilla nivalis
11277;Potentilla reptans
11278;Potentilla rupestris
11290;Potentilla thuringiaca
2740;Prenanthes purpurea
10339;Primula elatior
10342;Primula farinosa
10348;Primula hirsuta
10352;Primula latifolia
40558;Primula pedemontana
40558;Primula pedemontana pedemontana
10362;Primula veris
10377;Primula vulgaris
4360;Pritzelago alpina
4361;Pritzelago alpina alpina
8706;Prunella grandiflora
8710;Prunella laciniata
8712;Prunella vulgaris
11313;Prunus avium
11325;Prunus domestica
11332;Prunus dulcis
11336;Prunus mahaleb
11340;Prunus padus
11354;Prunus spinosa
15214;Pseudorchis albida
17552;Pteridium aquilinum
40158;Pteroselinum austriacum
579;Ptychotis saxifraga
3612;Pulmonaria angustifolia
3612;Pulmonaria longifolia
3619;Pulmonaria montana
3629;Pulmonaria saccharata
10590;Pulsatilla alpina
0;Pulsatilla halleri
10602;Pulsatilla montana
10611;Pulsatilla vernalis
6470;Pyrola chlorantha
6472;Pyrola media
6473;Pyrola minor
6477;Pyrola rotundifolia
11364;Pyrus pyraster
7916;Quercus petraea
7920;Quercus pubescens
7923;Quercus robur
10620;Ranunculus aconitifolius
10622;Ranunculus acris
10626;Ranunculus aduncus
10637;Ranunculus arvensis
10638;Ranunculus auricomus
10646;Ranunculus bulbosus
10691;Ranunculus glacialis
10693;Ranunculus gramineus
10780;Ranunculus grenierianus
10699;Ranunculus kuepferi
10702;Ranunculus lanuginosus
40620;Ranunculus montanus
10730;Ranunculus parnassifolius
10750;Ranunculus platanifolius
10752;Ranunculus polyanthemophyllus
10692;Ranunculus pyrenaeus
10764;Ranunculus repens
40559;Ranunculus seguieri
10791;Ranunculus trichophyllus
40621;Ranunculus tuberosus
10865;Reseda lutea
10867;Reseda phyteuma
40622;Reynoutria japonica
10895;Rhamnus alpina
10896;Rhamnus cathartica
10905;Rhamnus pumila
10908;Rhamnus saxatilis
2605;Rhaponticum coniferum
3013;Rhaponticum scariosum
12696;Rhinanthus alectorolophus
12719;Rhinanthus glacialis
12734;Rhinanthus minor
12740;Rhinanthus ovifugus
6483;Rhododendron ferrugineum
8256;Ribes alpinum
8259;Ribes petraeum
8263;Ribes uva-crispa
16828;Roegneria canina
4390;Rorippa amphibia
4395;Rorippa islandica
40560;Rorippa sylvestris
11380;Rosa agrestis
11386;Rosa caesia
11388;Rosa canina
11398;Rosa corymbifera
11402;Rosa elliptica
11405;Rosa ferruginea
11415;Rosa micrantha
11417;Rosa montana
11422;Rosa pendulina
11423;Rosa pimpinellifolia
11429;Rosa rubiginosa
11416;Rosa villosa
11449;Rosa vosagiaca
40228;Rosa x
11491;Rubus caesius
11495;Rubus canescens
11509;Rubus corylifolius
40623;Rubus fruticosus
11557;Rubus gremlii
11573;Rubus idaeus
11664;Rubus saxatilis
11700;Rubus ulmifolius
10113;Rumex acetosa
10119;Rumex acetosella
10182;Rumex alpinus
10130;Rumex arifolius
10147;Rumex crispus
10169;Rumex obtusifolius
10182;Rumex pseudoalpinus
10192;Rumex scutatus
5327;Sagina glabra
5336;Sagina procumbens
5345;Sagina saginoides
12016;Salix alba
12025;Salix appendiculata
12030;Salix aurita
12037;Salix breviserrata
12040;Salix caprea
12043;Salix cinerea
12047;Salix daphnoides
12049;Salix eleagnos
12051;Salix foetida
12055;Salix glaucosericea
12057;Salix hastata
12060;Salix herbacea
12062;Salix laggeri
12068;Salix myrsinifolia
12075;Salix pentandra
12078;Salix purpurea
12083;Salix repens
12086;Salix reticulata
12087;Salix retusa
12090;Salix serpyllifolia
12091;Salix triandra
40459;Salix x
8722;Salvia glutinosa
8742;Salvia pratensis
4838;Sambucus ebulus
4839;Sambucus nigra
4842;Sambucus racemosa
11710;Sanguisorba minor
11718;Sanguisorba officinalis
586;Sanicula europaea
5354;Saponaria ocymoides
5357;Saponaria officinalis
8773;Satureja montana
2783;Saussurea alpina
2785;Saussurea alpina depressa
2787;Saussurea discolor
12130;Saxifraga aizoides
12133;Saxifraga androsacea
12137;Saxifraga aspera
40605;Saxifraga biflora
40605;Saxifraga biflora biflora
12144;Saxifraga bryoides
12164;Saxifraga cuneifolia
12178;Saxifraga exarata
12180;Saxifraga exarata exarata
12183;Saxifraga exarata moschata
12184;Saxifraga exarata pseudoexarata
12194;Saxifraga granulata
12183;Saxifraga moschata
12236;Saxifraga oppositifolia
12241;Saxifraga paniculata
12256;Saxifraga retusa
12264;Saxifraga rotundifolia
12274;Saxifraga stellaris
12274;Saxifraga stellaris robusta
6333;Scabiosa columbaria
6349;Scabiosa lucida
6366;Scabiosa triandra
14249;Schoenus nigricans
14307;Scirpus sylvaticus
8417;Scleranthus annuus
8427;Scleranthus perennis
2793;Scorzonera austriaca
2802;Scorzonera hispanica
2501;Scorzoneroides autumnalis
2527;Scorzoneroides pyrenaica
2527;Scorzoneroides pyrenaica helvetica
12755;Scrophularia canina
12766;Scrophularia lucida
12770;Scrophularia nodosa
12772;Scrophularia peregrina
8779;Scutellaria alpina
7551;Securigera varia
6101;Sedum acre
6104;Sedum album
6107;Sedum alpestre
6111;Sedum anacampseros
6116;Sedum annuum
6146;Sedum anopetalum
40567;Sedum atratum
40567;Sedum atratum atratum
6126;Sedum dasyphyllum
6142;Sedum montanum
6162;Sedum rupestre
6169;Sedum sediforme
6170;Sedum sexangulare
6175;Sedum telephium
40252;Sedum x
17769;Selaginella selaginoides
6190;Sempervivum arachnoideum
6201;Sempervivum montanum
6207;Sempervivum tectorum
40303;Sempervivum x
40568;Senecio doria
2843;Senecio doronicum
2847;Senecio erucifolius
2867;Senecio incanus
2898;Senecio ovatus
2918;Senecio squalidus
2925;Senecio viscosus
2942;Serratula tinctoria
617;Seseli annuum
16860;Sesleria caerulea
16894;Setaria viridis
11721;Sibbaldia procumbens
647;Silaum silaus
5361;Silene acaulis
5362;Silene acaulis acaulis
5363;Silene acaulis bryoides
5373;Silene armeria
5399;Silene dioica
5405;Silene flos-cuculi
5406;Silene flos-jovis
5423;Silene italica
5504;Silene latifolia
5456;Silene nutans
5464;Silene otites
5473;Silene pusilla
5479;Silene rupestris
5482;Silene saxifraga
5498;Silene vallesia
5504;Silene vulgaris
5507;Silene vulgaris glareosa
5512;Silene vulgaris prostrata
5514;Silene vulgaris vulgaris
4412;Sinapis alba
4416;Sinapis arvensis
4439;Sisymbrium austriacum
12953;Solanum dulcamara
10379;Soldanella alpina
2957;Solidago gigantea
2967;Solidago virgaurea
2969;Solidago virgaurea alpestris
2974;Solidago virgaurea virgaurea
2979;Sonchus arvensis
2992;Sonchus oleraceus
11726;Sorbus aria
11729;Sorbus aucuparia
11732;Sorbus chamaemespilus
11734;Sorbus domestica
11736;Sorbus mougeotii
40357;Sorbus x
17144;Sparganium angustifolium
17146;Sparganium emersum
17147;Sparganium erectum
8822;Stachys annua
8846;Stachys officinalis
8848;Stachys pradica
8849;Stachys recta
8853;Stachys sylvatica
3006;Staehelina dubia
5564;Stellaria alsine
5571;Stellaria graminea
5572;Stellaria holostea
5573;Stellaria media
5580;Stellaria nemorum
16928;Stipa capillata
16931;Stipa eriocaulis
40604;Stipa pennata
13816;Streptopus amplexifolius
6375;Succisa pratensis
8108;Swertia perennis
3641;Symphytum officinale
3645;Symphytum tuberosum
14325;Tamus communis
3023;Tanacetum corymbosum
40028;Taraxacum alpinum
0;Taraxacum campylodes
3069;Taraxacum dissectum
3076;Taraxacum erythrospermum
3080;Taraxacum fulvum
40626;Taraxacum officinale
3151;Taraxacum rubicundum
3158;Taraxacum sellandii
17408;Taxus baccata
40597;Telephium imperati
7175;Tetragonolobus maritimus
8863;Teucrium chamaedrys
8885;Teucrium montanum
8901;Teucrium scordium
8905;Teucrium scorodonia
40569;Thalictrum aquilegiifolium
10818;Thalictrum foetidum
10826;Thalictrum minus
10838;Thalictrum simplex
12115;Thesium alpinum
12109;Thesium divaricatum
12110;Thesium humifusum
12117;Thesium linophyllon
4509;Thlaspi arvense
8953;Thymus froelichianus
8937;Thymus glabrescens
8932;Thymus longicaulis
8937;Thymus oenipontanus
8943;Thymus polytrichus
8943;Thymus praecox
8948;Thymus pulegioides
40603;Thymus serpyllum
13077;Tilia cordata
13081;Tilia platyphyllos
14854;Tofieldia calyculata
3209;Tolpis staticifolia
691;Torilis japonica
40571;Tozzia alpina
3213;Tragopogon crocifolius
3215;Tragopogon dubius
3228;Tragopogon porrifolius
3233;Tragopogon pratensis
15246;Traunsteinera globosa
14314;Trichophorum alpinum
14316;Trichophorum cespitosum
7579;Trifolium alpestre
7580;Trifolium alpinum
7586;Trifolium arvense
7589;Trifolium aureum
7590;Trifolium badium
7599;Trifolium campestre
7608;Trifolium diffusum
7651;Trifolium medium
7660;Trifolium montanum
7668;Trifolium ochroleucon
7672;Trifolium pallescens
7680;Trifolium pratense
7696;Trifolium repens
7709;Trifolium rubens
7712;Trifolium saxatile
7739;Trifolium thalii
14734;Triglochin palustre
7759;Trigonella monspeliaca
701;Trinia glauca
16968;Trisetum distichophyllum
16975;Trisetum flavescens
16986;Trisetum spicatum
16986;Trisetum spicatum ovatipaniculatum
16991;Triticum aestivum
16995;Triticum durum
10845;Trollius europaeus
14844;Tulipa sylvestris
4548;Turritis glabra
3244;Tussilago farfara
17167;Typha latifolia
13100;Ulmus glabra
13102;Ulmus minor
13120;Urtica dioica
6490;Vaccinium myrtillus
6492;Vaccinium uliginosum
6493;Vaccinium uliginosum microphyllum
40566;Vaccinium vitis-idaea
13146;Valeriana dioica
13153;Valeriana montana
40630;Valeriana officinalis
13173;Valeriana rotundifolia
13176;Valeriana saliunca
13179;Valeriana tripteris
13181;Valeriana tuberosa
13189;Valerianella dentata
13195;Valerianella locusta
14860;Veratrum album
14860;Veratrum lobelianum
12792;Verbascum chaixii
12800;Verbascum lychnitis
12803;Verbascum nigrum
12809;Verbascum pulverulentum
12814;Verbascum thapsus
13218;Verbena officinalis
12821;Veronica agrestis
12825;Veronica allionii
12826;Veronica alpina
12827;Veronica anagallis-aquatica
12832;Veronica aphylla
12833;Veronica arvensis
12834;Veronica austriaca
12840;Veronica beccabunga
12841;Veronica bellidioides
12844;Veronica catenata
12845;Veronica chamaedrys
12852;Veronica fruticans
12853;Veronica fruticulosa
12856;Veronica hederifolia
12870;Veronica officinalis
12875;Veronica persica
12887;Veronica serpyllifolia
12889;Veronica serpyllifolia humifusa
12892;Veronica spicata
12900;Veronica triphyllos
12901;Veronica urticifolia
12902;Veronica verna
4847;Viburnum lantana
4849;Viburnum opulus
7796;Vicia cracca
7817;Vicia hirsuta
7819;Vicia hybrida
7840;Vicia onobrychioides
7854;Vicia sativa
7867;Vicia sepium
7871;Vicia sylvatica
7875;Vicia tenuifolia
7877;Vicia tetrasperma
711;Vinca minor
761;Vincetoxicum hirundinaria
13241;Viola biflora
13243;Viola calcarata
13249;Viola canina
13262;Viola cenisia
13276;Viola hirta
40273;Viola laricicola
13291;Viola mirabilis
13298;Viola odorata
13304;Viola palustris
13313;Viola pyrenaica
13314;Viola reichenbachiana
13315;Viola riviniana
40565;Viola rupestris
40565;Viola rupestris rupestris
13333;Viola suavis
13335;Viola thomasiana
13322;Viola tricolor
13354;Viscum album
17838;Woodsia alpina
3285;Xeranthemum inapertum
99991;Zz Lichens
