"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Persistent",163,263.51901332379,276.147733964979,4.94507953273378,12,-2.55379525396792,0.011988011988012,1000
"Summits",214,276.166144473784,276.166144473784,0,501,NA,0.500499500499501,1000
