"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Persistent",17,121.797618117647,125.016537498029,4.55647192015689,136,-0.706449954435693,0.135864135864136,1000
"Summits",19,124.752208877193,124.752208877193,0,501,NA,0.500499500499501,1000
