"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Persistent",17,55.1041172352941,47.1444701977059,5.8285278663935,834,1.36563592386381,0.833166833166833,1000
"Summits",19,44.4506242105263,44.4506242105263,0,501,NA,0.500499500499501,1000
