"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Persistent",28,22.0372388928571,24.7163283021071,2.75743208016549,163,-0.971588540120711,0.162837162837163,1000
"Summits",39,21.0016260769231,21.0016260769231,0,501,NA,0.500499500499501,1000
