"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Barre des Ecrins",39,60.8163753589744,71.0332884173931,9.41996661303779,136,-1.08460183333112,0.136,999
"Brevoort",10,164.0896962,70.8329421662427,9.33434398868177,1000,9.99071323564189,1,999
"Burlan",31,91.5740416129032,71.0435160707305,9.91364896947126,972,2.0709352938959,0.972,999
"Choisy",16,114.1362109375,71.4961649222047,9.59326524495074,1000,4.44478964424946,1,999
"La Meije",33,73.338696030303,71.0351990669756,10.1571282057251,611,0.226786244760512,0.611,999
"Lauvitel",95,44.4948648421053,71.6020051512161,9.83289027718007,2,-2.75678254765238,0.002,999
"Muraillette",62,54.293200016129,71.0818938389426,9.34092887305761,28,-1.79732594594932,0.028,999
"Occidentale Ailefroide",28,78.658892,70.84790216404,9.61066273571997,791,0.812742060641551,0.791,999
"Olan",59,65.4489276101695,71.0431200318269,9.48270434061081,293,-0.589936395854886,0.293,999
"Pelvoux",13,141.391363846154,71.5200574948701,9.42784068960116,1000,7.41116748274621,1,999
"Persistent",164,71.590894483871,70.9490746735467,9.55233254541256,531,0.0671898520359251,0.531,999
"Plat de la Selle",31,52.440235617284,71.2802479806632,9.80015242726921,26,-1.92242034021394,0.026,999
"Rateau",81,46.2046453135593,71.370416099924,9.88214455091231,1,-2.54659002979686,0.001,999
"Rocher de la Selle",118,75.866448975,71.3294699794257,9.94804883386849,701,0.456067221958944,0.701,999
"Rouies",40,50.6984904444444,71.4156938622838,9.65043972580765,9,-2.14676263532702,0.009,999
"Sirac",72,39.5226386463415,71.1190884578098,9.2627198525815,1,-3.41114168563162,0.001,999
