"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Barre des Ecrins",40,60.1690311,90.0633159444695,14.7917067898147,18,-2.02101659188203,0.018,999
"Brevoort",11,133.958141,156.725876880153,36.1247040078827,268,-0.63025390810634,0.268,999
"Burlan",33,84.8327668484849,98.9923256671823,16.1688520728733,206,-0.875730618035225,0.206,999
"Choisy",17,97.5777625882353,132.436222323029,26.8579710255074,91,-1.29788135156182,0.091,999
"La Meije",36,71.64471025,95.0886874411078,15.5662241359576,63,-1.50607989364311,0.063,999
"Lauvitel",96,43.750032875,59.0455533240845,6.64148778727831,13,-2.30302621023905,0.013,999
"Muraillette",62,54.293200016129,73.2963999460428,9.44735261680962,21,-2.01148413748223,0.021,999
"Occidentale Ailefroide",29,82.6647652413793,104.566075792448,17.7326533092395,104,-1.23508367130015,0.104,999
"Olan",63,78.9228341428571,73.0859375328503,9.41738363802209,732,0.619800236919385,0.732,999
"Pelvoux",16,182.4679245,133.872753996747,26.4536462163236,958,1.8369932865159,0.958,999
"Plat de la Selle",31,71.590894483871,101.708807298331,17.035597379773,32,-1.76793992855336,0.032,999
"Rateau",100,55.92053351,57.3499575186687,5.82982272104065,403,-0.245191676842878,0.403,999
"Rocher de la Selle",150,47.9580126333333,47.0644129570504,3.68589735106491,583,0.242437482971353,0.583,999
"Rouies",40,75.866448975,90.2196022143644,13.7499373906928,159,-1.04387044329961,0.159,999
"Sirac",76,49.7230208026316,66.2007067232232,8.26430675379062,22,-1.99383764561181,0.022,999
"Summits",215,39.0052656,39.0052656,0,500.5,NA,0.5005,999
