"","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"Ecrins NP",0,4.58161184786303,5.90230172023405,3.3515791467441,3.03228408346471,3.36715353396221,3.16560776619982,4.17812106535129,2.52480794297548,0.906332233529038,-2.24778518738195,1.96745988511242,0.889079491502068,1.94123745247437,3.74274606451437,1.64806020035812,3.56674743481765,3.68763166759342,4.55327952445581
"Summits",4.58161184786303,0,3.90237348986922,0.312476347359524,0.848477137783498,1.14873810284767,1.07563819345845,1.83119591147108,0.152866702938787,-2.39454769615523,-4.99932251732011,-0.291125884189684,-1.30938943896205,-0.370842649161439,0.019735998106459,-0.592339059473318,1.08137280371468,0.67704238928686,1.9797526523976
"Persistent",5.90230172023405,3.90237348986922,0,-2.32955140537527,-0.570406801081277,-0.0723662684498634,-0.321098865977076,0.333425165099043,-1.43328659254763,-5.68207189782707,-7.51384898794002,-2.07694105049971,-0.472926289146294,-0.890854885267686,-0.20559081152486,-0.664874769013164,-0.668231861914598,-2.14772939984727,-0.143715465887595
"Under Ice",3.3515791467441,0.312476347359524,-2.32955140537527,0,0.69963104931642,1.49066847199073,1.34433917419286,1.41159617167276,0.243747888899196,-1.93469565255556,-2.72504133942631,-0.488493002636185,-0.0289276717914217,-0.604570957800455,0.331418519919207,0.410226912461769,0.711647333640112,0.272628562084147,1.48659142005838
"Plat de la Selle",3.03228408346471,0.848477137783498,-0.570406801081277,0.69963104931642,0,-0.117944925785571,-0.378632459784947,0.256993110191731,1.11156958613651,2.78042581693903,-3.17034825101161,-0.531102158378722,-1.34322493286604,0.897856042351494,0.667873723767451,-0.883728309372243,0.527068027970936,0.433426233484607,0.0137289300365612
"Barre des Ecrins",3.36715353396221,1.14873810284767,-0.0723662684498634,1.49066847199073,-0.117944925785571,0,0.083784511154877,0.308549745205294,0.714598094099653,3.51562207971516,-3.56862365043726,-1.09921972838415,-0.265154692777678,-1.48929807346432,1.73441334578496,-0.132841400650056,1.11772205289499,1.34420999275086,0.824885131234437
"La Meije",3.16560776619982,1.07563819345845,-0.321098865977076,1.34433917419286,-0.378632459784947,0.083784511154877,0,0.0699999093170453,1.82632589522583,2.63314146505939,-3.04277677016974,-1.15858423057887,-1.52403316221111,-0.293557039841904,1.12290102670621,-0.652410996601178,2.11358369090228,1.30846132769263,0.992296963609312
"Sirac",4.17812106535129,1.83119591147108,0.333425165099043,1.41159617167276,0.256993110191731,0.308549745205294,0.0699999093170453,0,-0.899071137576251,0.267402911175061,-4.85969818053838,-0.567520499206503,-1.04500788909005,-1.23372264649946,1.87532275180081,-0.482072823156311,-0.473683871057377,0.976576226778527,0.334713766161761
"Rouies",2.52480794297548,0.152866702938787,-1.43328659254763,0.243747888899196,1.11156958613651,0.714598094099653,1.82632589522583,-0.899071137576251,0,2.18263083575793,-3.07149881144227,-0.0722291638409719,0.131117782683834,-0.585234372096584,1.04414876899445,0.272520177159739,0.081977901609427,0.652373029048844,-0.148766519621235
"Olan",0.906332233529038,-2.39454769615523,-5.68207189782707,-1.93469565255556,2.78042581693903,3.51562207971516,2.63314146505939,0.267402911175061,2.18263083575793,0,-2.09507554930843,2.03179553770784,1.06565471087906,1.50733624928534,-1.3745001884956,1.46997570761919,4.32953718063209,-2.19245102299758,-3.30871809822959
