"","aiguille.du.plat.de.la.selle","barre.des.Ecrins","brèche.de.valsenestre","brèche.du.râteau","EcrinsNP","la.meije","le.râteau","le.sirac","les.rouies","l.olan","mont.pelvoux","occidentale.l.ailefroide","persistant","pic.du.clapier.du.peyron","pic.ouest..le.rateau.","pointe.brevoort","pointes.de.burlan","rocher.de.la.selle","signal.du.lauvitel","Summits","tête.de.la.muraillette","tour.choisy","underIce"
"aiguille.du.plat.de.la.selle",0,287.505222928028,277.53304606391,277.35544898293,304.976618843639,277.087872871378,341.261569411256,299.16278203797,287.285035302288,299.53399162206,418.957717774238,297.125090414787,293.911873130934,278.130288711131,308.446721267695,276.175440568421,278.651707158411,291.638806812543,303.368189262129,294.71099933908,286.413635605263,277.756495575188,305.049699415347
"barre.des.Ecrins",287.505222928028,0,283.147638820138,278.055875145067,308.051466464031,263.444116035332,346.604967879606,301.341630685972,279.663227704767,295.965773798855,419.988931248573,293.415543231784,292.208121513867,269.510110594031,311.64792858413,262.998095625904,273.876502206709,293.677292824592,301.729036888874,292.591090530759,283.386293752085,267.543568696041,305.279383948064
"brèche.de.valsenestre",277.53304606391,283.147638820138,0,276.203893664093,302.525147903718,270.320592689406,340.537984009906,296.173338052041,283.033448303727,295.192154489868,413.465681003759,289.385248489796,289.901859462028,271.520168699507,306.661028352217,269.341787214286,272.549482292717,288.571856095461,298.358884665204,290.552800135754,281.083136892857,273.822279002041,302.317719928109
"brèche.du.râteau",277.35544898293,278.055875145067,276.203893664093,0,301.36900360403,262.192711427118,340.659840869895,295.934275463127,276.045656279083,291.697614753211,415.205614976529,288.081046054054,287.346474043923,266.463747743399,302.514489736719,263.517380002027,269.268409336778,287.907541569563,296.595655742639,287.776417093271,277.398946951923,265.777608866795,298.590134548456
"EcrinsNP",304.976618843639,308.051466464031,302.525147903718,301.36900360403,0,291.932215833043,360.534043135142,319.554433664861,302.495974826204,316.377265163467,432.212805121711,315.152008705971,313.526862035719,294.906328863998,333.998025706084,292.397603049988,294.428245402222,313.313082069112,322.400546331443,313.80015431209,302.736147325017,294.960660269597,325.632720513893
"la.meije",277.087872871378,263.444116035332,270.320592689406,262.192711427118,291.932215833043,0,331.957331555811,285.765803532665,257.837483126624,275.888738810184,406.871802604376,275.616067865704,274.683948838528,248.223847648263,299.036301864006,240.147370975843,255.101363054417,278.45463890356,283.973675024229,274.837205474269,264.389689987035,245.825753947031,289.179977491255
"le.râteau",341.261569411256,346.604967879606,340.537984009906,340.659840869895,360.534043135142,331.957331555811,0,355.590587068561,340.841132396001,353.986425644199,468.12161189781,354.341114264859,350.976192042906,335.272624094177,370.575025510949,333.307361873723,335.0757107076,350.98719571159,358.833246696448,351.372882060944,341.832524471224,335.436001725339,361.943993107387
"le.sirac",299.16278203797,301.341630685972,296.173338052041,295.934275463127,319.554433664861,285.765803532665,355.590587068561,0,297.299517767764,310.891753611398,431.291257371053,309.503174877891,307.785775199558,289.26177412422,327.655921497291,286.449955008214,288.96193377577,307.7449269147,316.610219038986,308.170501008671,297.867477744231,289.809306807959,320.299159874041
"les.rouies",287.285035302288,279.663227704767,283.033448303727,276.045656279083,302.495974826204,257.837483126624,340.841132396001,297.299517767764,0,289.575396499907,415.599390012357,286.921691996273,288.001065541952,263.339400772964,313.535440233283,258.356955068696,268.840036522251,289.99057200985,297.171313154724,287.808734936836,277.041525763044,262.693976427329,301.619459957225
"l.olan",299.53399162206,295.965773798855,295.192154489868,291.697614753211,316.377265163467,275.888738810184,353.986425644199,310.891753611398,289.575396499907,0,426.492344075774,303.435405981425,303.200316906415,281.475389448235,325.067449378332,277.01773183156,285.301275243082,304.591610027839,311.993630071239,303.298056213213,292.481365425259,280.609040335562,316.511244004407
"mont.pelvoux",418.957717774238,419.988931248573,413.465681003759,415.205614976529,432.212805121711,406.871802604376,468.12161189781,431.291257371053,415.599390012357,426.492344075774,0,422.038513706767,425.496510767504,408.468487247731,442.745352197822,404.781457813158,408.736994144479,425.095959663256,433.001130834754,425.175673095005,416.799141604251,407.453446350376,434.89940369937
"occidentale.l.ailefroide",297.125090414787,293.415543231784,289.385248489796,288.081046054054,315.152008705971,275.616067865704,354.341114264859,309.503174877891,286.921691996273,303.435405981425,422.038513706767,0,301.367840818402,278.878236104817,322.038335817734,274.994187445238,282.374678146592,302.242367298709,309.992325487098,301.229450283477,289.948435933608,279.726771440816,313.59660201464
"persistant",293.911873130934,292.208121513867,289.901859462028,287.346474043923,313.526862035719,274.683948838528,350.976192042906,307.785775199558,288.001065541952,303.200316906415,425.496510767504,301.367840818402,0,278.891905940378,320.356992705072,275.082339568065,281.781345813903,300.770009570418,308.840677504477,300.406005520771,290.05760631768,278.597006667005,312.998666588903
"pic.du.clapier.du.peyron",278.130288711131,269.510110594031,271.520168699507,266.463747743399,294.906328863998,248.223847648263,335.272624094177,289.26177412422,263.339400772964,281.475389448235,408.468487247731,278.878236104817,278.891905940378,0,303.030495488902,247.868161854023,260.245072367478,281.086286973091,288.249648279169,279.114056928338,268.524867835433,252.217552256979,293.322148752762
"pic.ouest..le.rateau.",308.446721267695,311.64792858413,306.661028352217,302.514489736719,333.998025706084,299.036301864006,370.575025510949,327.655921497291,313.535440233283,325.067449378332,442.745352197822,322.038335817734,320.356992705072,303.030495488902,0,300.075439586207,303.299343162272,320.408870598131,328.411328,321.070031761464,310.975669860743,302.344682971429,330.65262446468
"pointe.brevoort",276.175440568421,262.998095625904,269.341787214286,263.517380002027,292.397603049988,240.147370975843,333.307361873723,286.449955008214,258.356955068696,277.01773183156,404.781457813158,274.994187445238,275.082339568065,247.868161854023,300.075439586207,0,255.774005595098,278.094326058785,284.449423438268,275.112237406222,265.533711872115,244.401250314286,290.15570070712
"pointes.de.burlan",278.651707158411,273.876502206709,272.549482292717,269.268409336778,294.428245402222,255.101363054417,335.0757107076,288.96193377577,268.840036522251,285.301275243082,408.736994144479,282.374678146592,281.781345813903,260.245072367478,303.299343162272,255.774005595098,0,283.056604883086,290.982006901413,282.05736807409,269.872546128959,260.409033738375,294.605482042198
"rocher.de.la.selle",291.638806812543,293.677292824592,288.571856095461,287.907541569563,313.313082069112,278.45463890356,350.98719571159,307.7449269147,289.99057200985,304.591610027839,425.095959663256,302.242367298709,300.770009570418,281.086286973091,320.408870598131,278.094326058785,283.056604883086,0,309.776328758398,301.180911624937,291.07089635532,281.248084447423,313.621571573203
