"","taxized","combinedname","V1","aiguille du plat de la selle","barre des Ecrins","brèche de valsenestre","brèche du râteau","la meije","le râteau","le sirac","les rouies","l'olan","mont pelvoux","occidentale l'ailefroide","pic du clapier du peyron","pic ouest (le rateau)","pointe brevoort","pointes de burlan","rocher de la selle","signal du lauvitel","tour choisy","tête de la muraillette"
"123","Festuca acuminata","Festuca acuminata","Festuca_acuminata","0","0","0","0","0","2","3","0","0","0","0","1","0","0","0","2","0","0","0"
"124","Festuca chalcophaea","Festuca chalcophaea","Festuca_violacea_violacea","1","4","0","2","1","4","3","2","2","0","0","7","1","0","2","4","5","0","2"
"125","Festuca halleri","Festuca halleri","Festuca_halleri_halleri","2","1","0","0","0","2","3","1","6","0","2","5","1","0","1","12","2","0","1"
"126","Festuca laevigata","Festuca laevigata","Festuca_laevigata_crassifolia","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0"
"127","Festuca melanopsis","Festuca melanopsis","Festuca_melanopsis","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"128","Festuca ovina","Festuca ovina subsp. alpina","Festuca_alpina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"129","Festuca rubra","Festuca rubra subsp. commutata","Festuca_nigrescens_nigrescens","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","0","0","0"
"130","Galium commune","Galium commune var. genuinum","Galium_anisophyllon","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"131","Galium pseudohelveticum","Galium pseudohelveticum","Galium_pseudohelveticum","0","0","0","0","0","5","5","0","0","0","0","1","0","0","0","6","2","0","2"
"132","Galium pumilum","Galium pumilum","Galium_pumilum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"133","Gamochaeta norvegica","Gamochaeta norvegica","Omalotheca_norvegica","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"134","Gentiana acaulis","Gentiana acaulis subsp. alpina","Gentiana_alpina","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","5","1","0","1"
"135","Gentiana nivalis","Gentiana nivalis","Gentiana_nivalis","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","1","0","0"
"136","Gentiana verna","Gentiana verna","Gentiana_verna","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1"
"137","Gentianella campestris","Gentianella campestris","Gentianella_campestris","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0"
"138","Gentianusa punctata","Gentianusa punctata","Gentiana_punctata","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0"
"139","Geranium rivulare","Geranium rivulare","Geranium_rivulare","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140","Geranium sylvaticum","Geranium sylvaticum","Geranium_sylvaticum","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"141","Geum reptans","Geum reptans","Geum_reptans","0","1","0","2","3","0","1","5","0","0","1","1","0","0","1","2","0","0","2"
"142","Geum urbanum","Geum urbanum","Geum_urbanum","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"143","Globularia cordifolia","Globularia cordifolia","Globularia_cordifolia","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0"
"144","Gnaphalium supinum","Gnaphalium supinum","Omalotheca_supina","1","0","0","1","1","0","0","2","3","0","0","0","1","0","0","3","1","0","2"
"145","Gymnocarpium robertianum","Gymnocarpium robertianum","Gymnocarpium_robertianum","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"146","Gypsophila repens","Gypsophila repens","Gypsophila_repens","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","2","0","0","1"
"147","Helictotrichon sedenense","Helictotrichon sedenense","Helictotrichon_sedenense_sedenense","0","1","0","0","0","6","1","0","0","0","0","1","0","0","3","16","3","0","3"
"148","Helictotrichon versicolor","Helictotrichon versicolor","Avenula_versicolor_versicolor","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","6","1","0","2"
"149","Herniaria alpina","Herniaria alpina","Herniaria_alpina","0","0","0","0","0","0","2","1","0","0","1","0","0","0","2","1","0","0","0"
"150","Hieracium alpinum","Hieracium alpinum","Hieracium_alpinum","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"151","Hieracium antarcticum","Hieracium antarcticum","Hieracium_glaciale","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"152","Hieracium niphobium","Hieracium niphobium","Hieracium_niphobium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"153","Hieracium piliferum","Hieracium piliferum","Hieracium_piliferum","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0"
"154","Hieracium pilosella","Hieracium pilosella","Hieracium_pilosella","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"155","Hieracium pilosum","Hieracium pilosum","Hieracium_pilosum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"156","Hieracium villosum","Hieracium villosum","Hieracium_villosum","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0"
"157","Homogyne alpina","Homogyne alpina","Homogyne_alpina","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","1"
"158","Hornungia alpina","Hornungia alpina subsp. alpina","Pritzelago_alpina_alpina","0","1","0","2","3","0","0","2","3","0","0","7","0","0","0","3","3","1","1"
"159","Huperzia selago","Huperzia selago","Huperzia_selago_selago","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0"
"160","Hypericum richeri","Hypericum richeri","Hypericum_richeri","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"161","Imperatoria ostruthium","Imperatoria ostruthium","Imperatoria_ostruthium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"162","Jacobaea incana","Jacobaea incana","Jacobaea_incana","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","7","1","0","0"
"163","Juncus trifidus","Juncus trifidus","Juncus_trifidus","0","1","0","0","0","1","3","0","3","1","0","0","1","0","1","6","3","0","0"
"164","Juncus triglumis","Juncus triglumis","Juncus_triglumis","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"165","Juniperus communis","Juniperus communis","Juniperus_communis_nana","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0","0","0"
"166","Juniperus sabina","Juniperus sabina","Juniperus_sabina","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"167","Juniperus sibirica","Juniperus sibirica","Juniperus_sibirica","0","0","0","0","0","2","1","0","1","0","0","0","0","1","0","1","0","0","0"
"168","Kernera saxatilis","Kernera saxatilis","Kernera_saxatilis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"169","Kobresia curvula","Kobresia curvula","Carex_curvula_rosae","0","0","0","0","0","0","1","0","0","0","2","2","0","0","0","2","2","0","1"
"170","Kobresia myosuroides","Kobresia myosuroides","Kobresia_myosuroides","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","1","0","3"
"171","Larix decidua","Larix decidua","Larix_decidua","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"172","Leontodon autumnalis","Leontodon autumnalis","Leontodon_autumnalis","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"173","Leontodon hispidus","Leontodon hispidus","Leontodon_hispidus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"174","Leontodon NA","Leontodon","Scorzoneroides_pyrenaica_helvetica","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0"
"175","Leontodon pyrenaicus","Leontodon pyrenaicus","Leontodon_pyrenaicus_helveticus","1","1","0","0","0","1","2","0","1","0","1","0","0","0","0","2","0","0","1"
"176","Leontopodium brachyactis","Leontopodium brachyactis","Leontopodium_alpinum","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"177","Leontopodium NA","Leontopodium","Leontopodium_nivale","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"178","Leucanthemopsis alpina","Leucanthemopsis alpina","Leucanthemopsis_alpina","3","5","0","6","7","0","5","7","9","0","3","14","1","3","1","11","6","2","3"
"179","Leucanthemum NA","Leucanthemum","Leucanthemum_cuneifolium","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"180","Linaria alpina","Linaria alpina","Linaria_alpina_alpina","0","2","0","1","3","2","3","6","1","0","1","10","0","3","1","7","4","2","1"
"181","Linum alpinum","Linum alpinum","Linum_alpinum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"182","Lloydia serotina","Lloydia serotina","Lloydia_serotina","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","2","0","0","0"
"183","Lotus alpinus","Lotus alpinus","Lotus_alpinus","0","1","0","0","0","2","5","0","1","0","0","0","0","0","3","8","2","0","3"
"184","Luzula alpinopilosa","Luzula alpinopilosa","Luzula_alpinopilosa_alpinopilosa","1","1","0","1","1","0","1","0","1","0","0","0","1","0","0","4","1","0","0"
"185","Luzula campestris","Luzula campestris","Luzula_campestris","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"186","Luzula lutea","Luzula lutea","Luzula_lutea","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","3","2","0","1"
"187","Luzula maxima","Luzula maxima subsp. sieberi","Luzula_sieberi","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"188","Luzula nutans","Luzula nutans","Luzula_nutans","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"189","Luzula spicata","Luzula spicata","Luzula_spicata","1","2","0","5","0","0","3","1","2","1","0","2","1","0","1","5","2","1","0"
"190","Luzula sudetica","Luzula sudetica","Luzula_sudetica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"191","Micranthes stellaris","Micranthes stellaris","Saxifraga_stellaris_robusta","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"192","Minuartia laricifolia","Minuartia laricifolia","Minuartia_laricifolia_laricifolia","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"193","Minuartia oreina","Minuartia oreina","Minuartia_recurva","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"194","Minuartia sedoides","Minuartia sedoides","Minuartia_sedoides","0","1","0","0","1","0","1","2","4","0","3","3","0","1","2","4","3","0","1"
"195","Minuartia verna","Minuartia verna","Minuartia_verna","1","1","0","0","1","0","2","0","0","0","0","4","0","0","1","11","5","0","2"
"196","Murbeckiella pinnatifida","Murbeckiella pinnatifida","Murbeckiella_pinnatifida_pinnatifida","1","0","0","0","0","0","0","2","1","0","1","0","0","0","0","3","1","0","0"
"197","Myosotis alpestris","Myosotis alpestris","Myosotis_alpestris","0","1","1","0","0","2","0","1","0","0","1","2","0","0","0","9","3","0","3"
"198","Myosotis decumbens","Myosotis decumbens","Myosotis_decumbens","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"199","Nardus stricta","Nardus stricta","Nardus_stricta","1","0","0","0","0","1","3","0","0","0","0","0","0","0","0","2","0","0","0"
"200","Noccaea rotundifolia","Noccaea rotundifolia","Noccaea_rotundifolia","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","5","3","0","2"
"201","Omalotheca NA","Omalotheca","Omalotheca_hoppeana","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"202","Oxyria digyna","Oxyria digyna","Oxyria_digyna","0","4","0","6","3","0","0","7","0","0","1","7","1","0","0","2","1","0","0"
"203","Oxytropis campestris","Oxytropis campestris","Oxytropis_campestris","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","2"
"204","Oxytropis helvetica","Oxytropis helvetica","Oxytropis_helvetica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"205","Oxytropis lapponica","Oxytropis lapponica","Oxytropis_lapponica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"206","Pachypleurum NA","Pachypleurum","Pachypleurum_mutellinoides","1","1","0","0","0","0","1","0","3","0","2","0","0","0","0","7","3","0","2"
"207","Papaver aurantiacum","Papaver aurantiacum","Papaver_aurantiacum","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"208","Parageum montanum","Parageum montanum","Geum_montanum","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","5","1","0","2"
"209","Paronychia polygonifolia","Paronychia polygonifolia","Paronychia_polygonifolia","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"210","Pedicularis kerneri","Pedicularis kerneri","Pedicularis_kerneri","0","1","0","1","0","0","0","2","1","0","1","0","0","0","1","0","0","0","0"
"211","Pedicularis rostratospicata","Pedicularis rostratospicata","Pedicularis_rostratospicata_helvetica","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"212","Pedicularis tuberosa","Pedicularis tuberosa","Pedicularis_tuberosa","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"213","Pedicularis verticillata","Pedicularis verticillata","Pedicularis_verticillata","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"214","Phleum alpinum","Phleum alpinum","Phleum_alpinum_rhaeticum","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0"
"215","Phyteuma michelii","Phyteuma michelii subsp. betonicifolium","Phyteuma_betonicifolium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"216","Pilosella peleteriana","Pilosella peleteriana","Hieracium_peleterianum","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"217","Pinguicula vulgaris","Pinguicula vulgaris","Pinguicula_vulgaris","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"218","Plantago maritima","Plantago maritima","Plantago_maritima_serpentina","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"219","Plantago neumannii","Plantago neumannii","Plantago_alpina","1","0","1","0","0","0","3","0","1","0","0","1","0","0","0","6","1","0","1"
"220","Poa alpina","Poa alpina","Poa_alpina","2","3","1","6","2","2","7","6","2","0","2","8","1","0","2","24","10","0","2"
"221","Poa annua","Poa annua","Poa_annua","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"222","Poa cenisia","Poa cenisia","Poa_cenisia","1","0","0","4","2","3","0","0","0","0","0","1","0","0","0","9","2","0","0"
"223","Poa laxa","Poa laxa","Poa_laxa","2","6","0","1","3","0","0","4","2","0","0","4","1","5","0","1","0","4","0"
"224","Poa nemoralis","Poa nemoralis","Poa_nemoralis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"225","Poa supina","Poa supina","Poa_supina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"226","Polygala alpestris","Polygala alpestris","Polygala_alpestris","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"227","Polygala alpina","Polygala alpina","Polygala_alpina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"228","Polygonum aviculare","Polygonum aviculare","Polygonum_aviculare","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"229","Polygonum viviparum","Polygonum viviparum var. viviparum","Persicaria_vivipara","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0"
"230","Polystichum lonchitis","Polystichum lonchitis","Polystichum_lonchitis","0","0","0","0","0","4","1","2","0","0","0","0","0","0","0","1","2","0","0"
"231","Potentilla aurea","Potentilla aurea","Potentilla_aurea","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"232","Potentilla crantzii","Potentilla crantzii","Potentilla_crantzii","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","4","2","0","0"
"233","Potentilla frigida","Potentilla frigida","Potentilla_frigida","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","1","1","0"
"234","Potentilla grandiflora","Potentilla grandiflora","Potentilla_grandiflora","0","0","0","0","0","3","1","0","1","0","0","0","0","0","0","4","0","0","0"
"235","Potentilla nivalis","Potentilla nivalis","Potentilla_nivalis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
"236","Primula hirsuta","Primula hirsuta","Primula_hirsuta","0","0","0","0","0","1","2","0","5","0","1","0","0","0","0","3","2","0","0"
"237","Primula pedemontana","Primula pedemontana","Primula_pedemontana_pedemontana","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"238","Ptarmica nana","Ptarmica nana","Achillea_nana","0","3","0","5","0","1","4","3","1","0","1","2","1","0","3","8","4","0","2"
"239","Pulsatilla vernalis","Pulsatilla vernalis","Pulsatilla_vernalis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"240","Ranunculus glacialis","Ranunculus glacialis","Ranunculus_glacialis","0","4","0","3","3","0","0","3","2","1","1","13","1","3","1","4","2","4","3"
"241","Ranunculus grenierianus","Ranunculus grenierianus","Ranunculus_grenierianus","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"242","Ranunculus montanus","Ranunculus montanus","Ranunculus_montanus","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0"
"243","Ranunculus parnassifolius","Ranunculus parnassifolius","Ranunculus_parnassifolius","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"244","Rapunculus hemisphaericus","Rapunculus hemisphaericus","Phyteuma_hemisphaericum","1","1","0","0","0","1","3","1","3","0","1","2","0","0","1","11","2","0","0"
"245","Rapunculus orbicularis","Rapunculus orbicularis","Phyteuma_orbiculare","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"246","Rhamnus pumila","Rhamnus pumila","Rhamnus_pumila","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"247","Rhododendron ferrugineum","Rhododendron ferrugineum","Rhododendron_ferrugineum","1","0","0","0","0","0","1","0","2","0","0","0","0","0","0","1","0","0","0"
"248","Rubus idaeus","Rubus idaeus","Rubus_idaeus","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"249","Rubus saxatilis","Rubus saxatilis","Rubus_saxatilis","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250","Rumex scutatus","Rumex scutatus","Rumex_scutatus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"251","Sagina glabra","Sagina glabra","Sagina_glabra","0","0","0","0","1","0","2","0","2","0","0","0","0","0","0","0","1","0","0"
"252","Sagina saginoides","Sagina saginoides","Sagina_saginoides","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0"
"253","Salix appendiculata","Salix appendiculata","Salix_appendiculata","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"254","Salix breviserrata","Salix breviserrata","Salix_breviserrata","0","0","0","3","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"255","Salix glaucosericea","Salix glaucosericea","Salix_glaucosericea","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"256","Salix hastata","Salix hastata","Salix_hastata","0","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"257","Salix herbacea","Salix herbacea","Salix_herbacea","1","1","0","1","0","0","1","1","2","0","2","1","1","0","0","7","5","0","2"
"258","Salix laggeri","Salix laggeri","Salix_laggeri","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"259","Salix reticulata","Salix reticulata","Salix_reticulata","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1"
"260","Salix retusa","Salix retusa","Salix_retusa","0","0","1","3","0","0","0","0","0","0","1","0","1","0","3","4","1","0","5"
"261","Saussurea alpina","Saussurea alpina","Saussurea_alpina_depressa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"262","Saxifraga aizoides","Saxifraga aizoides","Saxifraga_aizoides","0","0","0","1","5","0","1","3","0","0","1","3","0","0","1","3","1","0","0"
"263","Saxifraga androsacea","Saxifraga androsacea","Saxifraga_androsacea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"264","Saxifraga aspera","Saxifraga aspera","Saxifraga_aspera","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"265","Saxifraga biflora","Saxifraga biflora","Saxifraga_biflora_biflora","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"266","Saxifraga bryoides","Saxifraga bryoides","Saxifraga_bryoides","0","4","0","5","6","0","2","4","6","0","1","4","2","3","2","10","4","2","2"
"267","Saxifraga exarata","Saxifraga exarata","Saxifraga_exarata_pseudoexarata","1","0","0","1","2","2","0","5","2","0","1","4","0","0","0","3","5","1","0"
"268","Saxifraga moschata","Saxifraga moschata","Saxifraga_moschata","0","4","0","0","3","0","1","0","1","0","0","0","1","3","0","4","0","1","0"
"269","Saxifraga oppositifolia","Saxifraga oppositifolia","Saxifraga_oppositifolia","0","6","0","2","4","0","2","5","3","0","1","12","0","3","2","10","6","4","2"
"270","Saxifraga paniculata","Saxifraga paniculata","Saxifraga_paniculata","0","3","0","0","1","1","1","2","3","0","0","4","0","0","1","10","2","0","3"
"271","Saxifraga retusa","Saxifraga retusa","Saxifraga_retusa","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"272","Scabiosa lucida","Scabiosa lucida","Scabiosa_lucida","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"273","Scorzoneroides autumnalis","Scorzoneroides autumnalis","Scorzoneroides_autumnalis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"274","Sedella atrata","Sedella atrata","Sedum_atratum_atratum","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","1","0","2"
"275","Sedum alpestre","Sedum alpestre","Sedum_alpestre","2","0","0","1","2","3","1","4","6","0","1","0","1","0","0","5","3","0","0"
"276","Sedum anacampseros","Sedum anacampseros","Sedum_anacampseros","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"277","Sempervivum arachnoideum","Sempervivum arachnoideum","Sempervivum_arachnoideum","0","1","0","0","0","3","1","0","1","0","0","0","0","0","3","3","1","0","1"
"278","Sempervivum montanum","Sempervivum montanum","Sempervivum_montanum","1","1","1","1","0","2","1","2","3","1","0","0","1","0","0","8","5","1","1"
"279","Senecio doronicum","Senecio doronicum","Senecio_doronicum","0","0","1","0","0","3","0","1","1","1","0","0","0","0","0","7","1","0","0"
