"","taxized","combinedname","species","persistant","underIce"
"Achillea_millefolium","Achillea millefolium","Achillea millefolium","Achillea_millefolium","1","1"
"Achillea_nana","Ptarmica nana","Ptarmica nana","Achillea_nana","27","11"
"Acinos_alpinus_alpinus","Acinos alpinus","Acinos alpinus","Acinos_alpinus_alpinus","2","0"
"Agrostis_agrostiflora","Agrostis agrostiflora","Agrostis agrostiflora","Agrostis_agrostiflora","3","1"
"Agrostis_alpina","Agrestis alpina","Agrestis alpina","Agrostis_alpina","15","0"
"Agrostis_capillaris","Agrostis capillaris","Agrostis capillaris","Agrostis_capillaris","0","1"
"Agrostis_rupestris","Agrestis rupestris","Agrestis rupestris","Agrostis_rupestris","22","6"
"Alchemilla_alpigena","Alchemilla alpina","Alchemilla alpina","Alchemilla_alpigena","6","2"
"Alchemilla_alpina","Alchemilla alpina","Alchemilla alpina","Alchemilla_alpina","11","1"
"Alchemilla_amphibola","Alchemilla NA","Alchemilla","Alchemilla_amphibola","2","1"
"Alchemilla_basaltica","Alchemilla baltica","Alchemilla baltica","Alchemilla_basaltica","2","0"
"Alchemilla_fissa","Alchemilla fissa","Alchemilla fissa","Alchemilla_fissa","4","0"
"Alchemilla_flabellata","Alchemilla flabellata","Alchemilla flabellata","Alchemilla_flabellata","6","1"
"Alchemilla_glabra","Alchemilla glabra","Alchemilla glabra","Alchemilla_glabra","2","0"
"Alchemilla_glaucescens","Alchemilla glaucescens","Alchemilla glaucescens","Alchemilla_glaucescens","3","0"
"Alchemilla_pentaphyllea","Alchemilla pentaphyllea","Alchemilla pentaphyllea","Alchemilla_pentaphyllea","5","0"
"Alchemilla_transiens","Alchemilla transiens","Alchemilla transiens","Alchemilla_transiens","3","2"
"Alchemilla_xanthochlora","Alchemilla xanthochlora","Alchemilla xanthochlora","Alchemilla_xanthochlora","0","1"
"Alopecurus_alpinus","Alopecurus magellanicus","Alopecurus magellanicus var. magellanicus","Alopecurus_alpinus","2","0"
"Androsace_obtusifolia","Androsace obtusifolia","Androsace obtusifolia","Androsace_obtusifolia","5","0"
"Androsace_pubescens","Aretia pubescens","Aretia pubescens","Androsace_pubescens","14","3"
"Androsace_vandellii","Androsace vandellii","Androsace vandellii","Androsace_vandellii","4","0"
"Androsace_vitaliana","Androsace vitaliana","Androsace vitaliana","Androsace_vitaliana","1","1"
"Anemone_baldensis","Anemonoides baldensis","Anemonoides baldensis","Anemone_baldensis","4","0"
"Antennaria_carpatica","Antennaria carpatica","Antennaria carpatica","Antennaria_carpatica","4","2"
"Antennaria_dioica","Antennaria dioica","Antennaria dioica","Antennaria_dioica","6","1"
"Anthoxanthum_odoratum","Anthoxanthum odoratum","Anthoxanthum odoratum","Anthoxanthum_odoratum","7","0"
"Anthoxanthum_odoratum_nipponicum","Anthoxanthum odoratum","Anthoxanthum odoratum","Anthoxanthum_odoratum_nipponicum","10","2"
"Arabis_alpina","Arabis alpina","Arabis alpina","Arabis_alpina","18","1"
"Arenaria_biflora","Alsinanthus biflorus","Alsinanthus biflorus","Arenaria_biflora","1","0"
"Armeria_alpina","Armeria alpina","Armeria alpina","Armeria_alpina","30","0"
"Artemisia_eriantha","Artemisia umbelliformis","Artemisia umbelliformis subsp. eriantha","Artemisia_eriantha","6","3"
"Artemisia_genipi","Artemisia genipi","Artemisia genipi","Artemisia_genipi","2","1"
"Artemisia_umbelliformis","Artemisia umbelliformis","Artemisia umbelliformis","Artemisia_umbelliformis","12","1"
"Artemisia_umbelliformis_eriantha","Artemisia umbelliformis","Artemisia umbelliformis","Artemisia_umbelliformis_eriantha","21","1"
"Artemisia_umbelliformis_umbelliformis","Artemisia umbelliformis","Artemisia umbelliformis","Artemisia_umbelliformis_umbelliformis","12","2"
"Asplenium_adiantum-nigrum","Asplenium adiantum-nigrum","Asplenium adiantum-nigrum","Asplenium_adiantum-nigrum","0","1"
"Asplenium_ramosum","Asplenium viride","Asplenium viride","Asplenium_ramosum","2","0"
"Asplenium_septentrionale_septentrionale","Asplenium septentrionale","Asplenium septentrionale","Asplenium_septentrionale_septentrionale","1","0"
"Asplenium_trichomanes","Asplenium trichomanes","Asplenium trichomanes","Asplenium_trichomanes","0","1"
"Asplenium_trichomanes_trichomanes","Asplenium trichomanes","Asplenium trichomanes","Asplenium_trichomanes_trichomanes","1","0"
"Aster_alpinus","Aster alpinus","Aster alpinus","Aster_alpinus","6","0"
"Astragalus_alpinus","Astragalus alpinus","Astragalus alpinus","Astragalus_alpinus","3","0"
"Astragalus_australis","Astragalus australis","Astragalus australis","Astragalus_australis","2","0"
"Astrantia_minor","Astrantia major","Astrantia major subsp. minor","Astrantia_minor","0","1"
"Athamanta_cretensis","Athamanta cretensis","Athamanta cretensis","Athamanta_cretensis","4","0"
"Avenula_versicolor_versicolor","Helictotrichon versicolor","Helictotrichon versicolor","Avenula_versicolor_versicolor","9","1"
"Bartsia_alpina","Bartsia alpina","Bartsia alpina","Bartsia_alpina","0","1"
"Berardia_subacaulis","Berardia subacaulis","Berardia subacaulis","Berardia_subacaulis","3","0"
"Botrychium_lunaria","Botrychium lunaria","Botrychium lunaria","Botrychium_lunaria","9","0"
"Bupleurum_stellatum","Bupleurum stellatum","Bupleurum stellatum","Bupleurum_stellatum","5","0"
"Cacalia_alliariae","Cacalia alliariae","Cacalia alliariae","Cacalia_alliariae","1","0"
"Cacalia_alpina","Cacalia alpina","Cacalia alpina","Cacalia_alpina","1","0"
"Cacalia_leucophylla","Cacalia leucophylla","Cacalia leucophylla","Cacalia_leucophylla","18","12"
"Callianthemum_coriandrifolium","Callianthemum coriandrifolium","Callianthemum coriandrifolium","Callianthemum_coriandrifolium","1","0"
"Campanula_cenisia","Campanula cenisia","Campanula cenisia","Campanula_cenisia","16","1"
"Campanula_cochleariifolia","Campanula rotundifolia","Campanula rotundifolia var. cochleariifolia","Campanula_cochleariifolia","20","5"
"Campanula_rhomboidalis","Campanula rhomboidalis","Campanula rhomboidalis","Campanula_rhomboidalis","1","0"
"Campanula_rotundifolia","Campanula rotundifolia","Campanula rotundifolia","Campanula_rotundifolia","1","1"
"Campanula_scheuchzeri","Campanula linifolia","Campanula linifolia fo. scheuchzeri","Campanula_scheuchzeri","24","7"
"Capsella_bursa-pastoris","Capsella bursa-pastoris","Capsella bursa-pastoris","Capsella_bursa-pastoris","2","0"
"Cardamine_bellidifolia_alpina","Cardamine bellidifolia","Cardamine bellidifolia","Cardamine_bellidifolia_alpina","4","1"
"Cardamine_resedifolia","Cardamine resedifolia","Cardamine resedifolia","Cardamine_resedifolia","14","7"
"Carduus_medius_carlinifolius","Carduus medius","Carduus medius","Carduus_medius_carlinifolius","2","1"
"Carduus_medius_medius","Carduus medius","Carduus medius","Carduus_medius_medius","1","1"
"Carex_atrata_atrata","Carex atrata","Carex atrata","Carex_atrata_atrata","0","1"
"Carex_bicolor","Carex bicolor","Carex bicolor","Carex_bicolor","0","1"
"Carex_curvula","Kobresia curvula","Kobresia curvula","Carex_curvula","2","0"
"Carex_curvula_curvula","Kobresia curvula","Kobresia curvula","Carex_curvula_curvula","5","2"
"Carex_curvula_rosae","Kobresia curvula","Kobresia curvula","Carex_curvula_rosae","5","0"
"Carex_foetida","Carex foetida","Carex foetida","Carex_foetida","10","0"
"Carex_frigida","Carex frigida","Carex frigida","Carex_frigida","3","1"
"Carex_ornithopoda","Carex digitata","Carex digitata subsp. ornithopoda","Carex_ornithopoda","1","0"
"Carex_parviflora","Carex atrata","Carex atrata var. parviflora","Carex_parviflora","8","2"
"Carex_rupestris","Carex rupestris","Carex rupestris","Carex_rupestris","0","1"
"Carex_sempervirens","Carex ferruginea","Carex ferruginea var. sempervirens","Carex_sempervirens","21","3"
"Centaurea_uniflora_uniflora","Centaurea uniflora","Centaurea uniflora","Centaurea_uniflora_uniflora","2","0"
