taxized,END.,DIST.
Festuca_breistrofferi,End.,W-Alp.
Festuca_chalcophaea,End.,W-Alp.
Festuca_eggleri,End.,E-Alp.
Festuca_flavescens,End.,W-Alp.
Festuca_halleri,End.,Alp.
Festuca_intercedens,End.,Alp.
Festuca_melanopsis,End.,Alp.
Festuca_pseudodura,End.?,E-Alp.
Festuca_rupicaprina,End.,E-Alp.
Festuca_scabriculmis,End.,Alp.
Festuca_ticenensis,End.,S-Alp.
Festuca_varia,End.,E-Alp.
Festuca_versicolor,End.,E-Alp.
Fritillaria_tubiformis,End.,W-Alp.
Galarhoeus_hybernus,End.,W-Alp.
Galeopsis_ladanum,End.,W-Alp.
Galium_helveticum,End.,E-Alp.
Galium_margaritaceum,End.,E-Alp.
Galium_megalospermum,End.,Alp.
Galium_meliodorum,End.,E-Alp.
Galium_montis,End.,E-Alp.
Galium_noricum,Subend.,E-Alp.
Galium_pseudohelveticum,End.,W-Alp.
Galium_saxosum,End.,W-Alp.
Galium_truniacum,End.,E-Alp.
Gentiana_froelichii,End.,E-Alp.
Gentiana_ligustica,End.,W-Alp.
Gentiana_NA,End.,W-Alp.
Gentianella_engadinensis,End.,E-Alp.
Gentianella_insubrica,End.,S-Alp.
Gentianella_pilosa,Subend.,E-Alp.
Gentianella_ramosa,End.,Alp.
Gentianusa_lutea,End.?,E-Alp.
Geranium_rivulare,Subend.,Alp.
Gymnadenia_corneliana,End.,W-Alp.
Gypsophila_papillosa,End.,E-Alp.
Hedysarum_boutignyanum,End.,W-Alp.
Hedysarum_brigantiacum,End.,W-Alp.
Hedysarum_hedysaroides,End.,E-Alp.
Helianthemum_lunulatum,End.,W-Alp.
Helictochloa_adsurgens,End.,E-Alp.
Helictotrichon_petzense,End.,E-Alp.
Helictotrichon_praeustum,End.,E-Alp.
Helictotrichon_sempervirens,End.,W-Alp.
Helleborus_niger,End.,E-Alp.
Hemerocallis_NA,End.?,E-Alp.
Heracleum_austriacum,End.,E-Alp.
Heracleum_NA,End.,W-Alp.
Hesperis_inodora,End.,W-Alp.
Hieracium_angustifolium,End.,Alp.
Hieracium_intybaceum,Subend.,Alp.
Holosteum_umbellatum,End.,W-Alp.
Hornungia_alpina,End.,E-Alp.
Hypochaeris_NA,End.,E-Alp.
Iberis_aurosica,End.,W-Alp.
Iris_pallida,End.,E-Alp.
Ixoca_quadrifida,Subend.,E-Alp./Illyr.
Ixoca_veselskyi,Subend.,E-Alp.
Jovibarba_arenaria,End.,E-Alp.
Jovibarba_hirta,End.,W-Alp.
Knautia_dipsacifolia,End.,W-Alp.
Knautia_mollis,End.,W-Alp.
Knautia_NA,End.,E-Alp.
Koeleria_cenisia,End.,W-Alp.
Laserpitium_halleri,End.,Alp.
Laserpitium_nitidum,End.,E-Alp.
Lembotropis_emeriflora,End.,E-Alp.
Leontodon_incanus,End.,E-Alp.
Leontodon_NA,Subend.,E-Alp.
Leucanthemum_atratum,End.,E-Alp.
Leucanthemum_burnatii,End.,W-Alp.
Leucanthemum_discoideum,Subend.,W-Alp.
Leucanthemum_NA,End.?,?
Leucopoa_laxa,End.,E-Alp.
Leucopoa_pulchela,Subend.,Alp.
Ligusticum_ferulaceum,Subend.,W-Alp.
Lilium_pomponium,End.,W-Alp.
Linaria_NA,End.,E-Alp.
Luzula_glabrata,End.,E-Alp.
Medicago_pironae,Subend.,E-Alp.
Melampyrum_polonicum,End.?,E-Alp.
Melandrium_elisabethae,End.,E-Alp.
Minuartia_austriaca,Subend.,E-Alp.
Minuartia_graminifolia,End.,E-Alp.
Minuartia_grignensis,End.,E-Alp.
Minuartia_rupestris,End.,W-Alp.
Moehringia_concarenae,End.,E-Alp.
Moehringia_dielsiana,End.,E-Alp.
Moehringia_diversifolia,End.,E-Alp.
Moehringia_intermedia,End.,W-Alp.
Moehringia_lebrunii,End.,W-Alp.
Moehringia_markgrafii,End.,E-Alp.
Moehringia_sedoides,Subend.,W-Alp.
Moehringia_villosa,End.,E-Alp.
Moenchia_narcissiflora,End.,W-Alp.
Myosotis_NA,End.,W-Alp.
Nigritella_nigra,End.,E-Alp.
Nigritella_rhellicani,End.,W-Alp.
Nigritella_rubra,End.,E-Alp.
Nigritella_stiriaca,End.,E-Alp.
Noccaea_crantzii,End.,E-Alp.
Noccaea_rotundifolia,End.,E-Alp.
Odontites_lanceolata,End.,W-Alp.
Onobrychis_arenaria,End.,E-Alp.
Onosma_helvetica,End.,W-Alp.
Ophrys_benacensis,End.,E-Alp.
Oreochloa_seslerioides,End.,W-Alp.
Orobanche_NA,End.,W-Alp.
Oxytropis_campestris,End.,E-Alp.
Oxytropis_carinthiaca,End.,E-Alp.
Oxytropis_fetida,End.,W-Alp.
Oxytropis_halleri,End.,W-Alp.
Oxytropis_helvetica,End.,W-Alp.
Oxytropis_jacquinii,Subend.,Alp.
Paederota_bonarota,End.,E-Alp.
Papaver_alpinum,End.,E-Alp.
Papaver_occidentale,End.,W-Alp.
Papaver_sendtneri,End.,E-Alp.
Papaver_victoris,End.,E-Alp.
Paronychia_kapela,Subend.,W-Alp.
Pedicularis_acaulis,Subend.,E-Alp./Illyr.
Pedicularis_gyroflexa,End.?,Alp.
Pedicularis_NA,End.,E-Alp.
Pedicularis_recutita,End.,Alp.
Pedicularis_rosea,Subend.,E-Alp.
Pedicularis_rostratospicata,End.?,W-Alp.
Peucedanum_austriacum,End.?,E-Alp.
Phyteuma_betonicifolium,Subend.,E-Alp.
Phyteuma_cordatum,End.,W-Alp.
Phyteuma_hedraianthifolium,End.,E-Alp.
Phyteuma_humile,End.,W-Alp.
Phyteuma_michelii,End.,Alp.
Phyteuma_pauciflorum,End.,E-Alp.
Phyteuma_scorzonerifolium,End.,W-Alp.
Phyteuma_sieberi,End.,E-Alp.
Phyteuma_villarsii,End.,W-Alp.
Pinguicula_grandiflora,End.,W-Alp.
Pinguicula_NA,End.,W-Alp.
Pinguicula_poldinii,End.,E-Alp.
Poa_cenisia,Subend.,Alp.
Polygala_nicaeensis,End.?,W-Alp.
Potentilla_NA,End.,W-Alp.
Potentilla_valderia,End.,W-Alp.
Primula_allionii,End.,W-Alp.
Primula_clusiana,End.,E-Alp.
Primula_cusickiana,End.,E-Alp.
Primula_glaucescens,End.,E-Alp.
Primula_glutinosa,End.,E-Alp.
Primula_NA,End.,E-Alp.
Primula_villosa,End.,Alp.
Prunus_brigantina,End.,W-Alp.
Ptarmica_atrata,Subend.,E-Alp.
Ptarmica_nana,End.,W-Alp.
Pulmonaria_carnica,End.,E-Alp.
Pulmonaria_NA,End.,E-Alp.
Pulmonaria_vallarsae,End.,E-Alp.
Pulsatilla_alpina,End.,E-Alp.
Pulsatilla_halleri,End.,W-Alp.
Ranunculus_alpestris,Subend.,E-Alp.
Ranunculus_bilobus,End.,E-Alp.
Ranunculus_NA,End.,Alp.
Ranunculus_venetus,End.,E-Alp.
Rapunculus_scheuchzeri,Subend.,S-Alp./Illyr.
Rhinanthus_carinthiacus,End.,E-Alp.
Rhinanthus_NA,End.,S-Alp.
Rhizobotrya_alpina,End.,E-Alp.
Rhododendron_hirsutum,Subend.,E-Alp.
Rhodothamnus_chamaecistus,Subend.,E-Alp.
Rosa_NA,End.,E-Alp.
Salix_caesia,End.,Alp.
Salix_glaucosericea,End.,Alp.
Salix_hegetschweileri,End.,Alp.
Salix_laggeri,End.,Alp.
Salix_mielichhoferi,End.,E-Alp.
Salvia_pratensis,Subend.,E-Alp.
Sanguisorba_NA,End.,E-Alp.
Saponaria_lutea,End.,W-Alp.
Satureja_marginata,End.,W-Alp.
Saussurea_alpina,End.,W-Alp.
Saxifraga_aphylla,End.,E-Alp.
Saxifraga_biflora,End.,Alp.
Saxifraga_burseriana,End.,E-Alp.
Saxifraga_cochlearis,Subend.,W-Alp.
Saxifraga_diapensioides,End.,W-Alp.
Saxifraga_exarata,End.,E-Alp.
