"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Barre des Ecrins",39,68.2558717260274,79.4481331373977,14.2025888176872,213,-0.788043754208531,0.213,999
"Brevoort",10,181.653836272727,152.180430853915,32.5244710021381,818,0.906191692306856,0.818,999
"Burlan",31,91.5719436744186,89.9378563156645,14.5666823291257,552,0.112179789593323,0.552,999
"Choisy",16,135.62339890625,122.296945052897,23.743481972811,714,0.56126788263885,0.714,999
"La Meije",33,64.9340006623377,86.4382062179582,14.3201389751068,66,-1.50167575838489,0.066,999
"Lauvitel",95,45.1554959943978,49.9376228187123,7.74783312718465,297,-0.617221195373396,0.297,999
"Muraillette",62,60.4130516601942,62.7942204190696,7.85812978747754,400,-0.303019779931597,0.4,999
"Occidentale Ailefroide",28,76.5394178378378,94.1570646579552,15.0230971982026,122,-1.17270404282715,0.122,999
"Olan",59,65.1182461138211,64.2075768566778,9.49360683044951,548,0.0959244756400141,0.548,999
"Pelvoux",13,141.830739285714,135.384377670742,26.7099166011709,597,0.241347126283783,0.597,999
"Persistent",164,36.1443858749159,39.3627629395233,4.82154696960845,266,-0.667498851487631,0.266,999
"Plat de la Selle",31,69.1885285897436,89.9032951315418,14.2284188520656,68,-1.45587269795554,0.068,999
"Rateau",81,54.8822859558824,53.7352407707511,7.08467971712085,582,0.161905016307126,0.582,999
"Rocher de la Selle",118,43.1714225202559,44.671061088246,5.17993035708086,405,-0.28950940738811,0.405,999
"Rouies",40,70.5057874622642,78.2692457349425,12.7743148020806,277,-0.607739702125851,0.277,999
"Sirac",72,49.7784844263566,57.6202992219429,7.86561180688598,166,-0.996974550501099,0.166,999
"Summits",164,34.5446085427778,39.6085829104054,4.87660225070448,125,-1.03842267777653,0.125,999
