"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Barre des Ecrins",40,265.8840718563,264.366479638461,22.5789063477993,587,0.0672128310584121,0.587,999
"Brevoort",11,242.903303402778,248.000422790355,35.1419590039301,454,-0.145043689425719,0.454,999
"Burlan",33,258.674693233507,264.21352180532,22.4546776851053,434,-0.246667026331316,0.434,999
"Choisy",17,251.144294097337,255.124543451753,32.1657719802816,473,-0.123741763662812,0.473,999
"La Meije",36,243.025671897808,265.459248828919,22.1171584177737,136,-1.01430647225836,0.136,999
"Lauvitel",96,261.665641839393,269.97161739008,16.9904811672671,333,-0.488860525426918,0.333,999
"Muraillette",62,262.231984832501,270.03705637586,15.5003003539865,328,-0.503543245299269,0.328,999
"Occidentale Ailefroide",29,259.576486432133,265.804876128304,22.0146937754809,417,-0.282919660827087,0.417,999
"Olan",63,272.400714297241,269.40587895074,17.4952338955108,629,0.171180069062668,0.629,999
"Pelvoux",16,346.295849951557,257.630980566809,29.7112274600747,990,2.98422101557042,0.99,999
"Plat de la Selle",31,271.634293690993,265.668203425474,21.9473515828178,678,0.271836455665539,0.678,999
"Rateau",100,274.515492752318,271.143289198506,13.089399719263,654,0.257628586958696,0.654,999
"Rocher de la Selle",150,271.980696655243,272.482538377116,11.5017609399212,529,-0.0436317294798553,0.529,999
"Rouies",40,242.354524376646,265.519913760519,21.9350300363447,132,-1.05609107192874,0.132,999
"Sirac",76,266.129286293772,269.922552733081,15.3563553250529,442,-0.247016063318137,0.442,999
"Summits",215,268.868326034686,272.088153644607,11.9966504385642,432,-0.268393884310494,0.432,999
