"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Barre des Ecrins",39,268.403280204916,251.829744537897,13.5701039135404,882,1.22132710055984,0.882,999
"Brevoort",10,244.673655316804,234.525807800465,22.959378585208,606,0.441991383986195,0.606,999
"Burlan",31,263.582366193618,252.19967111151,13.3592806679669,789,0.85204401082779,0.789,999
"Choisy",16,252.133022201172,242.567270036099,20.2456527108209,612,0.472484256334229,0.612,999
"La Meije",33,245.392896080283,251.25838656037,13.9590454096977,341,-0.420192807454599,0.341,999
"Lauvitel",95,261.795935466547,257.217536758734,9.45466093122151,656,0.484247794936247,0.656,999
"Muraillette",62,262.231984832501,258.073076025056,8.92838804486568,653,0.46580735363939,0.653,999
"Occidentale Ailefroide",28,260.040913969321,252.100205570242,14.1385998985356,684,0.561633291560989,0.684,999
"Olan",59,258.907025967347,255.885907102316,10.5013567444728,586,0.287688432889522,0.586,999
"Pelvoux",13,255.613590479592,242.854588491338,19.3347434556261,715,0.659900247320886,0.715,999
"Persistent",164,267.908772020912,259.274143909894,7.18370647215512,887,1.2019739593324,0.887,999
"Plat de la Selle",31,271.634293690993,253.365608989866,12.9796758464789,925,1.40748389383569,0.925,999
"Rateau",81,270.500951128508,258.414985922786,8.59863595494809,937,1.4055677283055,0.937,999
"Rocher de la Selle",118,272.13209676168,259.324222723963,7.24631160132619,972,1.76750252299018,0.972,999
"Rouies",40,242.354524376646,253.438888000787,13.3064298273737,204,-0.833008084658315,0.204,999
"Sirac",72,267.713245764317,258.016486155732,8.63210813239463,857,1.12333620708418,0.857,999
"Summits",164,266.930309622125,258.967018321474,7.13286949280978,861,1.11642184238448,0.861,999
