"","L_AREA","L_DRYM","PL_H_flora_MAX","PLOIDY..VALUE.","SEEDM","SLA","PLOIDY","TAPROOT","VEG_DISP","WOODY","LIFESPAN","GROWTHF"
"Draba_verna",NA,0.00026,12,NA,0.280092857142857,42.48,"tetraploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Dracocephalum_ruyschiana",NA,NA,40,NA,1.491,NA,"diploid",NA,"basal lateral shoots","Suffrutescent","pluriennial",NA
"Drosera_rotundifolia",0.9,0.00217,18,2,0.01723125,39.72,"diploid","no","above-ground shoots","Herbaceous","pluriennial",NA
"Dryas_octopetala",1.98460550875,0.0179,10,2,0.666634415545455,10.26594547,"diploid","yes","creeping shoots or espaliers","Frutescent","pluriennial","forbs"
"Dryopteris_dilatata",466.55,1.94997279,100,NA,NA,NA,"tetraploid","no","no vegetative dispersal parts","Herbaceous","pluriennial",NA
"Dryopteris_expansa",605.41,17578.5,100,NA,NA,20.765,"diploid",NA,"no vegetative dispersal parts","Herbaceous","pluriennial",NA
"Dryopteris_filix-mas",956.17,3.95316974,90,NA,NA,NA,"tetraploid","no","no vegetative dispersal parts","Herbaceous","pluriennial",NA
"Dryopteris_mindshelkensis",NA,NA,50,NA,NA,NA,"diploid",NA,"below-ground runners","Herbaceous","pluriennial",NA
"Echinops_ritro",NA,NA,50,NA,43.6,8.33,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Echinops_sphaerocephalus",NA,NA,100,2,21.657,NA,NA,"yes","basal lateral shoots","Herbaceous",NA,NA
"Echium_vulgare",45.23,0.2825035784,80,NA,3.01731578947368,NA,"tetraploid",NA,"no vegetative dispersal parts","Herbaceous","biennial",NA
"Edritria_ferruginea",NA,NA,50,NA,0.7015,NA,NA,"no","basal lateral shoots","Herbaceous","pluriennial",NA
"Eleocharis_macrostachya",NA,NA,50,2,0.80864,10.31,"diploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Eleocharis_mamillata",NA,NA,NA,NA,NA,NA,NA,NA,"below-ground runners",NA,NA,NA
"Eleocharis_quinqueflora",0.58,0.00602,15,NA,1.03786666666667,8.79,"octoploid",NA,"tussocks, tufts","Herbaceous","pluriennial",NA
"Eleocharis_uniglumis",0.66,0.00466,25,NA,1.48825,NA,"diploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Elymus_caninus",NA,NA,80,NA,NA,NA,"tetraploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Elymus_NA",NA,NA,80,NA,NA,NA,NA,NA,NA,"Herbaceous",NA,NA
"Elymus_repens",9.471425,0.0507666666666667,80,NA,NA,19.6671940875,"hexaploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Elytrigia_intermedia",NA,NA,80,NA,NA,NA,"hexaploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Empetrum_nigrum",0.04587,NA,25,NA,NA,11.6620666666667,NA,NA,"creeping shoots or espaliers","Frutescent",NA,NA
"Epilobium_alpestre",5.23,0.014915,90,NA,0.219,33.45,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Epilobium_alsinifolium",NA,NA,25,NA,0.10123160325,NA,"diploid",NA,"below-ground runners","Herbaceous","pluriennial",NA
