"","L_AREA","L_DRYM","PL_H_flora_MAX","PLOIDY..VALUE.","SEEDM","SLA","PLOIDY","TAPROOT","VEG_DISP","WOODY","LIFESPAN","GROWTHF"
"Geranium_sanguineum",11.67,0.05727194464,50,NA,9.2029,NA,"hexaploid","no","root shoots","Herbaceous","pluriennial",NA
"Geranium_sylvaticum",18.8934615384615,0.0931264914285714,70,NA,5.68822222222222,21.0333333333333,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Geum_reptans",7.30916666666667,0.048725,15,NA,0.81429166675,15.2406208476923,"hexaploid","no","above-ground runners","Herbaceous","pluriennial",NA
"Geum_rivale",64.28,0.2880873672,50,NA,1.03638823529412,18.94,"hexaploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Geum_urbanum",15.7200461538462,0.0646361068307692,60,NA,2.00400370372222,26.5566593935714,"hexaploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Glechoma_hederacea",8.82,0.0209567014945,25,NA,0.66525,36.9775,"tetraploid","no","above-ground runners","Herbaceous","pluriennial",NA
"Glechoma_nepetella",NA,NA,50,NA,0.4,NA,NA,NA,"basal lateral shoots","Suffrutescent",NA,NA
"Globularia_bisnagarica",NA,NA,40,NA,0.65,NA,"diploid",NA,"root shoots","Herbaceous","pluriennial",NA
"Globularia_cordifolia",NA,NA,10,NA,0.594,NA,"tetraploid",NA,"creeping shoots or espaliers","Frutescent","pluriennial",NA
"Glyceria_fluitans",11.2833333333333,0.0286974854966667,70,4,1.199,27.69,"tetraploid","no","tussocks, tufts","Herbaceous","pluriennial",NA
"Glyceria_notata",NA,NA,50,NA,1.305,NA,"tetraploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Gnaphalium_hoppeanum",NA,NA,10,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Gnaphalium_supinum",0.179945213382353,0.000768666666666667,5,NA,0.0825416666666667,21.7133333333333,NA,NA,"basal lateral shoots","Herbaceous",NA,"forbs"
"Goodyera_repens",NA,NA,15,2,0.002,NA,"diploid","no","above-ground runners","Herbaceous","pluriennial",NA
"Gymnadenia_conopsea",15.8025,0.0859764578675,60,NA,0.00566666666666667,NA,"diploid","no","bulbs","Herbaceous","pluriennial",NA
"Gymnadenia_corneliana",NA,NA,NA,NA,NA,NA,NA,NA,"bulbs",NA,NA,NA
"Gymnocarpium_dryopteris",74.13,0.115685,25,NA,NA,60.3433333333333,"tetraploid",NA,"below-ground runners","Herbaceous","pluriennial",NA
"Gymnocarpium_robertianum",17.58,0.0663,25,NA,NA,NA,NA,NA,"below-ground runners","Herbaceous","pluriennial",NA
"Gypsophila_repens",0.59,0.00392,12,2,0.737,15.35,"diploid","yes","creeping shoots or espaliers","Herbaceous","pluriennial",NA
"Hedera_helix",17.3633628,NA,2000,4,47.3559647058824,11.0522,"tetraploid",NA,"creeping shoots or espaliers","Frutescent","pluriennial",NA
"Hedysarum_boutignyanum",NA,NA,70,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Hedysarum_hedysaroides",NA,NA,NA,NA,NA,NA,NA,NA,"below-ground runners",NA,NA,NA
"Helianthemum_apenninum",NA,NA,20,NA,1.2188,NA,"diploid","yes","basal lateral shoots","Suffrutescent","pluriennial",NA
"Helianthemum_grandiflorum",1.19384148153333,0.00644302326809091,20,4,0.943866666666667,21.2296742690909,"diploid","no","basal lateral shoots","Suffrutescent","pluriennial",NA
"Helianthemum_nummularium",1.19384148153333,0.00644302326809091,20,4,0.943866666666667,21.2296742690909,"diploid","no","basal lateral shoots","Suffrutescent","pluriennial",NA
"Helianthemum_oelandicum",NA,NA,13,NA,0.51,NA,NA,NA,"basal lateral shoots","Suffrutescent",NA,NA
"Helictotrichon_pubescens",9.42333333333333,0.0364756694966667,100,NA,1.85145,21.19,NA,"no","basal lateral shoots","Herbaceous",NA,NA
"Helictotrichon_sedenense",6,0.00759090909090909,60,NA,1.722222222,10.6,NA,NA,"tussocks, tufts","Herbaceous",NA,"graminoids"
"Helictotrichon_sempervirens",NA,NA,90,NA,NA,NA,NA,NA,"tussocks, tufts","Herbaceous",NA,NA
"Helictotrichon_versicolor",1.83576923076923,0.00809166666666667,30,NA,1.166666667,19.7057758292308,NA,"no","basal lateral shoots","Herbaceous",NA,"graminoids"
"Helleborus_foetidus",86.18,0.46755,70,2,11.34536,5.94,"tetraploid",NA,"basal lateral shoots","Suffrutescent","pluriennial",NA
"Hepatica_nobilis",21.7776785714286,0.103274375,20,3,2.7207,21.5763226142857,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Heracleum_sphondylium",819.506666666667,3.950459857,150,2,6.83065,16.28,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Herniaria_alpina",NA,NA,3,NA,0.125,NA,NA,NA,"cushions","Suffrutescent",NA,NA
"Herniaria_hirsuta",0.145,0.000513333333333333,3,NA,0.054934,26.94,"tetraploid",NA,"creeping shoots or espaliers","Herbaceous","annual",NA
"Herniaria_incana",NA,NA,3,NA,0.14,NA,NA,NA,"cushions","Suffrutescent",NA,NA
"Herorchis_morio",NA,NA,NA,NA,NA,NA,NA,NA,"bulbs",NA,NA,NA
"Hieracium_alpinum",NA,NA,20,NA,0.96689,31.27,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Hieracium_amplexicaule",69.24,0.25425,60,NA,0.800076923076923,27.82,"tetraploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Hieracium_antarcticum",NA,NA,20,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Hieracium_argillaceum",NA,NA,NA,NA,0.34,NA,"tetraploid",NA,"basal lateral shoots",NA,"pluriennial",NA
"Hieracium_aurantiacum",14.71,0.0396801493,40,4.5,0.1533125,33.545,"tetraploid",NA,"below-ground runners","Herbaceous","pluriennial",NA
"Hieracium_bifidum",NA,NA,NA,NA,NA,NA,NA,NA,"basal lateral shoots",NA,NA,NA
"Hieracium_cymosum",17,0.06667,80,3.66666666666667,0.1175,21.13,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Hieracium_glaucinum",22.55,0.1180575,40,NA,NA,18.65,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Hieracium_intybaceum",NA,NA,40,NA,0.692,NA,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Hieracium_juranum",NA,NA,100,NA,NA,NA,NA,NA,NA,"Herbaceous",NA,NA
"Hieracium_lachenalii",NA,NA,NA,NA,0.34,NA,"tetraploid",NA,"basal lateral shoots",NA,"pluriennial",NA
"Hieracium_lactucella",7.36,0.010225,30,2,0.1,46.29,"diploid",NA,"above-ground runners","Herbaceous","pluriennial",NA
"Hieracium_lawsonii",NA,NA,20,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Hieracium_murorum",18.46805,0.071239375,60,NA,0.4,26.8469641314286,"tetraploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Hieracium_NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herbaceous",NA,NA
"Hieracium_niphobium",NA,NA,10,NA,NA,NA,"tetraploid",NA,NA,"Herbaceous","pluriennial",NA
"Hieracium_piliferum",2.015950156,NA,20,NA,0.19625,13.3,"triploid",NA,"basal lateral shoots","Herbaceous","pluriennial","forbs"
"Hieracium_pilosella",9.01696923076923,0.0291940401940769,20,5.5,0.229666666666667,32.2041532214286,"hexaploid","no","above-ground runners","Herbaceous","pluriennial",NA
"Hieracium_piloselloides",6.57,0.001095,70,4,0.422,27.95,"pentaploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Hieracium_praealtum",6.57,0.001095,70,4,0.422,27.95,"pentaploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Hieracium_prenanthoides",26.21625,0.0605941666666667,90,NA,NA,44.2734316841667,"tetraploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Hieracium_sabaudum",NA,NA,NA,NA,NA,NA,NA,NA,"basal lateral shoots",NA,NA,NA
"Hieracium_schmidtii",NA,NA,NA,NA,0.6315,NA,"tetraploid",NA,"basal lateral shoots",NA,"pluriennial",NA
"Hieracium_umbellatum",11.62,0.0519,90,NA,0.4198238095,20.75,"diploid","no","basal lateral shoots","Suffrutescent","pluriennial",NA
"Hieracium_umbrosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herbaceous","pluriennial",NA
"Hieracium_valdepilosum",NA,NA,50,NA,1.24,NA,"triploid",NA,NA,"Herbaceous","pluriennial",NA
"Hieracium_villosum",NA,NA,40,NA,0.73,NA,"tetraploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Himantoglossum_hircinum",35.53,0.17274,NA,NA,NA,20.02,"diploid","no","no vegetative dispersal parts",NA,"pluriennial",NA
"Hippocrepis_comosa",2.32,0.017024,17.5,NA,3.69443333333333,15.3533333333333,"diploid","yes","basal lateral shoots","Herbaceous","pluriennial",NA
"Hippocrepis_emerus",NA,NA,150,NA,NA,NA,"diploid",NA,"no vegetative dispersal parts","Frutescent","pluriennial",NA
"Hippophae_rhamnoides",2.24060769230769,0.0180694444166667,250,NA,NA,12.7393566326923,NA,NA,"root shoots","Frutescent",NA,NA
"Holcus_lanatus",7.8275,0.021803608515,80,2,0.377026829268293,29.2925,"diploid","no","tussocks, tufts","Herbaceous","pluriennial",NA
"Holosteum_umbellatum",NA,NA,25,NA,0.15,NA,"diploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Homogyne_alpina",5.5246768345,0.040745,20,NA,0.8626688888,13.25,"tetraploid","no","above-ground runners","Herbaceous","pluriennial","forbs"
"Hordelymus_europaeus",27.575,0.080775,100,NA,7.05793333333333,NA,"tetraploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Hornungia_alpina",NA,NA,NA,NA,NA,NA,NA,NA,"basal lateral shoots",NA,NA,NA
"Humulus_lupulus",77.11,0.43638856055,1000,NA,3.79864285714286,NA,"diploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Huperzia_selago",NA,NA,NA,NA,NA,NA,NA,NA,"above-ground shoots",NA,NA,NA
"Hylotelephium_NA",2.0251875,0.0104964583333333,30,NA,NA,20.1870081083333,NA,NA,"basal lateral shoots","Suffrutescent",NA,NA
"Hylotelephium_telephium",9.36,0.03814976303,NA,NA,0.0476,15.63,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Hyoscyamus_niger",31.95,0.0791075,100,2,0.615,42.5333333333333,"diploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Hypericum_hirsutum",3.705,0.01374311701,70,NA,0.129983333333333,NA,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Hypericum_maculatum",NA,NA,NA,NA,NA,NA,NA,NA,"below-ground runners",NA,NA,NA
"Hypericum_montanum",4.44,0.01803420428,70,NA,0.0628625,NA,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Hypericum_perforatum",1.47333333333333,0.008724819986,80,NA,0.14881935483871,31.096,"diploid","no","root shoots","Herbaceous","pluriennial",NA
"Hypericum_richeri",NA,NA,30,NA,NA,NA,NA,NA,"below-ground runners","Herbaceous",NA,NA
"Hypochaeris_maculata",31.6381666666667,0.140210714285714,65,2,1.6105484375,23.3077618107143,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Hypochaeris_radicata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyssopus_officinalis",1.63,0.0079,50,2,1.13433333333333,20.89,"diploid",NA,"basal lateral shoots","Suffrutescent","pluriennial",NA
"Iberis_pinnata",NA,NA,30,NA,NA,NA,NA,NA,"no vegetative dispersal parts","Herbaceous",NA,NA
"Ilex_aquifolium",15.7211711111111,NA,700,4,35.4237142857143,6.9997,"tetraploid",NA,"root shoots","Frutescent","pluriennial",NA
"Impatiens_glandulifera",119.1,0.31212638435,150,2,12.776665,NA,"diploid","no","no vegetative dispersal parts","Herbaceous","annual",NA
"Imperatoria_ostruthium",NA,NA,80,NA,NA,NA,NA,NA,"below-ground runners","Herbaceous",NA,NA
"Inula_conyza",84.05,0.53166666685,100,NA,0.242166666666667,NA,"tetraploid",NA,"no vegetative dispersal parts","Herbaceous","biennial",NA
"Inula_montana",NA,NA,30,NA,NA,NA,NA,NA,"below-ground runners","Herbaceous",NA,NA
"Isatis_tinctoria",19.375,0.0982175,90,NA,3.0415,18.54,"tetraploid","yes","no vegetative dispersal parts","Herbaceous","biennial",NA
"Ixoca_pusilla",NA,NA,15,NA,0.12,NA,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Jacobaea_incana",1.090686275,0.0164541666666667,20,NA,0.836592592555556,12.96,"duodecaploid",NA,"basal lateral shoots","Herbaceous","pluriennial","forbs"
"Jasione_montana",0.36,0.00095,40,NA,0.0466489501428571,36.33,"tetraploid","yes","no vegetative dispersal parts","Herbaceous","pluriennial",NA
"Jonorchis_abortiva",NA,NA,60,NA,0.00385,NA,NA,NA,"below-ground runners","Herbaceous",NA,NA
"Juglans_regia",39.098666665,NA,1500,NA,9805.78865,14.60660655,"diploid",NA,"no vegetative dispersal parts","Frutescent","pluriennial",NA
"Juncus_alpinoarticulatus",NA,NA,25,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Juncus_arcticus",7.92854209966667,0.04694,40,NA,0.04,16.2563401523077,NA,"no","basal lateral shoots","Herbaceous",NA,NA
"Juncus_articulatus",4.96,0.0522892144725,60,8,0.01885,9.06333333333333,"tetraploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Juncus_bufonius",0.805,0.0045513273475,20,NA,0.019811875,22.18,"hexaploid","no","no vegetative dispersal parts","Herbaceous","annual",NA
"Juncus_compressus",3.15,0.02789433962,35,NA,0.011225,NA,"diploid","no","creeping rhizome","Herbaceous","pluriennial",NA
"Juncus_effusus",36.62,0.575,100,2,0.0173190476428571,7.61,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Juncus_filiformis",6.33,0.05887,40,NA,0.022937,10.11,"tetraploid","no","creeping rhizome","Herbaceous","pluriennial",NA
"Juncus_inflexus",22.89,0.688765,80,NA,0.0671355555555556,3.785,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Juncus_jacquini",NA,NA,30,NA,0.026,NA,"octoploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Juncus_trifidus",1.54375,0.011938,25,NA,0.129341666666667,15.7375,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Juncus_triglumis",NA,NA,15,NA,0.04045,NA,"diploid","no","creeping rhizome","Herbaceous","pluriennial",NA
"Juniperus_communis",NA,NA,300,NA,NA,NA,"diploid",NA,"no vegetative dispersal parts","Frutescent","pluriennial",NA
"Juniperus_sabina",NA,NA,100,NA,14.97,NA,"diploid",NA,"no vegetative dispersal parts","Frutescent","pluriennial",NA
"Juniperus_sibirica",NA,NA,100,NA,NA,NA,"diploid",NA,"no vegetative dispersal parts","Frutescent","pluriennial",NA
"Kandis_perfoliata",NA,NA,30,NA,NA,NA,NA,NA,"no vegetative dispersal parts","Herbaceous",NA,NA
"Kernera_saxatilis",0.43,0.00162,25,2,0.143,26.54,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Knautia_arvensis",28.7133333333333,0.1407851567,90,NA,3.95490256407692,21.9675,"diploid","yes","root shoots","Herbaceous","pluriennial",NA
"Knautia_dipsacifolia",NA,NA,110,NA,4.86966666666667,24.54,"hexaploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Knautia_maxima",NA,NA,110,NA,4.86966666666667,24.54,"hexaploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Kobresia_curvula",NA,NA,25,NA,2.1208444445,NA,NA,"no","basal lateral shoots","Herbaceous",NA,NA
"Kobresia_myosuroides",1.45615384615385,0.00993333333333333,20,NA,0.512289855,14.915723645,NA,NA,"tussocks, tufts","Herbaceous",NA,"graminoids"
"Koeleria_cenisia",NA,NA,25,NA,NA,NA,NA,NA,"tussocks, tufts","Herbaceous",NA,NA
"Koeleria_pyramidata",NA,NA,50,10,1.32,16.57,"decaploid",NA,"tussocks, tufts","Herbaceous","pluriennial",NA
"Koeleria_vallesiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laburnum_alpinum",NA,NA,600,4,28.585,NA,NA,NA,"basal lateral shoots","Frutescent",NA,NA
"Laburnum_anagyroides",10.012944445,NA,500,4,33.903,17.82380835,"tetraploid",NA,"basal lateral shoots","Frutescent","pluriennial",NA
"Lactuca_alpina",137.515,0.37173,160,NA,1.0773035715,38.145,"diploid",NA,"below-ground runners","Herbaceous","pluriennial",NA
"Lactuca_muralis",NA,NA,80,2,0.3168,47.59,"diploid","no","basal lateral shoots","Herbaceous","biennial",NA
"Lactuca_perennis",27.75,0.10956,65,2,1.49333333333333,23.47,"diploid","yes","basal lateral shoots","Herbaceous","pluriennial",NA
"Lactuca_serriola",59.93,0.3971180185,200,2,0.563677777777778,18.07,"diploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Ladanella_angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,"no vegetative dispersal parts",NA,NA,NA
"Lamium_amplexicaule",1.67,0.008462668666,20,NA,0.567066666666667,NA,"diploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Lamium_garganicum",NA,NA,50,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Lamium_maculatum",13.7133333333333,0.04704573503,45,NA,1.75241666675,NA,"diploid",NA,"below-ground runners","Herbaceous","pluriennial",NA
"Lamium_purpureum",5.374,0.0113188013666667,20,2,0.723266666666667,NA,"diploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Lappula_squarrosa",6.31,0.020645,60,NA,1.3,30.88,"tetraploid",NA,"basal lateral shoots","Herbaceous","annual",NA
"Lapsana_communis",NA,NA,NA,2,NA,NA,NA,NA,"no vegetative dispersal parts",NA,NA,NA
"Larix_decidua",0.20335,NA,3000,NA,6.82142857142857,10.7033,"diploid",NA,"no vegetative dispersal parts","Frutescent","pluriennial",NA
"Laserpitium_gallicum",NA,NA,90,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Laserpitium_halleri",NA,NA,55,NA,1.2,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Laserpitium_latifolium",302.66,1.433515,120,NA,8.12796,14.68,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Laserpitium_siler",249.74696345,1.18802511875,110,NA,8.66,21.6570435966667,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Lathyrus_latifolius",70.17,0.4357653916,70,2,47.2724,NA,"diploid","yes","below-ground runners","Herbaceous","pluriennial",NA
"Lathyrus_linifolius",NA,NA,NA,NA,NA,NA,NA,NA,"below-ground runners",NA,NA,NA
"Lathyrus_occidentalis",NA,NA,60,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Lathyrus_ochraceus",NA,NA,60,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Lathyrus_pratensis",1.58333333333333,0.006958663343,76.6666666666667,2,11.8810037037222,27.4675,"diploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Lathyrus_sphaericus",NA,NA,40,2,16.661,NA,"diploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Lathyrus_sylvestris",NA,NA,60,2,40.4145272727273,NA,"diploid","yes","below-ground runners","Herbaceous","pluriennial",NA
"Lathyrus_vernus",45.315,0.132091666666667,30,NA,18.28775,39.06,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Lavandula_angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,"basal lateral shoots",NA,NA,NA
"Leontodon_autumnalis",NA,NA,NA,NA,NA,NA,NA,NA,"basal lateral shoots",NA,NA,NA
"Leontodon_crispus",NA,NA,13,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Leontodon_hirtus",NA,NA,20,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Leontodon_hispidus",22.745,0.0697610738788889,45,2,1.13522333331579,22.91375,"diploid","yes","basal lateral shoots","Herbaceous","pluriennial",NA
"Leontodon_NA",NA,NA,18.3333333333333,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Leontodon_pyrenaicus",1.214470872,NA,20,NA,0.453333333,19,NA,NA,"basal lateral shoots","Herbaceous",NA,"forbs"
"Leontopodium_brachyactis",NA,NA,17,NA,0.1358,NA,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Leontopodium_NA",NA,NA,17,NA,0.1358,NA,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Lerouxia_nemorum",2.525,0.0081788710645,10,NA,0.3716,NA,"diploid",NA,"creeping shoots or espaliers","Herbaceous","pluriennial",NA
"Leucanthemopsis_alpina",0.418552036,0.00839416666666667,15,NA,0.387633405833333,15.5,"diploid","no","basal lateral shoots","Herbaceous","pluriennial","forbs"
"Leucanthemum_adustum",NA,NA,50,NA,NA,NA,"hexaploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Leucanthemum_atratum",NA,NA,25,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Leucanthemum_NA",NA,NA,50,NA,NA,NA,"hexaploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Leucanthemum_pallens",NA,NA,50,5,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Leucanthemum_vulgare",2.66,0.01431,NA,NA,NA,13.8,"tetraploid","no","basal lateral shoots",NA,"pluriennial",NA
"Leuzea_conifera",NA,NA,20,NA,9.09,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Ligustrum_vulgare",6.2693333335,NA,200,NA,28.2210235294118,11.8757384175,"diploid",NA,"below-ground runners","Frutescent","pluriennial",NA
"Lilium_bulbiferum",5.09,0.026795,60,NA,7.4,18.71,NA,"no","bulbils","Herbaceous",NA,NA
"Lilium_martagon",44.71,0.1623860308,120,NA,6.9825,25.71,"diploid","no","no vegetative dispersal parts","Herbaceous","pluriennial",NA
"Limodorum_rubrum",NA,NA,45,NA,0.05,NA,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Linaria_alpina",NA,NA,8,NA,NA,NA,NA,NA,"below-ground runners","Herbaceous",NA,NA
"Linaria_angustissima",NA,NA,70,NA,NA,NA,NA,NA,"root shoots","Herbaceous",NA,NA
"Linaria_repens",2.14,0.00753,60,NA,0.2232,26.98,"diploid","no","root shoots","Herbaceous","pluriennial",NA
"Linaria_simplex",NA,NA,40,NA,NA,NA,NA,NA,"no vegetative dispersal parts","Herbaceous",NA,NA
"Linophyllum_divaricatum",NA,NA,20,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Linum_alpinum",NA,NA,35,NA,NA,NA,"tetraploid",NA,"root shoots","Herbaceous","pluriennial",NA
"Linum_catharticum",0.27,0.000855255809,20,NA,0.15127619047619,34.1133333333333,"diploid","yes","no vegetative dispersal parts","Herbaceous","annual",NA
"Linum_suffruticosum",NA,NA,25,NA,NA,NA,NA,NA,"basal lateral shoots","Suffrutescent",NA,NA
"Linum_tenuifolium",NA,NA,50,NA,1.54875,NA,"diploid","yes","basal lateral shoots","Herbaceous","pluriennial",NA
"Listera_nidus-avis",NA,NA,25,NA,0.006,NA,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Listera_ovata",37.12,0.148429064533333,50,NA,NA,NA,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Lithospermum_arvense",2.08,0.00754,50,NA,5.39534444444444,27.16,NA,NA,"no vegetative dispersal parts","Herbaceous",NA,NA
"Lithospermum_incrassatum",NA,NA,NA,NA,NA,NA,NA,NA,"no vegetative dispersal parts",NA,NA,NA
"Lithospermum_officinale",9.575,0.04265150774,80,NA,12.3214857142857,NA,"octoploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Lloydia_serotina",0.7,NA,15,NA,0.2,7.3,"diploid","no","basal lateral shoots","Herbaceous","pluriennial","forbs"
"Lolium_perenne",3.79,0.0145298595333333,45,2,1.98321276595745,15.52,"diploid","no","tussocks, tufts","Herbaceous","pluriennial",NA
"Lomelosia_graminifolia",NA,NA,NA,NA,NA,NA,NA,NA,"basal lateral shoots",NA,NA,NA
"Lonicera_caerulea",NA,NA,150,NA,30.5735,13.5,"diploid",NA,"basal lateral shoots","Frutescent","pluriennial",NA
"Lonicera_etrusca",NA,NA,200,NA,NA,NA,NA,NA,"below-ground runners","Frutescent",NA,NA
"Lonicera_nigra",32.5694833333333,0.159608333333333,200,2,NA,21.7927437875,"diploid",NA,"basal lateral shoots","Frutescent","pluriennial",NA
"Lonicera_webbiana",31.49,0.10341,180,NA,58.507,29.01,"tetraploid",NA,"basal lateral shoots","Frutescent","pluriennial",NA
"Lonicera_xylosteum",14.6775,0.0518916666666667,180,2,100.0332,28.9486945571429,"diploid",NA,"basal lateral shoots","Frutescent","pluriennial",NA
"Loroglossum_anthropophorum",10.68,0.03334,40,NA,NA,32.01,NA,NA,"no vegetative dispersal parts","Herbaceous",NA,NA
"Lotus_alpinus",0.260254737,NA,10,2,1.49313725483333,20,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial","legumes"
"Lotus_corniculatus",1.32,0.00449923305066667,35,3,1.2220625,26.6925,"tetraploid","yes","basal lateral shoots","Herbaceous","pluriennial",NA
"Lotus_delortii",NA,NA,20,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Lotus_maritimus",NA,NA,12,NA,NA,NA,NA,NA,"below-ground runners","Herbaceous",NA,NA
"Lunaria_annua",85.01,0.226565,80,NA,16.43325,37.985,"diploid",NA,"no vegetative dispersal parts","Herbaceous","biennial",NA
"Lunaria_rediviva",123.45,0.261882,80,NA,26,44.66,"diploid",NA,"below-ground runners","Herbaceous","pluriennial",NA
"Luzula_alpinopilosa",NA,NA,30,NA,0.20275,14.71,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Luzula_campestris",0.67,0.004315,22.5,2,0.652231428571429,26.7666666666667,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Luzula_lutea",3.202614379,0.012685,22,NA,0.213529412,11.7,NA,"no","basal lateral shoots","Herbaceous",NA,"graminoids"
"Luzula_luzulina",NA,NA,20,NA,0.3,NA,"tetraploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Luzula_maxima",NA,NA,60,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Luzula_multiflora",5.49,0.02419486726,40,5,0.767616666666667,29.445,"hexaploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Luzula_nivea",NA,NA,70,NA,0.484,NA,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Luzula_nutans",5.90015,0.0307466666666667,50,NA,NA,19.7109176908333,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Luzula_spicata",0.282,0.00341333333333333,20,NA,0.306833333333333,13.65,"tetraploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Luzula_sudetica",NA,NA,27.5,3,0.275333333333333,NA,"hexaploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Luzula_sylvatica",61.38,0.3345186358,100,NA,0.733107692307692,NA,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
