"","ID","ORIGIN_NOM","IMPORTANCE","NATURE","X_WGS84","Y_WGS84","X_ALBERS","Y_ALBERS","present_bio_1","present_bio_10","present_bio_11","present_bio_12","present_bio_13","present_bio_14","present_bio_15","present_bio_16","present_bio_17","present_bio_18","present_bio_19","present_bio_2","present_bio_3","present_bio_4","present_bio_5","present_bio_6","present_bio_7","present_bio_8","present_bio_9","cclgmbi1","cclgmbi10","cclgmbi11","cclgmbi12","cclgmbi13","cclgmbi14","cclgmbi15","cclgmbi16","cclgmbi17","cclgmbi18","cclgmbi19","cclgmbi2","cclgmbi3","cclgmbi4","cclgmbi5","cclgmbi6","cclgmbi7","cclgmbi8","cclgmbi9","melgmbi1","melgmbi10","melgmbi11","melgmbi12","melgmbi13","melgmbi14","melgmbi15","melgmbi16","melgmbi17","melgmbi18","melgmbi19","melgmbi2","melgmbi3","melgmbi4","melgmbi5","melgmbi6","melgmbi7","melgmbi8","melgmbi9","mrlgmbi1","mrlgmbi10","mrlgmbi11","mrlgmbi12","mrlgmbi13","mrlgmbi14","mrlgmbi15","mrlgmbi16","mrlgmbi17","mrlgmbi18","mrlgmbi19","mrlgmbi2","mrlgmbi3","mrlgmbi4","mrlgmbi5","mrlgmbi6","mrlgmbi7","mrlgmbi8","mrlgmbi9"
"persistant",NA,NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"underIce",NA,NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EcrinsNP",NA,NA,"NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"occidentale.l.ailefroide","PAIOROGR0000000075590225","BDNyme","6","Sommet","6.35609462352","44.8848409196","-286577.317056","1631154.90914","-8.9306194442472","74.1224562676469","-68.9836951561413","14892.721386815","1487.87697152424","848.938485762118","17.8505857102801","4463.63091457271","2916.71732882673","2916.71732882673","4223.63091457271","110.053075711894","39","6114.0166486524","151.026117689821","-131.026958022073","282.053075711894","-62.0367708680354","74.1224562676469","-84.872139363379","-24.5157795048186","-149.206642477559","2012.13337596642","231.607369566958","109.12470204975","21.9537290355198","641.718311528686","356.435141699498","387.778342581189","612.362903536946","52.6445920082601","26.0122071100498","5051.97793759359","7.81872360936124","-192.470460407159","200.28918401652","-148.135957292979","-25.8258683988988","-83.8258683988988","-11.5620504692988","-148.458253297109","1930.75706309712","194.549843359249","105.425141309499","13.7021182159695","523.949969337496","416.664895774668","483.203483890688","523.949969337496","61.6908629727403","28.0122071100498","5507.34206419544","25.8187236093612","-190.81461315567","216.633336765031","-148.458253297109","-80.8380755089486","-83.1237501829293","-29.5157795048186","-136.458253297109","1635.84925427041","206.917458461039","78.0915900621399","28.6899111059197","567.293170219187","263.699911495919","316.447348809548","567.293170219187","65.64459200826","35.0122071100498","4407.61355941387","10.8187236093612","-173.470460407159","184.28918401652","-136.458253297109","-32.5279866148683"
"tour.choisy","PAIOROGR0000000007456011","BDNyme","7","Pic","6.3262177799","44.9638612523","-288482.696632","1640080.62652","-2.43411917397673","81.5658808260233","-63.2183593606441","13974.1972302002","1384.20811581029","819.552129335474","16","4152.62434743088","2823.89332107524","2823.89332107524","3945.3628921582","110","38.2605468797853","6193.95164232568","159.565880826023","-123.173572294191","282.739453120215","-57.4789062404294","81.5658808260233","-71.5804899337133","-9.24673776732137","-138.702681264892","1890.90771920672","213.415669926543","104.79908921607","20.1209348320028","590.430774784402","343.708805867383","371.76459759301","566.102804565977","56.7023386103677","26.701082111192","5187.46691592463","25.1218486766545","-182.949076377689","208.070925054344","-135.489863930503","-11.701424765716","-70.035176932108","3.08248895027871","-138.373454547292","1796.42101141226","178.542386706513","98.0803186064513","13","482.389815904326","390.860049528178","452.794493125062","482.389815904326","66.1267167799703","28.8790651679972","5661.71086868129","43.1218486766545","-183.287353992873","226.409202669527","-138.373454547292","-67.7933072681025","-69.4595551017105","-14.2467377673214","-126.373454547292","1544.09482380332","194.26895171454","76.418596221635","27.5453130016053","532.699797141158","252.29473509454","299.12991508737","532.699797141158","70.1267167799703","35.8790651679972","4560.29526993022","29.1218486766545","-164.529223656878","193.651072333533","-126.373454547292","-17.3340948209159"
"l.olan","PAIOROGR0000000007456748","BDNyme","6","Pic","6.19678321946","44.8591891668","-299244.062738","1628933.3051","9.74994021722299","93.933543199503","-51.250059782777","14079.2994670242","1314.33662765057","914.336627650571","12.6172657473372","3943.00988295171","3010.66456800497","3010.66456800497","3786.83722547834","105.617265747337","38","6229.49303944252","167.933543199503","-107.250059782777","275.18360298228","-47.250059782777","93.933543199503","-63.890044082572","-1.76950407937206","-131.20652536953","1795.50314084172","203.573562795614","97.3002093894479","21","561.50104694724","321.53359074226","348.31079347522","537.621586950439","56.410165306876","27","5169.34797615677","33.546977207586","-173.300209389448","206.847186597034","-127.20652536953","-4.76950407937206","-62.890044082572","10.4264372043861","-131.300209389448","1715.35890068268","171.694102798814","95.496150673206","13","459.911212254116","380.319366719142","426.217109455302","459.911212254116","66.410165306876","29","5669.24183652166","51.546977207586","-175.616690676406","227.163667883992","-131.300209389448","-60.890044082572","-62.0859853663301","-6.47987877569597","-119.20652536953","1460.11493524409","182.010584085772","72.7103746963239","27","501.004896274034","236.916900065854","281.506734758978","501.004896274034","70.410165306876","36","4580.43409210146","37.546977207586","-156.616690676406","194.163667883992","-119.20652536953","-9.89004408257196"
"brèche.du.râteau","PAIOROGR0000000007455807","BDNyme","8","Col","6.28331159871","44.9900049139","-291700.942538","1643165.12147","1.86616131794474","85.725125626377","-58.7449612321677","13216.2312221531","1284.89922464335","807.449612321677","14.7449612321677","3854.69767393006","2760.19835605791","2760.19835605791","3682.54719302294","107.744961232168","38","6188.45691889317","162.470086858545","-116.878799914223","279.348886772768","-53.7449612321677","85.725125626377","-78.5251519319454","-16.7833373902179","-144.891520885448","1970.94295881896","222.635793459548","110.559300683317","20.2581854582724","616.897192444961","358.421649067007","387.975447943665","592.159242853888","54.5898801033573","26.4423361726872","5145.14596619662","15.6243244740521","-187.932813796215","203.557138270268","-142.14970634372","-19.0434553238178","-77.3035732574178","-5.04152284849029","-144.373217493575","1865.32802221794","186.04152284849","101.262575965973","13.5183033918724","504.118245562443","401.898369425521","469.601349088853","504.118245562443","64.8499980369572","28.6639148472149","5602.06783193886","33.6243244740521","-188.55736820799","222.181692682042","-144.373217493575","-74.7073701710327","-77.0434553238178","-22.0415228484903","-132.190999254488","1612.16764694937","204.559826240363","78.9303557638426","28.2581854582724","559.609308927885","262.418079735675","311.008485396078","559.609308927885","68.0715767114849","35.4816966081276","4516.54097746931","19.6243244740521","-169.29725027439","188.921574748442","-132.190999254488","-24.7833373902178"
"signal.du.lauvitel","PAIOROGR0000000007456274","BDNyme","5","Sommet","6.04250507795","44.9390848355","-310889.637183","1638480.20006","28.554231156952","116.159541145128","-36.8404588548719","13371.0584631814","1250.51078831224","853.946900118239","12","3751.53236493672","2853.72144856839","2853.72144856839","3719.95716399081","100.468313998033","37","6598.60344987788","188.366156335584","-81.8404588548719","270.206615190456","-36.445768843048","116.159541145128","-45.587894242626","18.4144902069181","-116.575087448791","1620.7818092666","180.157328246213","88.5798563478787","18.9786859044278","494.402212246777","296.264283053581","319.295342516892","474.904935184597","63.5501200280529","28.5027229378202","5313.49862511469","58.4223205321026","-160.598785993907","219.021106526009","-109.609208338198","14.394706824394","-44.587894242626","30.394706824394","-117.575087448791","1529.84077508467","149.24190765195","86.5655188409951","12.518591157752","402.079539871711","345.665027652685","383.84413940146","401.861922663946","74.0117454877768","30.4829395552962","5857.72040466174","75.4223205321026","-164.598785993907","240.021106526009","-115.201081545903","-44.9215192464568","-43.587894242626","14.3962375374422","-105.093678606543","1331.2124603405","163.65766673449","69.5685802670915","26.4972770621798","451.947563375741","218.736800264586","256.268198216173","451.947563375741","78.0117454877768","36.98260106702","4770.46255911951","62.4223205321026","-145.598785993907","208.021106526009","-105.093678606543","9.39470682439399"
"brèche.de.valsenestre","PAIOROGR0000000007456366","BDNyme","8","Col","6.06140806532","44.9369825375","-309418.723993","1638165.82361","32.0180840485924","119.211525544869","-32.7884744551308","12974.8141436707","1208.06558503723","836.903994854042","12","3624.1967551117","2779.75831929662","2779.75831929662","3624.1967551117","100","37","6562.74144406926","191.812642525468","-77.7884744551308","269.601116980599","-32.7884744551308","119.211525544869","-51.4093070783223","11.680037626014","-121.499953623873","1678.04704083767","187.280685921059","91.6541302928494","18.9996745396964","513.99688535276","305.95055630805","329.872003402196","494.035836345383","61.2323377234216","28.0513700926236","5256.66791267925","49.848586156812","-164.602368348817","214.450954505629","-115.42237709893","7.66794398631763","-50.4093070783223","23.6803630863176","-122.49962816357","1584.5284778728","155.398123428431","88.7813832177929","12.9616999279837","418.373451545376","355.084629116726","396.690643919988","418.342755059911","71.2706377954379","30.0389509926236","5803.63655877796","66.861005256812","-168.602368348817","235.463373605629","-121.129621639927","-49.4619274036982","-49.4089816180187","7.66826944662125","-110.473747191553","1380.79483957106","171.205128549042","71.7696150384002","26.9486299073764","470.975042686598","226.21819856965","265.089251952083","470.975042686598","75.2703123351343","36.0772510646399","4718.20318562395","53.848586156812","-149.589949248817","203.438535405629","-110.473747191553","2.66794398631763"
"pointe.brevoort","PAIOROGR0000000007456010","BDNyme","6","Pic","6.32863571761","44.9675115917","-288272.565672","1640478.0395","-3.64379656204247","79.7535343502914","-64.6437965620425","14068.2331456614","1392.70979404255","826.477465794003","16","4178.12938212764","2842.46465649709","2842.46465649709","3971.65191633363","109.954922508266","38","6192.75065380475","157.753534350291","-125.246465649709","283","-58.6683103165884","79.7535343502914","-71.8142418207024","-9.47223566007257","-138.948584589662","1894.29930849127","213.832685537193","105.028691114141","20.1083242870701","591.748771784559","344.230190157484","372.365795141624","567.387533043808","56.6477464417194","26.6217279598299","5186.25383683384","24.833504621017","-183.119982101792","207.953486722809","-135.714902716102","-11.9225661077725","-70.2645722684023","2.91502156256752","-138.561327367022","1799.8648973297","178.921777244143","98.1638227467311","13","483.503432096277","391.347499627024","453.798924979716","483.503432096277","66.0890917069494","28.8916757129299","5659.64821457863","42.833504621017","-183.416737200412","226.250241821429","-138.561327367022","-68.0479236942622","-69.7059175336323","-14.4722356600726","-126.561327367022","1546.75377131679","194.670125005643","76.4605778453507","27.5496695523001","533.693913986637","252.724361250123","299.742804966614","533.693913986637","70.0890917069494","35.8916757129299","4559.42953420084","28.833504621017","-164.633385774552","193.466890395569","-126.561327367022","-17.6428443085725"
