"","clade","communtiy","pool","mu","gamma_0","loglik.obs"
"1","Asterales","All Summits","Regional","8.87633748110242","3.32841321727025","-83.1031500632623"
"2","Poales","All Summits","Regional","6.09529578644696","1.97806738444557","-84.0861388771704"
"3","Lamiales","All Summits","Regional","1.6046122155568","0.397666316927686","-52.5870316177242"
"4","Caryophyllales","All Summits","Regional","1.26337887155364","0.455128993991783","-41.143420233184"
"5","Asterales","Persistent","Regional","11.1532674276879","2.71527497952476","-70.0287762102291"
"6","Poales","Persistent","Regional","7.07855405777144","1.61091198073807","-72.4127810284107"
"7","Lamiales","Persistent","Regional","1.2992448484084","0.23568545006222","-44.3562471722895"
"8","Caryophyllales","Persistent","Regional","0.576271056833235","0.188561819036489","-38.713615448327"
"9","Spermatophyta","Persistent","All Summits","3.98329646148306","12.9824908418127","-116.088396392509"
"10","Asterales","Persistent","All Summits","12.3201234880054","31.3603165450794","-22.5071827328124"
"11","Poales","Persistent","All Summits","0.106063242800833","0.495224257210581","-18.9127977200579"
"12","Lamiales","Persistent","All Summits","1.53091378069626","4.89895756385344","-10.8332135675216"
"13","Caryophyllales","Persistent","All Summits","0.0430398217781545","0.66474442743979","-4.7437429524396"
"14","Asterales","Plat de la Selle","All Summits","0.330662500960131","0.0550325667940183","-13.9817306336702"
"15","Asterales","Barre des Ecrins","All Summits","34.3529273530368","7.51470246606186","-17.6608370855224"
"16","Asterales","La Meije","All Summits","3.79301911959188","0.434647551703935","-12.1994283826768"
"17","Asterales","Sirac","All Summits","27.8079487670285","13.9039730181023","-24.130905382941"
"18","Asterales","Rouies","All Summits","1.54305983798288","0.540448888291786","-21.457471411305"
"19","Asterales","Olan","All Summits","0.266215568393798","0.106916859090888","-21.0953183080672"
"20","Asterales","Occidentale Ailefroide","All Summits","35.6600891866357","5.24413041138377","-14.2423096193852"
"21","Asterales","Brevoort","All Summits","0.145202519391895","0.0102481160882994","-7.2332886902929"
"22","Asterales","Burlan","All Summits","3.17306467702675","0.468549437035366","-14.2349823261184"
"23","Asterales","Rocher de la Selle","All Summits","8.57427492180008","33.225321739229","-19.0966213460304"
"24","Asterales","Choisy","All Summits","0.0550794621976947","0.00842287375128453","-9.69089249333176"
"25","Asterales","Muraillette","All Summits","28.8658774218253","11.3401649607254","-22.5071827328182"
"26","Asterales","Rateau","All Summits","0.471639783079603","0.353082145167086","-25.7774744826336"
"27","Asterales","Lauvitel","All Summits","0.118243143149293","0.0723070436560747","-22.885440458071"
"28","Poales","Plat de la Selle","All Summits","0.244028604083158","0.125590665661291","-22.1124446860049"
"29","Poales","Barre des Ecrins","All Summits","27.6139978231274","10.2274053203887","-20.8973692752251"
"30","Poales","La Meije","All Summits","32.2209180439315","6.23630618980785","-15.7066554328737"
"31","Poales","Sirac","All Summits","5.9441253159971e-16","0.0311826627151712","-21.8476803152295"
"32","Poales","Rouies","All Summits","5.05714829731539","0.790888114503172","-13.9588268273602"
"33","Poales","Olan","All Summits","30.765415660862","9.88888244298374","-19.8340681063478"
"34","Poales","Pelvoux","All Summits","3.65826581250461e-17","0.00368047380873667","-7.71077367109281"
"35","Poales","Occidentale Ailefroide","All Summits","31.8559905829387","6.16567517438848","-15.7066554328754"
"36","Poales","Brevoort","All Summits","9.45075187602462","0.262534521300474","-3.90411718040049"
"37","Poales","Burlan","All Summits","1.36762577262659","0.272412611856865","-15.6788567763101"
"38","Poales","Rocher de la Selle","All Summits","8.62672414390106","31.2718763607512","-18.6237041842349"
"39","Poales","Choisy","All Summits","6.90396053238822","0.394623596334995","-7.08717584827057"
"40","Poales","Muraillette","All Summits","0.324788039042513","0.159905816836948","-21.7683033255979"
"41","Poales","Rateau","All Summits","16.5710790341758","24.3042490726064","-24.2871285968629"
"42","Poales","Lauvitel","All Summits","22.257126364571","21.0856980902119","-24.9397833409835"
"43","Lamiales","Plat de la Selle","All Summits","6.56796566056092","0.691365052413252","-5.91118901264959"
"44","Lamiales","Barre des Ecrins","All Summits","4.59711405228662","1.43660403514471","-10.8332144039513"
"45","Lamiales","La Meije","All Summits","0.461799396038878","0.0867736136414282","-7.86233795433618"
"46","Lamiales","Sirac","All Summits","1.43747899464219e-16","0.0189519459449339","-10.4438662729236"
"47","Lamiales","Rouies","All Summits","5.92928558582984","1.8529020210109","-10.8332148583513"
"48","Lamiales","Olan","All Summits","6.86349529757727","2.74539812623784","-11.8705141777569"
"49","Lamiales","Pelvoux","All Summits","0.105637334876579","0.0168890798884176","-5.58225803325741"
"50","Lamiales","Occidentale Ailefroide","All Summits","0.135303694344141","0.0458989448986666","-9.28558104880399"
"51","Lamiales","Brevoort","All Summits","3.01512307606825e-17","4.67194083542164e-17","-1.3862943611199"
"52","Lamiales","Burlan","All Summits","11.0994119837364","3.46856579389525","-10.8332148936311"
"53","Lamiales","Rocher de la Selle","All Summits","0.0773978657933488","0.152897300948585","-13.4966006680265"
"54","Lamiales","Choisy","All Summits","0.290033527100431","0.0373527120912856","-5.75824323390039"
"55","Lamiales","Muraillette","All Summits","0.971405744548876","0.311912516190171","-10.8253558746774"
"56","Lamiales","Rateau","All Summits","0.165433750034437","0.172795769314252","-13.4515898388776"
"57","Lamiales","Lauvitel","All Summits","1.30402313439692","0.807820981075121","-13.261126871661"
"58","Caryophyllales","Plat de la Selle","All Summits","0.150370740794136","0.020526065080337","-5.51572508933398"
"59","Caryophyllales","Barre des Ecrins","All Summits","0.607148942374256","0.228375326862806","-10.1737150569685"
"60","Caryophyllales","La Meije","All Summits","0.0959283841844755","0.0428430964680606","-9.67196283273266"
"61","Caryophyllales","Sirac","All Summits","0.137541241731714","0.0956712251435278","-11.1225994119891"
"62","Caryophyllales","Rouies","All Summits","0.210312061748381","0.0631695658443689","-8.77531172723025"
"63","Caryophyllales","Olan","All Summits","21.7641939972501","5.80378483212583","-9.08526296259306"
"64","Caryophyllales","Pelvoux","All Summits","0.281869149832519","0.0171261637622284","-3.15479306220257"
"65","Caryophyllales","Occidentale Ailefroide","All Summits","0.0349791505988095","0.0155006394203371","-8.39927497547023"
"66","Caryophyllales","Brevoort","All Summits","2.03594433837531","0.241574752414124","-5.69321187679981"
"67","Caryophyllales","Burlan","All Summits","0.0856767485778236","0.0204263904979616","-7.22526995301809"
"68","Caryophyllales","Rocher de la Selle","All Summits","6.07165282164395","22.7686974728654","-9.08526296259254"
"69","Caryophyllales","Choisy","All Summits","2.03594433837531","0.241574752414124","-5.69321187679981"
"70","Caryophyllales","Muraillette","All Summits","17.4813290713606","10.197441592927","-11.8109425827609"
"71","Caryophyllales","Rateau","All Summits","0.0421554888027811","0.0298895674273096","-10.4625471593937"
"72","Caryophyllales","Lauvitel","All Summits","0.288063035479513","0.89802055413112","-10.1000970578879"
"73","Asterales","Plat de la Selle","LGM","0.0518198307435055","0.0211732223394231","-11.3689429540341"
"74","Asterales","Barre des Ecrins","LGM","0.323634141400453","0.125816402332864","-14.9888354551117"
"75","Asterales","La Meije","LGM","2.86399302842774","0.480770437124604","-10.780128292115"
"76","Asterales","Sirac","LGM","25.3780106038455","16.4210653902874","-18.0671042546102"
"77","Asterales","Rouies","LGM","0.632209792265969","0.377716056163828","-17.3927766063276"
"78","Asterales","Olan","LGM","0.0363636390080632","0.0455847592111571","-16.0542087977752"
"79","Asterales","Pelvoux","LGM","39.240685402784","3.01851406154828","-6.51177475467161"
"80","Asterales","Occidentale Ailefroide","LGM","34.8727137764832","7.58102416786342","-12.445022575808"
