"","PHLAWD Input Name","TNRS iPlant Taxonomy","GenBank Taxonomy ID","GenBank Taxonomy","ITS","trnTLF","rbcL","matK","atpB","Alps Phylogeny","TaxRef v.9","Alien Origin","Endemic","Regional","All Summits","LGM","Aiguille du plat de la Selle","Barre des Ecrins","la Meije","le Sirac","les Rouies","Olan","Mont Pelvoux","Occidentale.Ailefroide","Point Brevoort","Pointes de Burlan","Rocher de la Selle","Tour Choisy","Tete de la Muraillette","le Rateau","Signal de Lauvitel"
"18","Aconitum_variegatum","Aconitum_variegatum",112594,"Aconitum_variegatum","632933540","NA","NA","NA","NA",1,"Aconitum_variegatum","",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1083","Polygonum_alpinum","Aconogonon_alpinum",125586,"Aconogonon_alpinum","NA","156536628","218059573","8568052","NA",1,"Aconogonum_alpinum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Actaea_spicata","Actaea_spicata",64025,"Actaea_spicata","384369248","3641791","733452253","384369038","NA",1,"Actaea_spicata","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Adenostyles_alliariae",NA,NA,NA,NA,NA,NA,NA,NA,0,"Adenostyles_alliariae","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227","Cacalia_alliariae",NA,NA,NA,NA,NA,NA,NA,NA,0,"Adenostyles_alliariae","",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"21","Adenostyles_alpina","Adenostyles_alpina",462377,"Adenostyles_alpina","156753995","308228703","NA","308320176","NA",1,"Adenostyles_alpina","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"228","Cacalia_alpina",NA,NA,NA,NA,NA,NA,NA,NA,0,"Adenostyles_alpina","",0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"22","Adenostyles_leucophylla","Adenostyles_leucophylla",217500,"Adenostyles_leucophylla","27652559","28193391","NA","NA","NA",1,"Adenostyles_leucophylla","",1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"229","Cacalia_leucophylla",NA,NA,NA,NA,NA,NA,NA,NA,0,"Adenostyles_leucophylla","",0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1
"23","Adonis_aestivalis","Adonis_aestivalis",113211,"Adonis_aestivalis","NA","NA","597518414","NA","NA",1,"Adonis_aestivalis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Adoxa_moschatellina","Adoxa_moschatellina",4208,"Adoxa_moschatellina","1850564","28172965","817991606","20530883","305671646",1,"Adoxa_moschatellina","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Aegopodium_podagraria","Aegopodium_podagraria",40902,"Aegopodium_podagraria","386778943","376373207","379036860","379038708","NA",1,"Aegopodium_podagraria","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Aethionema_saxatile","Aethionema_saxatile",202778,"Aethionema_saxatile","298200774","27461486","46325897","170517197","NA",1,"Aethionema_saxatile","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Aethusa_cynapium","Aethusa_cynapium",40954,"Aethusa_cynapium","307748667","373431723","379037306","607344948","NA",1,"Aethusa_cynapium","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Agrimonia_eupatoria","Agrimonia_eupatoria",57912,"Agrimonia_eupatoria","3746143","27524861","379032466","379037824","NA",1,"Agrimonia_eupatoria","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Agrestis_alpina",NA,NA,NA,NA,NA,NA,NA,NA,0,"Agrostis_alpina","",0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1
"32","Agrostis_capillaris","Agrostis_capillaris",204232,"Agrostis_capillaris","210076951","159146750","41056379","119553571","NA",1,"Agrostis_capillaris","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"29","Agrestis_rupestris",NA,NA,NA,NA,NA,NA,NA,NA,0,"Agrostis_rupestris","",0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1
"31","Agrostis_agrostiflora",NA,NA,NA,NA,NA,NA,NA,NA,0,"Agrostis_schraderiana","",0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"232","Calamagrostis_schraderiana",NA,NA,NA,NA,NA,NA,NA,NA,0,"Agrostis_schraderiana","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Agrostis_stolonifera","Agrostis_stolonifera",63632,"Agrostis_stolonifera","758585555","189303940","557836347","76881051","NA",1,"Agrostis_stolonifera","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Ajuga_chamaepitys","Ajuga_chamaepitys",49984,"Ajuga_chamaepitys","NA","261086983","1480371","371754258","NA",1,"Ajuga_chamaepitys","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Ajuga_genevensis",NA,NA,NA,NA,NA,NA,NA,NA,0,"Ajuga_genevensis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Ajuga_pyramidalis",NA,NA,NA,NA,NA,NA,NA,NA,0,"Ajuga_pyramidalis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Ajuga_reptans","Ajuga_reptans",38596,"Ajuga_reptans","145567031","395863759","1817567","58045217","NA",1,"Ajuga_reptans","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Alchemilla_alpina","Alchemilla_alpina",57943,"Alchemilla_alpina","158514971","27524335","733452036","733451834","NA",1,"Alchemilla_alpina","",0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1
"39","Alchemilla_baltica",NA,NA,NA,NA,NA,NA,NA,NA,0,"Alchemilla_baltica","Russia",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"40","Alchemilla_conjuncta",NA,NA,NA,NA,NA,NA,NA,NA,0,"Alchemilla_conjuncta","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Alchemilla_connivens",NA,NA,NA,NA,NA,NA,NA,NA,0,"Alchemilla_connivens","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Alchemilla_fissa","Alchemilla_fissa",478309,"Alchemilla_fissa","158514993","160346895","NA","NA","NA",1,"Alchemilla_fissa","",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"43","Alchemilla_flabellata","Alchemilla_flabellata",478310,"Alchemilla_flabellata","158514994","160346896","NA","NA","NA",1,"Alchemilla_flabellata","",0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
"44","Alchemilla_glabra","Alchemilla_glabra",1155248,"Alchemilla_glabra","NA","NA","379034147","379038840","NA",1,"Alchemilla_glabra","",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"45","Alchemilla_glaucescens","Alchemilla_glaucescens",667203,"Alchemilla_glaucescens","NA","260182656","733452032","733451840","NA",1,"Alchemilla_glaucescens","",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"47","Alchemilla_incisa","Alchemilla_incisa",478321,"Alchemilla_incisa","158515004","160346907","NA","NA","NA",1,"Alchemilla_incisa","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"46","Alchemilla_gracilis",NA,NA,NA,NA,NA,NA,NA,NA,0,"Alchemilla_monticola","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Alchemilla_monticola",NA,NA,NA,NA,NA,NA,NA,NA,0,"Alchemilla_monticola","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Alchemilla_pentaphyllea","Alchemilla_pentaphyllea",478333,"Alchemilla_pentaphyllea","158515017","229270116","NA","NA","NA",1,"Alchemilla_pentaphyllea","",0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"50","Alchemilla_plicata","Alchemilla_plicata",478334,"Alchemilla_plicata","158515018","160346922","NA","NA","NA",1,"Alchemilla_plicata","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Alchemilla_saxatilis","Alchemilla_saxatilis",478338,"Alchemilla_saxatilis","158515022","160346923","NA","NA","NA",1,"Alchemilla_saxatilis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","Alchemilla_subcrenata",NA,NA,NA,NA,NA,NA,NA,NA,0,"Alchemilla_subcrenata","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Alchemilla_transiens","Alchemilla_transiens",478348,"Alchemilla_transiens","158515032","160346932","NA","NA","NA",1,"Alchemilla_transiens","",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"54","Alchemilla_xanthochlora","Alchemilla_xanthochlora",1155249,"Alchemilla_xanthochlora","NA","NA","379036574","379041704","NA",1,"Alchemilla_xanthochlora","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"55","Alisma_plantago_aquatica","Alisma_plantago_aquatica",15000,"Alisma_plantago-aquatica","343404236","218091653","507914137","33332494","68139360",1,"Alisma_plantago-aquatica","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Alliaria_petiolata","Alliaria_petiolata",126270,"Alliaria_petiolata","NA","371768950","817991626","12002400","NA",1,"Alliaria_petiolata","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","Allium_senescens","Allium_senescens",70766,"Allium_senescens_subsp__montanum","40548536","NA","NA","NA","NA",1,"Allium_lusitanicum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Allium_senescens","Allium_senescens",70766,"Allium_senescens","NA","374079070","519670648","357640289","NA",1,"Allium_lusitanicum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Allium_oleraceum","Allium_oleraceum",467612,"Allium_oleraceum","256596110","256587886","379133809","385137179","NA",1,"Allium_oleraceum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Allium_schoenoprasum","Allium_schoenoprasum",74900,"Allium_schoenoprasum","NA","537099176","379031483","NA","NA",1,"Allium_schoenoprasum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Allium_schoenoprasum","Allium_schoenoprasum",74900,"Allium_schoenoprasum_subsp__latiorifolium","21628464","NA","NA","NA","NA",1,"Allium_schoenoprasum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","Allium_scorodoprasum","Allium_scorodoprasum",166823,"Allium_scorodoprasum","21739030","194241427","733452004","733451850","NA",1,"Allium_scorodoprasum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1094","Porrum_sphaerocephaluon",NA,NA,NA,NA,NA,NA,NA,NA,0,"Allium_sphaerocephalon","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Allium_lineare","Allium_lineare",165631,"Allium_lineare","291292610","NA","NA","NA","NA",1,"Allium_strictum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Allium_tauricum",NA,NA,NA,NA,NA,NA,NA,NA,0,"Allium_tauricum","Caucasus, Russia",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","Allium_ursinum","Allium_ursinum",4684,"Allium_ursinum","NA","537099181","379037452","379042324","NA",1,"Allium_ursinum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Allium_victorialis","Allium_victorialis",88845,"Allium_victorialis","NA","537099182","NA","NA","NA",1,"Allium_victorialis","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
