"","Row.names","Valid_LIB.C.150","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"105","Arctium_nemorosum","Arctium_nemorosum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","Arctostaphylos_uva_ursi","Arctostaphylos_uva-ursi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","Arenaria_gothica","Arenaria_gothica",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","Arenaria_serpyllifolia","Arenaria_serpyllifolia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","Aretia_pubescens","Androsace_pubescens",1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0
"110","Armeria_alpina","Armeria_alpina",1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
"111","Armeria_arenaria","Armeria_arenaria",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"112","Arnica_montana","Arnica_montana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","Arrhenatherum_elatius","Arrhenatherum_elatius",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","Arrhenatherum_parlatorei","Helictotrichon_parlatorei",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","Artemisia_absinthium","Artemisia_absinthium",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","Artemisia_alba","Artemisia_alba",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","Artemisia_atrata","Artemisia_atrata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","Artemisia_campestris","Artemisia_campestris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","Artemisia_genipi","Artemisia_genipi",1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"120","Artemisia_umbelliformis","Artemisia_umbelliformis",1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1
"121","Artemisia_vulgaris","Artemisia_vulgaris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","Arum_maculatum","Arum_maculatum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","Aruncus_dioicus","Aruncus_dioicus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","Asarum_europaeum","Asarum_europaeum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","Asparagus_tenuifolius","Asparagus_tenuifolius",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","Asperugo_procumbens","Asperugo_procumbens",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","Asperula_cynanchica","Asperula_cynanchica",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","Asphodelus_albus","Asphodelus_albus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","Asphodelus_macrocarpus","Asphodelus_macrocarpus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","Asplenium_adiantum_nigrum","Asplenium_adiantum-nigrum",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"131","Asplenium_ceterach","Asplenium_ceterach",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","Asplenium_exiguum","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","Asplenium_ramosum","Asplenium_viride",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"134","Asplenium_ruta_muraria","Asplenium_ruta-muraria",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
