"","metric","clade","pool","z","pval","rho.est","alt","hyp","measure"
"50","MNTD","Rosales","LGM",272.118586242947,0.483065408077625,-0.236902664740667,"two.sided","Geographic","Refugial Area"
"51","MNTD","Rosales","All Summits",272.118586242947,0.483065408077625,-0.236902664740667,"two.sided","Geographic","Refugial Area"
"52","MNTD","Spermatophyta","Regional",738.159141739432,0.247844381515882,-0.3181413245347,"two.sided","Geographic","Refugial Area"
"53","MNTD","Spermatophyta","LGM",889.294144001534,0.0211370417587787,-0.588025257145597,"two.sided","Geographic","Refugial Area"
"54","MNTD","Spermatophyta","All Summits",757.176128779034,0.198070008093537,-0.352100229962561,"two.sided","Geographic","Refugial Area"
"55","MPD","Asterales","Regional",417.873044230341,0.36137235102794,0.253798135302963,"two.sided","Geographic","Refugial Area"
"56","MPD","Asterales","LGM",523.967814030227,0.819789422704721,0.064343189231737,"two.sided","Geographic","Refugial Area"
"57","MPD","Asterales","All Summits",474.924005349148,0.588853533529112,0.151921419019379,"two.sided","Geographic","Refugial Area"
"58","MPD","Caryophyllales","Regional",331.864611956813,0.34936846535706,0.270627226468543,"two.sided","Geographic","Refugial Area"
"59","MPD","Caryophyllales","LGM",345.880021977989,0.408898886098467,0.239824127520904,"two.sided","Geographic","Refugial Area"
"60","MPD","Caryophyllales","All Summits",384.922949894121,0.599096895282923,0.154015494738195,"two.sided","Geographic","Refugial Area"
"61","MPD","Lamiales","Regional",238.762245387574,0.0859028380221433,0.475247812335002,"two.sided","Geographic","Refugial Area"
"62","MPD","Lamiales","LGM",289.898141727423,0.504716225589991,0.20357653371587,"two.sided","Geographic","Refugial Area"
"63","MPD","Lamiales","All Summits",337.871216251603,0.374267873291635,0.257425898348126,"two.sided","Geographic","Refugial Area"
"64","MPD","Poales","Regional",542.095762274449,0.512111138156859,-0.191419257746043,"two.sided","Geographic","Refugial Area"
"65","MPD","Poales","LGM",459.004402863193,0.976178803409991,-0.00880088541361116,"two.sided","Geographic","Refugial Area"
"66","MPD","Poales","All Summits",452.997798568403,0.988088248512178,0.00440044270680558,"two.sided","Geographic","Refugial Area"
"67","MPD","Rosales","Regional",270.114025233603,0.50053383070781,-0.227791023789103,"two.sided","Geographic","Refugial Area"
"68","MPD","Rosales","LGM",256.082098168194,0.629895298696935,-0.164009537128154,"two.sided","Geographic","Refugial Area"
"69","MPD","Rosales","All Summits",312.209806429829,0.199439119366812,-0.419135483771949,"two.sided","Geographic","Refugial Area"
"70","MPD","Spermatophyta","Regional",493.94099238875,0.675436203509306,0.117962513591518,"two.sided","Geographic","Refugial Area"
"71","MPD","Spermatophyta","LGM",514.959767537784,0.775692050847533,0.0804289865396712,"two.sided","Geographic","Refugial Area"
"72","MPD","Spermatophyta","All Summits",496.943674552898,0.689494320474429,0.11260058115554,"two.sided","Geographic","Refugial Area"
"73","MNTD","Asterales","Regional",346,0.160651929964041,0.382142857142857,"two.sided","Geographic","Maximum Slope"
"74","MNTD","Asterales","LGM",374,0.22635313788882,0.332142857142857,"two.sided","Geographic","Maximum Slope"
"75","MNTD","Asterales","All Summits",388,0.264941704786623,0.307142857142857,"two.sided","Geographic","Maximum Slope"
"76","MNTD","Caryophyllales","Regional",222,0.0640823566608121,0.512087912087912,"two.sided","Geographic","Maximum Slope"
"77","MNTD","Caryophyllales","LGM",190,0.0318233291767273,0.582417582417582,"two.sided","Geographic","Maximum Slope"
"78","MNTD","Caryophyllales","All Summits",278,0.170247644786917,0.389010989010989,"two.sided","Geographic","Maximum Slope"
