"","metric","clade","pool","adj.r.squared","p.value.1","(Intercept)","pc.stress.score"
"1","mntd","Asterales","Ecrins NP",0.013308294707331,0.295363777455667,-0.700850208320879,-0.00402121852408492
"2","mntd","Asterales","Persistent LGM",-0.0178813873382897,0.400941392384282,-0.3223084606717,-0.0032826255386595
"3","mntd","Asterales","Summits",-0.023397214784872,0.42448336914397,-0.556421436369176,-0.0033125621761672
"4","mntd","Caryophyllales","Ecrins NP",0.386587439490371,0.010428108204158,-0.0164273730286125,-0.00898866378377372
"5","mntd","Caryophyllales","Persistent LGM",0.379923280872858,0.01118692303931,-0.0378170956666509,-0.00873953489661936
"6","mntd","Caryophyllales","Summits",0.333673347593003,0.0179171167178105,-0.118495265940433,-0.00846005100164314
"7","mntd","Lamiales","Ecrins NP",-0.0833245381744916,0.992286913828464,-0.0458360721917618,-3.14612649150473e-05
"8","mntd","Lamiales","Persistent LGM",-0.0440594168515591,0.496925110411245,0.702525485068816,0.00219535478956849
"9","mntd","Lamiales","Summits",-0.0763671433498614,0.785233538542332,0.526443202225802,0.000767252614931485
"10","mntd","Poales","Ecrins NP",-0.0780360487960734,0.812238790235601,-0.567779841860883,0.000868629247340869
"11","mntd","Poales","Persistent LGM",-0.00239837610432292,0.344386581868654,0.187608667533184,0.00283118490412767
"12","mntd","Poales","Summits",-0.0112427227674818,0.373235680001376,0.427980672174681,0.00243941493574366
"13","mntd","Rosales","Ecrins NP",0.288562277550168,0.0511229849910765,-1.32346784781001,0.00815258953257453
"14","mntd","Rosales","Persistent LGM",0.0763619963425425,0.209500921111392,-0.769788715489708,0.00637432679479128
"15","mntd","Rosales","Summits",0.115427319555937,0.163281267728357,-0.851365143151707,0.00587615825859528
"16","mntd","Spermatophyta","Ecrins NP",0.0879535125413055,0.149244509885655,-2.37761988251935,-0.00733678588482882
"17","mntd","Spermatophyta","Persistent LGM",-0.0685513933435951,0.754690922056112,-0.603510066996238,0.000917713647573276
"18","mntd","Spermatophyta","Summits",0.0940437675565843,0.141288796583074,-0.948811004676732,-0.00641241955842783
"19","mpd","Asterales","Ecrins NP",0.026724648802405,0.260445691766444,-0.124693484034204,0.00438556097118211
"20","mpd","Asterales","Persistent LGM",0.0229358199044801,0.269802806493962,-0.0436233015451234,0.00466344997251272
"21","mpd","Asterales","Summits",0.0390874264012988,0.232349097755399,-0.120769052749733,0.00503287579685554
"22","mpd","Caryophyllales","Ecrins NP",0.400280107634458,0.00900822706419008,0.00866977929887928,-0.00776385899306123
"23","mpd","Caryophyllales","Persistent LGM",0.408847429033947,0.00820796749040184,-0.132699307496665,-0.0079638100584525
"24","mpd","Caryophyllales","Summits",0.404293414971422,0.0086253032090242,-0.231248678730469,-0.00762377386699111
"25","mpd","Lamiales","Ecrins NP",-0.0830675739619271,0.95761824269633,-0.0375299946025657,-9.48598740507496e-05
"26","mpd","Lamiales","Persistent LGM",-0.0397474964355264,0.477304260401451,0.710635166856792,0.00165259279261515
"27","mpd","Lamiales","Summits",-0.0753064621944486,0.769836274246002,0.570781366821535,0.000546237376756959
"28","mpd","Poales","Ecrins NP",-0.0596310397590005,0.613811359225744,-0.294132262770361,-0.0020204057854703
"29","mpd","Poales","Persistent LGM",-0.0781876477392638,0.814901977805645,0.490512097169476,-0.00066766683460649
"30","mpd","Poales","Summits",-0.0745230674559456,0.759154895738199,0.383395475405018,-0.000954231430784574
"31","mpd","Rosales","Ecrins NP",0.0511347460671505,0.246145177541758,-1.67699394849505,0.00660383723090574
"32","mpd","Rosales","Persistent LGM",0.0573751123234002,0.236502440943953,-0.805853175157464,0.00587538815828944
"33","mpd","Rosales","Summits",0.116242596187132,0.162431748992934,-0.827101322976756,0.00586074870649665
"34","mpd","Spermatophyta","Ecrins NP",0.213041225779454,0.0474799869603212,-0.497233961687149,-0.00821825632013466
"35","mpd","Spermatophyta","Persistent LGM",-0.0758596509491571,0.911479573285741,0.515031256222762,0.000310247859875228
"36","mpd","Spermatophyta","Summits",0.214319135679861,0.0469084058360501,-0.203442914612813,-0.00769100310160246
