"","metric","clade","pool","adj.r.squared","p.value.1","(Intercept)","S.area"
"1","mntd","Asterales","Ecrins NP",0.035578689859882,0.239966189916227,-5.93438207465762,0.407708343235386
"2","mntd","Asterales","Persistent LGM",-0.00355330760169625,0.347402630576334,-4.58748330178443,0.332270331487733
"3","mntd","Asterales","Summits",-0.0115586352443164,0.376078289569542,-4.82309372899765,0.332386987599161
"4","mntd","Caryophyllales","Ecrins NP",-0.0269101819551318,0.432607666757495,-3.30079316306144,0.250190057184203
"5","mntd","Caryophyllales","Persistent LGM",-0.029946896694494,0.445603394858308,-3.16794422050898,0.238315086395948
"6","mntd","Caryophyllales","Summits",-0.0261894225929922,0.429602600351019,-3.41549981177069,0.251561987076691
"7","mntd","Lamiales","Ecrins NP",-0.0816803576848553,0.894526918526626,-0.571131684602643,0.040724863666175
"8","mntd","Lamiales","Persistent LGM",0.0379353481424934,0.250262742861448,4.62775110840142,-0.304083706402093
"9","mntd","Lamiales","Summits",-0.0702422891145487,0.708330060893166,1.8053274849864,-0.0993115911706225
"10","mntd","Poales","Ecrins NP",0.121744527349784,0.119986786410554,6.01316366653238,-0.510316090593801
"11","mntd","Poales","Persistent LGM",0.417301626338842,0.00747944871560939,8.75640367598675,-0.66486401084447
"12","mntd","Poales","Summits",0.380373497663776,0.0111341859678818,7.95695000095767,-0.584171208847098
"13","mntd","Rosales","Ecrins NP",0.208680802551974,0.0888695256890197,6.7897793853075,-0.625977966571255
"14","mntd","Rosales","Persistent LGM",0.103511972042789,0.176198494295133,6.8112321712692,-0.585444051922146
"15","mntd","Rosales","Summits",0.0858155662394576,0.197248541356928,5.24253693670966,-0.470280708851486
"16","mntd","Spermatophyta","Ecrins NP",-0.0754834565301914,0.897071413486441,-1.57854652863425,-0.0622502893947361
"17","mntd","Spermatophyta","Persistent LGM",0.294653212875488,0.0213094756354276,6.5227405437298,-0.555156996113402
"18","mntd","Spermatophyta","Summits",-0.0700270273422492,0.776801304255005,0.552264286737194,-0.116938414776926
"19","mpd","Asterales","Ecrins NP",-0.0438158545509857,0.531951274116225,2.76427593183655,-0.225059666069602
"20","mpd","Asterales","Persistent LGM",-0.0458497380068565,0.545024874529232,2.98848149703824,-0.236210355744292
"21","mpd","Asterales","Summits",-0.0392599248984127,0.50452927075088,3.22165998411298,-0.260385575134561
"22","mpd","Caryophyllales","Ecrins NP",-0.0146656399306713,0.385229186778481,-3.06994537637704,0.234997504256246
"23","mpd","Caryophyllales","Persistent LGM",-0.0131403444604239,0.379823593031465,-3.2974080028475,0.241581685016069
"24","mpd","Caryophyllales","Summits",-0.0209287788515016,0.408527293951903,-3.10485713836842,0.219075066254171
"25","mpd","Lamiales","Ecrins NP",-0.0583726179082453,0.604445677526046,-1.15709719213123,0.0868038203563412
"26","mpd","Lamiales","Persistent LGM",0.0359665224964467,0.254153834300529,3.51703830313278,-0.2173660821196
"27","mpd","Lamiales","Summits",-0.075602939792762,0.774024392680065,1.22210635179665,-0.0506152219267387
"28","mpd","Poales","Ecrins NP",-0.0746896391715575,0.761381757190313,1.19825272572054,-0.115203371244568
"29","mpd","Poales","Persistent LGM",-0.0690964906063107,0.69636420425389,1.84536441591496,-0.104861749551041
"30","mpd","Poales","Summits",-0.0716518826488319,0.723887064514993,1.724750952442,-0.103747986104523
"31","mpd","Rosales","Ecrins NP",0.0454423473335879,0.255303559464003,5.53648114015204,-0.556830778673296
"32","mpd","Rosales","Persistent LGM",0.132941196272212,0.145934636757622,7.05007931677399,-0.606985298234317
"33","mpd","Rosales","Summits",0.186370352809805,0.103078949144358,6.62239686613907,-0.57545899467673
"34","mpd","Spermatophyta","Ecrins NP",0.0255382609343064,0.263335565557506,-6.19131616136777,0.443586640756018
"35","mpd","Spermatophyta","Persistent LGM",0.0311266411113633,0.250030276597429,-3.13001704869423,0.283960553478177
"36","mpd","Spermatophyta","Summits",0.0312189082396432,0.249817007782306,-5.66591588502156,0.425543564386913
