"","metric","clade","pool","adj.r.squared","p.value.1","(Intercept)","present.cclgmbi.diff.availener.score"
"1","mntd","Asterales","Ecrins NP",-0.0768607406345434,0.978531577069944,-0.700850208320878,1.02687121407094e-05
"2","mntd","Asterales","Persistent LGM",-0.0630395632119485,0.687018532813023,-0.322308460671699,-0.000154652970573742
"3","mntd","Asterales","Summits",-0.0719860669239587,0.810519323090409,-0.556421436369176,-9.77419098225017e-05
"4","mntd","Caryophyllales","Ecrins NP",-0.00902675005084541,0.365728074580105,-0.0656962891164177,0.000350075508367098
"5","mntd","Caryophyllales","Persistent LGM",0.0131474808291508,0.300030031224811,-0.0808001501485131,0.000390627895439759
"6","mntd","Caryophyllales","Summits",-0.0145572983980551,0.384841913004568,-0.164180189287148,0.000336500186631597
"7","mntd","Lamiales","Ecrins NP",-0.00650026864625985,0.357402163599777,-0.0446435777811277,0.000281864684361714
"8","mntd","Lamiales","Persistent LGM",-0.0905574291439497,0.95357650235889,0.719330724341615,1.84619791995595e-05
"9","mntd","Lamiales","Summits",-0.0703929517608981,0.709946683507151,0.524499022757216,0.000100236642751517
"10","mntd","Poales","Ecrins NP",-0.0550261250363322,0.580886767222892,-0.56967353592374,0.000192472447556949
"11","mntd","Poales","Persistent LGM",-0.0819205141862038,0.902453433968865,0.178855822079268,-3.58554931610853e-05
"12","mntd","Poales","Summits",-0.0760235512168552,0.780116537745096,0.42026950217156,-7.44579017873476e-05
"13","mntd","Rosales","Ecrins NP",0.160136202915286,0.122405556426285,-1.4163278960642,-0.000683833719021825
"14","mntd","Rosales","Persistent LGM",0.159432233047077,0.122967229578054,-0.891709235339158,-0.000779665093017923
"15","mntd","Rosales","Summits",0.141692670998269,0.137936694725527,-0.946304984279146,-0.000632032122143241
"16","mntd","Spermatophyta","Ecrins NP",0.0606572051490599,0.190898162628208,-2.37761988251935,0.000651135028323391
"17","mntd","Spermatophyta","Persistent LGM",-0.0465591107845622,0.549718446495124,-0.603510066996238,-0.00016980350523322
"18","mntd","Spermatophyta","Summits",-0.0266923656603173,0.439479452984244,-0.948811004676731,0.000337689269138389
"19","mpd","Asterales","Ecrins NP",0.0596818358495607,0.192591979199165,-0.124693484034205,-0.000489153356629381
"20","mpd","Asterales","Persistent LGM",0.0345955800250112,0.242149373053539,-0.0436233015451243,-0.000478800196124628
"21","mpd","Asterales","Summits",0.0547298666309569,0.201438850368162,-0.120769052749734,-0.000520894124014152
"22","mpd","Caryophyllales","Ecrins NP",-0.0274656849172481,0.434944094972443,-0.0381863149362022,0.000258448443548663
"23","mpd","Caryophyllales","Persistent LGM",-0.00931617738769352,0.366697570639175,-0.177103264067269,0.000302475386490792
"24","mpd","Caryophyllales","Summits",-0.0242108802584027,0.421502856005687,-0.276651192701657,0.000259996640241827
"25","mpd","Lamiales","Ecrins NP",-0.0467837559077402,0.529628526765367,-0.0368264762284583,0.000106633013027527
"26","mpd","Lamiales","Persistent LGM",-0.0908234511538757,0.977082257892087,0.721042550774391,-6.56289989015647e-06
"27","mpd","Lamiales","Summits",-0.0829806571438452,0.951183720684685,0.569162252326292,1.0975102607235e-05
"28","mpd","Poales","Ecrins NP",0.0936030367457553,0.151813225940568,-0.28592663700006,0.000529132240920659
"29","mpd","Poales","Persistent LGM",0.0222455689050166,0.277203388189518,0.493671365286359,0.000289893850245881
"30","mpd","Poales","Summits",0.0258420722108359,0.268733472055653,0.387551426816626,0.000321983686093358
"31","mpd","Rosales","Ecrins NP",0.176214923028142,0.110202350012915,-1.82082782177359,-0.000894791539849462
"32","mpd","Rosales","Persistent LGM",0.214288260704722,0.0855866489193909,-0.940920262057614,-0.000831356982106602
"33","mpd","Rosales","Summits",0.273296763589522,0.0569958819262382,-0.951091871374265,-0.000775930897549361
"34","mpd","Spermatophyta","Ecrins NP",0.0778780141789264,0.16341167896987,-0.497233961687148,0.000583392763219366
"35","mpd","Spermatophyta","Persistent LGM",-0.0223022630617078,0.419660486062547,0.515031256222762,-0.000216023431348723
"36","mpd","Spermatophyta","Summits",0.0768278121135232,0.164964965452347,-0.203442914612812,0.000542914270995679
