Id_station,Taxon_saisi,Taxon enregistré,Taxon_reference,Taxon_complet,Herb,inf_1m,1a4m,Sup_4m,Date,Secteur,Commune,Acces,Observateurs,Niveau,Programme,IdSophie,Pointage,Surface,Homogene,Exposition,Altitude,Micro-reliefs,Meso-relief_longitudinal,meso-relief_lateral,Canopee,Ligneux_hauts,Ligneux_bas,Ligneux_tbas,Herbaces,Mousses,Litiere,Codes_delphine,Remarques,Pdop,L93X,L93Y,Relue
2645,Sorbus aucuparia L.,"Sorbus aucuparia L., 1753","Sorbus aucuparia L., 1753","Sorbus aucuparia L., 1753",,,2,3,14/10/09,Embrunais,Réallon,"Ubac, en face à la cabane du Pré d'Antoni",Pierre Salomez,P,Aucun programme complémentaire,0,Photo aérienne,100 m2,Oui,Nord,1980,,3,2,5,50,10,0,20,0,80,M,de 11 à 100 m2 --Environnement: Linéaire --Relevé: Dominant,0,966514.4732,6398642.551,oui
2646,Alchemilla glaucescens Wallr.,"Alchemilla glaucescens Wallr., 1840","Alchemilla glaucescens Wallr., 1840","Alchemilla glaucescens Wallr., 1840",+,,,,14/10/09,Embrunais,Réallon,L'arbre rouge du Pré d'Antoni,Pierre Salomez,C,Aucun programme complémentaire,0,Photo aérienne,100 m2,Oui,Sud,1840,"34 Casse, éboulis (partie inférieure à éléments les plus grossiers)",3,3,5,30,3,10,50,0,40,"N1222, Y451",de 11 à 100 m2 --Environnement: Homogène --Relevé: Dominant,0,966355.1313,6399084.928,oui
2646,Amelanchier ovalis Medik.,"Amelanchier ovalis Medik., 1793","Amelanchier ovalis Medik., 1793","Amelanchier ovalis Medik., 1793",,,+,,14/10/09,Embrunais,Réallon,L'arbre rouge du Pré d'Antoni,Pierre Salomez,C,Aucun programme complémentaire,0,Photo aérienne,100 m2,Oui,Sud,1840,"34 Casse, éboulis (partie inférieure à éléments les plus grossiers)",3,3,5,30,3,10,50,0,40,"N1222, Y451",de 11 à 100 m2 --Environnement: Homogène --Relevé: Dominant,0,966355.1313,6399084.928,oui
2646,Anthericum liliago L.,"Anthericum liliago L., 1753","Anthericum liliago L., 1753","Anthericum liliago L., 1753",+,,,,14/10/09,Embrunais,Réallon,L'arbre rouge du Pré d'Antoni,Pierre Salomez,C,Aucun programme complémentaire,0,Photo aérienne,100 m2,Oui,Sud,1840,"34 Casse, éboulis (partie inférieure à éléments les plus grossiers)",3,3,5,30,3,10,50,0,40,"N1222, Y451",de 11 à 100 m2 --Environnement: Homogène --Relevé: Dominant,0,966355.1313,6399084.928,oui
2646,Anthoxanthum odoratum L.,"Anthoxanthum odoratum L., 1753","Anthoxanthum odoratum L., 1753","Anthoxanthum odoratum L., 1753",1,,,,14/10/09,Embrunais,Réallon,L'arbre rouge du Pré d'Antoni,Pierre Salomez,C,Aucun programme complémentaire,0,Photo aérienne,100 m2,Oui,Sud,1840,"34 Casse, éboulis (partie inférieure à éléments les plus grossiers)",3,3,5,30,3,10,50,0,40,"N1222, Y451",de 11 à 100 m2 --Environnement: Homogène --Relevé: Dominant,0,966355.1313,6399084.928,oui
2646,Arrhenatherum elatius (L.) P. Beauv. ex J. & C. Presl,Arrhenatherum elatius (L.) P.Beauv. ex J. & C.Presl subsp. elatius,Arrhenatherum elatius (L.) P.Beauv. ex J. & C.Presl subsp. elatius,Arrhenatherum elatius (L.) P.Beauv. ex J. & C.Presl subsp. elatius,+,,,,14/10/09,Embrunais,Réallon,L'arbre rouge du Pré d'Antoni,Pierre Salomez,C,Aucun programme complémentaire,0,Photo aérienne,100 m2,Oui,Sud,1840,"34 Casse, éboulis (partie inférieure à éléments les plus grossiers)",3,3,5,30,3,10,50,0,40,"N1222, Y451",de 11 à 100 m2 --Environnement: Homogène --Relevé: Dominant,0,966355.1313,6399084.928,oui
2646,Asphodelus albus Miller,"Asphodelus albus Mill., 1768","Asphodelus albus Mill., 1768","Asphodelus albus Mill., 1768",1,,,,14/10/09,Embrunais,Réallon,L'arbre rouge du Pré d'Antoni,Pierre Salomez,C,Aucun programme complémentaire,0,Photo aérienne,100 m2,Oui,Sud,1840,"34 Casse, éboulis (partie inférieure à éléments les plus grossiers)",3,3,5,30,3,10,50,0,40,"N1222, Y451",de 11 à 100 m2 --Environnement: Homogène --Relevé: Dominant,0,966355.1313,6399084.928,oui
2646,Brachypodium rupestre (Host) Roemer & Schultes,"Brachypodium rupestre (Host) Roem. & Schult., 1817","Brachypodium rupestre (Host) Roem. & Schult., 1817","Brachypodium rupestre (Host) Roem. & Schult., 1817",3,,,,14/10/09,Embrunais,Réallon,L'arbre rouge du Pré d'Antoni,Pierre Salomez,C,Aucun programme complémentaire,0,Photo aérienne,100 m2,Oui,Sud,1840,"34 Casse, éboulis (partie inférieure à éléments les plus grossiers)",3,3,5,30,3,10,50,0,40,"N1222, Y451",de 11 à 100 m2 --Environnement: Homogène --Relevé: Dominant,0,966355.1313,6399084.928,oui
2646,Carex caryophyllea Latourr.,"Carex caryophyllea Latourr., 1785","Carex caryophyllea Latourr., 1785","Carex caryophyllea Latourr., 1785",2,,,,14/10/09,Embrunais,Réallon,L'arbre rouge du Pré d'Antoni,Pierre Salomez,C,Aucun programme complémentaire,0,Photo aérienne,100 m2,Oui,Sud,1840,"34 Casse, éboulis (partie inférieure à éléments les plus grossiers)",3,3,5,30,3,10,50,0,40,"N1222, Y451",de 11 à 100 m2 --Environnement: Homogène --Relevé: Dominant,0,966355.1313,6399084.928,oui
2646,Carlina acaulis L.,"Carlina acaulis subsp. caulescens (Lam.) Schübler & G.Martens, 1834","Carlina acaulis subsp. caulescens (Lam.) Schübler & G.Martens, 1834","Carlina acaulis subsp. caulescens (Lam.) Schübler & G.Martens, 1834",+,,,,14/10/09,Embrunais,Réallon,L'arbre rouge du Pré d'Antoni,Pierre Salomez,C,Aucun programme complémentaire,0,Photo aérienne,100 m2,Oui,Sud,1840,"34 Casse, éboulis (partie inférieure à éléments les plus grossiers)",3,3,5,30,3,10,50,0,40,"N1222, Y451",de 11 à 100 m2 --Environnement: Homogène --Relevé: Dominant,0,966355.1313,6399084.928,oui
