Id_station,Taxon_saisi,Taxon enregistré,Taxon_reference,Taxon_complet,Herb,inf_1m,1a4m,Sup_4m,Date,Secteur,Commune,Acces,Observateurs,Niveau,Programme,IdSophie,Pointage,Surface,Homogene,Exposition,Altitude,Micro-reliefs,Meso-relief_longitudinal,meso-relief_lateral,Canopee,Ligneux_hauts,Ligneux_bas,Ligneux_tbas,Herbaces,Mousses,Litiere,Codes_delphine,Remarques,Pdop,L93X,L93Y,Relue
3791,"Polystichum aculeatum (L.) Roth, 1799","Polystichum aculeatum (L.) Roth, 1799","Polystichum aculeatum (L.) Roth, 1799","Polystichum aculeatum (L.) Roth, 1799",+,,,,30/12/13,,,Sentier,Bernard Nicollet,P,Aucun programme complémentaire,0,Carte IGN 1:25 000,10 m2,Non,Nord,880,"14 Pied de falaise surplombante : balme "" chemin de pluie"" blocs écroulés",5,1,15,75,5,1,25,25,2,,,0,933567.1934,6428564.189,oui
3585,"Dryopteris villarii (Bellardi) Woyn. ex Schinz & Thell., 1915","Dryopteris villarii (Bellardi) Woyn. ex Schinz & Thell., 1915","Dryopteris villarii (Bellardi) Woyn. ex Schinz & Thell., 1915","Dryopteris villarii (Bellardi) Woyn. ex Schinz & Thell., 1915",4,,,,30/09/13,,,,Bernard Nicollet,P,Natura 2000,0,Carte IGN 1:25 000,100 m2,Oui,Nord,2080,"34 Casse, éboulis (partie inférieure à éléments les plus grossiers)",2,1,0,0,0,0,50,2,0,,,0,935503.9354,6434944.627,oui
3682,"Larix decidua Mill., 1768","Larix decidua Mill., 1768","Larix decidua Mill., 1768","Larix decidua Mill., 1768",,+,,,27/09/13,,,Col de Reyssas - Crête de l'Arpion,Olivier Lefrançois,P,Aucun programme complémentaire,0,GPS,100 m2,,Nord Est,2420,,,,0,0,0,0,0,0,0,,,0,971084.1327,6396535.17,oui
3744,"Leontopodium nivale (Ten.) Huet ex Hand.-Mazz., 1927","Leontopodium nivale (Ten.) Huet ex Hand.-Mazz., 1927","Leontopodium nivale (Ten.) Huet ex Hand.-Mazz., 1927","Leontopodium nivale (Ten.) Huet ex Hand.-Mazz., 1927",+,,,,25/09/13,Valbonnais,Valjouffrey,,"Christian Bertini, Bernard Nicollet",P,Aucun programme complémentaire,0,GPS,10 m2,,Ouest,2080,,,,0,0,0,0,0,0,0,,,0,941622.513,6430228.911,oui
3745,"Calluna vulgaris (L.) Hull, 1808","Calluna vulgaris (L.) Hull, 1808","Calluna vulgaris (L.) Hull, 1808","Calluna vulgaris (L.) Hull, 1808",1,,,,25/09/13,Valbonnais,Valjouffrey,,"Bernard Nicollet, Christian Bertini",P,Aucun programme complémentaire,0,GPS,10 m2,,Nord Ouest,2140,,,,0,0,0,0,0,0,0,,Espèce en limite altitudinale,0,941758.1826,6430074.131,oui
3741,"Acer pseudoplatanus L., 1753","Acer pseudoplatanus L., 1753","Acer pseudoplatanus L., 1753","Acer pseudoplatanus L., 1753",,+,+,4,24/09/13,Valbonnais,Le Périer,Sentier de la Temple - Mégaphorbiaie en érablaie - 1820m,"Bernard Nicollet, Samy Jendoubi, Christian Bertini",P,Natura 2000,0,GPS,100 m2,Oui,Nord Est,1760,"37 blocs épars dans une pelouse, 55 bordure de sentier et sentier",3,1,12,85,10,0,75,10,15,,,8.9,938281.9061,6431232.245,oui
3741,"Achillea macrophylla L., 1753","Achillea macrophylla L., 1753","Achillea macrophylla L., 1753","Achillea macrophylla L., 1753",2,,,,24/09/13,Valbonnais,Le Périer,Sentier de la Temple - Mégaphorbiaie en érablaie - 1820m,"Bernard Nicollet, Samy Jendoubi, Christian Bertini",P,Natura 2000,0,GPS,100 m2,Oui,Nord Est,1760,"37 blocs épars dans une pelouse, 55 bordure de sentier et sentier",3,1,12,85,10,0,75,10,15,,,8.9,938281.9061,6431232.245,oui
3741,"Aconitum variegatum subsp. paniculatum (Arcang.) Negodi, 1944","Aconitum variegatum subsp. paniculatum (Arcang.) Negodi, 1944","Aconitum variegatum subsp. paniculatum (Arcang.) Negodi, 1944","Aconitum variegatum subsp. paniculatum (Arcang.) Negodi, 1944",1,,,,24/09/13,Valbonnais,Le Périer,Sentier de la Temple - Mégaphorbiaie en érablaie - 1820m,"Bernard Nicollet, Samy Jendoubi, Christian Bertini",P,Natura 2000,0,GPS,100 m2,Oui,Nord Est,1760,"37 blocs épars dans une pelouse, 55 bordure de sentier et sentier",3,1,12,85,10,0,75,10,15,,,8.9,938281.9061,6431232.245,oui
3741,Adenostyles alliariae (Gouan) A.Kern. subsp. alliariae,Adenostyles alliariae (Gouan) A.Kern. subsp. alliariae,Adenostyles alliariae (Gouan) A.Kern. subsp. alliariae,Adenostyles alliariae (Gouan) A.Kern. subsp. alliariae,+,,,,24/09/13,Valbonnais,Le Périer,Sentier de la Temple - Mégaphorbiaie en érablaie - 1820m,"Bernard Nicollet, Samy Jendoubi, Christian Bertini",P,Natura 2000,0,GPS,100 m2,Oui,Nord Est,1760,"37 blocs épars dans une pelouse, 55 bordure de sentier et sentier",3,1,12,85,10,0,75,10,15,,,8.9,938281.9061,6431232.245,oui
3741,"Alchemilla xanthochlora Rothm., 1937","Alchemilla xanthochlora Rothm., 1937","Alchemilla xanthochlora Rothm., 1937","Alchemilla xanthochlora Rothm., 1937",+,,,,24/09/13,Valbonnais,Le Périer,Sentier de la Temple - Mégaphorbiaie en érablaie - 1820m,"Bernard Nicollet, Samy Jendoubi, Christian Bertini",P,Natura 2000,0,GPS,100 m2,Oui,Nord Est,1760,"37 blocs épars dans une pelouse, 55 bordure de sentier et sentier",3,1,12,85,10,0,75,10,15,,,8.9,938281.9061,6431232.245,oui
3741,"Alnus alnobetula (Ehrh.) K.Koch, 1872","Alnus alnobetula (Ehrh.) K.Koch, 1872","Alnus alnobetula (Ehrh.) K.Koch, 1872","Alnus alnobetula (Ehrh.) K.Koch, 1872",,,2,,24/09/13,Valbonnais,Le Périer,Sentier de la Temple - Mégaphorbiaie en érablaie - 1820m,"Bernard Nicollet, Samy Jendoubi, Christian Bertini",P,Natura 2000,0,GPS,100 m2,Oui,Nord Est,1760,"37 blocs épars dans une pelouse, 55 bordure de sentier et sentier",3,1,12,85,10,0,75,10,15,,,8.9,938281.9061,6431232.245,oui
3741,"Carduus personata (L.) Jacq., 1776","Carduus personata (L.) Jacq., 1776","Carduus personata (L.) Jacq., 1776","Carduus personata (L.) Jacq., 1776",+,,,,24/09/13,Valbonnais,Le Périer,Sentier de la Temple - Mégaphorbiaie en érablaie - 1820m,"Bernard Nicollet, Samy Jendoubi, Christian Bertini",P,Natura 2000,0,GPS,100 m2,Oui,Nord Est,1760,"37 blocs épars dans une pelouse, 55 bordure de sentier et sentier",3,1,12,85,10,0,75,10,15,,,8.9,938281.9061,6431232.245,oui
3741,"Dryopteris filix-mas (L.) Schott, 1834","Dryopteris filix-mas (L.) Schott, 1834","Dryopteris filix-mas (L.) Schott, 1834","Dryopteris filix-mas (L.) Schott, 1834",+,,,,24/09/13,Valbonnais,Le Périer,Sentier de la Temple - Mégaphorbiaie en érablaie - 1820m,"Bernard Nicollet, Samy Jendoubi, Christian Bertini",P,Natura 2000,0,GPS,100 m2,Oui,Nord Est,1760,"37 blocs épars dans une pelouse, 55 bordure de sentier et sentier",3,1,12,85,10,0,75,10,15,,,8.9,938281.9061,6431232.245,oui
