"","species","ITS","trnTLF","rbcL","matK","atpB"
"Cotoneaster_integerrimus","Cotoneaster_integerrimus","262654286","410736281","379062166","384598771","NA"
"Crataegus_laevigata","Crataegus_laevigata","193084969","54649878","379033094","635174216","NA"
"Crataegus_monogyna","Crataegus_monogyna","121485054","19032433","817991854","17154800","NA"
"Crepis_aurea","Crepis_aurea","29243769","29423254","557836239","NA","NA"
"Crepis_aurea_subsp__aurea","Crepis_aurea","NA","NA","NA","187403641","NA"
"Crepis_biennis","Crepis_biennis","91983066","NA","379035208","379039196","NA"
"Crepis_foetida_subsp__afghanistanica","Crepis_foetida","170284013","NA","NA","NA","NA"
"Crepis_foetida_subsp__foetida","Crepis_foetida","NA","NA","NA","187403626","NA"
"Crepis_nicaeensis","Crepis_nicaeensis","170284050","NA","NA","NA","NA"
"Crepis_paludosa","Crepis_paludosa","169626713","NA","379034793","379040396","NA"
"Crepis_pygmaea","Crepis_pygmaea","NA","NA","NA","54021414","NA"
"Crepis_pygmaea_subsp__anachoretica","Crepis_pygmaea","170284047","NA","NA","NA","NA"
"Crepis_pyrenaica","Crepis_pyrenaica","NA","NA","557836242","NA","NA"
"Crepis_vesicaria","Crepis_vesicaria","77927635","NA","557836244","NA","NA"
"Crepis_vesicaria_subsp__taraxacifolia","Crepis_vesicaria","NA","NA","NA","54021426","NA"
"Crocus_vernus","Crocus_vernus","77455735","669026167","817991860","NA","NA"
"Crocus_vernus_subsp__albiflorus","Crocus_vernus","NA","NA","NA","187762002","NA"
"Cruciata_glabra","Cruciata_glabra","NA","288190024","535124","NA","NA"
"Cruciata_laevipes","Cruciata_laevipes","NA","288190020","379036736","379039182","NA"
"Crupina_vulgaris","Crupina_vulgaris","60614794","60202400","NA","559146772","NA"
"Cuscuta_epilinum","Cuscuta_epilinum","163963326","56368443","165910520","165910530","NA"
"Cuscuta_epithymum","Cuscuta_epithymum","118490256","494621066","608608563","NA","NA"
"Cuscuta_europaea","Cuscuta_europaea","45925775","21634271","165910522","165910532","21633454"
"Cuscuta_planiflora","Cuscuta_planiflora","45925782","134292026","608608681","NA","NA"
"Cynoglossum_officinale","Cynoglossum_officinale","17902011","471265209","578897996","196051552","24940171"
"Cynosurus_cristatus","Cynosurus_cristatus","444746431","119553723","144583545","310006967","110915615"
"Cypripedium_calceolus","Cypripedium_calceolus","147883899","50365511","635173969","313756725","8452635"
"Cytisophyllum_sessilifolium","Cytisophyllum_sessilifolium","83031646","88193424","1223707","NA","NA"
"Dactylis_glomerata","Dactylis_glomerata","564586130","119553724","424949910","119553586","NA"
"Dactylis_glomerata_subsp__hackelii","Dactylis_glomerata","NA","NA","NA","NA","110915617"
"Dactylorhiza_fuchsii","Dactylorhiza_fuchsii","56809195","30962077","379036536","379041102","NA"
"Dactylorhiza_incarnata","Dactylorhiza_incarnata","NA","30962082","NA","NA","NA"
"Dactylorhiza_incarnata_subsp__cruenta","Dactylorhiza_incarnata","NA","NA","817991876","NA","NA"
"Dactylorhiza_incarnata_subsp__incarnata","Dactylorhiza_incarnata","66275699","NA","NA","NA","NA"
"Dactylorhiza_incarnata_subsp__pulchella","Dactylorhiza_incarnata","NA","NA","NA","198034214","NA"
"Dactylorhiza_maculata","Dactylorhiza_maculata","NA","30962081","379036524","149286639","NA"
"Dactylorhiza_maculata_subsp__ericetorum","Dactylorhiza_maculata","66275683","NA","NA","NA","NA"
"Dactylorhiza_majalis","Dactylorhiza_majalis","71088988","NA","NA","198034220","NA"
"Dactylorhiza_majalis_subsp__traunsteinerioides","Dactylorhiza_majalis","NA","NA","379033534","NA","NA"
"Dactylorhiza_sambucina","Dactylorhiza_sambucina","34333968","NA","NA","198034242","NA"
"Dactylorhiza_viridis","Dactylorhiza_viridis","393192823","30962085","379031523","126789273","NA"
"Danthonia_decumbens","Danthonia_decumbens","167594813","167594694","817991878","387912236","NA"
"Daphne_cneorum","Daphne_cneorum","255592221","NA","NA","NA","NA"
"Daphne_laureola","Daphne_laureola","327177993","28932817","379034047","379039812","NA"
"Daphne_mezereum","Daphne_mezereum","255592268","14669964","817991880","379039862","NA"
"Daucus_carota","Daucus_carota","NA","726966065","NA","379039814","NA"
"Daucus_carota_subsp__carota","Daucus_carota","211907743","NA","404243679","NA","NA"
"Deschampsia_cespitosa","Deschampsia_cespitosa","NA","237626091","424949912","133917435","NA"
"Deschampsia_cespitosa_subsp__borealis","Deschampsia_cespitosa","37359490","NA","NA","NA","NA"
"Deschampsia_cespitosa_subsp__cespitosa","Deschampsia_cespitosa","NA","NA","NA","NA","110915619"
"Descurainia_sophia","Descurainia_sophia","4884587","312182208","424949800","379039818","NA"
"Descurainia_tanacetifolia","Descurainia_tanacetifolia","323367158","342546854","NA","NA","NA"
"Dianthus_carthusianorum","Dianthus_carthusianorum","51572090","374351318","667668206","374350928","NA"
"Dianthus_caryophyllus","Dianthus_caryophyllus","374350743","374351324","167975","374350897","NA"
"Dianthus_deltoides","Dianthus_deltoides","374350717","374351384","379035292","374350989","NA"
"Dianthus_hyssopifolius","Dianthus_hyssopifolius","545397032","NA","NA","430801507","NA"
"Dianthus_pavonius","Dianthus_pavonius","294984940","NA","NA","295646303","NA"
"Digitalis_grandiflora","Digitalis_grandiflora","50511990","20386225","NA","NA","6687374"
"Digitalis_lutea","Digitalis_lutea","NA","NA","541049667","NA","NA"
"Digitalis_lutea_subsp__lutea","Digitalis_lutea","50511995","50512029","NA","NA","NA"
"Dioscorea_communis","Dioscorea_communis","NA","1731817","17224648","66934933","17224742"
"Doronicum_grandiflorum","Doronicum_grandiflorum","767810558","13375124","557836247","NA","NA"
"Doronicum_pardalianches","Doronicum_pardalianches","27652566","28193393","308320519","295314645","NA"
"Dorycnium_pentaphyllum","Dorycnium_pentaphyllum","NA","298569966","335353454","378758095","NA"
"Dorycnium_pentaphyllum_subsp__fulgurans","Dorycnium_pentaphyllum","298569970","NA","NA","NA","NA"
"Draba_aizoides","Draba_aizoides","677278014","4455089","379035372","379039808","NA"
"Draba_dubia","Draba_dubia","4235122","94537617","NA","NA","NA"
"Draba_fladnizensis","Draba_fladnizensis","49364819","94537619","459992721","NA","NA"
"Draba_siliquosa","Draba_siliquosa","NA","94537784","NA","NA","NA"
"Dracocephalum_ruyschiana","Dracocephalum_ruyschiana","NA","NA","669109","NA","NA"
"Drosera_rotundifolia","Drosera_rotundifolia","332647428","260079791","133740973","379041144","NA"
"Dryas_octopetala","Dryas_octopetala","3746149","113911561","557836513","336239186","336239138"
"Drymocallis_rupestris","Drymocallis_rupestris","226858221","229270124","379035548","379040942","NA"
"Echinops_ritro","Echinops_ritro","NA","NA","170664945","170665419","675304467"
"Echinops_ritro_subsp__ritro","Echinops_ritro","NA","310697516","NA","NA","NA"
"Echinops_ritro_subsp__siculus","Echinops_ritro","47059334","NA","NA","NA","NA"
"Echinops_sphaerocephalus","Echinops_sphaerocephalus","NA","310697522","NA","559146776","NA"
"Echinops_sphaerocephalus_subsp__albidus","Echinops_sphaerocephalus","309398746","NA","NA","NA","NA"
"Echium_vulgare","Echium_vulgare","225200407","239836119","578897928","240252484","24940179"
"Eleocharis_macrostachya","Eleocharis_macrostachya","304632587","NA","NA","NA","NA"
"Eleocharis_mamillata_subsp__austriaca","Eleocharis_mamillata","294679402","NA","733452201","NA","NA"
"Eleocharis_mamillata_var__cyclocarpa","Eleocharis_mamillata","NA","411030367","NA","NA","NA"
"Eleocharis_quinqueflora","Eleocharis_quinqueflora","6707340","260079805","379034279","379037708","NA"
"Eleocharis_uniglumis","Eleocharis_uniglumis","NA","260079806","379035011","379042194","NA"
"Eleocharis_uniglumis_subsp__sterneri","Eleocharis_uniglumis","294679444","NA","NA","NA","NA"
"Elymus_caninus","Elymus_caninus","601116098","261362076","817991908","379037712","NA"
"Elymus_repens","Elymus_repens","225637928","114803725","568404604","564585954","NA"
"Empetrum_nigrum","Empetrum_nigrum","290565501","45738060","545899372","22001197","NA"
"Epilobium_alsinifolium","Epilobium_alsinifolium","NA","260079820","733452000","NA","NA"
"Epilobium_anagallidifolium","Epilobium_anagallidifolium","NA","260079821","733452141","848131858","NA"
"Epilobium_hirsutum","Epilobium_hirsutum","NA","726966070","379034887","848131866","NA"
"Epilobium_palustre","Epilobium_palustre","343404698","260079828","359388391","459928422","NA"
"Epilobium_parviflorum","Epilobium_parviflorum","NA","NA","379036210","848131856","NA"
"Epipactis_atrorubens","Epipactis_atrorubens","402502868","402502780","379032028","379038396","NA"
"Epipactis_helleborine","Epipactis_helleborine","NA","33325667","1332474","18027056","NA"
"Epipactis_helleborine_subsp__tremolsii","Epipactis_helleborine","33772621","NA","NA","NA","NA"
"Epipactis_palustris","Epipactis_palustris","402502866","402502781","379037192","379042016","NA"
"Epipogium_aphyllum","Epipogium_aphyllum","203282854","NA","635717164","NA","NA"
"Erigeron_acris","Erigeron_acris","821691032","260079840","379037198","379042152","NA"
"Erigeron_annuus","Erigeron_annuus","119392321","390431503","313770824","312837793","NA"
"Erigeron_uniflorus","Erigeron_uniflorus","2896098","NA","NA","NA","NA"
"Erigeron_uniflorus_var__eriocephalus","Erigeron_uniflorus","NA","260079843","459993121","459928454","NA"
"Erinus_alpinus","Erinus_alpinus","14994016","28625833","733452129","45644421","NA"
"Eriophorum_angustifolium","Eriophorum_angustifolium","132694291","7769092","379035566","379040096","NA"
"Eriophorum_latifolium","Eriophorum_latifolium","NA","571025509","379034691","675440333","NA"
"Eriophorum_scheuchzeri","Eriophorum_scheuchzeri","359389468","111380083","359388425","371533474","NA"
"Eritrichium_nanum","Eritrichium_nanum","399606281","399606334","NA","402173114","NA"
"Erodium_cicutarium","Erodium_cicutarium","121483663","121491136","93133003","340513105","NA"
"Erophila_verna","Erophila_verna","NA","218136459","817991922","315259900","NA"
"Erophila_verna_subsp__spathulata","Erophila_verna","14348874","NA","NA","NA","NA"
"Erucastrum_nasturtiifolium","Erucastrum_nasturtiifolium","57638923","57639021","NA","NA","NA"
"Eryngium_alpinum","Eryngium_alpinum","158537427","NA","NA","NA","NA"
"Eryngium_campestre","Eryngium_campestre","169261243","NA","379033945","379038440","NA"
"Erysimum_rhaeticum","Erysimum_rhaeticum","528791138","528791249","NA","NA","NA"
"Euonymus_europaeus","Euonymus_europaeus","572169010","348651991","817991934","379040514","NA"
"Euonymus_latifolius","Euonymus_latifolius","348651951","348652011","NA","351289977","NA"
"Eupatorium_cannabinum","Eupatorium_cannabinum","749635624","84579558","379034787","84579552","NA"
"Euphorbia_cyparissias","Euphorbia_cyparissias","193299830","347449000","313664134","193299858","NA"
"Euphorbia_exigua","Euphorbia_exigua","500868215","374280406","383512397","379038838","NA"
"Euphorbia_helioscopia","Euphorbia_helioscopia","193299819","374280427","383512420","193299847","NA"
"Euphrasia_alpina","Euphrasia_alpina","157885597","157931427","NA","NA","NA"
"Euphrasia_hirtella","Euphrasia_hirtella","157885611","56407893","NA","NA","NA"
"Euphrasia_kerneri","Euphrasia_kerneri","157885614","157931449","NA","NA","NA"
"Euphrasia_minima","Euphrasia_minima","157885616","157931451","NA","NA","NA"
"Euphrasia_pectinata","Euphrasia_pectinata","62421468","62530393","NA","NA","NA"
"Euphrasia_salisburgensis","Euphrasia_salisburgensis","157885624","157931460","NA","451769773","NA"
"Euphrasia_stricta","Euphrasia_stricta","157885596","256550322","342196497","316995555","NA"
"Fagus_sylvatica","Fagus_sylvatica","NA","13235693","7240231","379040976","NA"
"Fagus_sylvatica_subsp__sylvatica","Fagus_sylvatica","37925669","NA","NA","NA","NA"
"Fallopia_convolvulus","Fallopia_convolvulus","4056595","183229557","218059595","300885286","NA"
"Fallopia_japonica","Fallopia_japonica","333121455","156536634","NA","300885278","NA"
"Fallopia_japonica_var__compacta","Fallopia_japonica","NA","NA","218059599","NA","NA"
"Festuca_altissima","Festuca_altissima","21239150","28194514","379033767","133917513","NA"
"Festuca_arundinacea","Festuca_arundinacea","7381400","159146768","379033314","NA","110915693"
"Festuca_arundinacea_subsp__fenas","Festuca_arundinacea","NA","NA","NA","310006919","NA"
"Festuca_gigantea","Festuca_gigantea","7381353","33329697","379033765","310006933","NA"
"Festuca_halleri","Festuca_halleri","157416321","157266449","NA","NA","NA"
"Festuca_heterophylla","Festuca_heterophylla","157416323","NA","404243757","406033996","NA"
"Festuca_heterophylla_subsp__heterophylla","Festuca_heterophylla","NA","87245567","NA","NA","NA"
"Festuca_laevigata","Festuca_laevigata","157416329","157266455","NA","NA","NA"
"Festuca_melanopsis","Festuca_melanopsis","157416331","157266458","NA","NA","NA"
"Festuca_ovina","Festuca_ovina","NA","444746467","379033322","310006951","NA"
"Festuca_ovina_var__brevifolia","Festuca_ovina","5802128","NA","NA","NA","NA"
"Festuca_pratensis","Festuca_pratensis","NA","318054318","41056394","310006935","NA"
"Festuca_pratensis_subsp__apennina","Festuca_pratensis","33334353","NA","NA","NA","NA"
"Festuca_rubra","Festuca_rubra","NA","NA","57283801","119553590","110915635"
"Festuca_rubra_subsp__fallax","Festuca_rubra","5802106","NA","NA","NA","NA"
"Festuca_rubra_subsp__rubra","Festuca_rubra","NA","159146761","NA","NA","NA"
"Festuca_valesiaca","Festuca_valesiaca","NA","157266485","NA","310006955","NA"
"Filago_arvensis","Filago_arvensis","NA","317438833","NA","NA","NA"
"Filipendula_ulmaria","Filipendula_ulmaria","3746128","312182221","557836521","NA","NA"
"Filipendula_vulgaris","Filipendula_vulgaris","23558877","23558870","379032014","379038124","336239144"
"Fourraea_alpina","Fourraea_alpina","108756486","58760689","NA","12002344","NA"
"Fragaria_vesca","Fragaria_vesca","NA","19032437","NA","17154806","NA"
"Fragaria_vesca_subsp__americana","Fragaria_vesca","9392381","NA","402238931","NA","NA"
"Fraxinus_excelsior","Fraxinus_excelsior","NA","62766763","379032284","242800979","NA"
"Fraxinus_excelsior_subsp__coriariifolia","Fraxinus_excelsior","164460187","NA","NA","NA","NA"
"Fumana_procumbens","Fumana_procumbens","NA","NA","335353498","NA","NA"
"Gagea_liotardii","Gagea_liotardii","NA","61673354","NA","NA","NA"
"Gagea_nakaiana","Gagea_nakaiana","NA","77362548","NA","NA","NA"
"Galeopsis_ladanum","Galeopsis_ladanum","NA","357241216","NA","357241391","NA"
"Galeopsis_tetrahit","Galeopsis_tetrahit","NA","376373213","379033426","379038786","NA"
"Galium_aparine","Galium_aparine","818214546","288190154","379037330","335059942","NA"
"Galium_boreale","Galium_boreale","NA","288190016","424949990","315140561","NA"
"Galium_corrudifolium","Galium_corrudifolium","NA","288190110","NA","NA","NA"
"Galium_lucidum","Galium_lucidum","NA","288190112","534925","NA","NA"
"Galium_mollugo","Galium_mollugo","NA","288190096","313664164","315259964","NA"
"Galium_odoratum","Galium_odoratum","NA","288190156","379036726","379041338","NA"
"Galium_palustre","Galium_palustre","NA","288190044","379037446","379037670","NA"
"Galium_pumilum","Galium_pumilum","NA","288190124","557836380","NA","NA"
"Galium_rotundifolium","Galium_rotundifolium","NA","288190006","NA","NA","NA"
"Galium_sylvaticum","Galium_sylvaticum","NA","288190106","NA","NA","NA"
"Galium_verum","Galium_verum","NA","288190104","379035690","315140567","NA"
"Genista_cinerea","Genista_cinerea","18028582","88193438","1223723","NA","NA"
"Genista_pilosa","Genista_pilosa","33112917","324106278","379037236","379039238","NA"
"Gentiana_acaulis","Gentiana_acaulis","649155292","649155370","557836563","146742285","NA"
"Gentiana_cruciata","Gentiana_cruciata","89275304","89199659","667668170","667667984","NA"
"Gentiana_nivalis","Gentiana_nivalis","649155303","260079906","557836403","146742283","NA"
"Gentiana_pneumonanthe","Gentiana_pneumonanthe","NA","1070136","817991982","379038996","NA"
"Gentiana_verna","Gentiana_verna","1486349","260079909","218218511","146742245","NA"
"Gentianella_campestris","Gentianella_campestris","15384513","49523751","379037244","379042180","NA"
"Gentianella_tenella","Gentianella_tenella","NA","1070142","NA","NA","NA"
"Geranium_argenteum","Geranium_argenteum","106073482","NA","NA","NA","NA"
"Geranium_columbinum","Geranium_columbinum","106073485","NA","379037250","406034010","NA"
"Geranium_lucidum","Geranium_lucidum","NA","NA","379037326","379042230","NA"
"Geranium_molle","Geranium_molle","NA","NA","817991986","340513115","NA"
"Geranium_nodosum","Geranium_nodosum","NA","NA","824055395","824055425","824055535"
"Geranium_phaeum","Geranium_phaeum","106073498","NA","824055393","817498701","817498509"
"Geranium_pyrenaicum","Geranium_pyrenaicum","106073487","392513079","733452293","NA","NA"
"Geranium_robertianum","Geranium_robertianum","106073491","433660796","824055381","379041904","NA"
"Geranium_rotundifolium","Geranium_rotundifolium","NA","NA","379037248","340513119","NA"
"Geranium_sanguineum","Geranium_sanguineum","NA","NA","824055379","379041188","4063547"
"Geranium_sylvaticum","Geranium_sylvaticum","NA","260079919","557836529","NA","NA"
"Geum_reptans","Geum_reptans","21214551","21214522","NA","NA","NA"
"Geum_rivale","Geum_rivale","21214553","21214523","379036800","379041864","NA"
"Geum_urbanum","Geum_urbanum","3746147","21214507","379036380","379038128","NA"
"Glechoma_hederacea","Glechoma_hederacea","449076127","294999935","669129","58045243","NA"
"Globularia_cordifolia","Globularia_cordifolia","NA","22796302","2597900","22795850","NA"
"Glyceria_fluitans","Glyceria_fluitans","356650001","NA","340511365","119553592","NA"
"Glyceria_notata","Glyceria_notata","356650003","NA","379032574","379041134","NA"
"Gnaphalium_hoppeanum","Gnaphalium_hoppeanum","223414515","NA","NA","NA","NA"
"Gnaphalium_supinum","Gnaphalium_supinum","42565337","317438827","733452024","308196096","NA"
"Goodyera_repens","Goodyera_repens","338857214","241913045","635173985","635173164","241912861"
"Gymnadenia_conopsea","Gymnadenia_conopsea","326902060","NA","635173997","149286641","NA"
"Gymnadenia_conopsea_subsp__conopsea","Gymnadenia_conopsea","NA","5381329","NA","NA","NA"
"Gymnadenia_nigra","Gymnadenia_nigra","NA","NA","NA","198034226","NA"
"Gypsophila_repens","Gypsophila_repens","62870757","374351431","399139612","374350971","NA"
"Hedera_helix","Hedera_helix","2826485","41087201","379035972","18073974","8452660"
"Hedysarum_hedysaroides","Hedysarum_hedysaroides","294799647","319996458","557836481","378757947","NA"
"Helianthemum_apenninum","Helianthemum_apenninum","NA","NA","733452179","NA","NA"
"Helianthemum_grandiflorum","Helianthemum_grandiflorum","NA","NA","2654332","NA","4063549"
"Helianthemum_nummularium","Helianthemum_nummularium","NA","NA","817992002","379041250","NA"
"Helianthemum_oelandicum","Helianthemum_oelandicum","NA","NA","379035840","379041142","NA"
"Helictochloa_pratensis","Helictochloa_pratensis","4185969","NA","379036346","379038954","NA"
"Helictotrichon_pubescens","Helictotrichon_pubescens","4185971","108863223","379032806","119553594","NA"
"Helictotrichon_sedenense","Helictotrichon_sedenense","85002198","85002218","NA","NA","NA"
"Helictotrichon_sedenense_subsp__sedenense","Helictotrichon_sedenense","NA","NA","NA","223006505","NA"
"Helictotrichon_sempervirens","Helictotrichon_sempervirens","209887629","86169360","NA","NA","NA"
"Helictotrichon_versicolor","Helictotrichon_versicolor","NA","NA","557836509","NA","NA"
"Helleborus_foetidus","Helleborus_foetidus","22266284","21748453","379035648","23095809","NA"
"Hepatica_nobilis","Hepatica_nobilis","257221015","NA","NA","NA","NA"
"Hepatica_nobilis_var__asiatica","Hepatica_nobilis","NA","148287118","NA","NA","NA"
"Hepatica_nobilis_var__japonica","Hepatica_nobilis","NA","NA","NA","31339238","NA"
"Heracleum_sphondylium","Heracleum_sphondylium","163961859","376373218","379036890","379038860","NA"
"Herniaria_hirsuta_var__cinerea","Herniaria_hirsuta","374350742","374351371","NA","374350960","NA"
"Hieracium_alpinum","Hieracium_alpinum","NA","260079932","NA","54021519","NA"
"Hieracium_antarcticum","Hieracium_antarcticum","NA","NA","NA","54021493","NA"
"Hieracium_aurantiacum","Hieracium_aurantiacum","NA","NA","313664202","910279220","NA"
"Hieracium_aurantiacum_subsp__aurantiacum","Hieracium_aurantiacum","NA","59709868","NA","NA","NA"
"Hieracium_aurantiacum_subsp__auropurpureum","Hieracium_aurantiacum","59709903","NA","NA","NA","NA"
"Hieracium_bifidum","Hieracium_bifidum","29243779","NA","557836249","NA","NA"
"Hieracium_cymosum","Hieracium_cymosum","NA","NA","NA","54021473","NA"
"Hieracium_cymosum_subsp__cymosum","Hieracium_cymosum","59709904","59709871","NA","NA","NA"
"Hieracium_intybaceum","Hieracium_intybaceum","313509720","NA","NA","54021513","NA"
"Hieracium_lachenalii","Hieracium_lachenalii","NA","91771720","NA","NA","NA"
"Hieracium_murorum","Hieracium_murorum","29243778","29423258","557836410","NA","NA"
"Hieracium_pilosella","Hieracium_pilosella","59709907","59709874","379034245","379042110","NA"
"Hieracium_piloselloides","Hieracium_piloselloides","NA","91771695","313664210","406034650","NA"
"Hieracium_prenanthoides","Hieracium_prenanthoides","NA","NA","NA","54021521","NA"
"Hieracium_sabaudum","Hieracium_sabaudum","NA","91771707","NA","NA","NA"
"Hieracium_umbellatum","Hieracium_umbellatum","571778817","574453795","574453707","910279362","NA"
"Hieracium_villosum","Hieracium_villosum","NA","NA","557836256","NA","NA"
"Himantoglossum_hircinum","Himantoglossum_hircinum","697348583","NA","733452193","733451806","NA"
"Hippocrepis_comosa","Hippocrepis_comosa","109629714","NA","379033174","379038096","NA"
"Hippocrepis_emerus","Hippocrepis_emerus","336245359","NA","1770154","NA","NA"
"Hippophae_rhamnoides","Hippophae_rhamnoides","NA","NA","817992014","NA","NA"
"Hippophae_rhamnoides_subsp__mongolica","Hippophae_rhamnoides","27764493","NA","NA","NA","NA"
"Hippophae_rhamnoides_subsp__rhamnoides","Hippophae_rhamnoides","NA","386805177","NA","NA","NA"
"Hippophae_rhamnoides_subsp__sinensis","Hippophae_rhamnoides","NA","NA","NA","336239194","336239148"
"Holcus_lanatus","Holcus_lanatus","444746429","119553730","557836254","390607348","NA"
"Holosteum_umbellatum","Holosteum_umbellatum","374350741","239837495","NA","240266091","NA"
"Homogyne_alpina","Homogyne_alpina","156754079","308228750","308320537","308320286","NA"
"Hordelymus_europaeus","Hordelymus_europaeus","256274914","159146764","170672154","133917535","NA"
"Hordeum_marinum","Hordeum_marinum","NA","NA","NA","296937463","NA"
"Hordeum_marinum_subsp__gussoneanum","Hordeum_marinum","755573803","575501517","NA","NA","NA"
"Hordeum_marinum_subsp__marinum","Hordeum_marinum","NA","NA","31087836","NA","NA"
"Hornungia_alpina","Hornungia_alpina","85679350","85679337","85679361","NA","NA"
"Humulus_lupulus","Humulus_lupulus","7960173","387235276","17135956","30421067","14718075"
"Hylotelephium_anacampseros","Hylotelephium_anacampseros","26522800","33146159","NA","NA","NA"
"Hylotelephium_telephium","Hylotelephium_telephium","NA","NA","379035850","379040612","NA"
"Hylotelephium_telephium_subsp__maximum","Hylotelephium_telephium","26522796","NA","NA","NA","NA"
"Hylotelephium_telephium_subsp__telephium","Hylotelephium_telephium","NA","251752922","NA","NA","NA"
"Hyoscyamus_niger","Hyoscyamus_niger","693584079","NA","312370130","379039108","312369858"
"Hypericum_hirsutum","Hypericum_hirsutum","479278526","479278217","379035586","NA","NA"
"Hypericum_maculatum","Hypericum_maculatum","NA","815826885","379035155","NA","NA"
"Hypericum_maculatum_subsp__maculatum","Hypericum_maculatum","479278611","NA","NA","NA","NA"
"Hypericum_montanum","Hypericum_montanum","479278613","479278314","379035159","NA","NA"
"Hypericum_perforatum","Hypericum_perforatum","479278592","NA","17135960","327204715","408902440"
"Hypericum_perforatum_subsp__chinense","Hypericum_perforatum","NA","815826891","NA","NA","NA"
"Hypericum_richeri_subsp__burseri","Hypericum_richeri","NA","479278253","NA","NA","NA"
"Hypericum_richeri_subsp__grisebachii","Hypericum_richeri","259130512","NA","NA","NA","NA"
"Hypochaeris_maculata","Hypochaeris_maculata","29243740","29423232","379034749","29243699","NA"
"Hypochaeris_radicata","Hypochaeris_radicata","307149589","29423239","41056406","29243707","NA"
"Hyssopus_officinalis","Hyssopus_officinalis","385720772","NA","669135","NA","NA"
"Ilex_aquifolium","Ilex_aquifolium","229915097","229915170","379037324","124358487","NA"
"Impatiens_glandulifera","Impatiens_glandulifera","442539666","NA","733452135","NA","NA"
"Imperatoria_ostruthium","Imperatoria_ostruthium","848131665","NA","379034069","NA","NA"
"Inula_conyza","Inula_conyza","148578021","254527599","379034745","379040360","NA"
"Inula_montana","Inula_montana","17224306","NA","NA","NA","NA"
"Isatis_tinctoria","Isatis_tinctoria","525672681","108756512","399573314","886848824","NA"
"Jacobaea_erucifolia","Jacobaea_erucifolia","21425774","23323476","379033959","379040616","NA"
"Jacobaea_incana","Jacobaea_incana","37723356","NA","NA","37723990","NA"
"Jacobaea_incana_subsp__incana","Jacobaea_incana","NA","37993642","NA","NA","NA"
"Jasione_montana","Jasione_montana","NA","89702146","89887733","197257868","183206501"
"Jasione_montana_var__gracilis","Jasione_montana","78172563","NA","NA","NA","NA"
"Juglans_nigra","Juglans_nigra","5834227","34016792","17135970","6010453","NA"
"Juglans_regia","Juglans_regia","296280761","34016805","661916328","6010455","NA"
"Juncus_alpinoarticulatus","Juncus_alpinoarticulatus","57547549","38565347","359388507","NA","NA"
"Juncus_arcticus_subsp__alaskanus","Juncus_arcticus","57547533","NA","NA","NA","NA"
"Juncus_arcticus_subsp__arcticus","Juncus_arcticus","NA","NA","359387540","371533566","NA"
"Juncus_arcticus_var__mexicanus","Juncus_arcticus","NA","70927682","NA","NA","NA"
"Juncus_articulatus","Juncus_articulatus","57547546","38565348","379036426","760244285","NA"
"Juncus_bufonius","Juncus_bufonius","432332837","38565352","607344796","607345064","NA"
"Juncus_compressus","Juncus_compressus","62526605","38565355","379036650","NA","NA"
"Juncus_effusus","Juncus_effusus","62526607","38565363","379036674","374975343","374411721"
"Juncus_filiformis","Juncus_filiformis","57547517","38565364","379036114","379040876","NA"
"Juncus_inflexus","Juncus_inflexus","NA","61380772","379037450","379041878","NA"
"Juncus_trifidus","Juncus_trifidus","62526606","38565358","459993690","66275550","NA"
"Juncus_triglumis","Juncus_triglumis","NA","38565343","359388533","379039260","NA"
"Juncus_triglumis_var__albescens","Juncus_triglumis","57547537","NA","NA","NA","NA"
"Juniperus_communis","Juniperus_communis","359389540","NA","NA","NA","56236589"
"Juniperus_communis_var__communis","Juniperus_communis","NA","307602515","NA","NA","NA"
"Juniperus_communis_var__saxatilis","Juniperus_communis","NA","NA","386802327","386802079","NA"
"Juniperus_sabina","Juniperus_sabina","570339051","289547083","NA","NA","NA"
"Juniperus_sabina_var__arenaria","Juniperus_sabina","NA","NA","307602172","NA","NA"
"Juniperus_sabina_var__davurica","Juniperus_sabina","NA","NA","NA","669206199","NA"
"Knautia_arvensis","Knautia_arvensis","594615228","225055688","379034777","379039250","NA"
"Knautia_dipsacifolia","Knautia_dipsacifolia","223587169","225055686","557836316","NA","NA"
"Kobresia_myosuroides","Kobresia_myosuroides","300411428","59860301","459993725","675440365","NA"
"Koeleria_pyramidata","Koeleria_pyramidata","85002205","119553731","57283803","119553597","NA"
"Koeleria_vallesiana","Koeleria_vallesiana","NA","108863233","733451900","471184575","NA"
"Koeleria_vallesiana_subsp__castellana","Koeleria_vallesiana","107857684","NA","NA","NA","NA"
"Laburnum_anagyroides","Laburnum_anagyroides","33112941","90903842","817992054","NA","NA"
"Laburnum_anagyroides_subsp__anagyroides","Laburnum_anagyroides","NA","NA","NA","406034374","NA"
"Lactuca_muralis","Lactuca_muralis","3901076","NA","817992156","379041854","NA"
"Lactuca_perennis","Lactuca_perennis","3901054","571054390","NA","111379033","NA"
"Lactuca_serriola","Lactuca_serriola","571053894","262475097","817992056","264667048","NA"
"Lamium_amplexicaule","Lamium_amplexicaule","449076117","NA","3355769","NA","6688489"
"Lamium_amplexicaule_var__amplexicaule","Lamium_amplexicaule","NA","351862658","NA","352005250","NA"
"Lamium_garganicum","Lamium_garganicum","NA","NA","3355773","NA","NA"
