"","pse","rao","taxon.Delta","taxon.DeltaStar","taxon.LambdaPlus","taxon.DeltaPlus","taxon.S.DeltaPlus","pae","iac","Haed","Eaed","mpd","mntd"
"aiguille.du.plat.de.la.selle",0.237046594643672,135.538482466066,278.403369389758,282.013787724784,11486.8284720061,283.331599064368,8499.94797193103,-5.49955500803616,0.0691370789141303,3.54572859939039,0.974747660590696,271.076964932133,77.2449455
"barre.des.Ecrins",0.242285942320933,139.978458405284,283.37102555216,290.805669467431,37428.3980414967,310.221262403101,13339.5142833333,-3.51834226170468,0.150710221722356,4.00345076553301,0.905995739803178,279.956916810568,76.2293191686747
"brèche.de.valsenestre",0.23918178418095,131.369810331633,282.950360714286,282.950360714286,9761.356814944,282.950360714286,3961.30505,-8.33596401080889,0.025474018921518,2.6231291761427,0.993964453407734,262.739620663265,108.031052714286
"brèche.du.râteau",0.234565779866388,134.540441258035,272.766922002592,282.385379965121,8628.01840506443,271.88131992803,8972.083557625,-5.0914758455345,0.134651237259788,4.19211722292154,0.973990200459704,269.08088251607,69.9501454054054
"EcrinsNP",0.272581284243575,161.083219286871,322.179139793476,323.177945218849,42435.9503249873,321.643628089668,351234.841873917,11.7808088901856,43.279975283352,9.06256609725024,0.893641521542931,322.166438573741,25.4849370231412
"l.olan",0.260509863465845,151.824624728334,305.818172667072,311.049604722176,61315.3577954205,346.313972614574,23549.350137791,-1.5034969154546,0.249961922258762,4.43526180190846,0.896237016981143,303.649249456667,83.2043076595745
"la.meije",0.206648081367019,118.928053040778,240.559016377937,247.381593523109,8573.75625556205,259.192991891892,9590.1407,-4.7690598309963,0.161939641187905,4.31688490413385,0.961736382399687,237.856106081555,60.8756140224719
"le.râteau",0.333532083853749,194.652608692738,392.167755748605,397.155648717687,93321.9171747131,399.445614254414,29958.4210690811,-1.41050736610705,0.236828041670537,4.46432027076263,0.90738568666528,389.305217385476,85.2260214671533
"le.sirac",0.26750775539045,156.27643678301,314.801455390236,318.401056231497,64223.1581121226,343.061003340741,27787.9412706,-1.66746406652992,0.249495688300441,4.43720404220814,0.897920906196444,312.55287356602,58.5715541571429
"les.rouies",0.232846843545826,134.597901577013,271.55716984836,278.482047615144,35951.6910231553,287.703421001057,12658.9505240465,-3.13056057188394,0.20560536406819,4.38575181907611,0.924302329396851,269.195803154026,87.2902217652174
"mont.pelvoux",0.450595487871575,250.847660382271,529.56728302924,535.834351467456,100810.077470817,474.798530397059,8071.57501675,-3.86430172060368,0.0298477866847044,2.81934034837203,0.957513593700006,501.695320764543,286.000375368421
"occidentale.l.ailefroide",0.258614711053048,148.035181818594,303.291592018583,307.941109349057,58235.0568820516,322.695217544086,10003.5517438667,-3.84396571169573,0.0746014768205197,3.42104001774949,0.915286894543853,296.070363637188,102.222967214286
"persistant",0.255054718103493,149.986848588375,300.167353533869,304.608307825767,54827.2799289296,328.035874189447,56422.1703605848,0.813874648695106,2.76883106137049,6.62079913234923,0.901278237187119,299.97369717675,44.6451140232258
"pic.du.clapier.du.peyron",0.218339132695974,126.276896134397,254.013640779018,263.013160935952,8798.50499418462,272.831337969697,12277.4102086364,-3.81097361195647,0.316510022608555,4.89054838973201,0.947954248615361,252.553792268794,72.5928096436782
"pic.ouest..le.rateau.",0.288136176054576,163.876471338882,339.458404916256,341.985390560794,53801.5826985343,346.375483018462,9005.76255848,-4.72031476476987,0.0526604180760661,3.12089642908115,0.926825733958065,327.752942677765,114.829649689655
"pointe.brevoort",0.217655120018412,118.8389857025,243.772278364103,260.112691004104,6689.51469708545,243.421320410256,3164.47716533333,-8.79440925331173,0.0727897288584514,3.65877460796311,0.991839026857531,237.677971405,140.47692715
"pointes.de.burlan",0.223336860234921,128.2175824406,261.563868178824,266.368955214058,7763.00568544793,266.195413188948,9050.64404842424,-4.67795731693422,0.0927848257158321,3.81955334135372,0.971445251682533,256.4351648812,76.8099068039216
"rocher.de.la.selle",0.255375101952624,150.091346542978,300.74483296065,303.988053185754,47266.8087718924,322.700412802711,50663.9648100256,-0.344337921974042,0.955079027801562,5.54197105258647,0.882161053623629,300.182693085957,45.5833091495327
"signal.du.lauvitel",0.270809987457079,158.34196520171,318.463053607934,322.388950055792,70840.4712620788,357.795571412991,31128.2147129302,-1.42842358784192,0.318539203962377,4.67528284371766,0.901279183525064,316.683930403421,60.6771397821229
"Summits",0.25530738805055,150.34521707904,300.840779375158,304.919168493378,58658.6671542682,339.155270673746,76649.0911722667,1.31008655594536,3.55982527007316,6.52548919623639,0.858458598691413,300.690434158079,35.5162756261869
"tête.de.la.muraillette",0.237139021606788,138.075223232803,278.831518761389,281.884034444319,27093.7282921947,291.012174632936,18624.7791765079,-2.49425183055982,0.188850333085377,4.34714270288469,0.935998454326565,276.150446465607,71.8034184134615
"tour.choisy",0.221748934516298,123.876838486531,255.04054982521,267.163956242958,6730.22496393966,253.783288091503,4568.09918564706,-7.17515450876546,0.0636890594651745,3.48919186405863,0.981392483580617,247.753676973061,105.255727885714
"underIce",0.276729318950854,162.182722616542,325.418579795528,330.530811913554,73795.7550825936,362.384067207611,39499.8633256296,-0.730165820462242,0.547742804314084,5.06576580939209,0.883562579782993,324.365445233083,60.9526741585761
