"","      X","      mu","   gamma_0","   gamma_1","    loglik","      df","     conv"
"Spermatophyta","Mean   :1  ","Mean   :3.962  ","Mean   :12.99  ","Mean   :0  ","Mean   :-116.4  ","Mean   :2  ","Mean   :0  "
"Asterales","Mean   :1  ","Mean   :33.56  ","Mean   : 85.43  ","Mean   :0  ","Mean   :-22.51  ","Mean   :2  ","Mean   :0  "
"Poales","Mean   :1  ","Mean   :31.218  ","Mean   : 97.12  ","Mean   :0  ","Mean   :-19.83  ","Mean   :2  ","Mean   :0  "
"Rosales","Mean   :1  ","Mean   :1.278  ","Mean   :5.517  ","Mean   :0  ","Mean   :-10.23  ","Mean   :2  ","Mean   :0  "
"Lamiales","Mean   :1  ","Mean   :30.392  ","Mean   : 97.255  ","Mean   :0  ","Mean   :-10.83  ","Mean   :2  ","Mean   :0  "
"Caryophyllales","Mean   :1  ","Mean   :24.87434  ","Mean   :211.4508  ","Mean   :0  ","Mean   :-5.668  ","Mean   :2  ","Mean   :0  "
