"","metric","clade","pool","adj.r.squared","p.value.1","(Intercept)","pc.hetero.score"
"1","mntd","Asterales","Ecrins NP",-0.0247014598778326,0.430330545031547,-0.700850208320878,-0.000714396077573949
"2","mntd","Asterales","Persistent LGM",-0.0413145367562211,0.516596432240647,-0.322308460671699,-0.000595324901479277
"3","mntd","Asterales","Summits",-0.0389435987156226,0.502712427239652,-0.556421436369176,-0.000651615953517499
"4","mntd","Caryophyllales","Ecrins NP",-0.0366479565021625,0.476381278619275,-0.0972462383778153,-0.000573225435914481
"5","mntd","Caryophyllales","Persistent LGM",-0.00642964498887344,0.35717289670469,-0.115620608681044,-0.000720449087378394
"6","mntd","Caryophyllales","Summits",-0.0415277396717157,0.500884275842818,-0.194549622749214,-0.000541964545641165
"7","mntd","Lamiales","Ecrins NP",-0.00349060563346781,0.347793615923365,-0.0680766986982094,-0.000745770676796226
"8","mntd","Lamiales","Persistent LGM",-0.077027665338097,0.713684511376302,0.724305511185265,0.00025792172464279
"9","mntd","Lamiales","Summits",-0.0517182251945061,0.559276778649742,0.511929525155738,-0.000406650527758562
"10","mntd","Poales","Ecrins NP",0.113551759556979,0.128506428329127,-0.530962735203285,0.00131749052184324
"11","mntd","Poales","Persistent LGM",0.295812707099487,0.0258502579890328,0.224656133707811,0.00152453258057109
"12","mntd","Poales","Summits",0.320722097196857,0.0203468028935566,0.463592744243862,0.001436812458625
"13","mntd","Rosales","Ecrins NP",0.00802889345353541,0.325611398027611,-1.2486967539622,0.00101331600317294
"14","mntd","Rosales","Persistent LGM",-0.0182919037455114,0.388677217450618,-0.704558257347321,0.00102107324865033
"15","mntd","Rosales","Summits",-0.0242350187366294,0.404981222279668,-0.7945716700076,0.00082841091773355
"16","mntd","Spermatophyta","Ecrins NP",-0.0276984472405903,0.444209483894947,-2.37761988251935,0.000936165397512258
"17","mntd","Spermatophyta","Persistent LGM",0.392226803708586,0.00741329931776324,-0.603510066996238,0.00160432223062924
"18","mntd","Spermatophyta","Summits",-0.0226001578865263,0.420964978904759,-0.948811004676732,0.000844097356296974
"19","mpd","Asterales","Ecrins NP",-0.0651636934818187,0.710921835492748,-0.124693484034204,0.000344963026359817
"20","mpd","Asterales","Persistent LGM",-0.0684937999980484,0.753872530124503,-0.0436233015451239,0.00031640556242373
"21","mpd","Asterales","Summits",-0.063656220243707,0.693730443242358,-0.120769052749733,0.000397453737031653
"22","mpd","Caryophyllales","Ecrins NP",-0.00946224328043654,0.367188096662428,-0.0605718253149671,-0.000613928671411334
"23","mpd","Caryophyllales","Persistent LGM",-0.0157837918165105,0.389256246790459,-0.203880144280284,-0.000596928044673976
"24","mpd","Caryophyllales","Summits",-0.0222092464883792,0.413523251840242,-0.299510646797554,-0.000546115675138313
"25","mpd","Lamiales","Ecrins NP",0.0252734148806352,0.270052966292012,-0.0515305611140753,-0.000477089588987108
"26","mpd","Lamiales","Persistent LGM",-0.0838661556583049,0.794143509975643,0.725353097305501,0.000132339694287736
"27","mpd","Lamiales","Summits",-0.0431236983952725,0.509335218637918,0.560009651916134,-0.000304163164412951
"28","mpd","Poales","Ecrins NP",-0.0795226277378305,0.840385588686866,-0.28194906058833,0.000201548421070079
"29","mpd","Poales","Persistent LGM",-0.0806487900186261,0.865799111559072,0.496136807761316,0.000119979396362421
"30","mpd","Poales","Summits",-0.0798543964503788,0.847414312920738,0.390766633890204,0.000149181774660226
"31","mpd","Rosales","Ecrins NP",-0.0141345582264705,0.377771933788326,-1.60632446982408,0.00116229416689523
"32","mpd","Rosales","Persistent LGM",0.0355958552564766,0.27201808546188,-0.736647067143521,0.00124811001700197
"33","mpd","Rosales","Summits",0.0631864788001137,0.227877155062148,-0.760339503128506,0.0011682099631972
"34","mpd","Spermatophyta","Ecrins NP",-0.0702329416474481,0.780082232711226,-0.497233961687148,-0.000291514306314031
"35","mpd","Spermatophyta","Persistent LGM",-0.048348288421953,0.561885943619504,0.515031256222762,-0.000375562034895898
"36","mpd","Spermatophyta","Summits",-0.0684013304203923,0.752564883786373,-0.203442914612812,-0.00030722400035901
