"","metric","clade","pool","adj.r.squared","p.value.1","(Intercept)","area"
"1","mntd","Asterales","Ecrins NP",0.202458582103821,0.052465866594775,-8.20829317116419,0.593927330169852
"2","mntd","Asterales","Persistent LGM",0.163991466640002,0.0749800151557095,-7.35769016576216,0.556581714108377
"3","mntd","Asterales","Summits",0.159060041848013,0.0784468385889325,-7.93609024859793,0.583818887053491
"4","mntd","Caryophyllales","Ecrins NP",0.149446246459526,0.0950311498936252,-5.94109821253651,0.463148949105099
"5","mntd","Caryophyllales","Persistent LGM",0.17217590752261,0.0783221168733978,-6.11174088658635,0.475166966353743
"6","mntd","Caryophyllales","Summits",0.153504761242504,0.0918202753329777,-6.08378186809687,0.466758980416538
"7","mntd","Lamiales","Ecrins NP",0.138853437305371,0.103921807652458,-5.81309042704131,0.453055467132175
"8","mntd","Lamiales","Persistent LGM",-0.0295721012644048,0.435376004759955,-1.80517000825401,0.198526139440729
"9","mntd","Lamiales","Summits",0.0820639559022758,0.167170017715555,-3.78778220010137,0.338721570927994
"10","mntd","Poales","Ecrins NP",0.118300029916906,0.123499504499828,5.61047974919181,-0.485542148702211
"11","mntd","Poales","Persistent LGM",0.210406266506287,0.0562451847253485,6.3997674468225,-0.488674135976921
"12","mntd","Poales","Summits",0.167972215315652,0.0811876819150923,5.67359362306117,-0.412653284836431
"13","mntd","Rosales","Ecrins NP",0.215907442665834,0.084659038172809,6.61822504937316,-0.617276836474563
"14","mntd","Rosales","Persistent LGM",0.075933919366944,0.210073547269491,6.08336590443811,-0.532952796867438
"15","mntd","Rosales","Summits",0.19605383220681,0.0966780650082637,6.50808338348937,-0.572742204731538
"16","mntd","Spermatophyta","Ecrins NP",-0.0356282299340689,0.484284418188685,1.51810678616349,-0.308197951133815
"17","mntd","Spermatophyta","Persistent LGM",0.30897817865461,0.0183888606904625,6.00727570932262,-0.522991165685375
"18","mntd","Spermatophyta","Summits",-0.0565678092673405,0.625122573569584,1.39875921323498,-0.18572050681055
"19","mpd","Asterales","Ecrins NP",-0.0717760508044676,0.806599999726004,-1.16159533864836,0.0820311726918417
"20","mpd","Asterales","Persistent LGM",-0.072455685478876,0.819612759446846,-1.09016164496695,0.0827935326722078
"21","mpd","Asterales","Summits",-0.0765545023006338,0.947824572863057,-0.421753789419934,0.0238114444501494
"22","mpd","Caryophyllales","Ecrins NP",0.0627332551288433,0.196528809683456,-4.00302829773945,0.312370008488904
"23","mpd","Caryophyllales","Persistent LGM",0.0984081534830398,0.145842874249184,-4.67486022223529,0.354283594963222
"24","mpd","Caryophyllales","Summits",0.0629001219738219,0.19625378917459,-4.15681053573267,0.305643416274498
"25","mpd","Lamiales","Ecrins NP",0.20919887382877,0.0568439621639717,-3.66708550068829,0.285143210296941
"26","mpd","Lamiales","Persistent LGM",-0.0340088571002894,0.452966578875523,-1.02834802343439,0.137738669507246
"27","mpd","Lamiales","Summits",0.119109033354743,0.122665604044136,-2.59477390836441,0.248540353861874
"28","mpd","Poales","Ecrins NP",-0.0202309661165629,0.405839293918262,3.51416333440557,-0.298678652897161
"29","mpd","Poales","Persistent LGM",-0.0392349493375173,0.489131018143817,2.74684690157481,-0.177087317315645
"30","mpd","Poales","Summits",-0.03695616997144,0.477873148407384,2.91137294228007,-0.198357781312039
"31","mpd","Rosales","Ecrins NP",0.20603516378132,0.0904570970719347,8.24634253265192,-0.772841050973248
"32","mpd","Rosales","Persistent LGM",0.115271963214519,0.163443633852636,6.51938811130745,-0.570068659063703
"33","mpd","Rosales","Summits",0.279302828279099,0.0546193485226667,7.42927242749245,-0.642858751822212
"34","mpd","Spermatophyta","Ecrins NP",-0.0616919545158958,0.672922747041141,-2.49565765178888,0.158098896346564
"35","mpd","Spermatophyta","Persistent LGM",-0.0673702640118656,0.738479376233967,-0.471554859252043,0.0780506039735098
"36","mpd","Spermatophyta","Summits",-0.0569486277621774,0.628408985594443,-2.34045723228396,0.169063050430219
