"","metric","clade","pool","z","pval","tau.est","alt","hyp","measure"
"49","mntd","Rosales","Ecrins NP",274.123147252291,0.465874398552992,-0.246014305692231,"two.sided","Geographic","Refugial Area"
"50","mntd","Rosales","Persistent LGM",269.11174472893,0.509369688809352,-0.223235203313321,"two.sided","Geographic","Refugial Area"
"51","mntd","Rosales","Summits",267.107183719586,0.527239748142483,-0.214123562361756,"two.sided","Geographic","Refugial Area"
"52","mntd","Spermatophyta","Ecrins NP",736.15735363,0.253492710934586,-0.314566702910714,"two.sided","Geographic","Refugial Area"
"53","mntd","Spermatophyta","Persistent LGM",916.318283478864,0.0107680486100061,-0.636282649069399,"two.sided","Geographic","Refugial Area"
"54","mntd","Spermatophyta","Summits",705.129637933807,0.350964677384135,-0.259160067738941,"two.sided","Geographic","Refugial Area"
"55","mpd","Asterales","Ecrins NP",550.991953507557,0.954626247885805,0.0160857973079342,"two.sided","Geographic","Refugial Area"
"56","mpd","Asterales","Persistent LGM",544.986589179261,0.924440801959437,0.0268096621798904,"two.sided","Geographic","Refugial Area"
"57","mpd","Asterales","Summits",603.038444352784,0.785441440831617,-0.0768543649156859,"two.sided","Geographic","Refugial Area"
"58","mpd","Caryophyllales","Ecrins NP",360.896532714963,0.478056348902624,0.206820807219862,"two.sided","Geographic","Refugial Area"
"59","mpd","Caryophyllales","Persistent LGM",286.815079745891,0.193338178429772,0.369637187371669,"two.sided","Geographic","Refugial Area"
"60","mpd","Caryophyllales","Summits",338.872316967401,0.378508052543931,0.255225676994723,"two.sided","Geographic","Refugial Area"
"61","mpd","Lamiales","Ecrins NP",220.742432503205,0.0595787871184665,0.514851796696252,"two.sided","Geographic","Refugial Area"
"62","mpd","Lamiales","Persistent LGM",293.903647579995,0.528490168329597,0.192572396758255,"two.sided","Geographic","Refugial Area"
"63","mpd","Lamiales","Summits",341.875619114796,0.391381471650735,0.248625012934515,"two.sided","Geographic","Refugial Area"
"64","mpd","Poales","Ecrins NP",517.068244379493,0.641924332154396,-0.136413723910973,"two.sided","Geographic","Refugial Area"
"65","mpd","Poales","Persistent LGM",459.004402863193,0.976178803409991,-0.00880088541361116,"two.sided","Geographic","Refugial Area"
"66","mpd","Poales","Summits",445.990093557816,0.946430404176963,0.0198019921806251,"two.sided","Geographic","Refugial Area"
"67","mpd","Rosales","Ecrins NP",273.120866747619,0.474434760752164,-0.241458485216449,"two.sided","Geographic","Refugial Area"
"68","mpd","Rosales","Persistent LGM",263.098061700898,0.563744232908762,-0.195900280458628,"two.sided","Geographic","Refugial Area"
"69","mpd","Rosales","Summits",309.202964915813,0.216015786526008,-0.405468022344603,"two.sided","Geographic","Refugial Area"
"70","mpd","Spermatophyta","Ecrins NP",506.952615100057,0.737017185696732,0.0947274730356128,"two.sided","Geographic","Refugial Area"
"71","mpd","Spermatophyta","Persistent LGM",460.911488583125,0.528134156165664,0.176943770387277,"two.sided","Geographic","Refugial Area"
"72","mpd","Spermatophyta","Summits",504.950826990625,0.727435513502098,0.0983020946595982,"two.sided","Geographic","Refugial Area"
"73","mntd","Asterales","Ecrins NP",282,0.062283635114077,0.496428571428571,"two.sided","Geographic","Maximum Slope"
"74","mntd","Asterales","Persistent LGM",328,0.126141787708305,0.414285714285714,"two.sided","Geographic","Maximum Slope"
"75","mntd","Asterales","Summits",316,0.106277009219738,0.435714285714286,"two.sided","Geographic","Maximum Slope"
"76","mntd","Caryophyllales","Ecrins NP",328,0.333132291388399,0.279120879120879,"two.sided","Geographic","Maximum Slope"
"77","mntd","Caryophyllales","Persistent LGM",264,0.136724305031458,0.41978021978022,"two.sided","Geographic","Maximum Slope"
"78","mntd","Caryophyllales","Summits",316,0.287738239069734,0.305494505494505,"two.sided","Geographic","Maximum Slope"
"79","mntd","Lamiales","Ecrins NP",288,0.197339531054968,0.367032967032967,"two.sided","Geographic","Maximum Slope"
"80","mntd","Lamiales","Persistent LGM",368,0.978311453941831,-0.010989010989011,"two.sided","Geographic","Maximum Slope"
"81","mntd","Lamiales","Summits",384,0.594409707681894,0.156043956043956,"two.sided","Geographic","Maximum Slope"
"82","mntd","Poales","Ecrins NP",578,0.349143388060547,-0.27032967032967,"two.sided","Geographic","Maximum Slope"
"83","mntd","Poales","Persistent LGM",672,0.087183720188118,-0.476923076923077,"two.sided","Geographic","Maximum Slope"
"84","mntd","Poales","Summits",694,0.0567106384811297,-0.525274725274725,"two.sided","Geographic","Maximum Slope"
"85","mntd","Rosales","Ecrins NP",176,0.557553078061045,0.2,"two.sided","Geographic","Maximum Slope"
"86","mntd","Rosales","Persistent LGM",180,0.59521871798588,0.181818181818182,"two.sided","Geographic","Maximum Slope"
"87","mntd","Rosales","Summits",162,0.434522554208937,0.263636363636364,"two.sided","Geographic","Maximum Slope"
"88","mntd","Spermatophyta","Ecrins NP",548,0.943802108646298,0.0214285714285714,"two.sided","Geographic","Maximum Slope"
"89","mntd","Spermatophyta","Persistent LGM",776,0.156527747104255,-0.385714285714286,"two.sided","Geographic","Maximum Slope"
"90","mntd","Spermatophyta","Summits",634,0.638932943879,-0.132142857142857,"two.sided","Geographic","Maximum Slope"
"91","mpd","Asterales","Ecrins NP",668,0.490099813327133,-0.192857142857143,"two.sided","Geographic","Maximum Slope"
"92","mpd","Asterales","Persistent LGM",716,0.313811632786844,-0.278571428571429,"two.sided","Geographic","Maximum Slope"
"93","mpd","Asterales","Summits",766,0.177894090353816,-0.367857142857143,"two.sided","Geographic","Maximum Slope"
"94","mpd","Caryophyllales","Ecrins NP",362,0.482691177195478,0.204395604395604,"two.sided","Geographic","Maximum Slope"
"95","mpd","Caryophyllales","Persistent LGM",298,0.227138790741402,0.345054945054945,"two.sided","Geographic","Maximum Slope"
"96","mpd","Caryophyllales","Summits",314,0.280560336708067,0.30989010989011,"two.sided","Geographic","Maximum Slope"
"97","mpd","Lamiales","Ecrins NP",210,0.0499891360155955,0.538461538461538,"two.sided","Geographic","Maximum Slope"
"98","mpd","Lamiales","Persistent LGM",358,0.963859580344439,0.0164835164835165,"two.sided","Geographic","Maximum Slope"
"99","mpd","Lamiales","Summits",346,0.40857216775622,0.23956043956044,"two.sided","Geographic","Maximum Slope"
"100","mpd","Poales","Ecrins NP",506,0.704285336616916,-0.112087912087912,"two.sided","Geographic","Maximum Slope"
"101","mpd","Poales","Persistent LGM",510,0.681768230694678,-0.120879120879121,"two.sided","Geographic","Maximum Slope"
"102","mpd","Poales","Summits",472,0.903515165297326,-0.0373626373626374,"two.sided","Geographic","Maximum Slope"
"103","mpd","Rosales","Ecrins NP",168,0.485475943733222,0.236363636363636,"two.sided","Geographic","Maximum Slope"
"104","mpd","Rosales","Persistent LGM",176,0.557553078061045,0.2,"two.sided","Geographic","Maximum Slope"
"105","mpd","Rosales","Summits",214,0.945983670156841,0.0272727272727273,"two.sided","Geographic","Maximum Slope"
"106","mpd","Spermatophyta","Ecrins NP",518,0.792571061577752,0.075,"two.sided","Geographic","Maximum Slope"
"107","mpd","Spermatophyta","Persistent LGM",682,0.434267300891017,-0.217857142857143,"two.sided","Geographic","Maximum Slope"
"108","mpd","Spermatophyta","Summits",538,0.892928362903675,0.0392857142857143,"two.sided","Geographic","Maximum Slope"
"109","mntd","Asterales","Ecrins NP",714,0.320277413570048,-0.275,"two.sided","Geographic","Heterogeneity"
"110","mntd","Asterales","Persistent LGM",692,0.396553278906184,-0.235714285714286,"two.sided","Geographic","Heterogeneity"
"111","mntd","Asterales","Summits",692,0.396553278906184,-0.235714285714286,"two.sided","Geographic","Heterogeneity"
"112","mntd","Caryophyllales","Ecrins NP",574,0.365588910224659,-0.261538461538461,"two.sided","Geographic","Heterogeneity"
"113","mntd","Caryophyllales","Persistent LGM",622,0.197339531054969,-0.367032967032967,"two.sided","Geographic","Heterogeneity"
"114","mntd","Caryophyllales","Summits",584,0.325290827092695,-0.283516483516484,"two.sided","Geographic","Heterogeneity"
"115","mntd","Lamiales","Ecrins NP",630,0.175452601385176,-0.384615384615385,"two.sided","Geographic","Heterogeneity"
"116","mntd","Lamiales","Persistent LGM",338,0.820631822546563,0.0714285714285714,"two.sided","Geographic","Heterogeneity"
"117","mntd","Lamiales","Summits",540,0.522076764040787,-0.186813186813187,"two.sided","Geographic","Heterogeneity"
"118","mntd","Poales","Ecrins NP",314,0.280560336708067,0.30989010989011,"two.sided","Geographic","Heterogeneity"
"119","mntd","Poales","Persistent LGM",250,0.108090693109141,0.450549450549451,"two.sided","Geographic","Heterogeneity"
"120","mntd","Poales","Summits",242,0.0937957968109955,0.468131868131868,"two.sided","Geographic","Heterogeneity"
"121","mntd","Rosales","Ecrins NP",204,0.83882493483871,0.0727272727272727,"two.sided","Geographic","Heterogeneity"
"122","mntd","Rosales","Persistent LGM",170,0.503066960517545,0.227272727272727,"two.sided","Geographic","Heterogeneity"
"123","mntd","Rosales","Summits",214,0.945983670156841,0.0272727272727273,"two.sided","Geographic","Heterogeneity"
