"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"1",40,60.1690311,109.282288466617,14.39580451682,1,-3.41163686331201,0.001,999,"Barre des Ecrins","mntd","Spermatophyta",1,"Ecrins NP"
"2",11,133.958141,171.87665552225,31.7158495767435,112,-1.19556988156654,0.112,999,"Brevoort","mntd","Spermatophyta",0,"Ecrins NP"
"3",33,84.8327668484848,116.891749677435,16.277590002864,18,-1.96951654534298,0.018,999,"Burlan","mntd","Spermatophyta",1,"Ecrins NP"
"4",17,97.5777625882353,147.890974319025,24.2476547724725,19,-2.07497228919262,0.019,999,"Choisy","mntd","Spermatophyta",1,"Ecrins NP"
"6",36,71.64471025,113.04370670287,16.2505246139158,4,-2.54754830606628,0.004,999,"La Meije","mntd","Spermatophyta",1,"Ecrins NP"
"7",96,43.750032875,75.9168619163643,7.29998760229266,1,-4.40642242067122,0.001,999,"Lauvitel","mntd","Spermatophyta",1,"Ecrins NP"
"8",62,54.293200016129,91.7607268683361,10.4687721313347,1,-3.57898007351415,0.001,999,"Muraillette","mntd","Spermatophyta",1,"Ecrins NP"
"9",29,82.6647652413793,123.372258640744,17.8316130924031,9,-2.28288339301774,0.009,999,"Occidentale Ailefroide","mntd","Spermatophyta",1,"Ecrins NP"
"10",63,78.9228341428571,90.7829810674643,10.181443397532,125,-1.16487873688735,0.125,999,"Olan","mntd","Spermatophyta",0,"Ecrins NP"
"11",16,182.4679245,151.238554643331,26.4877338885194,879,1.17901251908171,0.879,999,"Pelvoux","mntd","Spermatophyta",0,"Ecrins NP"
"12",164,39.5226386463415,58.9915833692412,4.60697915495702,1,-4.22596761740316,0.001,999,"Persistent","mntd","Spermatophyta",1,"Ecrins NP"
"13",31,71.590894483871,119.929251131454,17.3584204898651,3,-2.78472091834657,0.003,999,"Plat de la Selle","mntd","Spermatophyta",1,"Ecrins NP"
"14",100,55.92053351,75.1943397238038,7.22177958556692,4,-2.66884442891659,0.004,999,"Rateau","mntd","Spermatophyta",1,"Ecrins NP"
"15",150,47.9580126333333,62.1503042764498,5.14839687933837,1,-2.75664288821112,0.001,999,"Rocher de la Selle","mntd","Spermatophyta",1,"Ecrins NP"
"16",40,75.866448975,109.2203172501,14.5258071422394,10,-2.29618002968736,0.01,999,"Rouies","mntd","Spermatophyta",1,"Ecrins NP"
"17",76,49.7230208026316,84.0345383222828,8.86729460140523,1,-3.8694459879808,0.001,999,"Sirac","mntd","Spermatophyta",1,"Ecrins NP"
"18",215,39.0052656,51.833091920162,3.47579279622333,1,-3.69061882345238,0.001,999,"Summits","mntd","Spermatophyta",1,"Ecrins NP"
"19",103,55.1787561456311,73.8677309327774,6.97996844694633,2,-2.67751565486268,0.002,999,"Under Ice","mntd","Spermatophyta",1,"Ecrins NP"
"20",7,46.9496258571429,60.4486654451594,15.4721120189494,201,-0.872475559347279,0.201,999,"Barre des Ecrins","mntd","Asterales",0,"Ecrins NP"
"21",2,33.908879,104.624637436436,42.5689425832507,50,-1.66120542689403,0.05,999,"Brevoort","mntd","Asterales",1,"Ecrins NP"
"22",5,33.410541,72.3705728238238,19.7677311818152,20,-1.97089041051227,0.02,999,"Burlan","mntd","Asterales",1,"Ecrins NP"
"23",3,49.7552243333333,88.1446460874208,27.9208523824296,110,-1.37493731309742,0.11,999,"Choisy","mntd","Asterales",0,"Ecrins NP"
"25",4,84.09802675,78.5323963403403,23.4215533723152,613,0.237628577455428,0.613,999,"La Meije","mntd","Asterales",0,"Ecrins NP"
"26",12,39.8163636666667,46.1335894627127,9.47634589456617,269,-0.666630984804851,0.269,999,"Lauvitel","mntd","Asterales",0,"Ecrins NP"
"27",11,26.7429084545455,48.5605907761398,9.97556031568903,20,-2.18711346843151,0.02,999,"Muraillette","mntd","Asterales",1,"Ecrins NP"
"28",5,47.3549076,71.9210912576577,19.9596829621509,107,-1.23079027378551,0.107,999,"Occidentale Ailefroide","mntd","Asterales",0,"Ecrins NP"
"29",10,53.1066916,51.2490531903904,10.7286832541885,573,0.173146915198971,0.573,999,"Olan","mntd","Asterales",0,"Ecrins NP"
"30",2,88.063174,104.009646688689,41.9170243990631,218,-0.380429501313674,0.218,999,"Pelvoux","mntd","Asterales",0,"Ecrins NP"
"31",28,22.0372388928571,28.6105040905191,3.96485702139439,48,-1.65788202757188,0.048,999,"Persistent","mntd","Asterales",1,"Ecrins NP"
"32",5,78.4294584,72.9797852116116,20.3282696535179,616.5,0.268083475931523,0.6165,999,"Plat de la Selle","mntd","Asterales",0,"Ecrins NP"
"33",16,49.5739375625,39.6650018854479,6.72273806957042,934,1.47394344008486,0.934,999,"Rateau","mntd","Asterales",0,"Ecrins NP"
"34",31,23.3665795806452,26.9996147662824,3.64745075267068,164,-0.996047769247363,0.164,999,"Rocher de la Selle","mntd","Asterales",0,"Ecrins NP"
"35",10,52.50592,51.1849032192192,11.3276521291781,549,0.116618763157289,0.549,999,"Rouies","mntd","Asterales",0,"Ecrins NP"
"36",13,32.6605934615385,44.5585099293139,8.73066518383516,101,-1.36277319279228,0.101,999,"Sirac","mntd","Asterales",0,"Ecrins NP"
"37",39,21.0016260769231,23.8767102090552,2.87343575004146,168,-1.00057366241463,0.168,999,"Summits","mntd","Asterales",0,"Ecrins NP"
"38",18,29.4274698888889,37.073804381715,6.29089786613083,118,-1.21545996383009,0.118,999,"Under Ice","mntd","Asterales",0,"Ecrins NP"
"39",10,35.4883147,56.2949827875876,13.7714334823539,71,-1.5108571024395,0.071,999,"Barre des Ecrins","mntd","Poales",0,"Ecrins NP"
"40",1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Poales",NA,"Ecrins NP"
"41",6,94.0187416666667,72.6061913668669,21.0830542706708,830,1.01562847701755,0.83,999,"Burlan","mntd","Poales",0,"Ecrins NP"
"42",2,176.543151,135.380119544545,52.6554335060548,870.5,0.781743282974247,0.8705,999,"Choisy","mntd","Poales",0,"Ecrins NP"
"44",6,60.8996243333333,73.0441980286954,22.2568328179298,291,-0.545655969773854,0.291,999,"La Meije","mntd","Poales",0,"Ecrins NP"
"45",18,31.1863521111111,43.2352911968635,8.48680265415054,80,-1.41972655389363,0.08,999,"Lauvitel","mntd","Poales",0,"Ecrins NP"
"46",11,46.6299019090909,53.3343673201383,12.5160189348822,300,-0.535670762878286,0.3,999,"Muraillette","mntd","Poales",0,"Ecrins NP"
"47",6,55.5208781666667,72.6568696920254,21.0759887222068,252,-0.813057539137097,0.252,999,"Occidentale Ailefroide","mntd","Poales",0,"Ecrins NP"
"48",9,51.1409335555556,59.0958653057502,15.8251088457638,320,-0.502677853765541,0.32,999,"Olan","mntd","Poales",0,"Ecrins NP"
"49",3,134.804278,107.034457510511,37.1551234258815,798,0.747402186535212,0.798,999,"Pelvoux","mntd","Poales",0,"Ecrins NP"
"50",28,29.2269466785714,35.403525216538,5.89500885380176,148,-1.04776408164055,0.148,999,"Persistent","mntd","Poales",0,"Ecrins NP"
"51",11,32.0028913636364,54.3483616046046,12.9264528868786,42,-1.72866218107294,0.042,999,"Plat de la Selle","mntd","Poales",1,"Ecrins NP"
"52",22,28.2196397727273,39.2598676672582,7.30962404939629,74,-1.51036877135189,0.074,999,"Rateau","mntd","Poales",0,"Ecrins NP"
"53",29,26.5601085862069,34.9184495587311,5.63885917102069,65,-1.48227517641859,0.065,999,"Rocher de la Selle","mntd","Poales",0,"Ecrins NP"
"54",5,82.468806,80.8281555715716,25.6726811522221,530,0.0639064700215944,0.53,999,"Rouies","mntd","Poales",0,"Ecrins NP"
"55",14,44.2163880714286,48.0593559430144,10.3611296297499,371,-0.370902402432216,0.371,999,"Sirac","mntd","Poales",0,"Ecrins NP"
"56",37,24.4117922432432,31.048816858426,4.44855100203848,68,-1.49195201137211,0.068,999,"Summits","mntd","Poales",0,"Ecrins NP"
"57",21,30.6139641428571,40.086756672339,7.58776799159367,100,-1.24842938529177,0.1,999,"Under Ice","mntd","Poales",0,"Ecrins NP"
"58",3,43.716027,80.228015710377,33.8803557001248,136,-1.0776743028776,0.136,999,"Barre des Ecrins","mntd","Rosales",0,"Ecrins NP"
"59",0,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Rosales",NA,"Ecrins NP"
"60",2,141.87263,100.468747451451,53.3341785685473,775,0.776310494692152,0.775,999,"Burlan","mntd","Rosales",0,"Ecrins NP"
"61",1,NA,NA,NA,NA,NA,NA,999,"Choisy","mntd","Rosales",NA,"Ecrins NP"
"63",2,60.973601,103.306229003003,52.9285514598414,163.5,-0.799807038647603,0.1635,999,"La Meije","mntd","Rosales",0,"Ecrins NP"
"64",8,9.514003125,52.6850097298549,18.1554098610336,3,-2.37785910289536,0.003,999,"Lauvitel","mntd","Rosales",1,"Ecrins NP"
"65",6,44.02024,59.2709016956957,21.7524428226284,261,-0.701101104829979,0.261,999,"Muraillette","mntd","Rosales",0,"Ecrins NP"
"66",1,NA,NA,NA,NA,NA,NA,999,"Occidentale Ailefroide","mntd","Rosales",NA,"Ecrins NP"
"67",5,10.6526784,65.3152619247247,24.3469700763757,4,-2.24514932877684,0.004,999,"Olan","mntd","Rosales",1,"Ecrins NP"
"68",0,NA,NA,NA,NA,NA,NA,999,"Pelvoux","mntd","Rosales",NA,"Ecrins NP"
"69",17,37.1380242941176,34.5933407535182,10.001979978802,620,0.254417979839248,0.62,999,"Persistent","mntd","Rosales",0,"Ecrins NP"
"70",4,24.6977485,72.2411625988488,29.5781766107723,48,-1.60738150713231,0.048,999,"Plat de la Selle","mntd","Rosales",1,"Ecrins NP"
"71",15,25.2958234,37.2695963846513,11.1526350978706,157,-1.07362725307291,0.157,999,"Rateau","mntd","Rosales",0,"Ecrins NP"
"72",10,24.5349211,47.1520053507507,15.5293606926076,77,-1.45640794224821,0.077,999,"Rocher de la Selle","mntd","Rosales",0,"Ecrins NP"
"73",3,43.716027,83.1101015141808,36.0702000343644,128,-1.09215015377374,0.128,999,"Rouies","mntd","Rosales",0,"Ecrins NP"
"74",11,10.1878607272727,43.9746815530075,14.4329579559665,3,-2.34094916155198,0.003,999,"Sirac","mntd","Rosales",1,"Ecrins NP"
"75",22,30.5263595,30.6527128838839,7.67880988846889,497,-0.0164548134045651,0.497,999,"Summits","mntd","Rosales",0,"Ecrins NP"
"76",12,30.6333796666667,41.8294879760594,13.6437509700729,213,-0.820603390808802,0.213,999,"Under Ice","mntd","Rosales",0,"Ecrins NP"
"77",5,43.6545774,56.8244242398398,12.2064459775186,152,-1.07892558276959,0.152,999,"Barre des Ecrins","mntd","Lamiales",0,"Ecrins NP"
"78",1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Lamiales",NA,"Ecrins NP"
"79",5,44.0751634,56.8310123927928,12.9345110098981,171,-0.986187184272482,0.171,999,"Burlan","mntd","Lamiales",0,"Ecrins NP"
"80",2,73.188451,74.0291802622623,17.7444024541513,221.5,-0.0473799703559794,0.2215,999,"Choisy","mntd","Lamiales",0,"Ecrins NP"
"82",3,75.80474,65.7762067424091,15.2910050172264,603.5,0.655845266304802,0.6035,999,"La Meije","mntd","Lamiales",0,"Ecrins NP"
"83",8,34.60029875,48.7231215362863,10.0938661196544,82,-1.39914900979189,0.082,999,"Lauvitel","mntd","Lamiales",0,"Ecrins NP"
"84",5,62.0815022,56.6589809783784,12.3099135648671,669.5,0.440500349011195,0.6695,999,"Muraillette","mntd","Lamiales",0,"Ecrins NP"
"85",4,60.25545,61.1708343035536,14.3725309255422,476.5,-0.063689847549869,0.4765,999,"Occidentale Ailefroide","mntd","Lamiales",0,"Ecrins NP"
"86",6,48.8386598333333,53.5663258601935,11.5782068171072,331,-0.408324544684664,0.331,999,"Olan","mntd","Lamiales",0,"Ecrins NP"
"87",2,67.428088,72.729171988989,18.6295359611151,216,-0.284552658748655,0.216,999,"Pelvoux","mntd","Lamiales",0,"Ecrins NP"
"88",16,23.4475326875,36.4710256391391,6.3304718318936,12,-2.05727050012692,0.012,999,"Persistent","mntd","Lamiales",1,"Ecrins NP"
"89",2,81.03732,73.0927187337337,17.5012805530738,870,0.453943998107667,0.87,999,"Plat de la Selle","mntd","Lamiales",0,"Ecrins NP"
"90",9,45.3611046666667,46.0297277696585,8.79945284279099,456,-0.0759846225597608,0.456,999,"Rateau","mntd","Lamiales",0,"Ecrins NP"
"91",11,41.2954855454545,42.9724220717991,8.0503946291229,404,-0.208304884865903,0.404,999,"Rocher de la Selle","mntd","Lamiales",0,"Ecrins NP"
"92",5,69.9099484,56.6169408458458,12.8025767863164,817,1.03830719206167,0.817,999,"Rouies","mntd","Lamiales",0,"Ecrins NP"
"93",6,70.5804816666667,53.5468322308976,11.2029053680741,948,1.52046713563353,0.948,999,"Sirac","mntd","Lamiales",0,"Ecrins NP"
"94",21,24.5402206666667,32.7359230299824,5.19626766583078,58,-1.57722867457509,0.058,999,"Summits","mntd","Lamiales",0,"Ecrins NP"
"95",9,34.9295493333333,46.5293353180959,9.24250484808266,100,-1.25504786585737,0.1,999,"Under Ice","mntd","Lamiales",0,"Ecrins NP"
"96",5,74.5181156,78.9289923397397,20.6008665533356,400,-0.214111223346843,0.4,999,"Barre des Ecrins","mntd","Caryophyllales",0,"Ecrins NP"
"97",2,75.163557,116.201876484484,52.8204812467577,272.5,-0.776939522621323,0.2725,999,"Brevoort","mntd","Caryophyllales",0,"Ecrins NP"
"98",3,73.497654,96.2489021818485,32.5408493623823,245,-0.699159629439462,0.245,999,"Burlan","mntd","Caryophyllales",0,"Ecrins NP"
"99",2,75.163557,120.826835298298,53.6977854778244,269,-0.850375446435419,0.269,999,"Choisy","mntd","Caryophyllales",0,"Ecrins NP"
"101",5,75.007397,79.984434574975,20.8874765110152,373,-0.238278548026148,0.373,999,"La Meije","mntd","Caryophyllales",0,"Ecrins NP"
"102",14,52.3477052142857,53.031283993136,10.389658038219,473,-0.0657941557205923,0.473,999,"Lauvitel","mntd","Caryophyllales",0,"Ecrins NP"
"103",7,88.3753592857143,69.598342970256,16.3605778937449,878,1.14769884275526,0.878,999,"Muraillette","mntd","Caryophyllales",0,"Ecrins NP"
"104",4,86.2617385,85.4873733473473,24.9358332530599,504,0.0310543122739894,0.504,999,"Occidentale Ailefroide","mntd","Caryophyllales",0,"Ecrins NP"
"105",4,124.93702575,85.4065936271271,25.2589115771329,944,1.5650093236266,0.944,999,"Olan","mntd","Caryophyllales",0,"Ecrins NP"
"106",1,NA,NA,NA,NA,NA,NA,999,"Pelvoux","mntd","Caryophyllales",NA,"Ecrins NP"
"107",17,55.1041172352941,49.305940844256,9.05674512128806,741,0.640205318068339,0.741,999,"Persistent","mntd","Caryophyllales",0,"Ecrins NP"
"108",2,76.088446,119.463111321321,55.0857529052092,358.5,-0.787402604734474,0.3585,999,"Plat de la Selle","mntd","Caryophyllales",0,"Ecrins NP"
"109",6,84.0065285,73.8627449312646,18.063782761119,714,0.561553673606458,0.714,999,"Rateau","mntd","Caryophyllales",0,"Ecrins NP"
"110",15,34.9544004666667,51.5059423114448,9.66491038733998,51,-1.71253960786423,0.051,999,"Rocher de la Selle","mntd","Caryophyllales",0,"Ecrins NP"
"111",4,101.33435875,86.3190295538038,24.4513031427227,748.5,0.614091163507788,0.7485,999,"Rouies","mntd","Caryophyllales",0,"Ecrins NP"
"112",7,74.8215394285714,70.0716695127985,16.8139420062388,629,0.282495914046241,0.629,999,"Sirac","mntd","Caryophyllales",0,"Ecrins NP"
"113",19,44.4506242105263,46.8875956976977,8.07510838504526,389,-0.301788083945046,0.389,999,"Summits","mntd","Caryophyllales",0,"Ecrins NP"
"114",10,69.4185209,60.8602591573574,12.8321127855206,743,0.666940969557214,0.743,999,"Under Ice","mntd","Caryophyllales",0,"Ecrins NP"
"115",40,275.315477865385,279.8290251107,17.3445027122931,407,-0.260229268038733,0.407,999,"Barre des Ecrins","mpd","Spermatophyta",0,"Ecrins NP"
"116",11,255.276635890909,280.44269413064,34.7696969993599,226,-0.723792854455819,0.226,999,"Brevoort","mpd","Spermatophyta",0,"Ecrins NP"
"117",33,267.641368617424,281.024857531186,19.4291541238412,251,-0.688835387709419,0.251,999,"Burlan","mpd","Spermatophyta",0,"Ecrins NP"
"118",17,256.806892838235,281.195934964185,27.5694768782509,166,-0.884639278200799,0.166,999,"Choisy","mpd","Spermatophyta",0,"Ecrins NP"
"120",36,261.160879080952,279.769255011615,18.3554247376308,142,-1.01378073221662,0.142,999,"La Meije","mpd","Spermatophyta",0,"Ecrins NP"
"121",96,269.245131620833,280.263117254069,10.7256411282832,133,-1.02725659953154,0.133,999,"Lauvitel","mpd","Spermatophyta",0,"Ecrins NP"
"122",62,265.980170028027,280.559680179071,13.5483566033689,134,-1.07610912362743,0.134,999,"Muraillette","mpd","Spermatophyta",0,"Ecrins NP"
"123",29,270.617859783251,281.117960570028,21.6509574501308,305,-0.484971660535662,0.305,999,"Occidentale Ailefroide","mpd","Spermatophyta",0,"Ecrins NP"
"124",63,277.386492412698,280.665681071959,12.8942179558276,412,-0.25431466029922,0.412,999,"Olan","mpd","Spermatophyta",0,"Ecrins NP"
"125",16,378.247871733333,281.119742438222,28.0128875453004,997,3.46726588389159,0.997,999,"Pelvoux","mpd","Spermatophyta",1,"Ecrins NP"
"126",164,263.341607466183,280.431880458785,8.1916987740949,15,-2.08629167940698,0.015,999,"Persistent","mpd","Spermatophyta",1,"Ecrins NP"
"127",31,283.098430636559,281.30329642501,20.1240833500421,585,0.0892032784959325,0.585,999,"Plat de la Selle","mpd","Spermatophyta",0,"Ecrins NP"
"128",100,278.169611471313,280.169895300997,10.4214687742815,451,-0.19193876343233,0.451,999,"Rateau","mpd","Spermatophyta",0,"Ecrins NP"
"129",150,273.505325264251,280.970176978852,8.27516029107073,181,-0.902079410190518,0.181,999,"Rocher de la Selle","mpd","Spermatophyta",0,"Ecrins NP"
"130",40,251.872930391026,281.078214470782,17.5399666890638,36,-1.66507066960202,0.036,999,"Rouies","mpd","Spermatophyta",1,"Ecrins NP"
"131",76,262.778903064561,280.50803306492,12.1012759982563,74,-1.46506285807488,0.074,999,"Sirac","mpd","Spermatophyta",0,"Ecrins NP"
"132",215,275.966701052467,280.662669938817,6.7472095085973,252,-0.695986819494207,0.252,999,"Summits","mpd","Spermatophyta",0,"Ecrins NP"
"133",103,276.265828702456,280.67295963445,10.5089858641459,371,-0.419367861843898,0.371,999,"Under Ice","mpd","Spermatophyta",0,"Ecrins NP"
"134",7,85.787811047619,104.583374533486,16.9284682442398,126,-1.11029321818661,0.126,999,"Barre des Ecrins","mpd","Asterales",0,"Ecrins NP"
"135",2,33.908879,105.049914597598,44.2825901849417,60.5,-1.60652381219085,0.0605,999,"Brevoort","mpd","Asterales",0,"Ecrins NP"
"136",5,126.4086008,103.788422429429,20.9643418041911,785,1.07898347498076,0.785,999,"Burlan","mpd","Asterales",0,"Ecrins NP"
"137",3,65.60157,103.995867225225,28.3560101547339,54,-1.35400915064264,0.054,999,"Choisy","mpd","Asterales",0,"Ecrins NP"
"139",4,124.575924,104.990461148482,24.1612392909844,664,0.810614994356948,0.664,999,"La Meije","mpd","Asterales",0,"Ecrins NP"
"140",12,116.574648969697,104.0148033153,12.1154114316568,837,1.0366833784595,0.837,999,"Lauvitel","mpd","Asterales",0,"Ecrins NP"
"141",11,109.027919054545,103.879064672272,13.0990640797417,677,0.393070401895056,0.677,999,"Muraillette","mpd","Asterales",0,"Ecrins NP"
"142",5,75.7731916,104.930597325325,20.1389087510028,51,-1.44781458051313,0.051,999,"Occidentale Ailefroide","mpd","Asterales",0,"Ecrins NP"
"143",10,92.5989947111111,104.808180936826,13.6116572653209,280,-0.896965445700763,0.28,999,"Olan","mpd","Asterales",0,"Ecrins NP"
"144",2,88.063174,106.021618287287,42.5019397665179,212.5,-0.422532345251558,0.2125,999,"Pelvoux","mpd","Asterales",0,"Ecrins NP"
"145",28,103.931927362434,104.573406592468,7.1492325742152,442,-0.089727005433822,0.442,999,"Persistent","mpd","Asterales",0,"Ecrins NP"
"146",5,95.7930482,104.637201824424,21.1009734419236,457,-0.419134863553392,0.457,999,"Plat de la Selle","mpd","Asterales",0,"Ecrins NP"
"147",16,97.9673516166667,104.766444551969,9.89224179590929,229,-0.687315683904286,0.229,999,"Rateau","mpd","Asterales",0,"Ecrins NP"
