"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"39",10,35.4883147,56.1676956273273,13.8540682681857,61,-1.49265764589996,0.061,999,"Barre des Ecrins","mntd","Poales",0,"Ecrins NP"
"40",1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Poales",NA,"Ecrins NP"
"41",6,94.0187416666667,73.2861781978645,21.5818908889494,813,0.960646292555296,0.813,999,"Burlan","mntd","Poales",0,"Ecrins NP"
"42",2,176.543151,136.39985806006,52.7620552588285,854,0.760836414408306,0.854,999,"Choisy","mntd","Poales",0,"Ecrins NP"
"44",6,60.8996243333333,72.835598629296,21.7717996521515,309,-0.548230944922512,0.309,999,"La Meije","mntd","Poales",0,"Ecrins NP"
"45",18,31.1863521111111,42.8353320324769,8.55775278413295,87,-1.36121949479124,0.087,999,"Lauvitel","mntd","Poales",0,"Ecrins NP"
"46",11,46.6299019090909,53.5572358766039,12.2962610743794,297,-0.563369135187509,0.297,999,"Muraillette","mntd","Poales",0,"Ecrins NP"
"47",6,55.5208781666667,72.9654835658992,21.9603272726396,242,-0.794369099451755,0.242,999,"Occidentale Ailefroide","mntd","Poales",0,"Ecrins NP"
"48",9,51.1409335555556,59.4137535041708,14.8570441292782,286,-0.556828119821784,0.286,999,"Olan","mntd","Poales",0,"Ecrins NP"
"49",3,134.804278,108.159535715382,36.5974944550565,798.5,0.728048263449811,0.7985,999,"Pelvoux","mntd","Poales",0,"Ecrins NP"
"50",28,29.2269466785714,35.0967388479193,5.75832355108969,151,-1.01935782476779,0.151,999,"Persistent","mntd","Poales",0,"Ecrins NP"
"51",11,32.0028913636364,53.9923667202657,13.0191097846323,45,-1.68901527987617,0.045,999,"Plat de la Selle","mntd","Poales",1,"Ecrins NP"
"52",22,28.2196397727273,39.2713455609701,7.09745832547252,67,-1.55713570709935,0.067,999,"Rateau","mntd","Poales",0,"Ecrins NP"
"53",29,26.5601085862069,35.0637246740188,5.56593424096338,65,-1.52779672192823,0.065,999,"Rocher de la Selle","mntd","Poales",0,"Ecrins NP"
"54",5,82.468806,80.7266341449449,24.840709406311,513,0.0701337400055269,0.513,999,"Rouies","mntd","Poales",0,"Ecrins NP"
"55",14,44.2163880714286,48.4507774202059,10.2419814328929,346,-0.413434585536183,0.346,999,"Sirac","mntd","Poales",0,"Ecrins NP"
"56",37,24.4117922432432,31.0454289250331,4.36530330442739,64,-1.51962789734723,0.064,999,"Summits","mntd","Poales",0,"Ecrins NP"
"57",21,30.6139641428571,40.3180303933934,7.43862829811218,96,-1.30455049797273,0.096,999,"Under Ice","mntd","Poales",0,"Ecrins NP"
"58",3,43.716027,80.8140400764097,34.974115969137,141,-1.06072768527293,0.141,999,"Barre des Ecrins","mntd","Rosales",0,"Ecrins NP"
"59",0,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Rosales",NA,"Ecrins NP"
"60",2,141.87263,103.087985983984,52.2229202778255,753,0.742674745297315,0.753,999,"Burlan","mntd","Rosales",0,"Ecrins NP"
"61",1,NA,NA,NA,NA,NA,NA,999,"Choisy","mntd","Rosales",NA,"Ecrins NP"
"63",2,60.973601,97.2979342602603,50.4874944812687,167,-0.719471893653524,0.167,999,"La Meije","mntd","Rosales",0,"Ecrins NP"
"64",8,9.514003125,53.0176994027778,18.8895586698464,4,-2.30305519774918,0.004,999,"Lauvitel","mntd","Rosales",1,"Ecrins NP"
"65",6,44.02024,60.0846163583584,22.3855205644027,244,-0.717623533128993,0.244,999,"Muraillette","mntd","Rosales",0,"Ecrins NP"
