"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"1",40,60.1690311,108.32128396046,14.1938869171088,1,-3.39246417430728,0.001,999,"Barre des Ecrins","mntd","Spermatophyta",1,"Ecrins NP"
"2",11,133.958141,172.040525134862,32.7652023327919,128,-1.16228136631248,0.128,999,"Brevoort","mntd","Spermatophyta",0,"Ecrins NP"
"3",33,84.8327668484848,116.805202650074,16.674089154393,24,-1.91749219435869,0.024,999,"Burlan","mntd","Spermatophyta",1,"Ecrins NP"
"4",17,97.5777625882353,148.723526269387,24.4481495271847,18,-2.09200960687357,0.018,999,"Choisy","mntd","Spermatophyta",1,"Ecrins NP"
"6",36,71.64471025,112.695849558475,15.4919565035235,3,-2.64983569371231,0.003,999,"La Meije","mntd","Spermatophyta",1,"Ecrins NP"
"7",96,43.750032875,76.100291371851,7.30098273487994,1,-4.43094576053439,0.001,999,"Lauvitel","mntd","Spermatophyta",1,"Ecrins NP"
"8",62,54.293200016129,90.4764258925054,10.3621983545592,1,-3.49184841269288,0.001,999,"Muraillette","mntd","Spermatophyta",1,"Ecrins NP"
"9",29,82.6647652413793,122.254800247592,17.9397526157323,10,-2.20683282842454,0.01,999,"Occidentale Ailefroide","mntd","Spermatophyta",1,"Ecrins NP"
"10",63,78.9228341428571,91.3067671198818,10.7798102082286,119,-1.1488080715532,0.119,999,"Olan","mntd","Spermatophyta",0,"Ecrins NP"
"11",16,182.4679245,151.90554555737,25.247110227581,891,1.21052978606805,0.891,999,"Pelvoux","mntd","Spermatophyta",0,"Ecrins NP"
"12",164,39.5226386463415,59.1624623570278,4.59727434238975,1,-4.27205823450535,0.001,999,"Persistent","mntd","Spermatophyta",1,"Ecrins NP"
"13",31,71.590894483871,119.876675951242,16.5277311675044,1,-2.92150089918611,0.001,999,"Plat de la Selle","mntd","Spermatophyta",1,"Ecrins NP"
"14",100,55.92053351,74.2913012644945,7.07061528221787,4,-2.5981851679437,0.004,999,"Rateau","mntd","Spermatophyta",1,"Ecrins NP"
"15",150,47.9580126333333,62.059298856343,4.96578349112398,2,-2.83969010091053,0.002,999,"Rocher de la Selle","mntd","Spermatophyta",1,"Ecrins NP"
"16",40,75.866448975,108.234659732858,14.4273827528404,8,-2.24352616911652,0.008,999,"Rouies","mntd","Spermatophyta",1,"Ecrins NP"
"17",76,49.7230208026316,84.165485931708,8.92797155625887,1,-3.85781528447309,0.001,999,"Sirac","mntd","Spermatophyta",1,"Ecrins NP"
"18",215,39.0052656,51.7874986725656,3.64617634645751,1,-3.50565410391748,0.001,999,"Summits","mntd","Spermatophyta",1,"Ecrins NP"
"19",103,55.1787561456311,74.0825371357765,7.11258797289051,5,-2.6577922216494,0.005,999,"Under Ice","mntd","Spermatophyta",1,"Ecrins NP"
"20",7,46.9496258571429,62.16259098141,15.2400527239113,169,-0.998222604597579,0.169,999,"Barre des Ecrins","mntd","Asterales",0,"Ecrins NP"
"21",2,33.908879,104.529025084084,40.6411355166745,55,-1.73765189348879,0.055,999,"Brevoort","mntd","Asterales",0,"Ecrins NP"
"22",5,33.410541,70.9564090356356,20.7719171398254,38,-1.80753022375821,0.038,999,"Burlan","mntd","Asterales",1,"Ecrins NP"
"23",3,49.7552243333333,88.0590496496497,27.1407670263353,97,-1.41130224061646,0.097,999,"Choisy","mntd","Asterales",0,"Ecrins NP"
"25",4,84.09802675,78.0018993783784,23.2195052536265,603,0.262543379156174,0.603,999,"La Meije","mntd","Asterales",0,"Ecrins NP"
"26",12,39.8163636666667,46.3799100865032,9.2744782318455,251,-0.707699803240623,0.251,999,"Lauvitel","mntd","Asterales",0,"Ecrins NP"
"27",11,26.7429084545455,48.5805493185913,10.0484103454108,14,-2.17324334032788,0.014,999,"Muraillette","mntd","Asterales",1,"Ecrins NP"
"28",5,47.3549076,70.646169,19.6929235897525,129,-1.18272237709387,0.129,999,"Occidentale Ailefroide","mntd","Asterales",0,"Ecrins NP"
"29",10,53.1066916,51.4627262820821,11.5369553953687,544,0.14249559451169,0.544,999,"Olan","mntd","Asterales",0,"Ecrins NP"
"30",2,88.063174,104.424703531532,42.0579377294568,222,-0.389023580680042,0.222,999,"Pelvoux","mntd","Asterales",0,"Ecrins NP"
"31",28,22.0372388928571,28.4939294780495,3.86521345026005,52,-1.67046158466564,0.052,999,"Persistent","mntd","Asterales",0,"Ecrins NP"
"32",5,78.4294584,72.3210827089089,19.9062933239261,618,0.306856509732488,0.618,999,"Plat de la Selle","mntd","Asterales",0,"Ecrins NP"
"33",16,49.5739375625,39.5194529802302,7.22184956237068,920,1.3922312415172,0.92,999,"Rateau","mntd","Asterales",0,"Ecrins NP"
"34",31,23.3665795806452,26.9569664498369,3.6595782393187,161,-0.981093075321213,0.161,999,"Rocher de la Selle","mntd","Asterales",0,"Ecrins NP"
"35",10,52.50592,50.8317402288288,11.1132473780579,554,0.150647215365393,0.554,999,"Rouies","mntd","Asterales",0,"Ecrins NP"
"36",13,32.6605934615385,44.6961404762455,8.57393199843399,91,-1.403737167137,0.091,999,"Sirac","mntd","Asterales",0,"Ecrins NP"
"37",39,21.0016260769231,23.9447374736531,2.84774718168961,142,-1.0334875987776,0.142,999,"Summits","mntd","Asterales",0,"Ecrins NP"
"38",18,29.4274698888889,37.0312363431765,6.23683229149737,116,-1.21917122329131,0.116,999,"Under Ice","mntd","Asterales",0,"Ecrins NP"
"39",10,35.4883147,56.2367969518519,13.6412561970009,60,-1.52100964546164,0.06,999,"Barre des Ecrins","mntd","Poales",0,"Ecrins NP"
"40",1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Poales",NA,"Ecrins NP"
"41",6,94.0187416666667,72.3756132459126,21.6048510206104,837.5,1.00177170396163,0.8375,999,"Burlan","mntd","Poales",0,"Ecrins NP"
"42",2,176.543151,134.798851052052,52.8542066678972,877,0.789800899108052,0.877,999,"Choisy","mntd","Poales",0,"Ecrins NP"
"44",6,60.8996243333333,72.5060003798799,22.1306211928603,326,-0.524448724028177,0.326,999,"La Meije","mntd","Poales",0,"Ecrins NP"
"45",18,31.1863521111111,43.4478392402958,8.36760085811495,69,-1.46535277400254,0.069,999,"Lauvitel","mntd","Poales",0,"Ecrins NP"
"46",11,46.6299019090909,53.5176643670944,13.1015210307699,301,-0.525722352528919,0.301,999,"Muraillette","mntd","Poales",0,"Ecrins NP"
"47",6,55.5208781666667,73.2642150537204,21.2708531257915,218,-0.83416197658473,0.218,999,"Occidentale Ailefroide","mntd","Poales",0,"Ecrins NP"
"48",9,51.1409335555556,58.4971455552219,15.3232875557457,333,-0.480067477224105,0.333,999,"Olan","mntd","Poales",0,"Ecrins NP"
"49",3,134.804278,105.448635277277,37.6615412104933,805,0.779459410825801,0.805,999,"Pelvoux","mntd","Poales",0,"Ecrins NP"
"50",28,29.2269466785714,35.2506706068926,5.60238419780785,140,-1.07520721814798,0.14,999,"Persistent","mntd","Poales",0,"Ecrins NP"
"51",11,32.0028913636364,54.0231335743016,12.3198654356105,35,-1.78737684480026,0.035,999,"Plat de la Selle","mntd","Poales",1,"Ecrins NP"
"52",22,28.2196397727273,39.0923414433979,7.14009382544045,54,-1.52276733842499,0.054,999,"Rateau","mntd","Poales",0,"Ecrins NP"
"53",29,26.5601085862069,34.8641650203652,5.48126399073823,66,-1.5149893251246,0.066,999,"Rocher de la Selle","mntd","Poales",0,"Ecrins NP"
"54",5,82.468806,81.4782813957958,25.0321465157809,520,0.0395701025311497,0.52,999,"Rouies","mntd","Poales",0,"Ecrins NP"
"55",14,44.2163880714286,47.9228350484055,10.0608169284214,355,-0.368404176653527,0.355,999,"Sirac","mntd","Poales",0,"Ecrins NP"
"56",37,24.4117922432432,30.9375626271948,4.41986499239025,67,-1.47646373705691,0.067,999,"Summits","mntd","Poales",0,"Ecrins NP"
"57",21,30.6139641428571,40.7633879907527,7.27908769989143,86,-1.39432635878901,0.086,999,"Under Ice","mntd","Poales",0,"Ecrins NP"
"58",3,43.716027,81.0886272112112,35.8711929897022,140,-1.04185551403155,0.14,999,"Barre des Ecrins","mntd","Rosales",0,"Ecrins NP"
"59",0,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Rosales",NA,"Ecrins NP"
"60",2,141.87263,100.727877640641,51.747651005233,773,0.795103769158499,0.773,999,"Burlan","mntd","Rosales",0,"Ecrins NP"
"61",1,NA,NA,NA,NA,NA,NA,999,"Choisy","mntd","Rosales",NA,"Ecrins NP"
"63",2,60.973601,102.924840725726,52.9185900109723,157,-0.792750519562736,0.157,999,"La Meije","mntd","Rosales",0,"Ecrins NP"
