"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"1",40,60.1690311,108.167514475225,14.3186730375849,1,-3.35216002552993,0.001,999,"Barre des Ecrins","mntd","Spermatophyta",1,"Ecrins NP"
"2",11,133.958141,171.864786804896,31.8564076119756,113,-1.18992217410747,0.113,999,"Brevoort","mntd","Spermatophyta",0,"Ecrins NP"
"3",33,84.8327668484848,117.760676099433,17.1936403875425,21,-1.9151214349467,0.021,999,"Burlan","mntd","Spermatophyta",1,"Ecrins NP"
"4",17,97.5777625882353,149.85922960219,26.4547565856392,21,-1.976259613076,0.021,999,"Choisy","mntd","Spermatophyta",1,"Ecrins NP"
"6",36,71.64471025,112.822591769408,15.3790698945862,4,-2.6775274318705,0.004,999,"La Meije","mntd","Spermatophyta",1,"Ecrins NP"
"7",96,43.750032875,76.1150241032282,7.09767019591604,1,-4.55994577584781,0.001,999,"Lauvitel","mntd","Spermatophyta",1,"Ecrins NP"
"8",62,54.293200016129,91.0149832608415,10.1701031148626,1,-3.61075820274104,0.001,999,"Muraillette","mntd","Spermatophyta",1,"Ecrins NP"
"9",29,82.6647652413793,122.394354856546,17.79919285895,7,-2.2321006311918,0.007,999,"Occidentale Ailefroide","mntd","Spermatophyta",1,"Ecrins NP"
"10",63,78.9228341428571,90.8779451603032,10.1721231210585,113,-1.17528178485142,0.113,999,"Olan","mntd","Spermatophyta",0,"Ecrins NP"
"11",16,182.4679245,150.52506200538,25.7277115930183,904,1.24157418273019,0.904,999,"Pelvoux","mntd","Spermatophyta",0,"Ecrins NP"
"12",164,39.5226386463415,59.2423498893589,4.5798803589079,1,-4.30572628489354,0.001,999,"Persistent","mntd","Spermatophyta",1,"Ecrins NP"
"13",31,71.590894483871,120.824867552553,17.1169842572408,1,-2.87632285738972,0.001,999,"Plat de la Selle","mntd","Spermatophyta",1,"Ecrins NP"
"14",100,55.92053351,74.5454650865666,6.97455301038553,5,-2.67041221836481,0.005,999,"Rateau","mntd","Spermatophyta",1,"Ecrins NP"
"15",150,47.9580126333333,61.9671452984718,5.29048135004629,2,-2.64798829033126,0.002,999,"Rocher de la Selle","mntd","Spermatophyta",1,"Ecrins NP"
"16",40,75.866448975,108.122389998473,14.0478377289213,11,-2.29614988768455,0.011,999,"Rouies","mntd","Spermatophyta",1,"Ecrins NP"
"17",76,49.7230208026316,84.3449210463621,8.86956914534218,1,-3.90344780861336,0.001,999,"Sirac","mntd","Spermatophyta",1,"Ecrins NP"
"18",215,39.0052656,51.8888483694299,3.68209291888685,1,-3.49898360884515,0.001,999,"Summits","mntd","Spermatophyta",1,"Ecrins NP"
"19",103,55.1787561456311,73.6782206629056,6.92906522606596,6,-2.66983552812906,0.006,999,"Under Ice","mntd","Spermatophyta",1,"Ecrins NP"
"20",7,46.9496258571429,61.0427744041184,15.5667013448409,179,-0.905339431571112,0.179,999,"Barre des Ecrins","mntd","Asterales",0,"Ecrins NP"
"21",2,33.908879,104.731794740741,43.376717232763,56,-1.63274033303855,0.056,999,"Brevoort","mntd","Asterales",0,"Ecrins NP"
"22",5,33.410541,72.0557672986987,20.3226549657095,29,-1.90158354623965,0.029,999,"Burlan","mntd","Asterales",1,"Ecrins NP"
"23",3,49.7552243333333,88.7779356092759,27.4207595430287,92,-1.423108328371,0.092,999,"Choisy","mntd","Asterales",0,"Ecrins NP"
"25",4,84.09802675,78.3103236418919,23.9138486379962,599,0.242023071891161,0.599,999,"La Meije","mntd","Asterales",0,"Ecrins NP"
"26",12,39.8163636666667,47.187934843677,9.32130409791854,236,-0.790830456722941,0.236,999,"Lauvitel","mntd","Asterales",0,"Ecrins NP"
"27",11,26.7429084545455,48.1173471266721,10.2188358602392,19,-2.0916706134104,0.019,999,"Muraillette","mntd","Asterales",1,"Ecrins NP"
"28",5,47.3549076,72.4447205803804,20.4818776775479,112,-1.22497621435771,0.112,999,"Occidentale Ailefroide","mntd","Asterales",0,"Ecrins NP"
"29",10,53.1066916,50.9394540633634,11.0010205095134,569,0.197003317534265,0.569,999,"Olan","mntd","Asterales",0,"Ecrins NP"
"30",2,88.063174,104.252588834835,42.0263394738173,215.5,-0.385220674403988,0.2155,999,"Pelvoux","mntd","Asterales",0,"Ecrins NP"
"31",28,22.0372388928571,28.6826301387459,4.02128059052031,59,-1.65255596974617,0.059,999,"Persistent","mntd","Asterales",0,"Ecrins NP"
"32",5,78.4294584,70.7181205995996,21.0482714867457,647.5,0.36636442119517,0.6475,999,"Plat de la Selle","mntd","Asterales",0,"Ecrins NP"
"33",16,49.5739375625,39.4919673912663,6.81397439312355,932,1.47960200458166,0.932,999,"Rateau","mntd","Asterales",0,"Ecrins NP"
"34",31,23.3665795806452,27.0565320142723,3.5432067284726,156,-1.04141607205003,0.156,999,"Rocher de la Selle","mntd","Asterales",0,"Ecrins NP"
"35",10,52.50592,51.0331197580581,10.7739057975507,537,0.136700679365209,0.537,999,"Rouies","mntd","Asterales",0,"Ecrins NP"
"36",13,32.6605934615385,44.3096467933318,8.50589103766279,93,-1.36952769324379,0.093,999,"Sirac","mntd","Asterales",0,"Ecrins NP"
"37",39,21.0016260769231,23.9369751233285,2.87006440882673,156,-1.02274674999553,0.156,999,"Summits","mntd","Asterales",0,"Ecrins NP"
"38",18,29.4274698888889,36.7905660699032,6.16723806723484,119,-1.19390497022206,0.119,999,"Under Ice","mntd","Asterales",0,"Ecrins NP"
"39",10,35.4883147,56.4976835314314,13.5622032087863,57,-1.54911178574736,0.057,999,"Barre des Ecrins","mntd","Poales",0,"Ecrins NP"
"40",1,NA,NA,NA,NA,NA,NA,999,"Brevoort","mntd","Poales",NA,"Ecrins NP"
"41",6,94.0187416666667,72.8750665161828,21.8690783291832,822.5,0.966829732475222,0.8225,999,"Burlan","mntd","Poales",0,"Ecrins NP"
"42",2,176.543151,132.66978652953,54.4269217043014,890,0.806096745813262,0.89,999,"Choisy","mntd","Poales",0,"Ecrins NP"
"44",6,60.8996243333333,73.0821474124124,21.7024367221003,313,-0.561343559484877,0.313,999,"La Meije","mntd","Poales",0,"Ecrins NP"
"45",18,31.1863521111111,43.4637288613057,8.46603455403831,79,-1.45019213798724,0.079,999,"Lauvitel","mntd","Poales",0,"Ecrins NP"
