"","summit","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","slice","metric"
"1","Barre des Ecrins",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"2","Brevoort",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"3","Burlan",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"4","Choisy",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"5","Ecrins NP",3,199.518293333333,199.518293333333,0,500.5,NA,0.5005,999,200,"mntd"
"6","La Meije",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"7","Lauvitel",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"8","Muraillette",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"9","Occidentale Ailefroide",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"10","Olan",1,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"11","Pelvoux",1,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"12","Persistent",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"13","Plat de la Selle",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"14","Rateau",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"15","Rocher de la Selle",1,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"16","Rouies",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"17","Sirac",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"18","Summits",1,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"19","Under Ice",0,NA,NA,NA,NA,NA,NA,999,200,"mntd"
"20","Barre des Ecrins",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"21","Brevoort",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"22","Burlan",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"23","Choisy",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"24","Ecrins NP",6,96.3833320000001,96.3833320000001,0,500.5,NA,0.5005,999,150,"mntd"
"25","La Meije",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"26","Lauvitel",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"27","Muraillette",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"28","Occidentale Ailefroide",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"29","Olan",1,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"30","Pelvoux",1,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"31","Persistent",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"32","Plat de la Selle",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"33","Rateau",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"34","Rocher de la Selle",1,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"35","Rouies",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"36","Sirac",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"37","Summits",1,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"38","Under Ice",0,NA,NA,NA,NA,NA,NA,999,150,"mntd"
"39","Barre des Ecrins",1,NA,NA,NA,NA,NA,NA,999,100,"mntd"
"40","Brevoort",1,NA,NA,NA,NA,NA,NA,999,100,"mntd"
"41","Burlan",1,NA,NA,NA,NA,NA,NA,999,100,"mntd"
"42","Choisy",2,34.891912,166.839601447448,154.33706916017,182.5,-0.854931936737203,0.1825,999,100,"mntd"
"43","Ecrins NP",38,40.2087457368422,40.2087457368422,0,500.5,NA,0.5005,999,100,"mntd"
"44","La Meije",2,34.891912,166.821846514515,156.41202293149,193,-0.843476940211313,0.193,999,100,"mntd"
"45","Lauvitel",2,37.202628,177.522740304304,157.609031405377,206.5,-0.890305022834605,0.2065,999,100,"mntd"
"46","Muraillette",2,34.8919120000001,165.511229071071,156.2374932481,218,-0.836030547825369,0.218,999,100,"mntd"
"47","Occidentale Ailefroide",1,NA,NA,NA,NA,NA,NA,999,100,"mntd"
