,PhyloSor,PhyloSor_turn,PhyloSor_PD,UniFrac,UniFrac_turn,UniFrac_PD,SES_PhyloSor,SES_PhyloSor_turn,SES_PhyloSor_PD,SES_UniFrac,SES_UniFrac_turn,SES_UniFrac_PD
Burlan-Rocher de la Selle,0.454876413,0.030367338,0.424509075,0.625312788,0.058944683,0.566368105,-0.314094298,-0.051662673,-0.260177544,-0.295539011,-0.033085713,-0.169936081
Burlan-Choisy,0.309459697,0.130148885,0.179310812,0.472652496,0.230321663,0.242330833,-1.620008784,-1.409944771,0.098190145,-1.677437859,-1.478190607,0.565777319
Burlan-Muraillette,0.252873875,0.113741573,0.139132302,0.403670122,0.204251284,0.199418839,-1.664100291,-0.56181995,-0.988633199,-1.714835547,-0.547355668,-0.697058886
Burlan-Rateau,0.387888999,0.104067718,0.283821281,0.558962568,0.188516911,0.370445656,-0.817375516,-0.253986918,-0.51142572,-0.809827345,-0.228991687,-0.285128142
Burlan-Lauvitel,0.321985116,0.065105377,0.256879738,0.487123662,0.122251523,0.364872139,-1.848136389,-0.388618258,-1.390578813,-1.914180785,-0.374185465,-0.936376579
Rocher de la Selle-Choisy,0.591618518,0.002392277,0.589226241,0.743417485,0.004773135,0.73864435,-0.780598601,-0.778339422,-0.256953536,-0.771725075,-0.80687981,0.270567493
Rocher de la Selle-Muraillette,0.336707778,0.050349727,0.286358052,0.503786667,0.095872309,0.407914358,0.54682328,-0.78433678,1.189674225,0.560765721,-0.790033252,1.234668118
Rocher de la Selle-Rateau,0.246146198,0.122914228,0.12323197,0.395051878,0.218920064,0.176131813,-0.405607481,-0.926144314,0.663655624,-0.388822676,-0.930679399,0.776720002
Rocher de la Selle-Lauvitel,0.235043512,0.061023404,0.174020108,0.380623856,0.115027442,0.265596414,0.710073029,-1.293307028,2.087335247,0.723059001,-1.328819695,2.16030986
Choisy-Muraillette,0.39939776,0.073509199,0.325888561,0.570813776,0.136951223,0.433862553,-2.688448702,-1.738200219,-0.229454486,-2.856980803,-1.875421633,0.729295642
Choisy-Rateau,0.50676142,0.031207044,0.475554375,0.672649848,0.060525274,0.612124574,-1.602296946,-1.151953925,-0.124977533,-1.634907557,-1.225614739,0.612031336
Choisy-Lauvitel,0.465335434,0.018731017,0.446604418,0.635124796,0.036773233,0.598351563,-1.979742167,-0.710336071,-1.274534102,-2.049407683,-0.735498116,-0.435436076
Muraillette-Rateau,0.343138213,0.210347493,0.13279072,0.510949968,0.347581987,0.163367981,0.455836668,0.031796983,0.434057938,0.47361448,0.061941141,0.347298924
Muraillette-Lauvitel,0.201568502,0.089494588,0.112073913,0.335508964,0.16428643,0.171222534,-1.190164816,-0.689765389,-0.444372988,-1.199747285,-0.686298722,-0.265579306
Rateau-Lauvitel,0.281192145,0.246511783,0.034680362,0.438953901,0.395522588,0.043431313,0.220560546,-0.303058839,1.019118837,0.241791692,-0.281912765,1.003757491
