,PhyloSor,PhyloSor_turn,PhyloSor_PD,UniFrac,UniFrac_turn,UniFrac_PD,SES_PhyloSor,SES_PhyloSor_turn,SES_PhyloSor_PD,SES_UniFrac,SES_UniFrac_turn,SES_UniFrac_PD
Persistent-Pelvoux,0.631561865,0.306492652,0.325069213,0.774180714,0.469183889,0.304996825,-0.869598173,7.759179941,-7.756971421,-0.863363227,6.596323281,-7.166065486
Persistent-Occidentale Ailefroide,0.467735293,0.027558827,0.440176466,0.637356471,0.053639414,0.583717057,-1.367804408,1.305332071,-1.864447608,-1.382476047,1.340184642,-2.092024469
Persistent-Brevoort,0.64700387,0.006884435,0.640119435,0.78567377,0.013674727,0.771999043,-2.536714106,-0.605419738,-1.658612206,-2.612601531,-0.629557368,-0.442797218
Persistent-Burlan,0.420287952,0.007090418,0.413197534,0.591834848,0.014080996,0.577753852,-2.022282286,-0.802739441,-1.467767369,-2.086281028,-0.82205985,-0.808795651
Persistent-Rocher de la Selle,0.163201791,0.140440394,0.022761397,0.280607874,0.24629151,0.034316364,1.137656735,1.0788383,-0.160075928,1.138958835,1.083427037,-0.222960562
Persistent-Choisy,0.575463461,0.00548339,0.569980071,0.730532285,0.010906973,0.719625312,-1.94934666,-0.582802598,-1.467843955,-1.993923704,-0.600582606,-0.63547522
Persistent-Muraillette,0.277274237,0,0.277274237,0.434165551,0,0.434165551,-0.708169652,NA,-0.708169652,-0.697588412,NA,-0.697588412
Persistent-Rateau,0.262280268,0.166938814,0.095341454,0.41556582,0.286114082,0.129451738,1.360250074,3.175142796,-1.79448345,1.346872286,3.033525181,-2.116908982
Persistent-Lauvitel,0.162608237,0.003540809,0.159067428,0.279730061,0.007056631,0.27267343,-0.249888864,-0.270115745,-0.167537759,-0.233551975,-0.270114145,-0.122559445
Under Ice-Plat de la Selle,0.448095892,0.094097065,0.353998827,0.618875993,0.172008623,0.446867371,0.20431208,-0.558514927,0.728279862,0.22541915,-0.546311552,0.735976267
Under Ice-Barre des Ecrins,0.353047196,0.038342445,0.314704751,0.521854961,0.073853178,0.448001783,0.180853733,-1.336939957,1.282980997,0.20463796,-1.38336058,1.567182505
