input_name,accepted_name,name_class,ncbi_id
Biscutella laevigata,Biscutella laevigata,scientific name,264427
Bistorta officinalis,Bistorta officinalis,scientific name,125587
Bitteria digitata,,,
Blackstonia perfoliata,Blackstonia perfoliata,scientific name,82736
Blechnum spicant,Blechnum spicant,scientific name,114457
Blysmus compressus,Blysmus compressus,scientific name,130937
Bombycilaena erecta,Bombycilaena erecta,scientific name,702209
Bothriochloa ischaemum,Bothriochloa ischaemum,scientific name,29660
Brachypodium pinnatum,Brachypodium pinnatum,scientific name,29663
Brachypodium rupestre,Brachypodium rupestre,scientific name,52143
Brachypodium sylvaticum,Brachypodium sylvaticum,scientific name,29664
Brassica repanda,Brassica repanda,scientific name,308267
Briza media,Briza media,scientific name,281077
Bromus benekenii,Bromopsis benekenii,synonym,1155254
Bromus erectus,Bromus erectus,scientific name,29666
Bromus hordeaceus,Bromus hordeaceus,scientific name,52147
Bromus inermis,Bromus inermis,scientific name,15371
Bromus squarrosus,Bromus squarrosus,scientific name,55762
Bromus sterilis,Bromus sterilis,scientific name,55777
Bromus tectorum,Bromus tectorum,scientific name,29667
Bryonia cretica,Bryonia cretica,scientific name,61884
Buddleja davidii,Buddleja davidii,scientific name,28540
Buglossoides arvensis,Buglossoides arvensis,scientific name,181181
Buglossoides incrassata,Buglossoides incrassata,scientific name,475886
Bunias orientalis,Bunias orientalis,scientific name,358661
Bunium bulbocastanum,Bunium bulbocastanum,scientific name,377473
Buphthalmum salicifolium,Buphthalmum salicifolium,scientific name,56523
Bupleurum falcatum,Bupleurum falcatum,scientific name,46367
Bupleurum petraeum,,,
Bupleurum ranunculoides,Bupleurum ranunculoides,scientific name,52452
Bupleurum rotundifolium,Bupleurum rotundifolium,scientific name,90446
Buxus sempervirens,Buxus sempervirens,scientific name,4002
Calamagrostis epigejos,Calamagrostis epigeios,synonym,29668
Calamagrostis pseudophragmites,Calamagrostis pseudophragmites,scientific name,535810
Calamagrostis schraderiana,,,
Calamagrostis varia,Calamagrostis varia,scientific name,1000416
Calamagrostis villosa,Calamagrostis villosa,scientific name,258806
Calathiana bavarica,,,
Calathiana orbicularis,,,
Calathiana verna,,,
Calluna vulgaris,Calluna vulgaris,scientific name,13385
Caltha palustris,Caltha palustris,scientific name,3449
Calystegia sepium,Calystegia sepium,scientific name,47519
Camelina microcarpa,Camelina microcarpa,scientific name,71324
Campanula alpestris,Campanula alpestris,scientific name,440356
Campanula glomerata,Campanula glomerata,scientific name,82281
Campanula latifolia,Campanula latifolia,scientific name,239410
Campanula patula,Campanula patula,scientific name,440359
Campanula persicifolia,Campanula persicifolia,scientific name,239416
Campanula rapunculoides,Campanula rapunculoides,scientific name,209536
Campanula spicata,Campanula spicata,scientific name,361401
Campanula trachelium,Campanula trachelium,scientific name,85178
Cardamine alpina,Cardamine alpina,scientific name,352360
Cardamine heptaphylla,Cardamine heptaphylla,scientific name,558121
Cardamine hirsuta,Cardamine hirsuta,scientific name,50463
Cardamine impatiens,Cardamine impatiens,scientific name,82286
Cardamine pentaphyllos,Cardamine pentaphyllos,scientific name,82288
Carduus acanthoides,Carduus acanthoides,scientific name,416131
Carduus carlinifolius,,,
Carduus defloratus,Carduus defloratus,scientific name,313513
Carduus nutans,Carduus nutans,scientific name,92906
Carduus personata,,,
Carex acutiformis,Carex acutiformis,scientific name,140783
Carex alba,Carex alba,scientific name,241195
Carex capillaris,Carex capillaris,scientific name,241203
Carex caryophyllea,Carex caryophyllea,scientific name,502401
Carex cespitosa,Carex cespitosa,scientific name,910631
Carex chillanensis,,,
Carex davalliana,Carex davalliana,scientific name,240674
Carex echinata,Carex echinata,scientific name,234467
Carex flacca,Carex flacca,scientific name,140814
Carex flava,Carex flava,scientific name,140816
Carex hirta,Carex hirta,scientific name,15193
Carex hordeistichos,,,
Carex hostiana,Carex hostiana,scientific name,13399
Carex humilis,Carex humilis,scientific name,140822
Carex liparocarpos,Carex liparocarpos,scientific name,241215
Carex macloviana,Carex macloviana,scientific name,240686
Carex montana,Carex montana,scientific name,140837
Carex muricata,Carex muricata,scientific name,140838
Carex pallescens,Carex pallescens,scientific name,140842
Carex panicea,Carex panicea,scientific name,241224
Carex planostachys,Carex planostachys,scientific name,140849
Carex rostrata,Carex rostrata,scientific name,241230
Carex spicata,Carex spicata,scientific name,240682
Carex sylvatica,Carex sylvatica,scientific name,241234
Carex vesicaria,Carex vesicaria,scientific name,241236
Carex viridula,Carex viridula,scientific name,241237
Carex vulpina,Carex vulpina,scientific name,240678
Carlina acanthifolia,Carlina acanthifolia,scientific name,143181
Carlina acaulis,Carlina acaulis,scientific name,538471
Carlina biebersteinii,Carlina biebersteinii,scientific name,538476
Carlina vulgaris,Carlina vulgaris,scientific name,41500
Carum carvi,Carum carvi,scientific name,48032
Catananche caerulea,Catananche caerulea,scientific name,114285
Caucalis platycarpos,Caucalis platycarpos,scientific name,52456
Cedrus atlantica,Cedrus atlantica,scientific name,123597
Centaurea jacea,Centaurea jacea,scientific name,351340
Centaurea scabiosa,Centaurea scabiosa,scientific name,145517
Centaurea solstitialis,Centaurea solstitialis,scientific name,347529
Centaurea stoebe,Centaurea stoebe,scientific name,72152
Centaurium erythraea,Centaurium erythraea,scientific name,172057
Centranthus angustifolius,Centranthus angustifolius,scientific name,245818
Centranthus calcitrapae,Centranthus calcitrapae,scientific name,183940
Cephalanthera damasonium,Cephalanthera damasonium,scientific name,78719
Cephalanthera longifolia,Cephalanthera longifolia,scientific name,210729
Cephalaria alpina,,,
Cerastium fontanum,Cerastium fontanum,scientific name,230722
Cerastium pumilum,Cerastium pumilum,scientific name,271565
Cerastium semidecandrum,Cerastium semidecandrum,scientific name,271564
Cerasus avium,Prunus avium,synonym,42229
Cerinthe glabra,,,
Cerinthe minor,Cerinthe minor,scientific name,131385
Chaenorhinum rubrifolium,,,
Chaenorrhinum minus,Chaenorhinum minus,synonym,105913
Chaerophyllum aureum,Chaerophyllum aureum,scientific name,109094
Chaerophyllum temulum,Chaerophyllum temulum,scientific name,105274
Chaerophyllum villarsii,Chaerophyllum villarsii,scientific name,109111
Chamaedrys montana,,,
Chamaenerion montanum,,,
Chamorchis alpina,Chamorchis alpina,scientific name,413032
Chara Linnaeus,,,
Chelidonium majus,Chelidonium majus,scientific name,71251
Chenopodium album,Chenopodium album,scientific name,3559
Chondrilla juncea,Chondrilla juncea,scientific name,75963
Chrysosplenium alternifolium,Chrysosplenium alternifolium,scientific name,80774
Cichorium intybus,Cichorium intybus,scientific name,13427
Cirsium acaule,Cirsium acaule,scientific name,192477
Cirsium arvense,Cirsium arvense,scientific name,41550
Cirsium eriophorum,Cirsium eriophorum,scientific name,688286
Cirsium monspessulanum,Cirsium monspessulanum,scientific name,196729
Cirsium palustre,Cirsium palustre,scientific name,143190
Cirsium vulgare,Cirsium vulgare,scientific name,92907
Cladium mariscus,Cladium mariscus,scientific name,241641
Clematis vitalba,Clematis vitalba,scientific name,37490
Clinopodium acinos,Clinopodium acinos,scientific name,306377
Clinopodium alpinum,Clinopodium alpinum,scientific name,224743
Clinopodium grandiflorum,Clinopodium grandiflorum,scientific name,887129
Clinopodium nepeta,Clinopodium nepeta,scientific name,306383
Clinopodium vulgare,Clinopodium vulgare,scientific name,204222
Coincya monensis,Coincya monensis,scientific name,55965
Coincya richeri,,,
Colchicum alpinum,Colchicum alpinum,scientific name,1094039
Colchicum autumnale,Colchicum autumnale,scientific name,45005
Colutea arborescens,Colutea arborescens,scientific name,47649
Consolida regalis,Consolida regalis,scientific name,984867
Convallaria majalis,Convallaria majalis,scientific name,32189
Convolvulus arvensis,Convolvulus arvensis,scientific name,4123
Conyza canadensis,Conyza canadensis,scientific name,72917
Corallorhiza trifida,Corallorhiza trifida,scientific name,451881
Coristospermum ferulaceum,,,
Cormus domestica,Cormus domestica,scientific name,36606
Coronilla minima,Coronilla minima,scientific name,181252
Coronilla vaginalis,Coronilla vaginalis,scientific name,390707
Corydalis intermedia,Corydalis intermedia,scientific name,54425
Corydalis solida,Corydalis solida,scientific name,38914
Corylus avellana,Corylus avellana,scientific name,13451
Cotoneaster tomentosus,Cotoneaster tomentosus,scientific name,1143230
Crataegus laevigata,Crataegus laevigata,scientific name,298643
Crataegus monogyna,Crataegus monogyna,scientific name,140997
Crepis aurea,Crepis aurea,scientific name,212669
Crepis biennis,Crepis biennis,scientific name,122532
