input_name,accepted_name,name_class,ncbi_id
Achillea millefolium,Achillea millefolium,scientific name,13329
Acinos alpinus,Clinopodium alpinum,synonym,224743
Agrestis alpina,,,
Agrestis rupestris,,,
Agrostis agrostiflora,,,
Agrostis capillaris,Agrostis capillaris,scientific name,204232
Alchemilla alpina,Alchemilla alpina,scientific name,57943
Alchemilla baltica,,,
Alchemilla fissa,Alchemilla fissa,scientific name,478309
Alchemilla flabellata,Alchemilla flabellata,scientific name,478310
Alchemilla glabra,Alchemilla glabra,scientific name,1155248
Alchemilla glaucescens,Alchemilla glaucescens,scientific name,667203
Alchemilla pentaphyllea,Alchemilla pentaphyllea,scientific name,478333
Alchemilla transiens,Alchemilla transiens,scientific name,478348
Alchemilla xanthochlora,Alchemilla xanthochlora,scientific name,1155249
Alopecurus magellanicus,Alopecurus magellanicus,scientific name,391978
Alsinanthus biflorus,,,
Androsace obtusifolia,Androsace obtusifolia,scientific name,229450
Androsace vandellii,Androsace vandellii,scientific name,229460
Androsace vitaliana,Androsace vitaliana,scientific name,439397
Anemonoides baldensis,,,
Antennaria carpatica,Antennaria carpatica,scientific name,49050
Antennaria dioica,Antennaria dioica,scientific name,49054
Anthoxanthum odoratum,Anthoxanthum odoratum,scientific name,29661
Arabis alpina,Arabis alpina,scientific name,50452
Aretia pubescens,,,
Armeria alpina,Armeria alpina,scientific name,71836
Artemisia genipi,Artemisia genipi,scientific name,223866
Artemisia umbelliformis,Artemisia umbelliformis,scientific name,72355
Asplenium adiantum-nigrum,Asplenium adiantum-nigrum,scientific name,169373
Asplenium ramosum,,,
Asplenium septentrionale,Asplenium septentrionale,scientific name,169380
Asplenium trichomanes,Asplenium trichomanes,scientific name,78464
Aster alpinus,Aster alpinus,scientific name,669631
Astragalus alpinus,Astragalus alpinus,scientific name,20403
Astragalus australis,Astragalus australis,scientific name,90161
Astrantia major,Astrantia major,scientific name,52448
Athamanta cretensis,Athamanta cretensis,scientific name,109084
Atocion rupestre,Atocion rupestre,scientific name,39910
Bartsia alpina,Bartsia alpina,scientific name,46052
Berardia subacaulis,Berardia subacaulis,scientific name,143176
Bistorta vivipara,Bistorta vivipara,scientific name,371026
Botrychium lunaria,Botrychium lunaria,scientific name,37231
Bupleurum stellatum,Bupleurum stellatum,scientific name,199753
Cacalia alliariae,,,
Cacalia alpina,,,
Cacalia leucophylla,,,
Calathiana brachyphylla,,,
Callianthemum coriandrifolium,Callianthemum coriandrifolium,scientific name,253619
Campanula cenisia,Campanula cenisia,scientific name,361375
Campanula linifolia,,,
Campanula rhomboidalis,Campanula rhomboidalis,scientific name,649663
Campanula rotundifolia,Campanula rotundifolia,scientific name,239422
Capsella bursa-pastoris,Capsella bursa-pastoris,scientific name,3719
Cardamine bellidifolia,Cardamine bellidifolia,scientific name,109591
Cardamine resedifolia,Cardamine resedifolia,scientific name,352370
Carduus medius,,,
Carex atrata,Carex atrata,scientific name,241196
Carex bicolor,Carex bicolor,scientific name,241199
Carex digitata,Carex digitata,scientific name,140805
Carex ferruginea,Carex ferruginea,scientific name,241208
Carex foetida,Carex foetida,scientific name,240675
Carex frigida,Carex frigida,scientific name,241209
Carex rupestris,Carex rupestris,scientific name,100286
Cassida alpina,,,
Centaurea uniflora,Centaurea uniflora,scientific name,1000417
Cerastium alpinum,Cerastium alpinum,scientific name,271556
Cerastium arvense,Cerastium arvense,scientific name,271558
Cerastium cerastoides,Cerastium cerastoides,scientific name,271580
Cerastium latifolium,Cerastium latifolium,scientific name,271544
Cerastium pedunculatum,Cerastium pedunculatum,scientific name,271594
Cerastium uniflorum,Cerastium uniflorum,scientific name,271547
Chamerion dodonaei,,,
Chenopodium bonus-henricus,Blitum bonus-henricus,synonym,122298
Cirsium spinosissimum,Cirsium spinosissimum,scientific name,196741
Cotoneaster integerrimus,Cotoneaster integerrimus,scientific name,690321
Crepis pygmaea,Crepis pygmaea,scientific name,268348
Cryptogramma crispa,Cryptogramma crispa,scientific name,306132
Cystopteris fragilis,Cystopteris fragilis,scientific name,32112
Daphne alpina,,,
Deschampsia flexuosa,Avenella flexuosa,synonym,29672
Doronicum grandiflorum,Doronicum grandiflorum,scientific name,118763
Draba aizoides,Draba aizoides,scientific name,87302
Draba dubia,Draba dubia,scientific name,87303
Draba fladnizensis,Draba fladnizensis,scientific name,95392
Draba siliquosa,Draba siliquosa,scientific name,311965
Dryas octopetala,Dryas octopetala,scientific name,57948
Dryopteris filix-mas,Dryopteris filix-mas,scientific name,3289
Empetrum nigrum,Empetrum nigrum,scientific name,191066
Epilobium alsinifolium,Epilobium alsinifolium,scientific name,669676
Epilobium anagallidifolium,Epilobium anagallidifolium,scientific name,669677
Erigeron acer,Erigeron acris,misspelling,91246
Erigeron gaudinii,,,
Erigeron glabratus,,,
Erigeron uniflorus,Erigeron uniflorus,scientific name,72932
Eritrichium nanum,Eritrichium nanum,scientific name,184082
Euphorbia cyparissias,Euphorbia cyparissias,scientific name,38844
Euphrasia alpina,Euphrasia alpina,scientific name,474997
Euphrasia drosocalyx,,,
Euphrasia minima,Euphrasia minima,scientific name,475014
Euphrasia salisburgensis,Euphrasia salisburgensis,scientific name,475020
Euphrasia stricta,Euphrasia stricta,scientific name,374709
Festuca acuminata,,,
Festuca chalcophaea,,,
Festuca halleri,Festuca halleri,scientific name,464054
Festuca laevigata,Festuca laevigata,scientific name,464060
Festuca melanopsis,Festuca melanopsis,scientific name,464063
Festuca quadriflora,Festuca quadriflora,scientific name,145851
Festuca rubra,Festuca rubra,scientific name,52153
Galium pseudohelveticum,,,
Galium pumilum,Galium pumilum,scientific name,715709
Gamochaeta norvegica,,,
Gentiana acaulis,Gentiana acaulis,scientific name,49933
Gentiana nivalis,Gentiana nivalis,scientific name,38852
Gentiana verna,Gentiana verna,scientific name,38855
Gentianella campestris,Gentianella campestris,scientific name,49940
Geranium rivulare,,,
Geranium sylvaticum,Geranium sylvaticum,scientific name,379956
Geum reptans,Geum reptans,scientific name,148896
Geum urbanum,Geum urbanum,scientific name,57919
Globularia cordifolia,Globularia cordifolia,scientific name,69063
Gnaphalium supinum,Gnaphalium supinum,scientific name,261773
Gymnocarpium robertianum,Gymnocarpium robertianum,scientific name,983334
Gypsophila repens,Gypsophila repens,scientific name,325494
Helictotrichon sedenense,Helictotrichon sedenense,scientific name,100805
Helictotrichon versicolor,Helictotrichon versicolor,scientific name,87474
Herniaria alpina,,,
Hieracium alpinum,Hieracium alpinum,scientific name,261240
Hieracium antarcticum,Hieracium antarcticum,scientific name,268044
Hieracium piliferum,Hieracium piliferum,scientific name,269352
Hieracium pilosella,Hieracium pilosella,scientific name,221204
Hieracium villosum,Hieracium villosum,scientific name,269347
Homogyne alpina,Homogyne alpina,scientific name,257033
Hornungia alpina,Hornungia alpina,scientific name,362598
Huperzia selago,Huperzia selago,scientific name,70001
Hypericum richeri,Hypericum richeri,scientific name,673934
Imperatoria ostruthium,Imperatoria ostruthium,scientific name,52477
Juncus trifidus,Juncus trifidus,scientific name,223681
Juncus triglumis,Juncus triglumis,scientific name,223682
Juniperus sabina,Juniperus sabina,scientific name,224740
Juniperus sibirica,Juniperus communis var. saxatilis,synonym,244309
Kobresia curvula,,,
Kobresia myosuroides,Kobresia myosuroides,scientific name,140873
Leontodon autumnalis,Scorzoneroides autumnalis,synonym,212686
Leontodon pyrenaicus,Scorzoneroides pyrenaica,synonym,379629
Leontopodium brachyactis,Leontopodium brachyactis,scientific name,487752
Leucanthemopsis alpina,Leucanthemopsis alpina,scientific name,133253
Linaria alpina,Linaria alpina,scientific name,299780
Lloydia serotina,Lloydia serotina,scientific name,59080
Lotus alpinus,Lotus alpinus,scientific name,347376
Luzula alpinopilosa,Luzula alpinopilosa,scientific name,630085
Luzula lutea,Luzula lutea,scientific name,630107
Luzula maxima,,,
Luzula nutans,,,
Luzula spicata,Luzula spicata,scientific name,223703
Micranthes stellaris,Micranthes stellaris,scientific name,90614
Minuartia laricifolia,Minuartia laricifolia,scientific name,258340
Minuartia oreina,,,
Minuartia sedoides,,,
Minuartia verna,Minuartia verna,scientific name,325504
Murbeckiella pinnatifida,,,
Myosotis alpestris,Myosotis alpestris,scientific name,192337
Myosotis decumbens,Myosotis decumbens,scientific name,192347
Nardus stricta,Nardus stricta,scientific name,29687
Noccaea rotundifolia,Noccaea rotundifolia,scientific name,1230357
Oxyria digyna,Oxyria digyna,scientific name,284366
Oxytropis campestris,Oxytropis campestris,scientific name,20803
Oxytropis helvetica,,,
Papaver aurantiacum,,,
Parageum montanum,,,
Paronychia polygonifolia,,,
Pedicularis kerneri,Pedicularis kerneri,scientific name,326829
Pedicularis rostratospicata,,,
Pedicularis tuberosa,Pedicularis tuberosa,scientific name,326853
Pedicularis verticillata,Pedicularis verticillata,scientific name,65042
Phleum alpinum,Phleum alpinum,scientific name,669775
Phyteuma michelii,,,
Pilosella peleteriana,Pilosella peleteriana,scientific name,1155350
Pinguicula vulgaris,Pinguicula vulgaris,scientific name,204362
Plantago neumannii,,,
Poa alpina,Poa alpina,scientific name,87701
Poa annua,Poa annua,scientific name,93036
Poa cenisia,Poa cenisia,scientific name,269372
Poa laxa,Poa laxa,scientific name,269370
Poa supina,Poa supina,scientific name,289064
Polygala alpina,,,
Polygonum aviculare,Polygonum aviculare,scientific name,137693
Polystichum lonchitis,Polystichum lonchitis,scientific name,207865
Potentilla aurea,Potentilla aurea,scientific name,581249
Potentilla crantzii,Potentilla crantzii,scientific name,667241
Potentilla frigida,Potentilla frigida,scientific name,667251
Potentilla grandiflora,Potentilla grandiflora,scientific name,654638
Primula hirsuta,Primula hirsuta,scientific name,184183
Primula pedemontana,Primula pedemontana,scientific name,184185
Ptarmica nana,,,
Pulsatilla vernalis,Pulsatilla vernalis,scientific name,445233
Ranunculus glacialis,Ranunculus glacialis,scientific name,235900
Ranunculus grenierianus,,,
Ranunculus montanus,Ranunculus montanus,scientific name,286941
Rapunculus hemisphaericus,,,
Rapunculus orbicularis,,,
Rhododendron ferrugineum,Rhododendron ferrugineum,scientific name,49622
Rubus idaeus,Rubus idaeus,scientific name,32247
Rubus saxatilis,Rubus saxatilis,scientific name,75091
Rumex scutatus,Rumex scutatus,scientific name,242528
Sagina glabra,,,
Sagina saginoides,Sagina saginoides,scientific name,669803
Salix appendiculata,,,
Salix breviserrata,,,
Salix glaucosericea,,,
Salix hastata,Salix hastata,scientific name,75710
Salix herbacea,Salix herbacea,scientific name,77064
Salix laggeri,,,
Salix reticulata,Salix reticulata,scientific name,75717
Salix retusa,Salix retusa,scientific name,77066
Saussurea alpina,Saussurea alpina,scientific name,143208
Saxifraga aizoides,Saxifraga aizoides,scientific name,102714
Saxifraga androsacea,Saxifraga androsacea,scientific name,134767
Saxifraga aspera,,,
Saxifraga biflora,Saxifraga biflora,scientific name,192742
Saxifraga bryoides,,,
Saxifraga exarata,Saxifraga exarata,scientific name,83410
Saxifraga oppositifolia,Saxifraga oppositifolia,scientific name,29771
Saxifraga paniculata,Saxifraga paniculata,scientific name,102734
Saxifraga retusa,Saxifraga retusa,scientific name,85263
Sedella atrata,,,
Sedum alpestre,,,
Sedum anacampseros,Hylotelephium anacampseros,synonym,202966
Sempervivum arachnoideum,,,
Sempervivum montanum,,,
Senecio doronicum,Senecio doronicum,scientific name,462523
Senecio incanus,Jacobaea incana,synonym,189239
Sesleria caerulea,Sesleria caerulea,scientific name,58931
Sibbaldia procumbens,Sibbaldia procumbens,scientific name,57947
Silene acaulis,Silene acaulis,scientific name,39862
Silene vulgaris,Silene vulgaris,scientific name,42043
Soldanella alpina,Soldanella alpina,scientific name,66308
Solidago virgaurea,Solidago virgaurea,scientific name,462879
Taraxacum alpinum,Taraxacum alpinum,scientific name,268103
Taraxacum dissectum,,,
Taraxacum montanum,,,
Taraxacum officinale,Taraxacum officinale,scientific name,50225
Thymus praecox,Thymus praecox,scientific name,347388
Thymus serpyllum,Thymus serpyllum,scientific name,204219
Tolpis staticifolia,Chlorocrepis staticifolia,synonym,122554
Trifolium alpinum,Trifolium alpinum,scientific name,97008
Trifolium badium,Trifolium badium,scientific name,97012
Trifolium pallescens,Trifolium pallescens,scientific name,74526
Trifolium pratense,Trifolium pratense,scientific name,57577
Trifolium repens,Trifolium repens,scientific name,3899
Trifolium saxatile,,,
Trifolium thalii,Trifolium thalii,scientific name,74531
Trimorpha alpina,,,
Trisetaria distichophylla,,,
Trisetum flavescens,Trisetum flavescens,scientific name,87477
Trisetum spicatum,Trisetum spicatum,scientific name,100813
Urtica dioica,Urtica dioica,scientific name,3501
Vaccinium myrtillus,Vaccinium myrtillus,scientific name,180763
Vaccinium uliginosum,Vaccinium uliginosum,scientific name,190548
Valeriana montana,Valeriana montana,scientific name,243118
Veronica allionii,Veronica allionii,scientific name,195123
Veronica alpina,Veronica alpina,scientific name,165325
Veronica aphylla,Veronica aphylla,scientific name,201447
Veronica bellidioides,Veronica bellidioides,scientific name,165329
Veronica fruticans,Veronica fruticans,scientific name,207273
Veronica serpyllifolia,Veronica serpyllifolia,scientific name,164258
Viola calcarata,Viola calcarata,scientific name,97420
Viola rupestris,Viola rupestris,scientific name,502521
Zz Lichens,,,
Abies alba,Abies alba,scientific name,45372
Acer campestre,Acer campestre,scientific name,66205
Acer monspessulanum,Acer monspessulanum,scientific name,168566
Acer opalus,Acer opalus,scientific name,168567
Acer platanoides,Acer platanoides,scientific name,4025
Acer pseudoplatanus,Acer pseudoplatanus,scientific name,4026
Achillea distans,Achillea distans,scientific name,282733
Achillea nobilis,Achillea nobilis,scientific name,282753
Achillea roseo,,,
Achnatherum calamagrostis,Achnatherum calamagrostis,scientific name,487912
Aconitum anthora,Aconitum anthora,scientific name,112588
Aconitum laeve,,,
Aconitum variegatum,Aconitum variegatum,scientific name,112594
Actaea spicata,Actaea spicata,scientific name,64025
Adenostyles alliariae,,,
Adenostyles alpina,Adenostyles alpina,scientific name,462377
Adenostyles leucophylla,Adenostyles leucophylla,scientific name,217500
Adonis aestivalis,Adonis aestivalis,scientific name,113211
Adoxa moschatellina,Adoxa moschatellina,scientific name,4208
Aegopodium podagraria,Aegopodium podagraria,scientific name,40902
Aethionema saxatile,Aethionema saxatile,scientific name,202778
Aethusa cynapium,Aethusa cynapium,scientific name,40954
Agrimonia eupatoria,Agrimonia eupatoria,scientific name,57912
Agrostis stolonifera,Agrostis stolonifera,scientific name,63632
Ajuga chamaepitys,Ajuga chamaepitys,scientific name,49984
Ajuga genevensis,,,
Ajuga pyramidalis,,,
Ajuga reptans,Ajuga reptans,scientific name,38596
Alchemilla conjuncta,,,
Alchemilla connivens,,,
Alchemilla gracilis,,,
Alchemilla incisa,Alchemilla incisa,scientific name,478321
Alchemilla monticola,,,
Alchemilla plicata,Alchemilla plicata,scientific name,478334
Alchemilla saxatilis,Alchemilla saxatilis,scientific name,478338
Alchemilla subcrenata,,,
Alisma plantago-aquatica,Alisma plantago-aquatica,scientific name,15000
Alliaria petiolata,Alliaria petiolata,scientific name,126270
Allium lineare,Allium lineare,scientific name,165631
Allium oleraceum,Allium oleraceum,scientific name,467612
Allium schoenoprasum,Allium schoenoprasum,scientific name,74900
Allium scorodoprasum,Allium scorodoprasum,scientific name,166823
Allium senescens,Allium senescens,scientific name,70766
Allium tauricum,,,
Allium ursinum,Allium ursinum,scientific name,4684
Allium victorialis,Allium victorialis,scientific name,88845
Alnus glutinosa,Alnus glutinosa,scientific name,3517
Alnus incana,Alnus incana,scientific name,3516
Alnus viridis,Alnus alnobetula,synonym,38784
Alopecurus myosuroides,Alopecurus myosuroides,scientific name,81473
Alyssoides utriculata,Alyssoides utriculata,scientific name,457762
Alyssum alpestre,Alyssum alpestre,scientific name,226019
Alyssum alyssoides,Alyssum alyssoides,scientific name,169068
Amelanchier ovalis,Amelanchier ovalis,scientific name,1000415
Amygdalus communis,Prunus dulcis,synonym,3755
Androrchis pallens,,,
Androsace carnea,,,
Androsace helvetica,Androsace helvetica,scientific name,199610
Androsace maxima,Androsace maxima,scientific name,229449
Anemone narcissiflora,Anemone narcissiflora,scientific name,168002
Anemonoides ranunculoides,,,
Angelica sylvestris,Angelica sylvestris,scientific name,54703
Anthericum liliago,Anthericum liliago,scientific name,51434
Anthriscus sylvestris,Anthriscus sylvestris,scientific name,48027
Anthyllis montana,Anthyllis montana,scientific name,168124
Anthyllis vulneraria,Anthyllis vulneraria,scientific name,118891
Antirrhinum majus,Antirrhinum majus,scientific name,4151
Aquilegia vulgaris,Aquilegia vulgaris,scientific name,3451
Arabidopsis thaliana,Arabidopsis thaliana,scientific name,3702
Arabis allionii,,,
Arabis auriculata,Arabis auriculata,scientific name,571350
Arabis caerulea,Arabis caerulea,scientific name,586519
Arabis ciliata,Arabis ciliata,scientific name,571353
Arabis collina,Arabis collina,scientific name,571354
Arabis hirsuta,Arabis hirsuta,scientific name,78191
Arabis nova,Arabis nova,scientific name,571360
Arabis sagittata,Arabis sagittata,scientific name,571369
Arabis soyeri,Arabis soyeri,scientific name,208901
Arctium minus,Arctium minus,scientific name,143172
Arctium nemorosum,,,
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,scientific name,84009
Arenaria gothica,,,
Arenaria serpyllifolia,Arenaria serpyllifolia,scientific name,254029
Armeria arenaria,Armeria arenaria,scientific name,218559
Arnica montana,Arnica montana,scientific name,436207
Arrhenatherum elatius,Arrhenatherum elatius,scientific name,52139
Arrhenatherum parlatorei,,,
Artemisia absinthium,Artemisia absinthium,scientific name,72332
Artemisia alba,Artemisia alba,scientific name,1227615
Artemisia atrata,Artemisia atrata,scientific name,669120
Artemisia campestris,Artemisia campestris,scientific name,72337
Artemisia vulgaris,Artemisia vulgaris,scientific name,4220
Arum maculatum,Arum maculatum,scientific name,4458
Aruncus dioicus,Aruncus dioicus,scientific name,32220
Asarum europaeum,Asarum europaeum,scientific name,49456
Asparagus tenuifolius,,,
Asperugo procumbens,Asperugo procumbens,scientific name,581244
Asperula cynanchica,Asperula cynanchica,scientific name,35891
Asphodelus albus,Asphodelus albus,scientific name,207931
Asphodelus macrocarpus,,,
Asplenium ceterach,Asplenium ceterach,scientific name,147945
Asplenium exiguum,Asplenium exiguum,scientific name,745010
Asplenium ruta-muraria,Asplenium ruta-muraria,scientific name,169379
Asplenium viride,Asplenium viride,scientific name,147940
Astragalus austriacus,Astragalus austriacus,scientific name,339474
Astragalus cicer,Astragalus cicer,scientific name,20410
Astragalus danicus,Astragalus danicus,scientific name,512688
Astragalus depressus,Astragalus depressus,scientific name,339484
Astragalus glycyphyllos,Astragalus glycyphyllos,scientific name,83862
Astragalus monspessulanus,Astragalus monspessulanus,scientific name,287756
Astragalus onobrychis,Astragalus onobrychis,scientific name,1091133
Astragalus penduliflorus,Astragalus penduliflorus,scientific name,158323
Astragalus sempervirens,,,
Astragalus stella,,,
Astragalus vesicarius,Astragalus vesicarius,scientific name,713681
Athyrium alpestre,,,
Athyrium filix-femina,Athyrium filix-femina,scientific name,32110
Atragene alpina,,,
Atropa belladonna,Atropa belladonna,scientific name,33113
Barbarea intermedia,Barbarea intermedia,scientific name,264400
Barbarea vulgaris,Barbarea vulgaris,scientific name,50459
Bellardiochloa variegata,Bellardiochloa variegata,scientific name,368336
Bellidiastrum michelii,Aster bellidiastrum,synonym,191233
Berberis vulgaris,Berberis vulgaris,scientific name,258209
Betonica officinalis,Betonica officinalis,scientific name,53173
Betula pendula,Betula pendula,scientific name,3505
Betula pubescens,Betula pubescens,scientific name,38787
