"","taxized"
"1001","Pinguicula alpina"
"1002","Pinus mugo"
"1003","Pinus nigra"
"1004","Pinus sylvestris"
"1005","Pisum heterophyllum"
"1006","Plantago atrata"
"1007","Plantago holosteum"
"1008","Plantago lanceolata"
"1009","Plantago major"
"1010","Plantago maritima"
"1011","Plantago media"
"1012","Plantago sempervirens"
"1013","Platanthera chlorantha"
"1014","Pleisolirion liliastrum"
"1015","Pleurospermum austriacum"
"1016","Poa badensis"
"1017","Poa bulbosa"
"1018","Poa chaixii"
"1019","Poa glauca"
"1020","Poa nemoralis"
"1021","Poa perconcinna"
"1022","Poa pratensis"
"1023","Poa trivialis"
"1024","Polichia galeobdolon"
"1025","Polycnemum majus"
"1026","Polygala alpestris"
"1027","Polygala amarella"
"1028","Polygala calcarea"
"1029","Polygala chamaebuxus"
"1030","Polygala comosa"
"1031","Polygala vulgaris"
"1032","Polygonatum odoratum"
"1033","Polygonatum verticillatum"
"1034","Polygonum alpinum"
"1035","Polygonum viviparum"
"1036","Polypodium interjectum"
"1037","Polypodium vulgare"
"1038","Polystichum aculeatum"
"1039","Populus alba"
"1040","Populus nigra"
"1041","Populus tremula"
"1042","Porrum sphaerocephaluon"
"1043","Potamogeton alpinus"
"1044","Potentilla argentea"
"1045","Potentilla caulescens"
"1046","Potentilla chrysantha"
"1047","Potentilla cinerea"
"1048","Potentilla erecta"
"1049","Potentilla hirta"
"1050","Potentilla inclinata"
"1051","Potentilla neumanniana"
"1052","Potentilla nivalis"
"1053","Potentilla reptans"
"1054","Potentilla rupestris"
"1055","Prenanthes purpurea"
"1056","Primula elatior"
"1057","Primula farinosa"
"1058","Primula latifolia"
"1059","Primula veris"
"1060","Primula vulgaris"
"1061","Prunella grandiflora"
"1062","Prunella laciniata"
"1063","Prunella vulgaris"
"1064","Prunus domestica"
"1065","Prunus mahaleb"
"1066","Prunus spinosa"
"1067","Pseudorchis albida"
"1068","Pseudoturritis turrita"
"1069","Ptarmica macrophylla"
"1070","Pteridium aquilinum"
"1071","Pteroselinum austriacum"
"1072","Ptychotis saxifraga"
"1073","Pulmonaria angustifolia"
"1074","Pulmonaria longifolia"
"1075","Pulmonaria montana"
"1076","Pulmonaria saccharata"
"1077","Pulsatilla alpina"
"1078","Pulsatilla halleri"
"1079","Pulsatilla montana"
"1080","Pyrola chlorantha"
"1081","Pyrola media"
"1082","Pyrola minor"
"1083","Pyrola rotundifolia"
"1084","Pyrus malus"
"1085","Pyrus pyraster"
"1086","Pythius dulcis"
"1087","Quercus petraea"
"1088","Quercus pubescens"
"1089","Quercus robur"
"1090","Ranunculus aconitifolius"
"1091","Ranunculus acris"
"1092","Ranunculus aduncus"
"1093","Ranunculus arvensis"
"1094","Ranunculus auricomus"
"1095","Ranunculus bulbosus"
"1096","Ranunculus gramineus"
"1097","Ranunculus kuepferi"
"1098","Ranunculus lanuginosus"
"1099","Ranunculus parnassifolius"
"1100","Ranunculus platanifolius"
"1101","Ranunculus polyanthemos"
"1102","Ranunculus pyrenaeus"
"1103","Ranunculus repens"
"1104","Ranunculus seguieri"
"1105","Ranunculus trichophyllus"
"1106","Ranunculus tuberosus"
"1107","Rapunculus spicatus"
"1108","Reseda lutea"
"1109","Reseda phyteuma"
"1110","Rhamnus alpina"
"1111","Rhamnus cathartica"
"1112","Rhamnus pumila"
"1113","Rhamnus saxatilis"
"1114","Rhinanthus alectorolophus"
"1115","Rhinanthus glacialis"
"1116","Rhinanthus minor"
"1117","Rhynchopera paniculata"
"1118","Ribes alpinum"
"1119","Ribes carpaticum"
"1120","Ribes uva-crispa"
"1121","Rorippa amphibia"
"1122","Rorippa islandica"
"1123","Rorippa sylvestris"
"1124","Rosa agrestis"
"1125","Rosa caesia"
"1126","Rosa canina"
"1127","Rosa dumalis"
"1128","Rosa elliptica"
"1129","Rosa ferruginea"
"1130","Rosa micrantha"
"1131","Rosa montana"
"1132","Rosa pendulina"
"1133","Rosa rubiginosa"
"1134","Rosa spinosissima"
"1135","Rosa villosa"
"1136","Rubus caesius"
"1137","Rubus fruticosus"
"1138","Rubus gremlii"
"1139","Rubus pruinosus"
"1140","Rubus tomentosus"
"1141","Rubus ulmifolius"
"1142","Rumex acetosa"
"1143","Rumex acetosella"
"1144","Rumex alpestris"
"1145","Rumex alpinus"
"1146","Rumex crispus"
"1147","Rumex obtusifolius"
"1148","Ruyschiana austriaca"
"1149","Sagina procumbens"
"1150","Salix alba"
"1151","Salix aurita"
"1152","Salix caprea"
"1153","Salix cinerea"
"1154","Salix daphnoides"
"1155","Salix eleagnos"
"1156","Salix foetida"
"1157","Salix myrsinifolia"
"1158","Salix pentandra"
"1159","Salix purpurea"
"1160","Salix repens"
"1161","Salix serpyllifolia"
"1162","Salix triandra"
"1163","Salvia nubicola"
"1164","Salvia pratensis"
"1165","Sambucus ebulus"
"1166","Sambucus nigra"
"1167","Sambucus racemosa"
"1168","Sanguisorba minor"
"1169","Sanguisorba officinalis"
"1170","Sanicula europaea"
"1171","Saponaria ocymoides"
"1172","Saponaria officinalis"
"1173","Satureja montana"
"1174","Satyrium bifolium"
"1175","Saussurea discolor"
"1176","Saxifraga cuneifolia"
"1177","Saxifraga granulata"
"1178","Saxifraga moschata"
"1179","Saxifraga rotundifolia"
"1180","Scabiosa columbaria"
"1181","Scabiosa lucida"
"1182","Scabiosa triandra"
"1183","Schoenus nigricans"
"1184","Scirpus sylvaticus"
"1185","Scleranthus annuus"
"1186","Scleranthus perennis"
"1187","Scorzonera austriaca"
"1188","Scorzonera hispanica"
"1189","Scorzoneroides autumnalis"
"1190","Scrophularia canina"
"1191","Scrophularia lucida"
"1192","Scrophularia nodosa"
"1193","Scrophularia peregrina"
"1194","Securigera varia"
"1195","Sedum acre"
"1196","Sedum album"
"1197","Sedum annuum"
"1198","Sedum anopetalum"
"1199","Sedum dasyphyllum"
"1200","Sedum maximum"
"1201","Sedum ochroleucum"
"1202","Sedum rupestre"
"1203","Sedum sediforme"
"1204","Sedum sexangulare"
"1205","Selaginella selaginoides"
"1206","Sempervivum tectorum"
"1207","Senecio doria"
"1208","Senecio erucifolius"
"1209","Senecio ovatus"
"1210","Senecio squalidus"
"1211","Senecio viscosus"
"1212","Serratula tinctoria"
"1213","Seseli annuum"
"1214","Setaria viridis"
"1215","Silaum silaus"
"1216","Silene armeria"
"1217","Silene dioica"
"1218","Silene flos-cuculi"
"1219","Silene flos-jovis"
"1220","Silene italica"
"1221","Silene latifolia"
"1222","Silene nutans"
"1223","Silene otites"
"1224","Silene saxifraga"
"1225","Silene vallesia"
"1226","Sinapis alba"
"1227","Sinapis arvensis"
"1228","Sisymbrium austriacum"
"1229","Solanum dulcamara"
"1230","Solidago gigantea"
"1231","Sonchus arvensis"
"1232","Sonchus oleraceus"
"1233","Sorbus aria"
"1234","Sorbus aucuparia"
"1235","Sorbus chamaemespilus"
"1236","Sorbus mougeotii"
"1237","Sparganium angustifolium"
"1238","Sparganium emersum"
"1239","Sparganium erectum"
"1240","Spiesia halleri"
"1241","Stachys annua"
"1242","Stachys pradica"
"1243","Stachys recta"
"1244","Stachys sylvatica"
"1245","Staehelina dubia"
"1246","Stellaria alsine"
"1247","Stellaria graminea"
"1248","Stellaria holostea"
"1249","Stellaria media"
"1250","Stellaria nemorum"
"1251","Stipa capillata"
"1252","Stipa eriocaulis"
"1253","Stipa pennata"
"1254","Streptopus amplexifolius"
"1255","Strobus cembra"
"1256","Succisa pratensis"
"1257","Swertia perennis"
"1258","Symphyotrichum novi-belgii"
"1259","Symphytum officinale"
"1260","Symphytum tuberosum"
"1261","Synema perenne"
"1262","Tanacetum corymbosum"
"1263","Taraxacum erythrospermum"
"1264","Taraxacum fulvum"
"1265","Taraxacum lapponicum"
"1266","Taraxacum rubicundum"
"1267","Taraxacum sellandii"
"1268","Taxus baccata"
"1269","Telephium imperati"
"1270","Tetragonolobus maritimus"
"1271","Teucrium chamaedrys"
"1272","Teucrium scordium"
"1273","Teucrium scorodonia"
"1274","Thalictrum aquilegiifolium"
"1275","Thalictrum foetidum"
"1276","Thalictrum minus"
"1277","Thalictrum simplex"
"1278","Thelycrania sanguinea"
"1279","Thesium alpinum"
"1280","Thesium humifusum"
"1281","Thesium linophyllon"
"1282","Thlaspi arvense"
"1283","Thymus oenipontanus"
"1284","Thymus pulegioides"
"1285","Thymus striatus"
"1286","Tilia cordata"
"1287","Tilia platyphyllos"
"1288","Tofieldia calyculata"
"1289","Torilis japonica"
"1290","Tozzia alpina"
"1291","Tragopogon crocifolius"
"1292","Tragopogon dubius"
"1293","Tragopogon porrifolius"
"1294","Tragopogon pratensis"
"1295","Trasus tomentosus"
"1296","Trichophorum alpinum"
"1297","Trichophorum cespitosum"
"1298","Trifolium alpestre"
"1299","Trifolium arvense"
"1300","Trifolium aureum"
"1301","Trifolium campestre"
"1302","Trifolium diffusum"
"1303","Trifolium medium"
"1304","Trifolium ochroleucon"
"1305","Trifolium rubens"
"1306","Trifolium spadiceum"
"1307","Triglochin palustre"
"1308","Trigonella monspeliaca"
"1309","Trimorpha attica"
"1310","Trinia glauca"
"1311","Triticum aestivum"
"1312","Triticum durum"
"1313","Trollius europaeus"
"1314","Tulipa sylvestris"
"1315","Turritis glabra"
"1316","Tussilago farfara"
"1317","Typha latifolia"
"1318","Ulmus glabra"
"1319","Ulmus minor"
"1320","Vaccinium vitis-idaea"
"1321","Valeriana dioica"
"1322","Valeriana officinalis"
"1323","Valeriana saliunca"
"1324","Valeriana tripteris"
"1325","Valeriana tuberosa"
"1326","Valerianella dentata"
"1327","Valerianella locusta"
"1328","Veratrum album"
"1329","Verbascum chaixii"
"1330","Verbascum lychnitis"
"1331","Verbascum nigrum"
"1332","Verbascum pulverulentum"
"1333","Verbascum thapsus"
"1334","Verbena officinalis"
"1335","Veronica agrestis"
"1336","Veronica anagallis-aquatica"
"1337","Veronica arvensis"
"1338","Veronica austriaca"
"1339","Veronica beccabunga"
"1340","Veronica chamaedrys"
"1341","Veronica fruticulosa"
"1342","Veronica hederifolia"
"1343","Veronica officinalis"
"1344","Veronica persica"
"1345","Veronica spicata"
"1346","Veronica triphyllos"
"1347","Veronica urticifolia"
"1348","Veronica verna"
"1349","Viburnum lantana"
"1350","Viburnum opulus"
"1351","Vicia cracca"
"1352","Vicia hirsuta"
"1353","Vicia hybrida"
"1354","Vicia onobrychioides"
"1355","Vicia sativa"
"1356","Vicia sepium"
"1357","Vicia sylvatica"
"1358","Vicia tenuifolia"
"1359","Vicia tetrasperma"
"1360","Vinca minor"
"1361","Vincetoxicum hirundinaria"
"1362","Viola biflora"
"1363","Viola canina"
"1364","Viola hirta"
"1365","Viola laricicola"
"1366","Viola mirabilis"
"1367","Viola odorata"
"1368","Viola palustris"
"1369","Viola pyrenaica"
"1370","Viola reichenbachiana"
"1371","Viola riviniana"
"1372","Viola suavis"
"1373","Viola tricolor"
"1374","Viscum album"
"1375","Woodsia alpina"
"1376","Xeranthemum inapertum"
